Orthogroup	DKIK.longest_only	DBUS.longest_only
OG0000003	LOC108073603|XP_017020784.1|DKIK	LOC108608148|XP_017854884.1|DBUS
OG0000004	LOC108073963|XP_017021295.1|DKIK	LOC117134690|XP_033149085.1|DBUS
OG0000007	LOC108071623|XP_017017894.1|DKIK, LOC108071566|XP_017017836.1|DKIK	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS
OG0000007	LOC108078726|XP_017028216.1|DKIK, LOC108078727|XP_017028217.1|DKIK, LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK	LOC117134784|XP_033149441.1|DBUS
OG0000008	LOC108081759|XP_017032449.1|DKIK	LOC108602201|XP_017845739.1|DBUS
OG0000008	LOC108072724|XP_017019474.1|DKIK	LOC108599783|XP_017842330.1|DBUS
OG0000008	LOC108075890|XP_017023993.1|DKIK	LOC108597994|XP_017840102.1|DBUS
OG0000008	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS
OG0000008	LOC108080456|XP_017030682.1|DKIK	LOC108601548|XP_017844935.1|DBUS
OG0000008	LOC108080419|XP_017030641.1|DKIK	LOC108602531|XP_017846153.1|DBUS
OG0000008	LOC108080455|XP_017030681.1|DKIK	LOC108602012|XP_017845504.1|DBUS
OG0000009	LOC108076150|XP_017024404.1|DKIK	LOC108604020|XP_017848755.1|DBUS
OG0000009	LOC108076246|XP_017024517.1|DKIK	LOC108601959|XP_017845435.1|DBUS
OG0000009	LOC108085665|XP_017037844.1|DKIK	LOC108601444|XP_017844830.1|DBUS
OG0000009	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK, LOC108075985|XP_017024164.1|DKIK	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS
OG0000009	LOC108070751|XP_017016837.1|DKIK	LOC108595579|XP_017836330.1|DBUS
OG0000009	LOC108082335|XP_017033154.1|DKIK	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS
OG0000010	LOC108074687|XP_017022307.1|DKIK, LOC108076493|XP_017024885.1|DKIK, LOC108081051|XP_017031512.1|DKIK, LOC108072854|XP_017019661.1|DKIK, LOC108073959|XP_017021281.1|DKIK	LOC117134729|XP_033149263.1|DBUS
OG0000011	LOC108073175|XP_017020170.1|DKIK	LOC108599014|XP_017841282.1|DBUS
OG0000012	LOC108076784|XP_017025279.1|DKIK	LOC108595899|XP_017836677.1|DBUS
OG0000012	LOC108076783|XP_017025278.1|DKIK	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS
OG0000012	LOC108076799|XP_017025312.1|DKIK	LOC108595898|XP_017836676.1|DBUS
OG0000012	LOC108076590|XP_017024991.1|DKIK	LOC108595900|XP_017836679.1|DBUS
OG0000012	LOC108076575|XP_017024974.1|DKIK, LOC108076815|XP_017025335.1|DKIK, LOC108076574|XP_017024973.1|DKIK, LOC108076609|XP_017025012.1|DKIK	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS
OG0000012	LOC108082430|XP_017033289.1|DKIK, LOC108082433|XP_017033293.1|DKIK, LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK, LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK	LOC108597255|XP_017839199.1|DBUS
OG0000012	LOC108082347|XP_017033172.1|DKIK, LOC108082320|XP_017033139.1|DKIK, LOC108082319|XP_017033138.1|DKIK	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS
OG0000013	LOC108074734|XP_017022389.1|DKIK	LOC108596692|XP_017838201.1|DBUS
OG0000013	LOC108079326|XP_017029113.1|DKIK	LOC108606235|XP_017851657.1|DBUS
OG0000013	LOC108084190|XP_017035777.1|DKIK	LOC108603181|XP_017847228.1|DBUS
OG0000013	LOC108075225|XP_017023059.1|DKIK	LOC108599948|XP_017842685.1|DBUS
OG0000013	LOC108080801|XP_017031181.1|DKIK	LOC108603387|XP_017847647.1|DBUS
OG0000013	LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS
OG0000015	LOC108083925|XP_017035412.1|DKIK, LOC108083915|XP_017035398.1|DKIK, LOC108083916|XP_017035400.1|DKIK	LOC108602396|XP_017845996.1|DBUS, LOC108602619|XP_017846247.1|DBUS, LOC108602576|XP_017846203.1|DBUS
OG0000016	LOC108074071|XP_017021434.1|DKIK	LOC108603000|XP_017846884.1|DBUS
OG0000016	LOC108078132|XP_017027246.1|DKIK	LOC108596111|XP_017837026.1|DBUS
OG0000016	LOC108085727|XP_017037944.1|DKIK	LOC108603521|XP_017847904.1|DBUS
OG0000016	LOC108084467|XP_017036167.1|DKIK	LOC108606266|XP_017851714.1|DBUS
OG0000016	LOC108071378|XP_017017603.1|DKIK	LOC108596191|XP_017837194.1|DBUS
OG0000016	LOC108081075|XP_017031544.1|DKIK	LOC108601639|XP_017845028.2|DBUS
OG0000016	LOC108075195|XP_017023019.1|DKIK	LOC108599665|XP_017842156.1|DBUS
OG0000017	LOC108074963|XP_017022684.1|DKIK	LOC108594623|XP_017835255.1|DBUS
OG0000017	LOC108083626|XP_017034986.1|DKIK	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS
OG0000017	LOC108076532|XP_017024932.1|DKIK	LOC108594615|XP_017835248.1|DBUS
OG0000017	LOC108070625|XP_017016677.1|DKIK	LOC108595879|XP_017836658.1|DBUS
OG0000017	LOC108074314|XP_017021803.1|DKIK, LOC108074298|XP_017021778.1|DKIK, LOC108074287|XP_017021766.1|DKIK	LOC108607612|XP_017854053.1|DBUS
OG0000018	LOC108071595|XP_017017864.1|DKIK	LOC108599199|XP_017841484.1|DBUS
OG0000018	LOC108071574|XP_017017844.1|DKIK, LOC108071603|XP_017017873.1|DKIK, LOC108071591|XP_017017861.1|DKIK	LOC108598989|XP_017841254.1|DBUS, LOC117134764|XP_033149298.1|DBUS
OG0000018	LOC108071573|XP_017017843.1|DKIK	LOC108597971|XP_017840076.1|DBUS
OG0000018	LOC108071596|XP_017017865.1|DKIK, LOC108071599|XP_017017870.1|DKIK	LOC108599172|XP_033149319.1|DBUS, LOC108599151|XP_017841428.1|DBUS, LOC108599053|XP_017841321.1|DBUS
OG0000019	LOC108084990|XP_017036905.1|DKIK	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS
OG0000019	LOC108084902|XP_017036785.1|DKIK	LOC108602931|XP_017846763.1|DBUS
OG0000019	LOC108084991|XP_017036906.1|DKIK	LOC108602936|XP_017846767.1|DBUS
OG0000019	LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK	LOC108602933|XP_017846765.1|DBUS
OG0000020	LOC108075744|XP_017023787.1|DKIK	LOC108604342|XP_017849258.1|DBUS
OG0000020	LOC108082576|XP_017033522.1|DKIK	LOC108594958|XP_017835581.1|DBUS
OG0000020	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK, LOC108074835|XP_017022525.1|DKIK	LOC108607439|XP_017853757.2|DBUS
OG0000020	LOC108077930|XP_017026994.1|DKIK	LOC108603823|XP_017848442.1|DBUS
OG0000020	LOC108072156|XP_017018689.1|DKIK	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS
OG0000020	LOC108074862|XP_017022564.1|DKIK, LOC108074823|XP_017022510.1|DKIK	LOC108607440|XP_017853760.2|DBUS
OG0000021	LOC108072937|XP_017019783.1|DKIK	LOC108595013|XP_017835637.1|DBUS
OG0000021	LOC108072344|XP_017018923.1|DKIK	LOC108595009|XP_017835632.1|DBUS
OG0000021	LOC108085116|XP_017037095.1|DKIK	LOC108595428|XP_017836145.1|DBUS
OG0000021	LOC108072889|XP_017019701.1|DKIK	LOC108594982|XP_017835604.1|DBUS
OG0000021	LOC108072267|XP_017018826.1|DKIK	LOC108595014|XP_017835638.1|DBUS
OG0000021	LOC108083858|XP_017035332.1|DKIK	LOC108605475|XP_017850651.1|DBUS
OG0000021	LOC108073195|XP_017020199.1|DKIK	LOC108602127|XP_017845643.1|DBUS
OG0000021	LOC108080856|XP_017031249.1|DKIK	LOC108606823|XP_017852795.1|DBUS
OG0000022	LOC108082382|XP_017033212.1|DKIK	LOC108595778|XP_017836559.1|DBUS
OG0000022	LOC108071516|XP_017017771.1|DKIK, LOC108071512|XP_017017766.1|DKIK, LOC108071514|XP_017017768.1|DKIK, LOC108071515|XP_017017770.1|DKIK, LOC108071513|XP_017017767.1|DKIK, LOC108071477|XP_017017725.1|DKIK, LOC108071510|XP_017017765.1|DKIK	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS
OG0000023	LOC108084054|XP_017035562.1|DKIK	LOC108601651|XP_017845040.1|DBUS
OG0000023	LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK	LOC108604301|XP_017849208.1|DBUS
OG0000023	LOC108078099|XP_017027186.1|DKIK	LOC108596143|XP_017837125.1|DBUS
OG0000023	LOC108083995|XP_017035498.1|DKIK, LOC108083992|XP_017035495.1|DKIK	LOC108604433|XP_017849396.1|DBUS
OG0000023	LOC108084052|XP_017035560.1|DKIK	LOC108601245|XP_033150074.1|DBUS
OG0000023	LOC108084215|XP_017035827.1|DKIK	LOC108602727|XP_017846368.1|DBUS
OG0000023	LOC108084051|XP_017035559.1|DKIK	LOC108602726|XP_017846367.1|DBUS
OG0000023	LOC108084214|XP_017035825.1|DKIK	LOC117134644|XP_033150071.1|DBUS
OG0000024	LOC108078192|XP_017027349.1|DKIK	LOC108595136|XP_017835788.1|DBUS
OG0000024	LOC108072495|XP_017019150.1|DKIK	LOC108596281|XP_017837347.1|DBUS
OG0000024	LOC108070821|XP_017016922.1|DKIK	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS
OG0000025	LOC108086239|XP_017038600.1|DKIK	LOC108607483|XP_017853815.1|DBUS
OG0000026	LOC108074121|XP_017021510.1|DKIK	LOC108606562|XP_017852268.1|DBUS
OG0000026	LOC108072841|XP_017019625.1|DKIK	LOC108597443|XP_017839499.1|DBUS
OG0000026	LOC108079334|XP_017029126.1|DKIK, LOC108070686|XP_017016752.1|DKIK	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS
OG0000026	LOC108075406|XP_017023320.1|DKIK	LOC108602219|XP_017845755.1|DBUS
OG0000027	LOC108079592|XP_017029427.1|DKIK	LOC108600961|XP_017844639.1|DBUS
OG0000027	LOC108079587|XP_017029421.1|DKIK	LOC108608302|XP_017855118.1|DBUS
OG0000027	LOC108079588|XP_017029422.1|DKIK	LOC108600155|XP_017843044.1|DBUS
OG0000029	LOC108076852|XP_017025371.1|DKIK, LOC108076861|XP_017025380.1|DKIK, LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK, LOC108071401|XP_017017633.1|DKIK	LOC108601292|XP_017844680.1|DBUS
OG0000029	LOC108080624|XP_017030937.1|DKIK	LOC108599285|XP_017841572.1|DBUS
OG0000030	LOC108075768|XP_017023819.1|DKIK	LOC108608102|XP_033150830.1|DBUS
OG0000030	LOC108077325|XP_017026102.1|DKIK	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS
OG0000030	LOC108076161|XP_017024376.1|DKIK, LOC108076242|XP_017024479.1|DKIK	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS
OG0000030	LOC108083344|XP_017034576.1|DKIK	LOC108605352|XP_017850510.1|DBUS
OG0000031	LOC108082121|XP_017032911.1|DKIK	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS
OG0000031	LOC108075780|XP_017023827.1|DKIK, LOC108075783|XP_017023831.1|DKIK, LOC108075781|XP_017023828.1|DKIK, LOC108075782|XP_017023829.1|DKIK	LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS
OG0000031	LOC108077225|XP_017025972.1|DKIK	LOC108596350|XP_017837498.1|DBUS
OG0000032	LOC108077824|XP_017026839.1|DKIK	LOC108604099|XP_017848870.1|DBUS
OG0000032	LOC108077711|XP_017026651.1|DKIK, LOC108077713|XP_017026652.1|DKIK, LOC108077714|XP_017026653.1|DKIK, LOC108077612|XP_017026507.1|DKIK	LOC108601631|XP_017845019.1|DBUS
OG0000032	LOC108077846|XP_017026865.1|DKIK, LOC108074977|XP_017022699.1|DKIK, LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK, LOC108077628|XP_017026527.1|DKIK	LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS
OG0000033	LOC108080716|XP_017031056.1|DKIK, LOC108080717|XP_017031057.1|DKIK	LOC108596493|XP_017837798.1|DBUS
OG0000033	LOC108080718|XP_017031058.1|DKIK	LOC108594868|XP_017835496.1|DBUS
OG0000034	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK	LOC108600656|XP_017843844.2|DBUS
OG0000034	LOC108076836|XP_017025354.1|DKIK	LOC108597722|XP_017839907.2|DBUS
OG0000034	LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK	LOC108608325|XP_017855153.2|DBUS
OG0000034	LOC108082755|XP_017033759.1|DKIK	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS
OG0000035	LOC108078054|XP_017027107.1|DKIK, LOC108081786|XP_017032493.1|DKIK	LOC117134686|XP_033149074.1|DBUS, LOC108602071|XP_017845580.2|DBUS, LOC108604409|XP_017849365.2|DBUS, LOC108597433|XP_017839480.2|DBUS
OG0000036	LOC108084034|XP_017035539.1|DKIK	LOC108601814|XP_017845240.1|DBUS
OG0000036	LOC108081215|XP_017031778.1|DKIK	LOC108604642|XP_017849680.1|DBUS
OG0000036	LOC108080827|XP_017031220.1|DKIK	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS
OG0000036	LOC108081087|XP_017031565.1|DKIK	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS
OG0000037	LOC108073148|XP_017020150.1|DKIK, LOC108073159|XP_017020158.1|DKIK	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS
OG0000038	LOC108083255|XP_017034451.1|DKIK	LOC108598255|XP_017840359.1|DBUS
OG0000038	LOC108083246|XP_017034442.1|DKIK	LOC108599609|XP_017842054.2|DBUS
OG0000039	LOC108081169|XP_017031714.1|DKIK	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS
OG0000039	LOC108071695|XP_017017998.1|DKIK	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS
OG0000039	LOC108071673|XP_017017967.1|DKIK	LOC108606083|XP_017851419.1|DBUS, LOC108599869|XP_017842508.1|DBUS, LOC108605330|XP_017850489.2|DBUS, LOC108606087|XP_017851422.2|DBUS
OG0000039	LOC108082955|XP_017034059.1|DKIK	LOC108605392|XP_017850551.1|DBUS
OG0000040	LOC108070642|XP_017016699.1|DKIK, LOC108084882|XP_017036766.1|DKIK	LOC108601310|XP_017844699.1|DBUS
OG0000040	LOC108084883|XP_017036767.1|DKIK	LOC108603822|XP_017848441.1|DBUS
OG0000040	LOC108070735|XP_017016822.1|DKIK, LOC108070736|XP_017016823.1|DKIK, LOC108070662|XP_017016722.1|DKIK	LOC108604808|XP_017849901.1|DBUS
OG0000040	LOC108070710|XP_017016793.1|DKIK	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS
OG0000040	LOC108084976|XP_017036887.1|DKIK	LOC117134625|XP_033150105.1|DBUS
OG0000041	LOC108071265|XP_017017445.1|DKIK, LOC108071273|XP_017017453.1|DKIK, LOC108071358|XP_017017589.1|DKIK, LOC108072005|XP_017018471.1|DKIK, LOC108072016|XP_017018485.1|DKIK, LOC108072162|XP_017018696.1|DKIK, LOC108071355|XP_017017584.1|DKIK	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS
OG0000042	LOC108076653|XP_017025076.1|DKIK, LOC108076654|XP_017025077.1|DKIK, LOC108076655|XP_017025078.1|DKIK, LOC108076549|XP_017024949.1|DKIK, LOC108076658|XP_017025082.1|DKIK, LOC108076656|XP_017025079.1|DKIK, LOC108076652|XP_017025074.1|DKIK, LOC108076661|XP_017025084.1|DKIK, LOC108076660|XP_017025083.1|DKIK	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS
OG0000042	LOC108076657|XP_017025080.1|DKIK	LOC108601375|XP_033149906.1|DBUS
OG0000043	LOC108081485|XP_017032173.1|DKIK	LOC108602016|XP_033149810.1|DBUS
OG0000043	LOC108081478|XP_017032164.1|DKIK, LOC108081500|XP_017032208.1|DKIK	LOC108602049|XP_017845549.1|DBUS
OG0000043	LOC108081483|XP_017032171.1|DKIK, LOC108086038|XP_017038347.1|DKIK, LOC108081480|XP_017032168.1|DKIK	LOC117134835|XP_033149811.1|DBUS
OG0000044	LOC108071988|XP_017018451.1|DKIK	LOC108602073|XP_017845582.1|DBUS
OG0000044	LOC108072003|XP_017018467.1|DKIK, LOC108072022|XP_017018491.1|DKIK, LOC108072004|XP_017018470.1|DKIK, LOC108072010|XP_017018477.1|DKIK	LOC108601821|XP_017845247.1|DBUS
OG0000045	LOC108073518|XP_017020682.1|DKIK	LOC108599876|XP_017842521.1|DBUS
OG0000045	LOC108073353|XP_017020405.1|DKIK, LOC108073350|XP_017020403.1|DKIK	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS
OG0000045	LOC108073894|XP_017021172.1|DKIK	LOC108598310|XP_017840415.1|DBUS
OG0000045	LOC108073882|XP_017021156.1|DKIK	LOC108598311|XP_017840416.1|DBUS
OG0000046	LOC108083339|XP_017034572.1|DKIK, LOC108083340|XP_017034573.1|DKIK	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS
OG0000046	LOC108083611|XP_017034972.1|DKIK, LOC108083337|XP_017034570.1|DKIK, LOC108080985|XP_017031400.1|DKIK, LOC108080931|XP_017031324.1|DKIK, LOC108080891|XP_017031283.1|DKIK, LOC108080893|XP_017031285.1|DKIK, LOC108080892|XP_017031284.1|DKIK, LOC108080934|XP_017031327.1|DKIK, LOC108080984|XP_017031399.1|DKIK, LOC108080895|XP_017031286.1|DKIK, LOC108080933|XP_017031326.1|DKIK	LOC108605353|XP_017850511.2|DBUS
OG0000047	LOC108076173|XP_017024393.1|DKIK	LOC108595113|XP_033148899.1|DBUS
OG0000047	LOC108076538|XP_017024940.1|DKIK	LOC108595086|XP_017835725.1|DBUS
OG0000047	LOC108080858|XP_017031251.1|DKIK	LOC108595112|XP_017835761.1|DBUS
OG0000047	LOC108078780|XP_017028320.1|DKIK	LOC108597760|XP_017839960.1|DBUS
OG0000048	LOC108084399|XP_017036085.1|DKIK, LOC108084435|XP_017036132.1|DKIK	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS
OG0000048	LOC108084438|XP_017036136.1|DKIK, LOC108084434|XP_017036131.1|DKIK	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS
OG0000048	LOC108084433|XP_017036130.1|DKIK	LOC108599702|XP_017842187.2|DBUS
OG0000048	LOC108084436|XP_017036133.1|DKIK	LOC108599709|XP_017842195.1|DBUS
OG0000049	LOC108084080|XP_017035590.1|DKIK	LOC108604094|XP_017848864.1|DBUS
OG0000049	LOC108084068|XP_017035576.1|DKIK	LOC108604092|XP_017848863.1|DBUS
OG0000049	LOC108084077|XP_017035587.1|DKIK	LOC108602189|XP_017845724.1|DBUS
OG0000049	LOC108084023|XP_017035525.1|DKIK	LOC108602386|XP_017845985.1|DBUS
OG0000049	LOC108084019|XP_017035520.1|DKIK	LOC108601428|XP_017844815.1|DBUS
OG0000050	LOC108072709|XP_017019438.1|DKIK, LOC108072761|XP_017019527.1|DKIK, LOC108072698|XP_017019426.1|DKIK	LOC108598030|XP_017840133.2|DBUS
OG0000050	LOC108072619|XP_017019339.1|DKIK	LOC108598031|XP_017840135.1|DBUS
OG0000051	LOC108083217|XP_017034415.1|DKIK	LOC108602122|XP_017845638.1|DBUS
OG0000051	LOC108085672|XP_017037854.1|DKIK	LOC108603519|XP_017847901.1|DBUS
OG0000051	LOC108080429|XP_017030651.1|DKIK, LOC108080428|XP_017030650.1|DKIK	LOC108601326|XP_017844713.1|DBUS
OG0000052	LOC108084580|XP_017036343.1|DKIK, LOC108074446|XP_017021976.1|DKIK, LOC108085090|XP_017037048.1|DKIK, LOC108074588|XP_017022184.1|DKIK, LOC108084010|XP_017035511.1|DKIK, LOC108077591|XP_017026474.1|DKIK, LOC108084105|XP_017035621.1|DKIK, LOC108084092|XP_017035606.1|DKIK, LOC108084066|XP_017035574.1|DKIK	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS
OG0000052	LOC108082278|XP_017033098.1|DKIK	LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS
OG0000052	LOC108082558|XP_017033497.1|DKIK	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS
OG0000053	LOC108070784|XP_017016873.1|DKIK	LOC108596657|XP_017838132.1|DBUS
OG0000053	LOC108070783|XP_017016872.1|DKIK	LOC108596656|XP_017838131.1|DBUS
OG0000053	LOC108070782|XP_017016871.1|DKIK	LOC108596363|XP_017837514.1|DBUS
OG0000053	LOC108070781|XP_017016869.1|DKIK	LOC108596359|XP_017837509.1|DBUS
OG0000053	LOC108070786|XP_017016875.1|DKIK	LOC108596165|XP_017837161.1|DBUS
OG0000054	LOC108081173|XP_017031718.1|DKIK	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS
OG0000054	LOC108080878|XP_017031270.1|DKIK, LOC108080879|XP_017031271.1|DKIK	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS
OG0000055	LOC108085846|XP_017038093.1|DKIK	LOC108602318|XP_017845891.1|DBUS
OG0000056	LOC108071295|XP_017017484.1|DKIK	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS
OG0000056	LOC108071299|XP_017017488.1|DKIK, LOC108071298|XP_017017487.1|DKIK, LOC108071296|XP_017017485.1|DKIK	LOC108602080|XP_017845593.1|DBUS
OG0000056	LOC108077622|XP_017026519.1|DKIK, LOC108077830|XP_017026845.1|DKIK	LOC108598485|XP_017840632.1|DBUS
OG0000058	LOC108084972|XP_017036881.1|DKIK, LOC108082757|XP_017033763.1|DKIK	LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS
OG0000058	LOC108082758|XP_017033764.1|DKIK	LOC117135039|XP_033150759.1|DBUS
