Orthogroup	DKIK.longest_only	SLEB.longest_only
OG0000013	LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000015	LOC108073116|XP_017020100.1|DKIK, LOC108073474|XP_017020616.1|DKIK, LOC108073502|XP_017020662.1|DKIK, LOC108073482|XP_017020629.1|DKIK, LOC108074488|XP_017022050.1|DKIK	LOC115628471|XP_030380453.1|SLEB
OG0000016	LOC108074071|XP_017021434.1|DKIK	LOC115621740|XP_030371332.1|SLEB
OG0000016	LOC108078132|XP_017027246.1|DKIK	LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC108085727|XP_017037944.1|DKIK	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC108084467|XP_017036167.1|DKIK	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC108071378|XP_017017603.1|DKIK	LOC115634608|XP_030388318.1|SLEB
OG0000016	LOC108081075|XP_017031544.1|DKIK	LOC115621272|XP_030370732.1|SLEB
OG0000016	LOC108075195|XP_017023019.1|DKIK	LOC115634447|XP_030388017.1|SLEB
OG0000017	LOC108083777|XP_017035189.1|DKIK	LOC115627671|XP_030379272.1|SLEB
OG0000017	LOC108076702|XP_017025149.1|DKIK	LOC115619974|XP_030368869.1|SLEB
OG0000017	LOC108074963|XP_017022684.1|DKIK	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB
OG0000017	LOC108076532|XP_017024932.1|DKIK	LOC115630526|XP_030382993.1|SLEB
OG0000017	LOC108070625|XP_017016677.1|DKIK	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB
OG0000017	LOC108074314|XP_017021803.1|DKIK, LOC108074298|XP_017021778.1|DKIK, LOC108074287|XP_017021766.1|DKIK	LOC115620280|XP_030369314.1|SLEB
OG0000018	LOC108071595|XP_017017864.1|DKIK	LOC115633159|XP_030386430.1|SLEB
OG0000018	LOC108071573|XP_017017843.1|DKIK	LOC115633160|XP_030386431.1|SLEB
OG0000019	LOC108084990|XP_017036905.1|DKIK	LOC115621701|XP_030371268.1|SLEB
OG0000019	LOC108084902|XP_017036785.1|DKIK	LOC115621698|XP_030371264.1|SLEB
OG0000019	LOC108084991|XP_017036906.1|DKIK	LOC115621699|XP_030371266.1|SLEB
OG0000019	LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK	LOC115621700|XP_030371267.1|SLEB
OG0000020	LOC108075744|XP_017023787.1|DKIK	LOC115620461|XP_030369552.1|SLEB
OG0000020	LOC108082576|XP_017033522.1|DKIK	LOC115634835|XP_030388616.1|SLEB
OG0000020	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK, LOC108074835|XP_017022525.1|DKIK	LOC115625139|XP_030375917.1|SLEB
OG0000020	LOC108077930|XP_017026994.1|DKIK	LOC115623558|XP_030373816.1|SLEB
OG0000020	LOC108072156|XP_017018689.1|DKIK	LOC115623561|XP_030373817.1|SLEB
OG0000020	LOC108074862|XP_017022564.1|DKIK, LOC108074823|XP_017022510.1|DKIK	LOC115625796|XP_030376833.1|SLEB
OG0000021	LOC108072937|XP_017019783.1|DKIK	LOC115624992|XP_030375724.1|SLEB, LOC115624826|XP_030375532.1|SLEB
OG0000021	LOC108072344|XP_017018923.1|DKIK	LOC115624982|XP_030375700.1|SLEB
OG0000021	LOC108072889|XP_017019701.1|DKIK	LOC115619935|XP_030372749.1|SLEB
OG0000021	LOC108072267|XP_017018826.1|DKIK	LOC115621481|XP_030371001.1|SLEB, LOC115620530|XP_030369661.1|SLEB, LOC115620531|XP_030369662.1|SLEB, LOC115621836|XP_030371506.1|SLEB
OG0000021	LOC108083858|XP_017035332.1|DKIK	LOC115629488|XP_030381818.1|SLEB
OG0000021	LOC108073195|XP_017020199.1|DKIK	LOC115625208|XP_030376037.1|SLEB
OG0000021	LOC108077813|XP_017026825.1|DKIK	LOC115620616|XP_030369796.1|SLEB
OG0000021	LOC108080856|XP_017031249.1|DKIK	LOC115629963|XP_030382440.1|SLEB
OG0000022	LOC108082382|XP_017033212.1|DKIK	LOC115634544|XP_030388214.1|SLEB
OG0000022	LOC108071516|XP_017017771.1|DKIK, LOC108071512|XP_017017766.1|DKIK, LOC108071514|XP_017017768.1|DKIK, LOC108071515|XP_017017770.1|DKIK, LOC108071513|XP_017017767.1|DKIK, LOC108071477|XP_017017725.1|DKIK, LOC108071510|XP_017017765.1|DKIK	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB
OG0000022	LOC108071509|XP_017017764.1|DKIK	LOC115624802|XP_030375508.1|SLEB
OG0000023	LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK	LOC115623325|XP_030373446.1|SLEB
OG0000023	LOC108083995|XP_017035498.1|DKIK, LOC108083992|XP_017035495.1|DKIK	LOC115623824|XP_030374228.1|SLEB
OG0000023	LOC108084052|XP_017035560.1|DKIK	LOC115623322|XP_030373444.1|SLEB
OG0000023	LOC108084215|XP_017035827.1|DKIK	LOC115623324|XP_030373445.1|SLEB
OG0000023	LOC108084051|XP_017035559.1|DKIK	LOC115623321|XP_030373443.1|SLEB
OG0000023	LOC108084214|XP_017035825.1|DKIK	LOC115623326|XP_030373447.1|SLEB
OG0000024	LOC108078190|XP_017027347.1|DKIK, LOC108078326|XP_017027614.1|DKIK, LOC108078191|XP_017027348.1|DKIK	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB
OG0000024	LOC108072495|XP_017019150.1|DKIK, LOC108078211|XP_017027385.1|DKIK	LOC115626230|XP_030377390.1|SLEB
OG0000024	LOC108070821|XP_017016922.1|DKIK	LOC115633141|XP_030386412.1|SLEB
OG0000025	LOC108086239|XP_017038600.1|DKIK	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB
OG0000025	LOC108081074|XP_017031548.1|DKIK	LOC115633508|XP_030386830.1|SLEB
OG0000026	LOC108074121|XP_017021510.1|DKIK	LOC115627188|XP_030378651.1|SLEB
OG0000026	LOC108072841|XP_017019625.1|DKIK	LOC115626629|XP_030377893.1|SLEB
OG0000026	LOC108079334|XP_017029126.1|DKIK, LOC108070686|XP_017016752.1|DKIK	LOC115627162|XP_030378606.1|SLEB
OG0000027	LOC108079592|XP_017029427.1|DKIK	LOC115632057|XP_030384894.1|SLEB
OG0000027	LOC108079587|XP_017029421.1|DKIK	LOC115632056|XP_030384892.1|SLEB
OG0000027	LOC108079588|XP_017029422.1|DKIK	LOC115631416|XP_030384002.1|SLEB
OG0000029	LOC108080624|XP_017030937.1|DKIK	LOC115634071|XP_030387478.1|SLEB
OG0000030	LOC108075768|XP_017023819.1|DKIK	LOC115631185|XP_030383736.1|SLEB
OG0000030	LOC108075896|XP_017024005.1|DKIK, LOC108075779|XP_017023830.1|DKIK	LOC115631186|XP_030383737.1|SLEB
OG0000030	LOC108077325|XP_017026102.1|DKIK	LOC115630766|XP_030383282.1|SLEB
OG0000030	LOC108076161|XP_017024376.1|DKIK, LOC108076242|XP_017024479.1|DKIK	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB
OG0000030	LOC108083344|XP_017034576.1|DKIK	LOC115627904|XP_030379659.1|SLEB
OG0000030	LOC108079999|XP_017030054.1|DKIK	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB
OG0000031	LOC108082121|XP_017032911.1|DKIK	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB
OG0000031	LOC108077225|XP_017025972.1|DKIK	LOC115631052|XP_030383546.1|SLEB
OG0000032	LOC108077824|XP_017026839.1|DKIK	LOC115621800|XP_030371439.1|SLEB
OG0000032	LOC108077846|XP_017026865.1|DKIK, LOC108074977|XP_017022699.1|DKIK, LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK, LOC108077628|XP_017026527.1|DKIK	LOC115621799|XP_030371437.1|SLEB
OG0000033	LOC108080716|XP_017031056.1|DKIK, LOC108080717|XP_017031057.1|DKIK	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB
OG0000033	LOC108080718|XP_017031058.1|DKIK	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB
OG0000034	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK	LOC115631238|XP_030383807.1|SLEB
OG0000034	LOC108076836|XP_017025354.1|DKIK	LOC115631233|XP_030383802.1|SLEB
OG0000034	LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK	LOC115631016|XP_030383488.1|SLEB
OG0000034	LOC108082752|XP_017033757.1|DKIK, LOC108082754|XP_017033758.1|DKIK, LOC108082755|XP_017033759.1|DKIK	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB
OG0000035	LOC108080462|XP_017030689.1|DKIK, LOC108072151|XP_017018687.1|DKIK	LOC115628216|XP_030380068.1|SLEB, LOC115628783|XP_030380857.1|SLEB, LOC115629977|XP_030382461.1|SLEB
OG0000036	LOC108084034|XP_017035539.1|DKIK	LOC115623477|XP_030373705.1|SLEB
OG0000036	LOC108081215|XP_017031778.1|DKIK	LOC115621020|XP_030370399.1|SLEB
OG0000036	LOC108080827|XP_017031220.1|DKIK	LOC115620249|XP_030369258.1|SLEB
OG0000036	LOC108081087|XP_017031565.1|DKIK	LOC115621341|XP_030370821.1|SLEB
OG0000037	LOC108082568|XP_017033513.1|DKIK	LOC115626848|XP_030378208.1|SLEB
OG0000037	LOC108073148|XP_017020150.1|DKIK, LOC108073159|XP_017020158.1|DKIK	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB
OG0000038	LOC108083255|XP_017034451.1|DKIK	LOC115633983|XP_030387367.1|SLEB
OG0000038	LOC108083246|XP_017034442.1|DKIK	LOC115633961|XP_030387345.1|SLEB
OG0000039	LOC108081169|XP_017031714.1|DKIK	LOC115633921|XP_030387291.1|SLEB
OG0000039	LOC108071695|XP_017017998.1|DKIK	LOC115633267|XP_030386532.1|SLEB
OG0000039	LOC108071709|XP_017018018.1|DKIK	LOC115628050|XP_030379855.1|SLEB
OG0000039	LOC108071673|XP_017017967.1|DKIK	LOC115626562|XP_030377801.1|SLEB, LOC115626564|XP_030377802.1|SLEB, LOC115626635|XP_030377903.1|SLEB, LOC115633389|XP_030386692.1|SLEB
OG0000039	LOC108082955|XP_017034059.1|DKIK	LOC115633390|XP_030386693.1|SLEB
OG0000040	LOC108070642|XP_017016699.1|DKIK, LOC108084882|XP_017036766.1|DKIK	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB
OG0000040	LOC108084883|XP_017036767.1|DKIK	LOC115624210|XP_030374678.1|SLEB
OG0000040	LOC108070735|XP_017016822.1|DKIK, LOC108070736|XP_017016823.1|DKIK, LOC108070662|XP_017016722.1|DKIK	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB
OG0000040	LOC108084976|XP_017036887.1|DKIK	LOC115621426|XP_030370938.1|SLEB
OG0000042	LOC108076653|XP_017025076.1|DKIK, LOC108076654|XP_017025077.1|DKIK, LOC108076655|XP_017025078.1|DKIK, LOC108076549|XP_017024949.1|DKIK, LOC108076658|XP_017025082.1|DKIK, LOC108076656|XP_017025079.1|DKIK, LOC108076652|XP_017025074.1|DKIK, LOC108076661|XP_017025084.1|DKIK, LOC108076660|XP_017025083.1|DKIK	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB
OG0000043	LOC108081486|XP_017032174.1|DKIK	LOC115623987|XP_030374418.1|SLEB
OG0000043	LOC108081508|XP_017032216.1|DKIK	LOC115623491|XP_030373724.1|SLEB
OG0000043	LOC108081485|XP_017032173.1|DKIK	LOC115623337|XP_030373467.1|SLEB
OG0000043	LOC108081478|XP_017032164.1|DKIK, LOC108081500|XP_017032208.1|DKIK	LOC115623816|XP_030374219.1|SLEB
OG0000043	LOC108081483|XP_017032171.1|DKIK, LOC108086038|XP_017038347.1|DKIK, LOC108081480|XP_017032168.1|DKIK	LOC115623986|XP_030374417.1|SLEB
OG0000044	LOC108071988|XP_017018451.1|DKIK	LOC115624024|XP_030374460.1|SLEB
OG0000044	LOC108072003|XP_017018467.1|DKIK, LOC108072022|XP_017018491.1|DKIK, LOC108072004|XP_017018470.1|DKIK, LOC108072010|XP_017018477.1|DKIK	LOC115623538|XP_030373780.1|SLEB
OG0000044	LOC108072006|XP_017018472.1|DKIK, LOC108072020|XP_017018489.1|DKIK, LOC108072017|XP_017018486.1|DKIK	LOC115631500|XP_030384120.1|SLEB
OG0000044	LOC108082753|XP_017033762.1|DKIK	LOC115624165|XP_030374623.1|SLEB
OG0000045	LOC108073518|XP_017020682.1|DKIK	LOC115632695|XP_030385792.1|SLEB
OG0000045	LOC108073353|XP_017020405.1|DKIK, LOC108073350|XP_017020403.1|DKIK	LOC115632698|XP_030385795.1|SLEB
OG0000045	LOC108073894|XP_017021172.1|DKIK	LOC115632700|XP_030385796.1|SLEB
OG0000045	LOC108073882|XP_017021156.1|DKIK	LOC115632701|XP_030385797.1|SLEB
OG0000046	LOC108075359|XP_017023259.1|DKIK, LOC108083339|XP_017034572.1|DKIK, LOC108083340|XP_017034573.1|DKIK, LOC108083611|XP_017034972.1|DKIK, LOC108083337|XP_017034570.1|DKIK, LOC108080985|XP_017031400.1|DKIK, LOC108080931|XP_017031324.1|DKIK, LOC108080891|XP_017031283.1|DKIK, LOC108080893|XP_017031285.1|DKIK, LOC108080892|XP_017031284.1|DKIK, LOC108080934|XP_017031327.1|DKIK, LOC108080984|XP_017031399.1|DKIK, LOC108080895|XP_017031286.1|DKIK, LOC108080933|XP_017031326.1|DKIK	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB
OG0000047	LOC108076173|XP_017024393.1|DKIK	LOC115631261|XP_030383836.1|SLEB
OG0000047	LOC108076538|XP_017024940.1|DKIK	LOC115632503|XP_030385556.1|SLEB
OG0000047	LOC108080858|XP_017031251.1|DKIK	LOC115626702|XP_030377994.1|SLEB
OG0000047	LOC108078780|XP_017028320.1|DKIK, LOC108071908|XP_017018345.1|DKIK	LOC115622391|XP_030372176.1|SLEB
OG0000048	LOC108084399|XP_017036085.1|DKIK, LOC108084435|XP_017036132.1|DKIK	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB
OG0000048	LOC108084433|XP_017036130.1|DKIK	LOC115632620|XP_030385708.1|SLEB
OG0000048	LOC108084436|XP_017036133.1|DKIK	LOC115632159|XP_030385047.1|SLEB
OG0000049	LOC108084080|XP_017035590.1|DKIK	LOC115631187|XP_030383738.1|SLEB
OG0000049	LOC108084068|XP_017035576.1|DKIK	LOC115625471|XP_030376380.1|SLEB
OG0000049	LOC108084077|XP_017035587.1|DKIK	LOC115625469|XP_030376378.1|SLEB
OG0000049	LOC108084022|XP_017035524.1|DKIK	LOC115625467|XP_030376376.1|SLEB
OG0000049	LOC108084023|XP_017035525.1|DKIK	LOC115625232|XP_030376077.1|SLEB
OG0000049	LOC108084019|XP_017035520.1|DKIK	LOC115621014|XP_030370394.1|SLEB
OG0000050	LOC108072709|XP_017019438.1|DKIK, LOC108072761|XP_017019527.1|DKIK, LOC108072698|XP_017019426.1|DKIK	LOC115632844|XP_030385961.1|SLEB
OG0000050	LOC108072596|XP_017019300.1|DKIK	LOC115632845|XP_030385962.1|SLEB
OG0000050	LOC108072619|XP_017019339.1|DKIK	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB
OG0000051	LOC108083217|XP_017034415.1|DKIK	LOC115624036|XP_030374474.1|SLEB
OG0000051	LOC108085672|XP_017037854.1|DKIK	LOC115620987|XP_030370367.1|SLEB
OG0000052	LOC108084580|XP_017036343.1|DKIK, LOC108074446|XP_017021976.1|DKIK, LOC108085090|XP_017037048.1|DKIK, LOC108074588|XP_017022184.1|DKIK, LOC108084010|XP_017035511.1|DKIK, LOC108077591|XP_017026474.1|DKIK, LOC108084105|XP_017035621.1|DKIK, LOC108084092|XP_017035606.1|DKIK, LOC108084066|XP_017035574.1|DKIK	LOC115621355|XP_030370842.1|SLEB
OG0000052	LOC108082278|XP_017033098.1|DKIK, LOC108082558|XP_017033497.1|DKIK	LOC115621366|XP_030370854.1|SLEB
OG0000053	LOC108070784|XP_017016873.1|DKIK, LOC108070783|XP_017016872.1|DKIK	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB
OG0000053	LOC108070782|XP_017016871.1|DKIK	LOC115634038|XP_030387442.1|SLEB
OG0000053	LOC108070781|XP_017016869.1|DKIK	LOC115634037|XP_030387441.1|SLEB
OG0000053	LOC108070786|XP_017016875.1|DKIK	LOC115634626|XP_030388341.1|SLEB
OG0000054	LOC108081173|XP_017031718.1|DKIK	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB
OG0000054	LOC108080878|XP_017031270.1|DKIK, LOC108080879|XP_017031271.1|DKIK	LOC115623633|XP_030373934.1|SLEB
OG0000054	LOC108081160|XP_017031693.1|DKIK, LOC108081159|XP_017031690.1|DKIK	LOC115624033|XP_030374471.1|SLEB
