Orthogroup	DKIK.longest_only	DHYD.longest_only
OG0000008	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD
OG0000008	LOC108080451|XP_017030677.1|DKIK	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD
OG0000008	LOC108080456|XP_017030682.1|DKIK	LOC111600832|XP_023172904.2|DHYD
OG0000008	LOC108080419|XP_017030641.1|DKIK	LOC111600808|XP_023172870.1|DHYD
OG0000008	LOC108080455|XP_017030681.1|DKIK	LOC111600811|XP_023172873.1|DHYD
OG0000009	LOC108076150|XP_017024404.1|DKIK	LOC111604985|XP_023179049.1|DHYD
OG0000009	LOC108076246|XP_017024517.1|DKIK	LOC111604987|XP_023179051.2|DHYD
OG0000009	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK, LOC108075985|XP_017024164.1|DKIK	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD
OG0000009	LOC108070751|XP_017016837.1|DKIK	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD
OG0000009	LOC108082335|XP_017033154.1|DKIK	LOC111593549|XP_023162171.2|DHYD
OG0000009	LOC108082309|XP_017033129.1|DKIK, LOC108078551|XP_017027957.1|DKIK, LOC108078552|XP_017027958.1|DKIK, LOC108082375|XP_017033205.1|DKIK, LOC108082329|XP_017033149.1|DKIK, LOC108074693|XP_017022321.1|DKIK, LOC108082367|XP_017033197.1|DKIK, LOC108082310|XP_017033130.1|DKIK, LOC108082371|XP_017033201.1|DKIK	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD
OG0000010	LOC108072854|XP_017019661.1|DKIK	LOC115483262|XP_030080467.1|DHYD
OG0000011	LOC108073175|XP_017020170.1|DKIK	LOC111599147|XP_023170484.2|DHYD
OG0000012	LOC108076784|XP_017025279.1|DKIK	LOC111603849|XP_023177406.2|DHYD
OG0000012	LOC108076783|XP_017025278.1|DKIK	LOC111603850|XP_023177409.2|DHYD
OG0000012	LOC108076799|XP_017025312.1|DKIK	LOC111603802|XP_023177320.1|DHYD
OG0000012	LOC108076590|XP_017024991.1|DKIK	LOC111603848|XP_023177404.2|DHYD
OG0000012	LOC108076575|XP_017024974.1|DKIK, LOC108076815|XP_017025335.1|DKIK, LOC108076574|XP_017024973.1|DKIK, LOC108076609|XP_017025012.1|DKIK	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD
OG0000012	LOC108082430|XP_017033289.1|DKIK, LOC108082433|XP_017033293.1|DKIK, LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK, LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK	LOC111597898|XP_023168600.2|DHYD
OG0000012	LOC108082347|XP_017033172.1|DKIK, LOC108082320|XP_017033139.1|DKIK, LOC108082319|XP_017033138.1|DKIK	LOC111597903|XP_023168607.2|DHYD
OG0000013	LOC108074734|XP_017022389.1|DKIK	LOC111593737|XP_023162498.2|DHYD
OG0000013	LOC108079326|XP_017029113.1|DKIK	LOC111605302|XP_030080103.1|DHYD
OG0000013	LOC108084190|XP_017035777.1|DKIK	LOC111603010|XP_023176183.1|DHYD
OG0000013	LOC108075225|XP_017023059.1|DKIK	LOC111604413|XP_023178237.2|DHYD
OG0000013	LOC108080801|XP_017031181.1|DKIK	LOC111594553|XP_023163674.1|DHYD
OG0000013	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD
OG0000013	LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD
OG0000015	LOC108083925|XP_017035412.1|DKIK, LOC108083915|XP_017035398.1|DKIK, LOC108083916|XP_017035400.1|DKIK	LOC111601485|XP_023173841.2|DHYD, LOC111598320|XP_023169285.2|DHYD
OG0000016	LOC108074071|XP_017021434.1|DKIK	LOC111605496|XP_023179814.1|DHYD
OG0000016	LOC108078132|XP_017027246.1|DKIK	LOC111602093|XP_023174795.1|DHYD
OG0000016	LOC108085727|XP_017037944.1|DKIK	LOC111598341|XP_023169316.1|DHYD
OG0000016	LOC108084467|XP_017036167.1|DKIK	LOC111597353|XP_023167768.1|DHYD
OG0000016	LOC108071378|XP_017017603.1|DKIK	LOC111603208|XP_023176475.1|DHYD
OG0000016	LOC108081075|XP_017031544.1|DKIK	LOC111595218|XP_023164600.1|DHYD
OG0000016	LOC108075195|XP_017023019.1|DKIK	LOC111599234|XP_023170599.1|DHYD
OG0000017	LOC108074963|XP_017022684.1|DKIK	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD
OG0000017	LOC108083626|XP_017034986.1|DKIK	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD
OG0000017	LOC108076532|XP_017024932.1|DKIK	LOC111603822|XP_023177351.2|DHYD
OG0000017	LOC108070625|XP_017016677.1|DKIK	LOC111600903|XP_030081002.1|DHYD
OG0000017	LOC108074314|XP_017021803.1|DKIK, LOC108074298|XP_017021778.1|DKIK, LOC108074287|XP_017021766.1|DKIK	LOC111595834|XP_023165510.2|DHYD
OG0000018	LOC108071595|XP_017017864.1|DKIK	LOC111600492|XP_023172388.2|DHYD
OG0000018	LOC108071573|XP_017017843.1|DKIK	LOC111600507|XP_023172403.1|DHYD
OG0000019	LOC108084990|XP_017036905.1|DKIK	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD
OG0000019	LOC108084902|XP_017036785.1|DKIK	LOC111598920|XP_023170158.2|DHYD
OG0000019	LOC108084991|XP_017036906.1|DKIK	LOC111603248|XP_023176523.1|DHYD
OG0000019	LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK	LOC111598923|XP_023170162.2|DHYD
OG0000020	LOC108075744|XP_017023787.1|DKIK	LOC111594494|XP_030080618.1|DHYD
OG0000020	LOC108082576|XP_017033522.1|DKIK	LOC111593180|XP_023161558.2|DHYD
OG0000020	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK, LOC108074835|XP_017022525.1|DKIK	LOC111598962|XP_023170216.2|DHYD
OG0000020	LOC108077930|XP_017026994.1|DKIK	LOC111596686|XP_023166760.2|DHYD
OG0000020	LOC108072156|XP_017018689.1|DKIK	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD
OG0000020	LOC108074862|XP_017022564.1|DKIK, LOC108074823|XP_017022510.1|DKIK	LOC111598978|XP_030080535.1|DHYD
OG0000021	LOC108072344|XP_017018923.1|DKIK	LOC111601270|XP_023173549.2|DHYD
OG0000021	LOC108085116|XP_017037095.1|DKIK	LOC111596996|XP_023167262.1|DHYD
OG0000021	LOC108072889|XP_017019701.1|DKIK	LOC111600652|XP_023172641.1|DHYD
OG0000021	LOC108072267|XP_017018826.1|DKIK	LOC111601220|XP_023173483.1|DHYD
OG0000021	LOC108083858|XP_017035332.1|DKIK	LOC111602062|XP_023174743.2|DHYD
OG0000021	LOC108073195|XP_017020199.1|DKIK	LOC111593360|XP_023161841.1|DHYD
OG0000021	LOC108077813|XP_017026825.1|DKIK	LOC111601414|XP_023173744.1|DHYD
OG0000021	LOC108080856|XP_017031249.1|DKIK	LOC111604024|XP_023177648.1|DHYD
OG0000022	LOC108082382|XP_017033212.1|DKIK	LOC111595585|XP_023165164.2|DHYD
OG0000022	LOC108071516|XP_017017771.1|DKIK, LOC108071512|XP_017017766.1|DKIK, LOC108071514|XP_017017768.1|DKIK, LOC108071515|XP_017017770.1|DKIK, LOC108071513|XP_017017767.1|DKIK, LOC108071477|XP_017017725.1|DKIK, LOC108071510|XP_017017765.1|DKIK	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD
OG0000023	LOC108084054|XP_017035562.1|DKIK	LOC111602703|XP_023175706.2|DHYD
OG0000023	LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK	LOC111602748|XP_023175768.2|DHYD
OG0000023	LOC108078099|XP_017027186.1|DKIK	LOC111600543|XP_023172455.2|DHYD
OG0000023	LOC108083995|XP_017035498.1|DKIK, LOC108083992|XP_017035495.1|DKIK	LOC111602765|XP_023175792.2|DHYD
OG0000023	LOC108084052|XP_017035560.1|DKIK	LOC111602764|XP_023175791.1|DHYD
OG0000023	LOC108084215|XP_017035827.1|DKIK	LOC111602801|XP_023175861.1|DHYD
OG0000023	LOC108084051|XP_017035559.1|DKIK	LOC111602761|XP_023175787.2|DHYD
OG0000023	LOC108084214|XP_017035825.1|DKIK	LOC111602800|XP_023175857.2|DHYD
OG0000024	LOC108078190|XP_017027347.1|DKIK, LOC108078326|XP_017027614.1|DKIK, LOC108078191|XP_017027348.1|DKIK	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD
OG0000024	LOC108078192|XP_017027349.1|DKIK	LOC111592141|XP_023159955.2|DHYD
OG0000024	LOC108072495|XP_017019150.1|DKIK	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD
OG0000024	LOC108078211|XP_017027385.1|DKIK	LOC111592145|XP_023159959.2|DHYD
OG0000024	LOC108070821|XP_017016922.1|DKIK	LOC111598026|XP_023168817.2|DHYD
OG0000025	LOC108086239|XP_017038600.1|DKIK	LOC111599384|XP_023170789.1|DHYD
OG0000025	LOC108081074|XP_017031548.1|DKIK	LOC115483232|XP_030080436.1|DHYD
OG0000026	LOC108074121|XP_017021510.1|DKIK	LOC111600180|XP_023171950.2|DHYD
OG0000026	LOC108072841|XP_017019625.1|DKIK	LOC111596354|XP_023166318.1|DHYD
OG0000026	LOC108075406|XP_017023320.1|DKIK	LOC111602647|XP_023175583.2|DHYD
OG0000027	LOC108079592|XP_017029427.1|DKIK	LOC111599153|XP_023170492.2|DHYD
OG0000027	LOC108079587|XP_017029421.1|DKIK	LOC111595849|XP_023165527.1|DHYD
OG0000027	LOC108079588|XP_017029422.1|DKIK	LOC111599119|XP_023170448.2|DHYD
OG0000029	LOC108076852|XP_017025371.1|DKIK, LOC108076861|XP_017025380.1|DKIK, LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK, LOC108071401|XP_017017633.1|DKIK	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD
OG0000029	LOC108080624|XP_017030937.1|DKIK	LOC111599253|XP_023170620.2|DHYD
OG0000030	LOC108075768|XP_017023819.1|DKIK	LOC111603775|XP_023177278.2|DHYD
OG0000030	LOC108077325|XP_017026102.1|DKIK	LOC111596081|XP_023165908.2|DHYD
OG0000030	LOC108076161|XP_017024376.1|DKIK, LOC108076242|XP_017024479.1|DKIK	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD
OG0000030	LOC108083344|XP_017034576.1|DKIK	LOC111596747|XP_030080079.1|DHYD
OG0000030	LOC108079999|XP_017030054.1|DKIK	LOC111598248|XP_023169180.2|DHYD
OG0000031	LOC108082121|XP_017032911.1|DKIK	LOC111596192|XP_023166065.2|DHYD
OG0000031	LOC108075780|XP_017023827.1|DKIK, LOC108075783|XP_017023831.1|DKIK, LOC108075781|XP_017023828.1|DKIK, LOC108075782|XP_017023829.1|DKIK	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD
OG0000031	LOC108077225|XP_017025972.1|DKIK	LOC111594664|XP_023163834.1|DHYD
OG0000032	LOC108077824|XP_017026839.1|DKIK	LOC111599037|XP_023170323.1|DHYD
OG0000032	LOC108077790|XP_017026779.1|DKIK	LOC111598628|XP_023169740.2|DHYD
OG0000032	LOC108077711|XP_017026651.1|DKIK, LOC108077713|XP_017026652.1|DKIK, LOC108077714|XP_017026653.1|DKIK, LOC108077612|XP_017026507.1|DKIK	LOC111599021|XP_023170312.2|DHYD
OG0000032	LOC108077846|XP_017026865.1|DKIK, LOC108074977|XP_017022699.1|DKIK, LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK, LOC108077628|XP_017026527.1|DKIK	LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD
OG0000033	LOC108080716|XP_017031056.1|DKIK, LOC108080717|XP_017031057.1|DKIK	LOC111599962|XP_023171625.2|DHYD
OG0000033	LOC108080718|XP_017031058.1|DKIK	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD
OG0000034	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK	LOC111602472|XP_023175302.2|DHYD
OG0000034	LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK	LOC111602462|XP_023175290.2|DHYD
OG0000034	LOC108082755|XP_017033759.1|DKIK	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD
OG0000036	LOC108084034|XP_017035539.1|DKIK	LOC111602683|XP_023175671.1|DHYD
OG0000036	LOC108081215|XP_017031778.1|DKIK	LOC111602776|XP_023175811.1|DHYD
OG0000036	LOC108080827|XP_017031220.1|DKIK	LOC111602665|XP_023175617.1|DHYD
OG0000036	LOC108081087|XP_017031565.1|DKIK	LOC111601529|XP_023173926.1|DHYD
OG0000037	LOC108082568|XP_017033513.1|DKIK	LOC111604322|XP_030081296.1|DHYD
OG0000037	LOC108073148|XP_017020150.1|DKIK, LOC108073159|XP_017020158.1|DKIK	LOC111601750|XP_023174255.2|DHYD
OG0000038	LOC108083255|XP_017034451.1|DKIK	LOC111605099|XP_023179209.2|DHYD
OG0000038	LOC108083246|XP_017034442.1|DKIK	LOC111605094|XP_023179201.2|DHYD
OG0000039	LOC108081169|XP_017031714.1|DKIK	LOC111599549|XP_023170981.2|DHYD
OG0000039	LOC108071695|XP_017017998.1|DKIK	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD
OG0000039	LOC108071709|XP_017018018.1|DKIK	LOC111602852|XP_023175933.1|DHYD
OG0000039	LOC108071673|XP_017017967.1|DKIK	LOC111604896|XP_023178904.1|DHYD, LOC111599287|XP_023170654.1|DHYD, LOC111600203|XP_023171988.2|DHYD
OG0000039	LOC108082955|XP_017034059.1|DKIK	LOC111592722|XP_023160878.1|DHYD
OG0000040	LOC108070642|XP_017016699.1|DKIK, LOC108084882|XP_017036766.1|DKIK	LOC111604247|XP_023178000.2|DHYD
OG0000040	LOC108084883|XP_017036767.1|DKIK	LOC111604248|XP_023178001.2|DHYD
OG0000040	LOC108070735|XP_017016822.1|DKIK, LOC108070736|XP_017016823.1|DKIK, LOC108070662|XP_017016722.1|DKIK	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD
OG0000040	LOC108070710|XP_017016793.1|DKIK	LOC111604211|XP_023177942.2|DHYD
OG0000040	LOC108084976|XP_017036887.1|DKIK	LOC111594486|XP_023163562.2|DHYD
OG0000041	LOC108071265|XP_017017445.1|DKIK, LOC108071273|XP_017017453.1|DKIK, LOC108071358|XP_017017589.1|DKIK, LOC108072005|XP_017018471.1|DKIK, LOC108072016|XP_017018485.1|DKIK, LOC108072162|XP_017018696.1|DKIK, LOC108071355|XP_017017584.1|DKIK	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD
OG0000042	LOC108076653|XP_017025076.1|DKIK, LOC108076654|XP_017025077.1|DKIK, LOC108076655|XP_017025078.1|DKIK, LOC108076549|XP_017024949.1|DKIK, LOC108076658|XP_017025082.1|DKIK, LOC108076656|XP_017025079.1|DKIK, LOC108076652|XP_017025074.1|DKIK, LOC108076661|XP_017025084.1|DKIK, LOC108076660|XP_017025083.1|DKIK	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD
OG0000042	LOC108076657|XP_017025080.1|DKIK	LOC111598606|XP_023169706.2|DHYD
OG0000043	LOC108081508|XP_017032216.1|DKIK	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD
OG0000043	LOC108081485|XP_017032173.1|DKIK	LOC111600264|XP_023172080.2|DHYD
OG0000043	LOC108081478|XP_017032164.1|DKIK, LOC108081500|XP_017032208.1|DKIK	LOC111600256|XP_023172069.2|DHYD
OG0000043	LOC108081483|XP_017032171.1|DKIK, LOC108086038|XP_017038347.1|DKIK, LOC108081480|XP_017032168.1|DKIK	LOC111600253|XP_023172066.2|DHYD
OG0000044	LOC108071988|XP_017018451.1|DKIK	LOC111604839|XP_023178838.2|DHYD
OG0000044	LOC108072003|XP_017018467.1|DKIK, LOC108072022|XP_017018491.1|DKIK, LOC108072004|XP_017018470.1|DKIK, LOC108072010|XP_017018477.1|DKIK	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD
OG0000044	LOC108072006|XP_017018472.1|DKIK	LOC111604847|XP_023178847.2|DHYD
OG0000044	LOC108082753|XP_017033762.1|DKIK	LOC111592024|XP_023159785.2|DHYD
OG0000045	LOC108073518|XP_017020682.1|DKIK	LOC111597387|XP_023167819.1|DHYD
OG0000045	LOC108073353|XP_017020405.1|DKIK, LOC108073350|XP_017020403.1|DKIK	LOC111597391|XP_023167823.1|DHYD
OG0000045	LOC108073894|XP_017021172.1|DKIK	LOC111597386|XP_023167816.1|DHYD
OG0000045	LOC108073882|XP_017021156.1|DKIK	LOC111597377|XP_023167802.1|DHYD
OG0000046	LOC108083339|XP_017034572.1|DKIK, LOC108083340|XP_017034573.1|DKIK	LOC111591975|XP_023159692.2|DHYD
OG0000046	LOC108083611|XP_017034972.1|DKIK, LOC108083337|XP_017034570.1|DKIK, LOC108080985|XP_017031400.1|DKIK, LOC108080931|XP_017031324.1|DKIK, LOC108080891|XP_017031283.1|DKIK, LOC108080893|XP_017031285.1|DKIK, LOC108080892|XP_017031284.1|DKIK, LOC108080934|XP_017031327.1|DKIK, LOC108080984|XP_017031399.1|DKIK, LOC108080895|XP_017031286.1|DKIK, LOC108080933|XP_017031326.1|DKIK	LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD
OG0000047	LOC108076173|XP_017024393.1|DKIK	LOC111596622|XP_023166677.1|DHYD
OG0000047	LOC108076538|XP_017024940.1|DKIK	LOC111594123|XP_023163050.2|DHYD
OG0000047	LOC108080858|XP_017031251.1|DKIK	LOC111595469|XP_023165002.1|DHYD
OG0000047	LOC108078780|XP_017028320.1|DKIK	LOC111595525|XP_023165074.2|DHYD
OG0000048	LOC108084399|XP_017036085.1|DKIK, LOC108084435|XP_017036132.1|DKIK	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD
OG0000048	LOC108084438|XP_017036136.1|DKIK, LOC108084434|XP_017036131.1|DKIK	LOC111604700|XP_023178641.1|DHYD
OG0000048	LOC108084433|XP_017036130.1|DKIK	LOC111604676|XP_023178606.1|DHYD
OG0000048	LOC108084436|XP_017036133.1|DKIK	LOC111604701|XP_023178642.1|DHYD
OG0000049	LOC108084080|XP_017035590.1|DKIK	LOC111594543|XP_023163663.2|DHYD
OG0000049	LOC108084068|XP_017035576.1|DKIK	LOC111594529|XP_023163631.2|DHYD
OG0000049	LOC108084077|XP_017035587.1|DKIK	LOC111594475|XP_023163544.1|DHYD
OG0000049	LOC108084023|XP_017035525.1|DKIK	LOC111594476|XP_023163545.2|DHYD
OG0000049	LOC108084019|XP_017035520.1|DKIK	LOC111594581|XP_023163706.2|DHYD
OG0000050	LOC108073068|XP_017020022.1|DKIK	LOC111592220|XP_023160064.2|DHYD
OG0000050	LOC108072709|XP_017019438.1|DKIK, LOC108072761|XP_017019527.1|DKIK, LOC108072698|XP_017019426.1|DKIK	LOC111597562|XP_023168129.2|DHYD
OG0000050	LOC108072596|XP_017019300.1|DKIK	LOC111597563|XP_023168130.1|DHYD
OG0000050	LOC108072619|XP_017019339.1|DKIK	LOC111597557|XP_023168122.2|DHYD
OG0000051	LOC108083217|XP_017034415.1|DKIK	LOC111604842|XP_023178842.2|DHYD
OG0000051	LOC108085672|XP_017037854.1|DKIK	LOC111598254|XP_023169188.2|DHYD
