Orthogroup	DKIK.longest_only	DERE.longest_only
OG0000005	LOC108085749|XP_017037978.1|DKIK	LOC6556051|XP_001982911.1|DERE, LOC6548712|XP_001974001.2|DERE, LOC6556359|XP_001983142.2|DERE, LOC6556058|XP_001982915.1|DERE, LOC113564801|XP_026839449.1|DERE, LOC113564800|XP_026839448.1|DERE, LOC6548707|XP_001973996.1|DERE, LOC6556031|XP_001982896.1|DERE, LOC6556046|XP_001982906.1|DERE, LOC6556228|XP_001983059.1|DERE, LOC6556303|XP_001983113.1|DERE
OG0000006	LOC108072846|XP_017019650.1|DKIK	LOC6549046|XP_001974030.1|DERE, LOC113564790|XP_026839440.1|DERE, LOC6548711|XP_026839402.1|DERE, LOC113564783|XP_026839415.1|DERE, LOC6548706|XP_026839400.1|DERE, LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE, LOC113564784|XP_026839416.1|DERE
OG0000006	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK	LOC6548691|XP_001974010.1|DERE
OG0000007	LOC108071918|XP_017018366.1|DKIK	LOC6546441|XP_001972927.1|DERE
OG0000007	LOC108071584|XP_017017854.1|DKIK	LOC6545299|XP_001972057.1|DERE
OG0000007	LOC108086265|XP_017038640.1|DKIK	LOC6540938|XP_001968734.1|DERE
OG0000007	LOC108086266|XP_017038642.1|DKIK	LOC6540876|XP_001968735.1|DERE
OG0000007	LOC108078727|XP_017028217.1|DKIK	LOC6545660|XP_001971664.1|DERE
OG0000007	LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK	LOC6540935|XP_001968733.1|DERE
OG0000007	LOC108071626|XP_017017898.1|DKIK	LOC6545300|XP_001972058.2|DERE
OG0000007	LOC108071627|XP_017017899.1|DKIK	LOC6545301|XP_001972059.1|DERE
OG0000008	LOC108081759|XP_017032449.1|DKIK	LOC6553905|XP_001979522.1|DERE
OG0000008	LOC108072724|XP_017019474.1|DKIK	LOC6543719|XP_001971862.1|DERE
OG0000008	LOC108075890|XP_017023993.1|DKIK	LOC6541660|XP_001969797.3|DERE
OG0000008	LOC108072727|XP_017019476.1|DKIK	LOC6543717|XP_001971860.3|DERE
OG0000008	LOC108070862|XP_017016987.1|DKIK	LOC6551209|XP_001977016.1|DERE
OG0000008	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE
OG0000008	LOC108080451|XP_017030677.1|DKIK	LOC6553018|XP_001979109.1|DERE
OG0000008	LOC108080456|XP_017030682.1|DKIK	LOC6553016|XP_001979107.1|DERE
OG0000008	LOC108080419|XP_017030641.1|DKIK	LOC6553017|XP_001979108.1|DERE
OG0000008	LOC108080455|XP_017030681.1|DKIK	LOC6553015|XP_001979106.1|DERE
OG0000009	LOC108076150|XP_017024404.1|DKIK	LOC6554105|XP_001979501.1|DERE
OG0000009	LOC108076246|XP_017024517.1|DKIK	LOC6554107|XP_001979503.1|DERE
OG0000009	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK	LOC6554108|XP_001979504.1|DERE
OG0000009	LOC108075985|XP_017024164.1|DKIK	LOC6554106|XP_001979502.1|DERE
OG0000009	LOC108070751|XP_017016837.1|DKIK	LOC6548094|XP_001976600.1|DERE
OG0000009	LOC108080446|XP_017030671.1|DKIK	LOC6553884|XP_001980458.1|DERE
OG0000009	LOC108082335|XP_017033154.1|DKIK	LOC6546804|XP_001975914.1|DERE
OG0000009	LOC108082367|XP_017033197.1|DKIK	LOC6546805|XP_001975915.1|DERE
OG0000010	LOC108076493|XP_017024885.1|DKIK, LOC108081051|XP_017031512.1|DKIK, LOC108072854|XP_017019661.1|DKIK	LOC113564802|XP_026839451.1|DERE
OG0000010	LOC108075010|XP_017022751.1|DKIK, LOC108084633|XP_017036410.1|DKIK	LOC6556049|XP_001982909.3|DERE
OG0000011	LOC108074353|XP_017021868.1|DKIK, LOC108084761|XP_017036565.1|DKIK, LOC108084804|XP_017036651.1|DKIK, LOC108083260|XP_017034457.1|DKIK, LOC108084805|XP_017036652.1|DKIK, LOC108084755|XP_017036555.1|DKIK, LOC108083234|XP_017034430.1|DKIK, LOC108078960|XP_017028605.1|DKIK, LOC108072111|XP_017018626.1|DKIK, LOC108079747|XP_017029651.1|DKIK, LOC108078767|XP_017028297.1|DKIK, LOC108079746|XP_017029649.1|DKIK	LOC6550533|XP_001977930.3|DERE
OG0000011	LOC108077100|XP_017025772.1|DKIK	LOC6540864|XP_001968531.3|DERE, LOC6540904|XP_026835063.1|DERE
OG0000011	LOC108077099|XP_017025771.1|DKIK, LOC108077098|XP_017025769.1|DKIK	LOC6543446|XP_001968684.2|DERE
OG0000011	LOC108086138|XP_017038482.1|DKIK, LOC108086130|XP_017038471.1|DKIK, LOC108086060|XP_017038366.1|DKIK, LOC108081434|XP_017032105.1|DKIK, LOC108086061|XP_017038367.1|DKIK, LOC108079969|XP_017030022.1|DKIK, LOC108078656|XP_017028076.1|DKIK, LOC108072836|XP_017019617.1|DKIK	LOC6543815|XP_001973630.3|DERE, LOC6555031|XP_001981173.1|DERE
OG0000011	LOC108074515|XP_017022082.1|DKIK	LOC6547227|XP_026836974.1|DERE, LOC113564269|XP_026836076.1|DERE, LOC6547226|XP_026836976.1|DERE, LOC6547233|XP_026836236.1|DERE, LOC6551039|XP_001978306.1|DERE
OG0000011	LOC108075323|XP_017023218.1|DKIK	LOC6545633|XP_001972695.1|DERE
OG0000011	LOC108073175|XP_017020170.1|DKIK	LOC6552127|XP_001980788.1|DERE
OG0000011	LOC108074026|XP_017021384.1|DKIK	LOC6553432|XP_001979238.2|DERE
OG0000012	LOC108076784|XP_017025279.1|DKIK	LOC6547483|XP_015011854.1|DERE
OG0000012	LOC108076783|XP_017025278.1|DKIK	LOC6547482|XP_001974798.1|DERE
OG0000012	LOC108076799|XP_017025312.1|DKIK	LOC6547337|XP_015012184.1|DERE
OG0000012	LOC108076590|XP_017024991.1|DKIK	LOC6547484|XP_026836781.1|DERE
OG0000012	LOC108076575|XP_017024974.1|DKIK	LOC6547486|XP_001974802.1|DERE
OG0000012	LOC108076609|XP_017025012.1|DKIK	LOC6547485|XP_015012185.1|DERE
OG0000012	LOC108082430|XP_017033289.1|DKIK	LOC6546830|XP_026836193.1|DERE
OG0000012	LOC108082433|XP_017033293.1|DKIK	LOC6546691|XP_001975936.3|DERE
OG0000012	LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK	LOC6546690|XP_001975935.1|DERE
OG0000012	LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK	LOC26526953|XP_026835974.1|DERE
OG0000012	LOC108082347|XP_017033172.1|DKIK	LOC6546689|XP_001975934.2|DERE
OG0000012	LOC108082319|XP_017033138.1|DKIK	LOC6546688|XP_001975933.1|DERE
OG0000013	LOC108074734|XP_017022389.1|DKIK	LOC6549620|XP_001975657.1|DERE
OG0000013	LOC108079326|XP_017029113.1|DKIK	LOC6551261|XP_026838843.1|DERE
OG0000013	LOC108084190|XP_017035777.1|DKIK	LOC6553110|XP_001980016.1|DERE
OG0000013	LOC108075225|XP_017023059.1|DKIK	LOC6545627|XP_026832753.1|DERE
OG0000013	LOC108080801|XP_017031181.1|DKIK	LOC6553734|XP_001980320.1|DERE
OG0000013	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK	LOC6554353|XP_001982051.1|DERE
OG0000013	LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK	LOC6553767|XP_001980392.1|DERE, LOC6553763|XP_026839524.1|DERE, LOC113564842|XP_026839519.1|DERE, LOC6553724|XP_001980393.1|DERE, LOC6554050|XP_001980491.1|DERE, LOC6554051|XP_001980492.1|DERE
OG0000015	LOC108074481|XP_017022042.1|DKIK	LOC6541487|XP_001968624.1|DERE
OG0000015	LOC108085342|XP_017037387.1|DKIK	LOC6542316|XP_001970154.1|DERE, LOC6541306|XP_001970208.1|DERE
OG0000015	LOC108073474|XP_017020616.1|DKIK, LOC108073502|XP_017020662.1|DKIK, LOC108073482|XP_017020629.1|DKIK, LOC108074488|XP_017022050.1|DKIK	LOC6554572|XP_026839568.1|DERE
OG0000016	LOC108074071|XP_017021434.1|DKIK	LOC6553473|XP_001980267.1|DERE
OG0000016	LOC108078132|XP_017027246.1|DKIK	LOC6547825|XP_001974973.1|DERE
OG0000016	LOC108085727|XP_017037944.1|DKIK	LOC6553744|XP_001980362.1|DERE
OG0000016	LOC108084467|XP_017036167.1|DKIK	LOC6551195|XP_001977029.1|DERE
OG0000016	LOC108071378|XP_017017603.1|DKIK	LOC6542573|XP_026835446.1|DERE
OG0000016	LOC108081075|XP_017031544.1|DKIK	LOC6553157|XP_026831618.1|DERE
OG0000016	LOC108075195|XP_017023019.1|DKIK	LOC6544283|XP_001973711.1|DERE
OG0000017	LOC108083777|XP_017035189.1|DKIK	LOC6550521|XP_001977911.1|DERE
OG0000017	LOC108076702|XP_017025149.1|DKIK	LOC6540975|XP_001970557.1|DERE
OG0000017	LOC108074963|XP_017022684.1|DKIK	LOC6542635|XP_001970806.1|DERE
OG0000017	LOC108085024|XP_017036959.1|DKIK	LOC6552914|XP_001980977.1|DERE
OG0000017	LOC108083626|XP_017034986.1|DKIK	LOC6544876|XP_001973836.1|DERE, LOC6556262|XP_026839527.1|DERE
OG0000017	LOC108076532|XP_017024932.1|DKIK	LOC6547791|XP_001976408.1|DERE
OG0000017	LOC108070625|XP_017016677.1|DKIK	LOC6542668|XP_001970804.1|DERE
OG0000017	LOC108076530|XP_017024931.1|DKIK	LOC6547792|XP_001976409.1|DERE
OG0000017	LOC108074314|XP_017021803.1|DKIK, LOC108074298|XP_017021778.1|DKIK, LOC108074287|XP_017021766.1|DKIK	LOC6543081|XP_001968299.1|DERE
OG0000018	LOC108071595|XP_017017864.1|DKIK	LOC6545112|XP_001972081.1|DERE
OG0000018	LOC108071573|XP_017017843.1|DKIK	LOC6545115|XP_001972084.1|DERE
OG0000018	LOC108071599|XP_017017870.1|DKIK	LOC6545189|XP_001972077.1|DERE, LOC6545191|XP_001972079.1|DERE
OG0000019	LOC108084990|XP_017036905.1|DKIK	LOC113564308|XP_026836578.1|DERE
OG0000019	LOC108084992|XP_017036907.1|DKIK, LOC108084993|XP_017036908.1|DKIK	LOC113564837|XP_026839515.1|DERE
OG0000019	LOC108084902|XP_017036785.1|DKIK	LOC6555070|XP_001981612.1|DERE
OG0000019	LOC108084991|XP_017036906.1|DKIK	LOC6555069|XP_001981611.1|DERE
OG0000019	LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK	LOC113564283|XP_026836268.1|DERE, LOC6555065|XP_001981607.1|DERE, LOC113563849|XP_026832170.1|DERE, LOC113563848|XP_026832169.1|DERE, LOC113563851|XP_026832173.1|DERE, LOC113563850|XP_026832172.1|DERE, LOC6555062|XP_001981604.2|DERE, LOC6555064|XP_026839386.1|DERE
OG0000020	LOC108075744|XP_017023787.1|DKIK	LOC6555052|XP_026839769.1|DERE
OG0000020	LOC108082576|XP_017033522.1|DKIK	LOC6547855|XP_001975038.1|DERE
OG0000020	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK	LOC6540649|XP_026834533.1|DERE
OG0000020	LOC108074835|XP_017022525.1|DKIK	LOC6543425|XP_026834766.1|DERE
OG0000020	LOC108077930|XP_017026994.1|DKIK	LOC6553828|XP_026839892.1|DERE
OG0000020	LOC108072156|XP_017018689.1|DKIK	LOC6554060|XP_001980549.1|DERE
OG0000020	LOC108074862|XP_017022564.1|DKIK	LOC6548804|XP_001974084.1|DERE
OG0000020	LOC108074823|XP_017022510.1|DKIK	LOC6549412|XP_001974317.1|DERE
OG0000021	LOC108072937|XP_017019783.1|DKIK	LOC6556017|XP_001982880.1|DERE
OG0000021	LOC108072344|XP_017018923.1|DKIK	LOC6547978|XP_001975124.1|DERE
OG0000021	LOC108085116|XP_017037095.1|DKIK	LOC6548381|XP_001975140.1|DERE
OG0000021	LOC108072889|XP_017019701.1|DKIK	LOC6546948|XP_001974598.1|DERE
OG0000021	LOC108072267|XP_017018826.1|DKIK	LOC6556217|XP_001983050.1|DERE
OG0000021	LOC108083858|XP_017035332.1|DKIK	LOC6551659|XP_001977237.1|DERE
OG0000021	LOC108073195|XP_017020199.1|DKIK	LOC6554651|XP_001981975.1|DERE
OG0000021	LOC108077813|XP_017026825.1|DKIK	LOC6553703|XP_001980409.1|DERE
OG0000021	LOC108080856|XP_017031249.1|DKIK	LOC26526932|XP_026837924.1|DERE
OG0000022	LOC108082382|XP_017033212.1|DKIK	LOC6548724|XP_001975398.1|DERE
OG0000022	LOC108071489|XP_017017741.1|DKIK	LOC6543861|XP_001971088.1|DERE
OG0000022	LOC108071509|XP_017017764.1|DKIK	LOC6545495|XP_001971097.1|DERE
OG0000023	LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK	LOC6553285|XP_001979203.1|DERE
OG0000023	LOC108078099|XP_017027186.1|DKIK	LOC6546697|XP_026836761.1|DERE
OG0000023	LOC108083995|XP_017035498.1|DKIK, LOC108083992|XP_017035495.1|DKIK	LOC6553284|XP_026831910.1|DERE
OG0000023	LOC108084052|XP_017035560.1|DKIK	LOC6553277|XP_001979195.2|DERE
OG0000023	LOC108084215|XP_017035827.1|DKIK	LOC6553329|XP_001979191.2|DERE
OG0000023	LOC108084051|XP_017035559.1|DKIK	LOC6553331|XP_001979193.1|DERE
OG0000023	LOC108084214|XP_017035825.1|DKIK	LOC6553328|XP_001979190.1|DERE
OG0000024	LOC108078191|XP_017027348.1|DKIK	LOC6547183|XP_001976081.1|DERE
OG0000024	LOC108078192|XP_017027349.1|DKIK	LOC6547182|XP_001976080.1|DERE
OG0000024	LOC108072495|XP_017019150.1|DKIK	LOC6549069|XP_001974169.1|DERE
OG0000024	LOC108078211|XP_017027385.1|DKIK	LOC6547184|XP_001976082.1|DERE
OG0000024	LOC108070821|XP_017016922.1|DKIK	LOC6549473|XP_001975764.1|DERE
OG0000025	LOC108086239|XP_017038600.1|DKIK	LOC6540718|XP_001968765.1|DERE
OG0000026	LOC108074121|XP_017021510.1|DKIK	LOC6551694|XP_001977155.1|DERE
OG0000026	LOC108072841|XP_017019625.1|DKIK	LOC6543477|XP_001969495.1|DERE
OG0000026	LOC108079334|XP_017029126.1|DKIK	LOC6551346|XP_001977080.1|DERE
OG0000026	LOC108075406|XP_017023320.1|DKIK	LOC6553336|XP_001979309.1|DERE
OG0000027	LOC108079592|XP_017029427.1|DKIK	LOC6541432|XP_001970185.1|DERE
OG0000027	LOC108079587|XP_017029421.1|DKIK	LOC6541563|XP_001970188.1|DERE
OG0000027	LOC108079588|XP_017029422.1|DKIK	LOC6541340|XP_001970186.1|DERE
OG0000029	LOC108082661|XP_017033647.1|DKIK	LOC6551894|XP_001980609.1|DERE
OG0000029	LOC108077932|XP_017026959.1|DKIK, LOC108076869|XP_017025387.1|DKIK	LOC6541177|XP_001969159.1|DERE
OG0000029	LOC108085551|XP_017037679.1|DKIK	LOC6547215|XP_001974713.1|DERE, LOC6543371|XP_001969207.2|DERE
OG0000029	LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK	LOC6552797|XP_001981008.1|DERE
OG0000029	LOC108080624|XP_017030937.1|DKIK	LOC6546309|XP_026833134.1|DERE
OG0000030	LOC108075768|XP_017023819.1|DKIK	LOC6540832|XP_001969798.1|DERE
OG0000030	LOC108075896|XP_017024005.1|DKIK	LOC6541247|XP_001969800.2|DERE
OG0000030	LOC108075779|XP_017023830.1|DKIK	LOC6543200|XP_001969799.1|DERE
OG0000030	LOC108077325|XP_017026102.1|DKIK	LOC6542410|XP_001968441.1|DERE
OG0000030	LOC108076242|XP_017024479.1|DKIK	LOC6547811|XP_001976404.1|DERE
OG0000030	LOC108083344|XP_017034576.1|DKIK	LOC6555505|XP_026838381.1|DERE
OG0000030	LOC108079999|XP_017030054.1|DKIK	LOC6550371|XP_001977852.1|DERE
OG0000031	LOC108082121|XP_017032911.1|DKIK	LOC6541519|XP_001969009.2|DERE, LOC6543250|XP_001968986.1|DERE
OG0000031	LOC108077225|XP_017025972.1|DKIK	LOC6542615|XP_001969442.1|DERE
OG0000032	LOC108077824|XP_017026839.1|DKIK	LOC6553974|XP_015009875.1|DERE
OG0000032	LOC108077711|XP_017026651.1|DKIK	LOC6553916|XP_015010087.1|DERE
OG0000032	LOC108077713|XP_017026652.1|DKIK	LOC6553973|XP_026831770.1|DERE
OG0000032	LOC108077612|XP_017026507.1|DKIK	LOC6553975|XP_026831724.1|DERE
OG0000032	LOC108077846|XP_017026865.1|DKIK	LOC113564299|XP_026836470.1|DERE
OG0000033	LOC108080886|XP_017031277.1|DKIK, LOC108080887|XP_017031279.1|DKIK, LOC108081203|XP_017031760.1|DKIK	LOC6555354|XP_026839686.1|DERE, LOC6555355|XP_001981434.1|DERE
OG0000033	LOC108080716|XP_017031056.1|DKIK	LOC6541653|XP_001970703.1|DERE
OG0000033	LOC108080717|XP_017031057.1|DKIK	LOC6542775|XP_001970704.2|DERE
OG0000033	LOC108080718|XP_017031058.1|DKIK	LOC6541460|XP_001970702.1|DERE
OG0000033	LOC108084001|XP_017035503.1|DKIK	LOC6546216|XP_001972911.1|DERE
OG0000033	LOC108076855|XP_017025374.1|DKIK	LOC6553620|XP_001979278.1|DERE
OG0000033	LOC108076138|XP_017024355.1|DKIK	LOC6548922|XP_001975350.1|DERE
OG0000034	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK	LOC6547752|XP_001976261.2|DERE
OG0000034	LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK	LOC6547627|XP_001976262.1|DERE
OG0000034	LOC108082752|XP_017033757.1|DKIK, LOC108082754|XP_017033758.1|DKIK	LOC113564268|XP_026836067.1|DERE, LOC6553711|XP_001980355.1|DERE
OG0000036	LOC108084034|XP_017035539.1|DKIK	LOC6553210|XP_001979212.1|DERE
OG0000036	LOC108081215|XP_017031778.1|DKIK	LOC6553049|XP_001980037.3|DERE
OG0000036	LOC108080827|XP_017031220.1|DKIK	LOC6552090|XP_001978801.1|DERE
OG0000036	LOC108081087|XP_017031565.1|DKIK	LOC6554160|XP_026832544.1|DERE, LOC113563885|XP_026832533.1|DERE
OG0000037	LOC108082568|XP_017033513.1|DKIK	LOC6547304|XP_026836461.1|DERE
OG0000037	LOC108073148|XP_017020150.1|DKIK	LOC6553809|XP_001979566.1|DERE
OG0000037	LOC108073159|XP_017020158.1|DKIK	LOC6553808|XP_001979565.1|DERE
OG0000038	LOC108083255|XP_017034451.1|DKIK	LOC6545503|XP_001973343.1|DERE
OG0000038	LOC108083246|XP_017034442.1|DKIK	LOC6545505|XP_026833772.1|DERE
OG0000039	LOC108081169|XP_017031714.1|DKIK	LOC6553078|XP_001979073.2|DERE
OG0000039	LOC108071695|XP_017017998.1|DKIK	LOC6550737|XP_001978160.1|DERE
OG0000039	LOC108071709|XP_017018018.1|DKIK	LOC6550622|XP_026837736.1|DERE
OG0000039	LOC108082955|XP_017034059.1|DKIK	LOC6551666|XP_001977244.1|DERE
OG0000040	LOC108070642|XP_017016699.1|DKIK	LOC6551893|XP_026835202.1|DERE
OG0000040	LOC108084882|XP_017036766.1|DKIK	LOC6551780|XP_001980593.1|DERE
OG0000040	LOC108084883|XP_017036767.1|DKIK	LOC6551781|XP_001980594.1|DERE
OG0000040	LOC108070735|XP_017016822.1|DKIK, LOC108070736|XP_017016823.1|DKIK	LOC6551892|XP_001979714.2|DERE
OG0000040	LOC108070662|XP_017016722.1|DKIK	LOC6551891|XP_001979713.1|DERE
OG0000040	LOC108070710|XP_017016793.1|DKIK	LOC6551889|XP_001979711.1|DERE
OG0000040	LOC108084976|XP_017036887.1|DKIK	LOC6554299|XP_001981067.1|DERE
OG0000041	LOC108071265|XP_017017445.1|DKIK	LOC6554981|XP_001981824.1|DERE
OG0000041	LOC108071358|XP_017017589.1|DKIK	LOC6554997|XP_001981822.1|DERE
OG0000041	LOC108072005|XP_017018471.1|DKIK, LOC108072016|XP_017018485.1|DKIK	LOC6554990|XP_001981815.1|DERE
OG0000041	LOC108072162|XP_017018696.1|DKIK, LOC108071355|XP_017017584.1|DKIK	LOC6554992|XP_001981817.1|DERE, LOC6554991|XP_001981816.2|DERE
OG0000042	LOC108076653|XP_017025076.1|DKIK, LOC108076654|XP_017025077.1|DKIK, LOC108076655|XP_017025078.1|DKIK, LOC108076549|XP_017024949.1|DKIK	LOC6547072|XP_001974652.1|DERE
OG0000042	LOC108076658|XP_017025082.1|DKIK	LOC6547084|XP_001974656.1|DERE
OG0000042	LOC108076656|XP_017025079.1|DKIK	LOC6547081|XP_026835970.1|DERE
OG0000042	LOC108076652|XP_017025074.1|DKIK, LOC108076661|XP_017025084.1|DKIK, LOC108076660|XP_017025083.1|DKIK	LOC6547083|XP_026836041.1|DERE, LOC6547082|XP_001974654.1|DERE
OG0000042	LOC108076657|XP_017025080.1|DKIK	LOC6547085|XP_001974657.2|DERE
OG0000043	LOC108081486|XP_017032174.1|DKIK	LOC6551884|XP_001980608.2|DERE
OG0000043	LOC108081508|XP_017032216.1|DKIK	LOC6551882|XP_001980606.1|DERE
OG0000043	LOC108081485|XP_017032173.1|DKIK	LOC6551883|XP_001980607.1|DERE
OG0000043	LOC108081478|XP_017032164.1|DKIK, LOC108081500|XP_017032208.1|DKIK	LOC6551896|XP_001980611.1|DERE
OG0000043	LOC108086038|XP_017038347.1|DKIK	LOC6554744|XP_001981087.1|DERE
OG0000043	LOC108081480|XP_017032168.1|DKIK	LOC6549065|XP_026836066.1|DERE, LOC6551880|XP_001980604.1|DERE
OG0000044	LOC108071988|XP_017018451.1|DKIK	LOC6554933|XP_001981812.1|DERE
OG0000044	LOC108072003|XP_017018467.1|DKIK, LOC108072022|XP_017018491.1|DKIK, LOC108072004|XP_017018470.1|DKIK	LOC6554929|XP_001981808.1|DERE
OG0000044	LOC108072010|XP_017018477.1|DKIK	LOC6554928|XP_001981807.1|DERE
OG0000044	LOC108072006|XP_017018472.1|DKIK	LOC6554932|XP_026836683.1|DERE
OG0000044	LOC108072020|XP_017018489.1|DKIK	LOC6554930|XP_001981809.1|DERE
OG0000044	LOC108072017|XP_017018486.1|DKIK	LOC6554931|XP_001981810.2|DERE
OG0000044	LOC108082753|XP_017033762.1|DKIK	LOC6553968|XP_001980526.3|DERE
OG0000045	LOC108073518|XP_017020682.1|DKIK	LOC6543777|XP_001972312.1|DERE
OG0000045	LOC108073353|XP_017020405.1|DKIK, LOC108073350|XP_017020403.1|DKIK	LOC6543776|XP_001972311.2|DERE, LOC6543775|XP_001972310.1|DERE
OG0000045	LOC108073894|XP_017021172.1|DKIK	LOC6544619|XP_001971501.1|DERE
OG0000045	LOC108073882|XP_017021156.1|DKIK	LOC6544620|XP_001971502.1|DERE
OG0000046	LOC108075359|XP_017023259.1|DKIK	LOC6553418|XP_001979316.1|DERE
