Orthogroup	DKIK.longest_only	DANA.longest_only
OG0000007	LOC108071918|XP_017018366.1|DKIK	LOC6506540|XP_001957688.2|DANA
OG0000007	LOC108071623|XP_017017894.1|DKIK	LOC6493531|XP_001957951.1|DANA
OG0000007	LOC108086265|XP_017038640.1|DKIK	LOC6504215|XP_001965139.1|DANA
OG0000007	LOC108078491|XP_017027862.1|DKIK	LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA
OG0000007	LOC108086266|XP_017038642.1|DKIK	LOC6504214|XP_001965140.1|DANA
OG0000007	LOC108078726|XP_017028216.1|DKIK	LOC6492986|XP_032310804.1|DANA
OG0000007	LOC108078727|XP_017028217.1|DKIK	LOC6507027|XP_001956797.1|DANA
OG0000007	LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK	LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA
OG0000007	LOC108071626|XP_017017898.1|DKIK	LOC6493536|XP_001957956.2|DANA
OG0000007	LOC108071627|XP_017017899.1|DKIK	LOC6506391|XP_001957958.1|DANA
OG0000008	LOC108081759|XP_017032449.1|DKIK	LOC6501231|XP_001954812.1|DANA
OG0000008	LOC108072724|XP_017019474.1|DKIK	LOC6493433|XP_001957742.1|DANA
OG0000008	LOC108075890|XP_017023993.1|DKIK	LOC6504295|XP_001965067.1|DANA
OG0000008	LOC108072727|XP_017019476.1|DKIK	LOC6506512|XP_001957740.2|DANA
OG0000008	LOC108070862|XP_017016987.1|DKIK	LOC6503895|XP_001963800.1|DANA
OG0000008	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK	LOC6499974|XP_001953515.1|DANA
OG0000008	LOC108080451|XP_017030677.1|DKIK	LOC6499973|XP_001953518.1|DANA
OG0000008	LOC108080456|XP_017030682.1|DKIK	LOC6500585|XP_001953520.1|DANA
OG0000008	LOC108080419|XP_017030641.1|DKIK	LOC6500584|XP_001953519.1|DANA
OG0000008	LOC108080455|XP_017030681.1|DKIK	LOC6499972|XP_001953521.2|DANA
OG0000009	LOC108076150|XP_017024404.1|DKIK	LOC6500401|XP_001953140.1|DANA
OG0000009	LOC108076246|XP_017024517.1|DKIK	LOC6500399|XP_001953138.1|DANA
OG0000009	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK	LOC6500144|XP_001953137.1|DANA
OG0000009	LOC108075985|XP_017024164.1|DKIK	LOC6500400|XP_001953139.2|DANA
OG0000009	LOC108070751|XP_017016837.1|DKIK	LOC6494113|XP_001960938.1|DANA
OG0000009	LOC108080446|XP_017030671.1|DKIK	LOC6500524|XP_001953390.1|DANA
OG0000009	LOC108082335|XP_017033154.1|DKIK	LOC6494922|XP_001959416.1|DANA
OG0000009	LOC108082367|XP_017033197.1|DKIK	LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA
OG0000009	LOC108082310|XP_017033130.1|DKIK, LOC108082371|XP_017033201.1|DKIK	LOC6494924|XP_001959414.1|DANA
OG0000010	LOC108072854|XP_017019661.1|DKIK	LOC116656007|XP_032310968.1|DANA
OG0000011	LOC108077100|XP_017025772.1|DKIK, LOC108077099|XP_017025771.1|DKIK, LOC108077098|XP_017025769.1|DKIK	LOC6503983|XP_014760411.1|DANA
OG0000011	LOC108086138|XP_017038482.1|DKIK, LOC108086130|XP_017038471.1|DKIK, LOC108086060|XP_017038366.1|DKIK, LOC108081434|XP_017032105.1|DKIK, LOC108086061|XP_017038367.1|DKIK, LOC108079969|XP_017030022.1|DKIK, LOC108078656|XP_017028076.1|DKIK, LOC108072836|XP_017019617.1|DKIK	LOC6502747|XP_014760371.2|DANA
OG0000011	LOC108075323|XP_017023218.1|DKIK	LOC6502839|XP_001957409.2|DANA
OG0000011	LOC108073175|XP_017020170.1|DKIK	LOC6499942|XP_001953585.2|DANA
OG0000012	LOC108076784|XP_017025279.1|DKIK	LOC6495461|XP_014763319.1|DANA
OG0000012	LOC108076783|XP_017025278.1|DKIK	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA
OG0000012	LOC108076799|XP_017025312.1|DKIK	LOC6495181|XP_001958900.1|DANA
OG0000012	LOC108076590|XP_017024991.1|DKIK	LOC6495184|XP_001958896.1|DANA
OG0000012	LOC108076575|XP_017024974.1|DKIK	LOC6495188|XP_001958892.1|DANA
OG0000012	LOC108076815|XP_017025335.1|DKIK, LOC108076574|XP_017024973.1|DKIK	LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA
OG0000012	LOC108076609|XP_017025012.1|DKIK	LOC6495185|XP_001958895.2|DANA
OG0000012	LOC108082430|XP_017033289.1|DKIK	LOC6495691|XP_001959390.1|DANA
OG0000012	LOC108082433|XP_017033293.1|DKIK	LOC6495692|XP_001959391.1|DANA
OG0000012	LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK	LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA
OG0000012	LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK	LOC26514216|XP_014763990.1|DANA
OG0000012	LOC108082347|XP_017033172.1|DKIK	LOC6495695|XP_001959394.1|DANA
OG0000012	LOC108082319|XP_017033138.1|DKIK	LOC6495696|XP_032306537.1|DANA
OG0000013	LOC108074734|XP_017022389.1|DKIK	LOC6494224|XP_001960708.1|DANA
OG0000013	LOC108079326|XP_017029113.1|DKIK	LOC6502959|XP_001963513.1|DANA
OG0000013	LOC108084190|XP_017035777.1|DKIK	LOC6494241|XP_001965950.1|DANA
OG0000013	LOC108075225|XP_017023059.1|DKIK	LOC6506687|XP_032309811.1|DANA
OG0000013	LOC108080801|XP_017031181.1|DKIK	LOC6500356|XP_001953043.1|DANA
OG0000013	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK	LOC6500746|XP_001953834.1|DANA
OG0000013	LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK	LOC116655736|XP_032309488.1|DANA, LOC6499424|XP_001954664.1|DANA, LOC6501160|XP_001954666.1|DANA, LOC6501159|XP_001954665.1|DANA, LOC6502045|XP_032309431.1|DANA
OG0000015	LOC108074481|XP_017022042.1|DKIK	LOC26515394|XP_032307327.1|DANA, LOC26515478|XP_014762438.1|DANA
OG0000015	LOC108072480|XP_017019135.1|DKIK, LOC108085342|XP_017037387.1|DKIK, LOC108071985|XP_017018448.1|DKIK	LOC26514504|XP_014762337.1|DANA, LOC6502479|XP_032311112.1|DANA
OG0000015	LOC108073116|XP_017020100.1|DKIK	LOC6497258|XP_001962453.2|DANA, LOC6497259|XP_014761594.1|DANA, LOC26515435|XP_014762433.2|DANA, LOC6502546|XP_001958772.2|DANA
OG0000015	LOC108073474|XP_017020616.1|DKIK, LOC108073502|XP_017020662.1|DKIK, LOC108073482|XP_017020629.1|DKIK, LOC108074488|XP_017022050.1|DKIK	LOC26514507|XP_014762338.1|DANA
OG0000016	LOC108074071|XP_017021434.1|DKIK	LOC6500386|XP_001953106.1|DANA
OG0000016	LOC108078132|XP_017027246.1|DKIK	LOC6495063|XP_001959144.1|DANA
OG0000016	LOC108085727|XP_017037944.1|DKIK	LOC6499904|XP_001953662.1|DANA
OG0000016	LOC108084467|XP_017036167.1|DKIK	LOC6504746|XP_032309021.1|DANA
OG0000016	LOC108071378|XP_017017603.1|DKIK	LOC6496662|XP_001961354.1|DANA
OG0000016	LOC108081075|XP_017031544.1|DKIK	LOC6501076|XP_001954513.1|DANA
OG0000016	LOC108075195|XP_017023019.1|DKIK	LOC6493807|XP_014764542.1|DANA
OG0000017	LOC108083777|XP_017035189.1|DKIK	LOC6503036|XP_001963366.1|DANA
OG0000017	LOC108076702|XP_017025149.1|DKIK	LOC6494096|XP_001960985.1|DANA
OG0000017	LOC108074963|XP_017022684.1|DKIK	LOC6493898|XP_001961368.1|DANA
OG0000017	LOC108083626|XP_017034986.1|DKIK	LOC6499101|XP_001955295.3|DANA, LOC6499102|XP_001955294.1|DANA
OG0000017	LOC108076532|XP_017024932.1|DKIK	LOC6494709|XP_001959816.1|DANA
OG0000017	LOC108070625|XP_017016677.1|DKIK	LOC6496668|XP_001961367.1|DANA
OG0000017	LOC108076530|XP_017024931.1|DKIK	LOC6494707|XP_001959817.2|DANA
OG0000017	LOC108074314|XP_017021803.1|DKIK, LOC108074298|XP_017021778.1|DKIK, LOC108074287|XP_017021766.1|DKIK	LOC6498649|XP_001963243.2|DANA
OG0000018	LOC108071595|XP_017017864.1|DKIK	LOC6493787|XP_001958436.1|DANA
OG0000018	LOC108071573|XP_017017843.1|DKIK	LOC6506162|XP_001958433.1|DANA
OG0000018	LOC108071604|XP_017017875.1|DKIK	LOC6493789|XP_001958438.1|DANA
OG0000018	LOC108071596|XP_017017865.1|DKIK	LOC6506167|XP_032310203.1|DANA, LOC6493788|XP_001958437.1|DANA, LOC6493792|XP_001958441.2|DANA
OG0000018	LOC108071599|XP_017017870.1|DKIK	LOC6493785|XP_001958427.1|DANA, LOC6493790|XP_001958439.1|DANA
OG0000019	LOC108084990|XP_017036905.1|DKIK	LOC6505609|XP_001964601.1|DANA
OG0000019	LOC108084992|XP_017036907.1|DKIK, LOC108084993|XP_017036908.1|DKIK	LOC6505610|XP_001964600.1|DANA
OG0000019	LOC108084902|XP_017036785.1|DKIK	LOC6505613|XP_032305481.1|DANA
OG0000019	LOC108084991|XP_017036906.1|DKIK	LOC6505612|XP_001964599.1|DANA
OG0000019	LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK	LOC6505608|XP_001964602.1|DANA
OG0000020	LOC108075744|XP_017023787.1|DKIK	LOC6499398|XP_032312200.1|DANA
OG0000020	LOC108082576|XP_017033522.1|DKIK	LOC6494967|XP_001959313.1|DANA
OG0000020	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK	LOC6497509|XP_001961936.3|DANA, LOC26514839|XP_032307435.1|DANA, LOC26514326|XP_014762314.1|DANA
OG0000020	LOC108074835|XP_017022525.1|DKIK	LOC6497508|XP_032307386.1|DANA
OG0000020	LOC108077930|XP_017026994.1|DKIK	LOC6500139|XP_032312147.1|DANA
OG0000020	LOC108072156|XP_017018689.1|DKIK	LOC6501153|XP_001954651.1|DANA
OG0000020	LOC108074862|XP_017022564.1|DKIK	LOC6506852|XP_001965261.1|DANA
OG0000020	LOC108074823|XP_017022510.1|DKIK	LOC6497510|XP_032307412.1|DANA
OG0000021	LOC108072937|XP_017019783.1|DKIK	LOC6502914|XP_001967640.3|DANA
OG0000021	LOC108072344|XP_017018923.1|DKIK	LOC6494472|XP_001960263.1|DANA
OG0000021	LOC108085116|XP_017037095.1|DKIK	LOC6494465|XP_001960278.1|DANA
OG0000021	LOC108072889|XP_017019701.1|DKIK	LOC6496057|XP_001960127.1|DANA
OG0000021	LOC108072267|XP_017018826.1|DKIK	LOC6502328|XP_014759082.1|DANA
OG0000021	LOC108073195|XP_017020199.1|DKIK	LOC6503446|XP_001967498.1|DANA
OG0000021	LOC108077813|XP_017026825.1|DKIK	LOC6499833|XP_001953817.3|DANA
OG0000021	LOC108080856|XP_017031249.1|DKIK	LOC6503731|XP_032308490.1|DANA
OG0000022	LOC108082382|XP_017033212.1|DKIK	LOC6495509|XP_001959002.1|DANA
OG0000022	LOC108071489|XP_017017741.1|DKIK	LOC6492952|XP_001956727.1|DANA
OG0000022	LOC108071509|XP_017017764.1|DKIK	LOC6507069|XP_001956716.1|DANA
OG0000023	LOC108084054|XP_017035562.1|DKIK	LOC6500077|XP_001953265.1|DANA
OG0000023	LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK	LOC6500461|XP_001953266.1|DANA
OG0000023	LOC108078099|XP_017027186.1|DKIK	LOC6494760|XP_001959725.1|DANA
OG0000023	LOC108084052|XP_017035560.1|DKIK	LOC6500083|XP_001953259.2|DANA
OG0000023	LOC108084215|XP_017035827.1|DKIK	LOC6500087|XP_001953255.2|DANA
OG0000023	LOC108084051|XP_017035559.1|DKIK	LOC6500085|XP_032312233.1|DANA
OG0000023	LOC108084214|XP_017035825.1|DKIK	LOC6500088|XP_014766376.1|DANA
OG0000024	LOC108078191|XP_017027348.1|DKIK	LOC6495396|XP_001958754.1|DANA, LOC6495253|XP_001958752.1|DANA
OG0000024	LOC108078192|XP_017027349.1|DKIK	LOC6495252|XP_001958753.1|DANA
OG0000024	LOC108072495|XP_017019150.1|DKIK	LOC6498256|XP_001962412.1|DANA
OG0000024	LOC108078211|XP_017027385.1|DKIK	LOC6495254|XP_001958751.1|DANA
OG0000024	LOC108070821|XP_017016922.1|DKIK	LOC6496529|XP_001961079.1|DANA
OG0000025	LOC108086239|XP_017038600.1|DKIK	LOC6498525|XP_001962995.1|DANA
OG0000025	LOC108081074|XP_017031548.1|DKIK	LOC26513707|XP_032309216.1|DANA
OG0000026	LOC108074121|XP_017021510.1|DKIK	LOC6505023|XP_001965614.1|DANA
OG0000026	LOC108072841|XP_017019625.1|DKIK	LOC6498214|XP_001962316.1|DANA
OG0000026	LOC108079334|XP_017029126.1|DKIK	LOC6502964|XP_001963504.1|DANA
OG0000026	LOC108070686|XP_017016752.1|DKIK	LOC6499160|XP_001955195.1|DANA, LOC6499161|XP_001955194.1|DANA
OG0000026	LOC108075406|XP_017023320.1|DKIK	LOC6500045|XP_001953325.1|DANA
OG0000027	LOC108079592|XP_017029427.1|DKIK	LOC6497408|XP_001962144.1|DANA
OG0000027	LOC108079587|XP_017029421.1|DKIK	LOC6497406|XP_001962147.2|DANA
OG0000027	LOC108079588|XP_017029422.1|DKIK	LOC6497407|XP_001962145.1|DANA
OG0000029	LOC108077932|XP_017026959.1|DKIK, LOC108076869|XP_017025387.1|DKIK, LOC108085551|XP_017037679.1|DKIK	LOC116655417|XP_032309201.1|DANA
OG0000029	LOC108076852|XP_017025371.1|DKIK, LOC108076861|XP_017025380.1|DKIK, LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK, LOC108071401|XP_017017633.1|DKIK	LOC26514560|XP_014767301.1|DANA, LOC6502609|XP_001955595.2|DANA
OG0000029	LOC108080624|XP_017030937.1|DKIK	LOC6506262|XP_014764698.1|DANA
OG0000030	LOC108075768|XP_017023819.1|DKIK	LOC6504294|XP_001965069.1|DANA
OG0000030	LOC108075896|XP_017024005.1|DKIK	LOC6502755|XP_001965071.1|DANA, LOC6502754|XP_001965074.2|DANA
OG0000030	LOC108075779|XP_017023830.1|DKIK	LOC6504293|XP_001965070.2|DANA, LOC6504292|XP_001965072.2|DANA, LOC6504291|XP_001965073.2|DANA
OG0000030	LOC108077325|XP_017026102.1|DKIK	LOC6496715|XP_001967320.2|DANA, LOC116655435|XP_032309226.1|DANA
OG0000030	LOC108076242|XP_017024479.1|DKIK	LOC6494711|XP_001959810.1|DANA
OG0000030	LOC108083344|XP_017034576.1|DKIK	LOC6504640|XP_001966489.1|DANA
OG0000030	LOC108079999|XP_017030054.1|DKIK	LOC6503160|XP_001963545.1|DANA
OG0000031	LOC108082121|XP_017032911.1|DKIK	LOC6493999|XP_001961166.1|DANA, LOC6496566|XP_001961169.2|DANA
OG0000031	LOC108075780|XP_017023827.1|DKIK, LOC108075783|XP_017023831.1|DKIK, LOC108075781|XP_017023828.1|DKIK, LOC108075782|XP_017023829.1|DKIK	LOC6502572|XP_001959893.2|DANA, LOC6502573|XP_001959894.2|DANA
OG0000031	LOC108077225|XP_017025972.1|DKIK	LOC6496944|XP_001963083.2|DANA
OG0000032	LOC108077824|XP_017026839.1|DKIK	LOC6499841|XP_001953793.1|DANA
OG0000032	LOC108077713|XP_017026652.1|DKIK, LOC108077714|XP_017026653.1|DKIK	LOC6500722|XP_032312297.1|DANA
OG0000032	LOC108077846|XP_017026865.1|DKIK	LOC6500728|XP_001953801.1|DANA
OG0000032	LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK	LOC6500726|XP_032305502.1|DANA
OG0000033	LOC108080716|XP_017031056.1|DKIK	LOC6494619|XP_001959999.1|DANA
OG0000033	LOC108080717|XP_017031057.1|DKIK	LOC6494622|XP_001959998.3|DANA
OG0000033	LOC108080718|XP_017031058.1|DKIK	LOC6495993|XP_001960000.1|DANA
OG0000033	LOC108076855|XP_017025374.1|DKIK	LOC6501373|XP_001955098.3|DANA
OG0000033	LOC108084006|XP_017035508.1|DKIK, LOC108074461|XP_017022015.1|DKIK	LOC6502622|XP_032305620.1|DANA, LOC116656581|XP_032312240.1|DANA
OG0000034	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK	LOC6498174|XP_001962232.1|DANA
OG0000034	LOC108076836|XP_017025354.1|DKIK	LOC6498176|XP_001962234.2|DANA, LOC6498175|XP_001962233.1|DANA
OG0000034	LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK	LOC6498177|XP_001962235.2|DANA, LOC26515374|XP_014762427.1|DANA, LOC6498178|XP_001962236.1|DANA
OG0000034	LOC108082752|XP_017033757.1|DKIK, LOC108082754|XP_017033758.1|DKIK	LOC6498552|XP_001963046.3|DANA
OG0000034	LOC108082755|XP_017033759.1|DKIK	LOC6498487|XP_032311321.1|DANA, LOC116656026|XP_032311054.1|DANA, LOC6497780|XP_001961435.2|DANA
OG0000035	LOC108072805|XP_017019589.1|DKIK, LOC108074192|XP_017021623.1|DKIK	LOC116656532|XP_032312057.1|DANA
OG0000036	LOC108084034|XP_017035539.1|DKIK	LOC6500465|XP_001953274.1|DANA
OG0000036	LOC108081215|XP_017031778.1|DKIK	LOC6505844|XP_001964473.1|DANA
OG0000036	LOC108080827|XP_017031220.1|DKIK	LOC6500980|XP_001954293.1|DANA
OG0000036	LOC108081087|XP_017031565.1|DKIK	LOC6499049|XP_001955412.1|DANA
OG0000037	LOC108082568|XP_017033513.1|DKIK	LOC6493979|XP_001961214.2|DANA
OG0000037	LOC108073148|XP_017020150.1|DKIK, LOC108073159|XP_017020158.1|DKIK	LOC6498848|XP_001955809.2|DANA
OG0000038	LOC108083255|XP_017034451.1|DKIK	LOC6506319|XP_001958116.1|DANA
OG0000038	LOC108083246|XP_017034442.1|DKIK	LOC6492929|XP_032310430.1|DANA
OG0000039	LOC108081169|XP_017031714.1|DKIK	LOC6501134|XP_001954615.2|DANA
OG0000039	LOC108071695|XP_017017998.1|DKIK	LOC6502398|XP_001967387.3|DANA
OG0000039	LOC108071709|XP_017018018.1|DKIK	LOC6504273|XP_001967388.1|DANA
OG0000039	LOC108071673|XP_017017967.1|DKIK	LOC6504271|XP_032308876.1|DANA
OG0000039	LOC108082955|XP_017034059.1|DKIK	LOC6503200|XP_032311880.1|DANA
OG0000040	LOC108070642|XP_017016699.1|DKIK	LOC6500947|XP_014766809.1|DANA
OG0000040	LOC108084882|XP_017036766.1|DKIK	LOC6501033|XP_001954424.1|DANA
OG0000040	LOC108084883|XP_017036767.1|DKIK	LOC6499533|XP_001954425.2|DANA
OG0000040	LOC108070735|XP_017016822.1|DKIK, LOC108070736|XP_017016823.1|DKIK	LOC6500946|XP_001954224.1|DANA
OG0000040	LOC108070710|XP_017016793.1|DKIK	LOC6500944|XP_001954222.1|DANA
OG0000040	LOC108084976|XP_017036887.1|DKIK	LOC6505623|XP_001964581.1|DANA
OG0000041	LOC108071273|XP_017017453.1|DKIK	LOC6500349|XP_001953018.1|DANA
OG0000041	LOC108071358|XP_017017589.1|DKIK	LOC6500350|XP_001953019.1|DANA, LOC6500351|XP_001953020.1|DANA
OG0000041	LOC108072005|XP_017018471.1|DKIK, LOC108072016|XP_017018485.1|DKIK	LOC6500352|XP_001953027.2|DANA
OG0000041	LOC108072162|XP_017018696.1|DKIK, LOC108071355|XP_017017584.1|DKIK	LOC26513865|XP_032307158.1|DANA
OG0000042	LOC108076653|XP_017025076.1|DKIK, LOC108076654|XP_017025077.1|DKIK, LOC108076655|XP_017025078.1|DKIK, LOC108076549|XP_017024949.1|DKIK	LOC6495008|XP_001959230.2|DANA
OG0000042	LOC108076658|XP_017025082.1|DKIK	LOC6495010|XP_001959228.2|DANA
OG0000042	LOC108076656|XP_017025079.1|DKIK	LOC6495011|XP_001959229.1|DANA
OG0000042	LOC108076657|XP_017025080.1|DKIK	LOC6495009|XP_001959227.2|DANA
OG0000043	LOC108081486|XP_017032174.1|DKIK	LOC6501040|XP_001954441.3|DANA
OG0000043	LOC108081508|XP_017032216.1|DKIK	LOC6499525|XP_001954440.1|DANA
OG0000043	LOC108081478|XP_017032164.1|DKIK, LOC108081500|XP_017032208.1|DKIK	LOC6499523|XP_032311279.1|DANA
OG0000043	LOC108081483|XP_017032171.1|DKIK, LOC108086038|XP_017038347.1|DKIK	LOC6501039|XP_001954437.1|DANA
OG0000043	LOC108081480|XP_017032168.1|DKIK	LOC6502673|XP_001954436.1|DANA
OG0000044	LOC108071988|XP_017018451.1|DKIK	LOC6500203|XP_032305729.1|DANA
OG0000044	LOC108072003|XP_017018467.1|DKIK, LOC108072022|XP_017018491.1|DKIK, LOC108072004|XP_017018470.1|DKIK	LOC6500197|XP_001953036.1|DANA
OG0000044	LOC108072010|XP_017018477.1|DKIK	LOC26515569|XP_014767439.1|DANA
OG0000044	LOC108072006|XP_017018472.1|DKIK	LOC6500202|XP_001953032.2|DANA
OG0000044	LOC108072020|XP_017018489.1|DKIK, LOC108072017|XP_017018486.1|DKIK	LOC6500199|XP_001953034.1|DANA, LOC6500198|XP_001953035.1|DANA
OG0000044	LOC108082753|XP_017033762.1|DKIK	LOC6499418|XP_001954679.1|DANA
OG0000045	LOC108073518|XP_017020682.1|DKIK	LOC6493486|XP_001957849.1|DANA
