Orthogroup	DKIK.longest_only	DSUB.longest_only
OG0000011	LOC108074353|XP_017021868.1|DKIK, LOC108084761|XP_017036565.1|DKIK, LOC108084804|XP_017036651.1|DKIK, LOC108083260|XP_017034457.1|DKIK, LOC108084805|XP_017036652.1|DKIK, LOC108084755|XP_017036555.1|DKIK, LOC108083234|XP_017034430.1|DKIK, LOC108078960|XP_017028605.1|DKIK, LOC108072111|XP_017018626.1|DKIK, LOC108079747|XP_017029651.1|DKIK, LOC108078767|XP_017028297.1|DKIK, LOC108079746|XP_017029649.1|DKIK, LOC108077100|XP_017025772.1|DKIK, LOC108077099|XP_017025771.1|DKIK, LOC108077098|XP_017025769.1|DKIK, LOC108086138|XP_017038482.1|DKIK, LOC108086130|XP_017038471.1|DKIK, LOC108086060|XP_017038366.1|DKIK, LOC108081434|XP_017032105.1|DKIK, LOC108086061|XP_017038367.1|DKIK, LOC108079969|XP_017030022.1|DKIK, LOC108078656|XP_017028076.1|DKIK, LOC108072836|XP_017019617.1|DKIK, LOC108081964|XP_017032688.1|DKIK, LOC108072833|XP_017019613.1|DKIK, LOC108074515|XP_017022082.1|DKIK	LOC117901349|XP_034667951.1|DSUB, LOC117900952|XP_034667416.1|DSUB, LOC117902493|XP_034669808.1|DSUB, LOC117902497|XP_034669813.1|DSUB, LOC117900244|XP_034666423.1|DSUB, LOC117902732|XP_034670197.1|DSUB, LOC117901918|XP_034668778.1|DSUB, LOC117902500|XP_034669817.1|DSUB, LOC117902495|XP_034669810.1|DSUB, LOC117902496|XP_034669811.1|DSUB, LOC117901786|XP_034668586.1|DSUB, LOC117900246|XP_034666433.1|DSUB
OG0000011	LOC108075323|XP_017023218.1|DKIK	LOC117894953|XP_034658172.1|DSUB
OG0000011	LOC108073175|XP_017020170.1|DKIK	LOC117897187|XP_034661778.1|DSUB
OG0000012	LOC108076784|XP_017025279.1|DKIK	LOC117892204|XP_034654190.1|DSUB
OG0000012	LOC108076783|XP_017025278.1|DKIK	LOC117892205|XP_034654193.1|DSUB
OG0000012	LOC108076799|XP_017025312.1|DKIK	LOC117892198|XP_034654182.1|DSUB
OG0000012	LOC108076590|XP_017024991.1|DKIK	LOC117892199|XP_034654185.1|DSUB
OG0000012	LOC108076575|XP_017024974.1|DKIK	LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB
OG0000012	LOC108076815|XP_017025335.1|DKIK, LOC108076574|XP_017024973.1|DKIK, LOC108076609|XP_017025012.1|DKIK	LOC117892200|XP_034654187.1|DSUB
OG0000012	LOC108082430|XP_017033289.1|DKIK	LOC117891062|XP_034652125.1|DSUB
OG0000012	LOC108082433|XP_017033293.1|DKIK	LOC117891063|XP_034652127.1|DSUB
OG0000012	LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK, LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK	LOC117891061|XP_034652124.1|DSUB
OG0000012	LOC108082347|XP_017033172.1|DKIK	LOC117891058|XP_034652122.1|DSUB
OG0000012	LOC108082319|XP_017033138.1|DKIK	LOC117891064|XP_034652128.1|DSUB
OG0000013	LOC108074734|XP_017022389.1|DKIK	LOC117890717|XP_034651649.1|DSUB
OG0000013	LOC108079326|XP_017029113.1|DKIK	LOC117896187|XP_034660170.1|DSUB
OG0000013	LOC108084190|XP_017035777.1|DKIK	LOC117896516|XP_034660775.1|DSUB
OG0000013	LOC108075225|XP_017023059.1|DKIK	LOC117895334|XP_034658799.1|DSUB
OG0000013	LOC108080801|XP_017031181.1|DKIK	LOC117898536|XP_034663901.1|DSUB
OG0000013	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB
OG0000013	LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB
OG0000015	LOC108073116|XP_017020100.1|DKIK	LOC117902318|XP_034669497.1|DSUB
OG0000016	LOC108074071|XP_017021434.1|DKIK	LOC117899529|XP_034665488.1|DSUB
OG0000016	LOC108078132|XP_017027246.1|DKIK	LOC117889984|XP_034650458.1|DSUB
OG0000016	LOC108085727|XP_017037944.1|DKIK	LOC117898309|XP_034663475.1|DSUB
OG0000016	LOC108084561|XP_017036305.1|DKIK	LOC117901257|XP_034667841.1|DSUB
OG0000016	LOC108084467|XP_017036167.1|DKIK	LOC117903845|XP_034672195.1|DSUB
OG0000016	LOC108071378|XP_017017603.1|DKIK	LOC117890476|XP_034651231.1|DSUB
OG0000016	LOC108081075|XP_017031544.1|DKIK	LOC117898432|XP_034663715.1|DSUB
OG0000016	LOC108075195|XP_017023019.1|DKIK	LOC117893424|XP_034655932.1|DSUB
OG0000017	LOC108083777|XP_017035189.1|DKIK	LOC117892719|XP_034655033.1|DSUB
OG0000017	LOC108076702|XP_017025149.1|DKIK	LOC117890423|XP_034651134.1|DSUB
OG0000017	LOC108074963|XP_017022684.1|DKIK	LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB
OG0000017	LOC108083626|XP_017034986.1|DKIK	LOC117899292|XP_034665095.1|DSUB, LOC117899291|XP_034665094.1|DSUB
OG0000017	LOC108076532|XP_017024932.1|DKIK	LOC117891086|XP_034652156.1|DSUB
OG0000017	LOC108070625|XP_017016677.1|DKIK	LOC117890435|XP_034651155.1|DSUB
OG0000017	LOC108076530|XP_017024931.1|DKIK	LOC117892462|XP_034654603.1|DSUB
OG0000017	LOC108074314|XP_017021803.1|DKIK, LOC108074298|XP_017021778.1|DKIK, LOC108074287|XP_017021766.1|DKIK	LOC117900183|XP_034666320.1|DSUB, LOC117900621|XP_034666940.1|DSUB
OG0000018	LOC108071595|XP_017017864.1|DKIK	LOC117895264|XP_034658678.1|DSUB
OG0000018	LOC108071574|XP_017017844.1|DKIK, LOC108071603|XP_017017873.1|DKIK, LOC108071591|XP_017017861.1|DKIK	LOC117895261|XP_034658673.1|DSUB
OG0000018	LOC108071573|XP_017017843.1|DKIK	LOC117895265|XP_034658679.1|DSUB
OG0000018	LOC108071585|XP_017017855.1|DKIK	LOC117895268|XP_034658682.1|DSUB
OG0000018	LOC108071596|XP_017017865.1|DKIK, LOC108071599|XP_017017870.1|DKIK	LOC117895272|XP_034658688.1|DSUB
OG0000019	LOC108084990|XP_017036905.1|DKIK	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB
OG0000019	LOC108084902|XP_017036785.1|DKIK	LOC117899339|XP_034665171.1|DSUB
OG0000019	LOC108084991|XP_017036906.1|DKIK	LOC117899361|XP_034665230.1|DSUB
OG0000019	LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK	LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB
OG0000020	LOC108075744|XP_017023787.1|DKIK	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB
OG0000020	LOC108082576|XP_017033522.1|DKIK	LOC117892172|XP_034654141.1|DSUB
OG0000020	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK, LOC108074835|XP_017022525.1|DKIK	LOC117902343|XP_034669534.1|DSUB
OG0000020	LOC108077930|XP_017026994.1|DKIK	LOC117898500|XP_034663833.1|DSUB
OG0000020	LOC108072156|XP_017018689.1|DKIK	LOC117898411|XP_034663671.1|DSUB
OG0000020	LOC108074862|XP_017022564.1|DKIK	LOC117901489|XP_034668148.1|DSUB
OG0000020	LOC108074823|XP_017022510.1|DKIK	LOC117901231|XP_034667794.1|DSUB
OG0000021	LOC108072937|XP_017019783.1|DKIK	LOC117892039|XP_034653854.1|DSUB
OG0000021	LOC108072344|XP_017018923.1|DKIK	LOC117891478|XP_034652849.1|DSUB
OG0000021	LOC108085116|XP_017037095.1|DKIK	LOC117891531|XP_034652923.1|DSUB
OG0000021	LOC108072267|XP_017018826.1|DKIK	LOC117892040|XP_034653856.1|DSUB
OG0000021	LOC108083858|XP_017035332.1|DKIK	LOC117903672|XP_034671893.1|DSUB
OG0000021	LOC108073195|XP_017020199.1|DKIK	LOC117896843|XP_034661258.1|DSUB
OG0000021	LOC108077813|XP_017026825.1|DKIK	LOC117898591|XP_034664027.1|DSUB
OG0000022	LOC108082382|XP_017033212.1|DKIK	LOC117892309|XP_034654347.1|DSUB
OG0000022	LOC108071489|XP_017017741.1|DKIK	LOC117892920|XP_034655126.1|DSUB
OG0000022	LOC108071512|XP_017017766.1|DKIK, LOC108071514|XP_017017768.1|DKIK, LOC108071515|XP_017017770.1|DKIK, LOC108071513|XP_017017767.1|DKIK, LOC108071477|XP_017017725.1|DKIK, LOC108071510|XP_017017765.1|DKIK	LOC117892922|XP_034655128.1|DSUB, LOC117892927|XP_034655134.1|DSUB, LOC117892926|XP_034655132.1|DSUB, LOC117892918|XP_034655124.1|DSUB, LOC117892925|XP_034655130.1|DSUB
OG0000022	LOC108071509|XP_017017764.1|DKIK	LOC117892921|XP_034655127.1|DSUB
OG0000023	LOC108084054|XP_017035562.1|DKIK	LOC117896151|XP_034660118.1|DSUB
OG0000023	LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK	LOC117896150|XP_034660117.1|DSUB
OG0000023	LOC108078099|XP_017027186.1|DKIK	LOC117891805|XP_034653377.1|DSUB
OG0000023	LOC108083995|XP_017035498.1|DKIK, LOC108083992|XP_017035495.1|DKIK	LOC117896149|XP_034660116.1|DSUB
OG0000023	LOC108084051|XP_017035559.1|DKIK	LOC117898724|XP_034664233.1|DSUB
OG0000023	LOC108084214|XP_017035825.1|DKIK	LOC117898725|XP_034664234.1|DSUB
OG0000024	LOC108078326|XP_017027614.1|DKIK	LOC117889932|XP_034650354.1|DSUB
OG0000024	LOC108078191|XP_017027348.1|DKIK	LOC117889933|XP_034650355.1|DSUB
OG0000024	LOC108078192|XP_017027349.1|DKIK	LOC117889934|XP_034650356.1|DSUB
OG0000024	LOC108072495|XP_017019150.1|DKIK	LOC117901020|XP_034667512.1|DSUB
OG0000024	LOC108078211|XP_017027385.1|DKIK	LOC117889812|XP_034650181.1|DSUB
OG0000024	LOC108070821|XP_017016922.1|DKIK	LOC117891118|XP_034652213.1|DSUB
OG0000025	LOC108086239|XP_017038600.1|DKIK	LOC117890855|XP_034651836.1|DSUB
OG0000026	LOC108074121|XP_017021510.1|DKIK	LOC117889599|XP_034649905.1|DSUB
OG0000026	LOC108072841|XP_017019625.1|DKIK	LOC117901731|XP_034668504.1|DSUB
OG0000026	LOC108079334|XP_017029126.1|DKIK	LOC117903905|XP_034672302.1|DSUB
OG0000026	LOC108070686|XP_017016752.1|DKIK	LOC117899765|XP_034665914.1|DSUB, LOC117899768|XP_034665918.1|DSUB, LOC117899766|XP_034665915.1|DSUB, LOC117899767|XP_034665916.1|DSUB
OG0000026	LOC108075406|XP_017023320.1|DKIK	LOC117899507|XP_034665449.1|DSUB
OG0000027	LOC108079592|XP_017029427.1|DKIK	LOC117902555|XP_034669887.1|DSUB
OG0000027	LOC108079587|XP_017029421.1|DKIK	LOC117902556|XP_034669889.1|DSUB
OG0000027	LOC108079588|XP_017029422.1|DKIK	LOC117902554|XP_034669886.1|DSUB
OG0000029	LOC108077932|XP_017026959.1|DKIK, LOC108076869|XP_017025387.1|DKIK, LOC108085551|XP_017037679.1|DKIK	LOC117890176|XP_034650765.1|DSUB
OG0000029	LOC108076852|XP_017025371.1|DKIK, LOC108076861|XP_017025380.1|DKIK, LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK, LOC108071401|XP_017017633.1|DKIK	LOC117898949|XP_034664564.1|DSUB
OG0000029	LOC108080624|XP_017030937.1|DKIK	LOC117893783|XP_034656418.1|DSUB
OG0000030	LOC108075768|XP_017023819.1|DKIK	LOC117901334|XP_034667933.1|DSUB
OG0000030	LOC108075896|XP_017024005.1|DKIK	LOC117901337|XP_034667938.1|DSUB
OG0000030	LOC108075779|XP_017023830.1|DKIK	LOC117901339|XP_034667940.1|DSUB, LOC117901335|XP_034667935.1|DSUB
OG0000030	LOC108077325|XP_017026102.1|DKIK	LOC117901974|XP_034668869.1|DSUB
OG0000030	LOC108076161|XP_017024376.1|DKIK, LOC108076242|XP_017024479.1|DKIK	LOC117890851|XP_034651829.1|DSUB, LOC117891095|XP_034652169.1|DSUB, LOC117890674|XP_034651546.1|DSUB
OG0000030	LOC108083344|XP_017034576.1|DKIK	LOC117903801|XP_034672130.1|DSUB
OG0000030	LOC108079999|XP_017030054.1|DKIK	LOC117903197|XP_034670973.1|DSUB
OG0000031	LOC108077225|XP_017025972.1|DKIK	LOC117900916|XP_034667369.1|DSUB
OG0000032	LOC108077824|XP_017026839.1|DKIK	LOC117898600|XP_034664039.1|DSUB
OG0000032	LOC108077790|XP_017026779.1|DKIK	LOC117898601|XP_034664041.1|DSUB
OG0000032	LOC108077711|XP_017026651.1|DKIK	LOC117898606|XP_034664047.1|DSUB
OG0000032	LOC108077713|XP_017026652.1|DKIK, LOC108077714|XP_017026653.1|DKIK	LOC117898607|XP_034664048.1|DSUB
OG0000032	LOC108077612|XP_017026507.1|DKIK	LOC117898595|XP_034664033.1|DSUB
OG0000032	LOC108077846|XP_017026865.1|DKIK	LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB
OG0000032	LOC108074977|XP_017022699.1|DKIK, LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK, LOC108077628|XP_017026527.1|DKIK	LOC117898597|XP_034664035.1|DSUB
OG0000033	LOC108080886|XP_017031277.1|DKIK, LOC108080887|XP_017031279.1|DKIK, LOC108081203|XP_017031760.1|DKIK	LOC117899465|XP_034665372.1|DSUB
OG0000033	LOC108080716|XP_017031056.1|DKIK	LOC117891426|XP_034652788.1|DSUB
OG0000033	LOC108080718|XP_017031058.1|DKIK	LOC117891425|XP_034652787.1|DSUB
OG0000033	LOC108084001|XP_017035503.1|DKIK, LOC108076855|XP_017025374.1|DKIK, LOC108076138|XP_017024355.1|DKIK, LOC108076137|XP_017024354.1|DKIK, LOC108076136|XP_017024353.1|DKIK, LOC108084006|XP_017035508.1|DKIK, LOC108074461|XP_017022015.1|DKIK	LOC117897820|XP_034662764.1|DSUB
OG0000034	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK	LOC117902583|XP_034669972.1|DSUB
OG0000034	LOC108076836|XP_017025354.1|DKIK	LOC117902581|XP_034669969.1|DSUB
OG0000034	LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK	LOC117902582|XP_034669970.1|DSUB
OG0000034	LOC108082752|XP_017033757.1|DKIK, LOC108082754|XP_017033758.1|DKIK	LOC117902354|XP_034669556.1|DSUB, LOC117902355|XP_034669558.1|DSUB
OG0000034	LOC108082755|XP_017033759.1|DKIK	LOC117902353|XP_034669555.1|DSUB
OG0000036	LOC108084034|XP_017035539.1|DKIK	LOC117898005|XP_034663024.1|DSUB
OG0000036	LOC108081215|XP_017031778.1|DKIK	LOC117896918|XP_034661349.1|DSUB
OG0000036	LOC108080827|XP_017031220.1|DKIK	LOC117897457|XP_034662194.1|DSUB
OG0000036	LOC108081087|XP_017031565.1|DKIK	LOC117899046|XP_034664697.1|DSUB
OG0000037	LOC108082568|XP_017033513.1|DKIK	LOC117890311|XP_034650989.1|DSUB
OG0000037	LOC108073148|XP_017020150.1|DKIK, LOC108073159|XP_017020158.1|DKIK	LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB
OG0000038	LOC108083255|XP_017034451.1|DKIK	LOC117894264|XP_034657109.1|DSUB
OG0000038	LOC108083246|XP_017034442.1|DKIK	LOC117893334|XP_034655815.1|DSUB
OG0000039	LOC108081169|XP_017031714.1|DKIK	LOC117897419|XP_034662142.1|DSUB
OG0000039	LOC108071695|XP_017017998.1|DKIK	LOC117903895|XP_034672289.1|DSUB
OG0000039	LOC108071709|XP_017018018.1|DKIK	LOC117903896|XP_034672290.1|DSUB
OG0000039	LOC108071673|XP_017017967.1|DKIK	LOC117903894|XP_034672287.1|DSUB
OG0000039	LOC108082955|XP_017034059.1|DKIK	LOC117892341|XP_034654394.1|DSUB
OG0000040	LOC108070642|XP_017016699.1|DKIK	LOC117897706|XP_034662619.1|DSUB
OG0000040	LOC108084882|XP_017036766.1|DKIK	LOC117899276|XP_034665068.1|DSUB, LOC117897606|XP_034662454.1|DSUB
OG0000040	LOC108084883|XP_017036767.1|DKIK	LOC117899278|XP_034665074.1|DSUB
OG0000040	LOC108070735|XP_017016822.1|DKIK, LOC108070736|XP_017016823.1|DKIK	LOC117896008|XP_034659896.1|DSUB
OG0000040	LOC108070662|XP_017016722.1|DKIK	LOC117899589|XP_034665598.1|DSUB
OG0000040	LOC108070710|XP_017016793.1|DKIK	LOC117899588|XP_034665597.1|DSUB
OG0000040	LOC108084976|XP_017036887.1|DKIK	LOC117899356|XP_034665219.1|DSUB
OG0000041	LOC108071265|XP_017017445.1|DKIK, LOC108071273|XP_017017453.1|DKIK, LOC108071358|XP_017017589.1|DKIK	LOC117898984|XP_034664617.1|DSUB, LOC117898987|XP_034664620.1|DSUB, LOC117898990|XP_034664622.1|DSUB
OG0000041	LOC108072005|XP_017018471.1|DKIK, LOC108072016|XP_017018485.1|DKIK	LOC117898988|XP_034664621.1|DSUB, LOC117898986|XP_034664619.1|DSUB
OG0000042	LOC108076653|XP_017025076.1|DKIK, LOC108076654|XP_017025077.1|DKIK, LOC108076655|XP_017025078.1|DKIK, LOC108076549|XP_017024949.1|DKIK	LOC117891862|XP_034653515.1|DSUB
OG0000042	LOC108076658|XP_017025082.1|DKIK	LOC117891861|XP_034653514.1|DSUB
OG0000042	LOC108076656|XP_017025079.1|DKIK, LOC108076652|XP_017025074.1|DKIK, LOC108076661|XP_017025084.1|DKIK, LOC108076660|XP_017025083.1|DKIK	LOC117891863|XP_034653516.1|DSUB, LOC117901781|XP_034668580.1|DSUB
OG0000042	LOC108076657|XP_017025080.1|DKIK	LOC117891864|XP_034653517.1|DSUB
OG0000043	LOC108081486|XP_017032174.1|DKIK	LOC117898000|XP_034663019.1|DSUB
OG0000043	LOC108081508|XP_017032216.1|DKIK	LOC117897983|XP_034662986.1|DSUB, LOC117897815|XP_034662757.1|DSUB
OG0000043	LOC108081485|XP_017032173.1|DKIK	LOC117898866|XP_034664435.1|DSUB
OG0000043	LOC108081478|XP_017032164.1|DKIK, LOC108081500|XP_017032208.1|DKIK	LOC117897840|XP_034662797.1|DSUB, LOC117897841|XP_034662798.1|DSUB
OG0000043	LOC108081483|XP_017032171.1|DKIK, LOC108086038|XP_017038347.1|DKIK	LOC117898867|XP_034664437.1|DSUB
OG0000043	LOC108081480|XP_017032168.1|DKIK	LOC117897193|XP_034661785.1|DSUB
OG0000044	LOC108071988|XP_017018451.1|DKIK	LOC117898991|XP_034664623.1|DSUB
OG0000044	LOC108072003|XP_017018467.1|DKIK, LOC108072022|XP_017018491.1|DKIK, LOC108072004|XP_017018470.1|DKIK, LOC108072010|XP_017018477.1|DKIK	LOC117895983|XP_034659856.1|DSUB
OG0000044	LOC108072006|XP_017018472.1|DKIK, LOC108072020|XP_017018489.1|DKIK, LOC108072017|XP_017018486.1|DKIK	LOC117897592|XP_034662438.1|DSUB, LOC117897591|XP_034662436.1|DSUB, LOC117897590|XP_034662434.1|DSUB, LOC117897593|XP_034662439.1|DSUB
OG0000044	LOC108082753|XP_017033762.1|DKIK	LOC117898153|XP_034663242.1|DSUB
