Orthogroup	BCOP.longest_only	DBIA.longest_only
OG0000008	LOC119067198|XP_037025928.1|BCOP	LOC108034858|XP_016965498.1|DBIA
OG0000008	LOC119077089|XP_037040143.1|BCOP	LOC108033465|XP_016963291.1|DBIA
OG0000008	LOC119067264|XP_037026041.1|BCOP	LOC108034860|XP_016965500.1|DBIA
OG0000009	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP	LOC108031158|XP_016959863.1|DBIA, LOC108032245|XP_016961597.1|DBIA, LOC108031027|XP_016959717.1|DBIA, LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA, LOC108028108|XP_016955244.1|DBIA, LOC108022184|XP_016946525.1|DBIA, LOC108032134|XP_016961458.1|DBIA, LOC108023117|XP_016947872.1|DBIA, LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA, LOC108022200|XP_016946542.1|DBIA
OG0000010	LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP	LOC108024778|XP_016950383.1|DBIA
OG0000012	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP	LOC108026825|XP_016953482.1|DBIA, LOC108026824|XP_016953480.1|DBIA, LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA, LOC108026906|XP_016953604.1|DBIA, LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA, LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA, LOC108022093|XP_016946425.1|DBIA, LOC108022195|XP_016946536.1|DBIA, LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA, LOC108022979|XP_016947693.1|DBIA, LOC108022976|XP_016947689.1|DBIA
OG0000013	LOC119078237|XP_037041593.1|BCOP	LOC108036445|XP_016968074.1|DBIA
OG0000013	LOC119071389|XP_037032165.1|BCOP	LOC108030851|XP_016959521.1|DBIA
OG0000013	LOC119072742|XP_037033921.1|BCOP	LOC108031414|XP_016960303.1|DBIA
OG0000013	LOC119068977|XP_037028742.1|BCOP	LOC108024443|XP_016949852.1|DBIA
OG0000013	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP	LOC108026153|XP_016952377.1|DBIA, LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA
OG0000014	LOC119066014|XP_037024126.1|BCOP	LOC108021915|XP_016946228.1|DBIA, LOC108031505|XP_016960503.1|DBIA, LOC108027391|XP_016954320.1|DBIA
OG0000014	LOC119082957|XP_037048500.1|BCOP	LOC108022036|XP_016946371.1|DBIA
OG0000016	LOC119069122|XP_037028916.1|BCOP	LOC108031488|XP_016960465.1|DBIA, LOC108022510|XP_016946968.1|DBIA
OG0000016	LOC119071771|XP_037032720.1|BCOP	LOC108032049|XP_016961350.1|DBIA
OG0000016	LOC119070068|XP_037030257.1|BCOP	LOC108031387|XP_016960277.1|DBIA
OG0000016	LOC119072263|XP_037033347.1|BCOP	LOC108030823|XP_016959429.1|DBIA
OG0000018	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP	LOC108028400|XP_016955704.1|DBIA
OG0000018	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP	LOC108028081|XP_016955212.1|DBIA, LOC108028402|XP_016955706.1|DBIA, LOC108028162|XP_016955311.1|DBIA, LOC108028083|XP_016955214.1|DBIA, LOC108028405|XP_016955709.1|DBIA, LOC108028408|XP_016955713.1|DBIA, LOC108028407|XP_016955711.1|DBIA, LOC108028404|XP_016955708.1|DBIA, LOC108028411|XP_016955717.1|DBIA, LOC108028409|XP_016955715.1|DBIA, LOC108028410|XP_016955716.1|DBIA
OG0000019	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP, LOC119082044|XP_037047265.1|BCOP	LOC108025227|XP_016951062.1|DBIA, LOC108025229|XP_016951064.1|DBIA, LOC108025230|XP_016951066.1|DBIA, LOC108025224|XP_016951060.1|DBIA, LOC108025228|XP_016951063.1|DBIA, LOC108025225|XP_016951061.1|DBIA, LOC108025231|XP_016951067.1|DBIA
OG0000020	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP	LOC108026305|XP_016952678.1|DBIA, LOC108026784|XP_016953432.1|DBIA
OG0000020	LOC119077634|XP_037040747.1|BCOP	LOC108033312|XP_016963077.1|DBIA, LOC108032062|XP_016961369.1|DBIA, LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA, LOC108036110|XP_016967573.1|DBIA, LOC108031537|XP_016960562.1|DBIA, LOC108024628|XP_016950157.1|DBIA, LOC108034268|XP_016964616.1|DBIA, LOC108033875|XP_016964007.1|DBIA
OG0000021	LOC119076102|XP_037038654.1|BCOP	LOC108025789|XP_016951907.1|DBIA
OG0000021	LOC119074653|XP_037036827.1|BCOP	LOC108026319|XP_016952697.1|DBIA
OG0000023	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP	LOC108027148|XP_016953858.1|DBIA, LOC108027146|XP_016953855.1|DBIA, LOC108027143|XP_016953853.1|DBIA, LOC108026627|XP_016953132.1|DBIA, LOC108027145|XP_016953854.1|DBIA, LOC108027009|XP_016953696.1|DBIA, LOC108027245|XP_016954086.1|DBIA, LOC108027357|XP_016954268.1|DBIA, LOC108027244|XP_016954083.1|DBIA
OG0000024	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP	LOC108022668|XP_016947226.1|DBIA, LOC108023057|XP_016947794.1|DBIA, LOC108022950|XP_016947655.1|DBIA, LOC108022666|XP_016947224.1|DBIA, LOC108022667|XP_016947225.1|DBIA, LOC108034270|XP_016964618.1|DBIA, LOC108022158|XP_016946489.1|DBIA, LOC108029512|XP_016957298.1|DBIA
OG0000025	LOC119074493|XP_037036540.1|BCOP	LOC108029143|XP_016956757.1|DBIA, LOC108023228|XP_016947991.1|DBIA
OG0000026	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP, LOC119084799|XP_037050765.1|BCOP	LOC108036455|XP_016968112.1|DBIA, LOC108027284|XP_016954161.1|DBIA, LOC108027046|XP_016953736.1|DBIA
OG0000027	LOC119077158|XP_037040243.1|BCOP	LOC108033303|XP_016963062.1|DBIA
OG0000028	LOC119080979|XP_037045519.1|BCOP	LOC108031851|XP_016961097.1|DBIA, LOC108031869|XP_016961120.1|DBIA, LOC108035884|XP_016967128.1|DBIA, LOC108031862|XP_016961109.1|DBIA, LOC108035881|XP_016967123.1|DBIA, LOC108035882|XP_016967124.1|DBIA, LOC108035021|XP_016965853.1|DBIA
OG0000029	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP	LOC108036183|XP_016967662.1|DBIA, LOC108029337|XP_016957019.1|DBIA, LOC108036041|XP_016967472.1|DBIA, LOC108031286|XP_016960018.1|DBIA, LOC108028180|XP_016955330.1|DBIA
OG0000030	LOC119070696|XP_037031044.1|BCOP	LOC108033534|XP_016963368.1|DBIA, LOC108033540|XP_016963373.1|DBIA, LOC108036692|XP_016968470.1|DBIA, LOC108022382|XP_016946753.1|DBIA, LOC108023610|XP_016948706.1|DBIA, LOC108024286|XP_016949674.1|DBIA
OG0000031	LOC119082337|XP_037047744.1|BCOP, LOC119073860|XP_037035620.1|BCOP, LOC119083184|XP_037048737.1|BCOP	LOC108032680|XP_016962144.1|DBIA, LOC108032585|XP_016961981.1|DBIA, LOC108033238|XP_016962991.1|DBIA, LOC108033489|XP_016963320.1|DBIA, LOC108034388|XP_016964759.1|DBIA, LOC108027702|XP_016954741.1|DBIA, LOC108032586|XP_016961983.1|DBIA
OG0000032	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP	LOC108027359|XP_016954271.1|DBIA, LOC108027164|XP_016953916.1|DBIA, LOC108027269|XP_016954133.1|DBIA, LOC108027231|XP_016954053.1|DBIA, LOC108027230|XP_016954052.1|DBIA, LOC108027165|XP_016953917.1|DBIA, LOC108027028|XP_016953713.1|DBIA, LOC108027228|XP_016954051.1|DBIA, LOC108027267|XP_016954131.1|DBIA, LOC108027001|XP_016953689.1|DBIA, LOC108027268|XP_016954132.1|DBIA
OG0000033	LOC119070917|XP_037031350.1|BCOP	LOC108024481|XP_016949890.1|DBIA, LOC108024462|XP_016949869.1|DBIA, LOC108024301|XP_016949691.1|DBIA, LOC108035889|XP_016967133.1|DBIA, LOC108033536|XP_016963370.1|DBIA, LOC108033501|XP_016963332.1|DBIA, LOC108030100|XP_016958275.1|DBIA, LOC108030101|XP_016958276.1|DBIA, LOC108030098|XP_016958274.1|DBIA, LOC108028439|XP_016955758.1|DBIA, LOC108027435|XP_016954372.1|DBIA, LOC108036209|XP_016967690.1|DBIA, LOC108036211|XP_016967691.1|DBIA, LOC108036212|XP_016967692.1|DBIA
OG0000034	LOC119081013|XP_037045591.1|BCOP, LOC119070626|XP_037030946.1|BCOP, LOC119072973|XP_037034184.1|BCOP, LOC119072974|XP_037034185.1|BCOP, LOC119071410|XP_037032183.1|BCOP, LOC119070946|XP_037031394.1|BCOP, LOC119070948|XP_037031395.1|BCOP, LOC119070950|XP_037031397.1|BCOP, LOC119070428|XP_037030664.1|BCOP, LOC119077740|XP_037040914.1|BCOP, LOC119083666|XP_037049346.1|BCOP, LOC119066782|XP_037025340.1|BCOP	LOC108033817|XP_016963934.1|DBIA, LOC108036384|XP_016967978.1|DBIA, LOC108035246|XP_016966273.1|DBIA, LOC108035237|XP_016966261.1|DBIA, LOC108034999|XP_016965831.1|DBIA, LOC108033284|XP_016963038.1|DBIA, LOC108023439|XP_016948422.1|DBIA, LOC108023578|XP_016948665.1|DBIA, LOC108023415|XP_016948374.1|DBIA, LOC108036755|XP_016968570.1|DBIA
OG0000036	LOC119068370|XP_037027834.1|BCOP	LOC108027411|XP_016954339.1|DBIA
OG0000036	LOC119070319|XP_037030483.1|BCOP	LOC108026449|XP_016952877.1|DBIA
OG0000037	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP	LOC108029865|XP_016957843.1|DBIA, LOC108032009|XP_016961298.1|DBIA, LOC108030957|XP_016959646.1|DBIA, LOC108032010|XP_016961299.1|DBIA
OG0000038	LOC119080641|XP_037044950.1|BCOP	LOC108030746|XP_016959281.1|DBIA
OG0000038	LOC119077484|XP_037040593.1|BCOP	LOC108030931|XP_016959614.1|DBIA
OG0000039	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP	LOC108027177|XP_016953954.1|DBIA
OG0000039	LOC119077423|XP_037040532.1|BCOP, LOC119083711|XP_037049395.1|BCOP	LOC108025590|XP_016951608.1|DBIA
OG0000041	LOC119070988|XP_037031473.1|BCOP	LOC108026015|XP_016952195.1|DBIA, LOC108026081|XP_016952269.1|DBIA, LOC108026380|XP_016952789.1|DBIA, LOC108026109|XP_016952297.1|DBIA, LOC108026021|XP_016952202.1|DBIA, LOC108026443|XP_016952869.1|DBIA, LOC108026441|XP_016952867.1|DBIA
OG0000042	LOC119068087|XP_037027400.1|BCOP	LOC108029979|XP_016957976.1|DBIA, LOC108029981|XP_016957978.1|DBIA, LOC108029869|XP_016957848.1|DBIA, LOC108029870|XP_016957849.1|DBIA, LOC108029978|XP_016957975.1|DBIA, LOC108029980|XP_016957977.1|DBIA, LOC108029982|XP_016957980.1|DBIA
OG0000043	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP, LOC119077492|XP_037040609.1|BCOP, LOC119068375|XP_037027839.1|BCOP, LOC119075787|XP_037038245.1|BCOP, LOC119084856|XP_037050885.1|BCOP	LOC108024814|XP_016950428.1|DBIA, LOC108024406|XP_016949807.1|DBIA, LOC108024792|XP_016950400.1|DBIA, LOC108026909|XP_016953607.1|DBIA, LOC108024319|XP_016949710.1|DBIA, LOC108024782|XP_016950387.1|DBIA, LOC108025302|XP_016951186.1|DBIA, LOC108024783|XP_016950388.1|DBIA
OG0000044	LOC119081961|XP_037047159.1|BCOP, LOC119070043|XP_037030222.1|BCOP	LOC108026455|XP_016952884.1|DBIA, LOC108026365|XP_016952771.1|DBIA, LOC108026364|XP_016952769.1|DBIA, LOC108026002|XP_016952181.1|DBIA, LOC108025998|XP_016952177.1|DBIA, LOC108026469|XP_016952901.1|DBIA, LOC108025049|XP_016950795.1|DBIA
OG0000047	LOC119076406|XP_037039030.1|BCOP, LOC119076447|XP_037039111.1|BCOP	LOC108036240|XP_016967738.1|DBIA, LOC108036255|XP_016967753.1|DBIA, LOC108029392|XP_016957110.1|DBIA, LOC108035707|XP_016966919.1|DBIA, LOC108029377|XP_016957093.1|DBIA, LOC108034788|XP_016965261.1|DBIA
OG0000049	LOC119075345|XP_037037670.1|BCOP, LOC119085689|XP_037052030.1|BCOP, LOC119071948|XP_037032968.1|BCOP, LOC119082085|XP_037047341.1|BCOP, LOC119078213|XP_037041568.1|BCOP	LOC108024404|XP_016949805.1|DBIA, LOC108024363|XP_016949755.1|DBIA, LOC108024349|XP_016949740.1|DBIA, LOC108024839|XP_016950464.1|DBIA, LOC108024840|XP_016950465.1|DBIA, LOC108024876|XP_016950510.1|DBIA
OG0000051	LOC119075282|XP_037037564.1|BCOP, LOC119084550|XP_037050461.1|BCOP, LOC119084548|XP_037050456.1|BCOP, LOC119077746|XP_037040925.1|BCOP, LOC119068575|XP_037028116.1|BCOP, LOC119080254|XP_037044399.1|BCOP, LOC119070436|XP_037030675.1|BCOP, LOC119068715|XP_037028299.1|BCOP, LOC119072641|XP_037033787.1|BCOP, LOC119073031|XP_037034245.1|BCOP	LOC108031259|XP_016959986.1|DBIA, LOC108031167|XP_016959876.1|DBIA, LOC108031055|XP_016959745.1|DBIA, LOC108031066|XP_016959760.1|DBIA
OG0000052	LOC119073702|XP_037035202.1|BCOP	LOC108031139|XP_016959843.1|DBIA, LOC108024786|XP_016950390.1|DBIA, LOC108031304|XP_016960037.1|DBIA, LOC108031177|XP_016959886.1|DBIA, LOC108031170|XP_016959879.1|DBIA, LOC108029994|XP_016957997.1|DBIA, LOC108029937|XP_016957921.1|DBIA
OG0000053	LOC119072494|XP_037033629.1|BCOP	LOC108029369|XP_016957086.1|DBIA, LOC108029362|XP_016957079.1|DBIA, LOC108029361|XP_016957078.1|DBIA
OG0000053	LOC119083998|XP_037049705.1|BCOP	LOC108029370|XP_016957087.1|DBIA
OG0000054	LOC119078880|XP_037042497.1|BCOP, LOC119074993|XP_037037290.1|BCOP, LOC119073438|XP_037034817.1|BCOP, LOC119073440|XP_037034823.1|BCOP, LOC119081720|XP_037046756.1|BCOP, LOC119083861|XP_037049555.1|BCOP, LOC119079462|XP_037043284.1|BCOP, LOC119073442|XP_037034826.1|BCOP, LOC119066738|XP_037025254.1|BCOP	LOC108026311|XP_016952687.1|DBIA, LOC108026084|XP_016952272.1|DBIA, LOC108026092|XP_016952281.1|DBIA, LOC108026028|XP_016952208.1|DBIA, LOC108026363|XP_016952768.1|DBIA
OG0000056	LOC119075842|XP_037038285.1|BCOP, LOC119069079|XP_037028851.1|BCOP, LOC119070819|XP_037031210.1|BCOP, LOC119077330|XP_037040408.1|BCOP, LOC119083576|XP_037049217.1|BCOP, LOC119072255|XP_037033333.1|BCOP, LOC119080728|XP_037045140.1|BCOP, LOC119073796|XP_037035427.1|BCOP, LOC119076770|XP_037039620.1|BCOP, LOC119078571|XP_037042041.1|BCOP, LOC119080735|XP_037045174.1|BCOP, LOC119084316|XP_037050135.1|BCOP	LOC108031456|XP_016960380.1|DBIA, LOC108031453|XP_016960377.1|DBIA, LOC108031455|XP_016960379.1|DBIA, LOC108031454|XP_016960378.1|DBIA, LOC108031452|XP_016960376.1|DBIA, LOC108031088|XP_016959782.1|DBIA, LOC108031982|XP_016961266.1|DBIA
OG0000058	LOC119080858|XP_037045328.1|BCOP	LOC108036205|XP_016967686.1|DBIA, LOC108032411|XP_016961720.1|DBIA, LOC108032495|XP_016961804.1|DBIA, LOC108036206|XP_016967687.1|DBIA, LOC108033435|XP_016963248.1|DBIA, LOC108029081|XP_016956700.1|DBIA
OG0000060	LOC119068417|XP_037027881.1|BCOP	LOC108031902|XP_016961196.1|DBIA
OG0000060	LOC119069761|XP_037029789.1|BCOP	LOC108025323|XP_016951236.1|DBIA
OG0000067	LOC119084735|XP_037050703.1|BCOP, LOC119072217|XP_037033292.1|BCOP, LOC119085607|XP_037051925.1|BCOP	LOC108027215|XP_016954031.1|DBIA, LOC108028025|XP_016955150.1|DBIA
OG0000067	LOC119085608|XP_037051927.1|BCOP	LOC108036631|XP_016968394.1|DBIA, LOC108028052|XP_016955180.1|DBIA
OG0000067	LOC119076438|XP_037039101.1|BCOP	LOC108028075|XP_016955204.1|DBIA
OG0000068	LOC119084165|XP_037049915.1|BCOP, LOC119072059|XP_037033087.1|BCOP, LOC119067027|XP_037025654.1|BCOP, LOC119070188|XP_037030388.1|BCOP, LOC119079055|XP_037042758.1|BCOP, LOC119072981|XP_037034196.1|BCOP	LOC108027959|XP_016955073.1|DBIA, LOC108031521|XP_016960528.1|DBIA, LOC108034448|XP_016964821.1|DBIA, LOC108029590|XP_016957445.1|DBIA, LOC108036196|XP_016967676.1|DBIA, LOC108027565|XP_016954535.1|DBIA
OG0000070	LOC119071237|XP_037031965.1|BCOP	LOC108032380|XP_016961690.1|DBIA, LOC108034332|XP_016964700.1|DBIA, LOC108028712|XP_016956151.1|DBIA, LOC108033786|XP_016963881.1|DBIA, LOC108023296|XP_016948086.1|DBIA
OG0000071	LOC119077499|XP_037040619.1|BCOP, LOC119080663|XP_037044988.1|BCOP, LOC119072693|XP_037033860.1|BCOP, LOC119072013|XP_037033026.1|BCOP, LOC119071783|XP_037032737.1|BCOP, LOC119082689|XP_037048157.1|BCOP, LOC119071788|XP_037032744.1|BCOP, LOC119066595|XP_037025045.1|BCOP, LOC119082472|XP_037047886.1|BCOP, LOC119079098|XP_037042811.1|BCOP	LOC108034500|XP_016964894.1|DBIA, LOC108034394|XP_016964765.1|DBIA
OG0000073	LOC119072039|XP_037033052.1|BCOP	LOC108022685|XP_016947244.1|DBIA
OG0000073	LOC119067527|XP_037026453.1|BCOP	LOC108023361|XP_016948233.1|DBIA
OG0000073	LOC119069220|XP_037029092.1|BCOP	LOC108027157|XP_016953875.1|DBIA
OG0000074	LOC119079099|XP_037042812.1|BCOP, LOC119067307|XP_037026110.1|BCOP, LOC119080892|XP_037045367.1|BCOP	LOC108028307|XP_016955519.1|DBIA, LOC108028433|XP_016955751.1|DBIA
OG0000075	LOC119080898|XP_037045374.1|BCOP, LOC119080899|XP_037045375.1|BCOP, LOC119080897|XP_037045372.1|BCOP	LOC108030338|XP_016958695.1|DBIA, LOC108031173|XP_016959885.1|DBIA, LOC108031227|XP_016959955.1|DBIA, LOC108030349|XP_016958707.1|DBIA
OG0000076	LOC119071813|XP_037032779.1|BCOP	LOC108035061|XP_016965936.1|DBIA
OG0000076	LOC119068533|XP_037028044.1|BCOP	LOC108027529|XP_016954462.1|DBIA
OG0000076	LOC119066422|XP_037024794.1|BCOP	LOC108027531|XP_016954464.1|DBIA
OG0000077	LOC119082353|XP_037047765.1|BCOP, LOC119082354|XP_037047766.1|BCOP	LOC108026696|XP_016953273.1|DBIA
