Orthogroup	BCOP.longest_only	DMAU.longest_only
OG0000010	LOC119082430|XP_037047853.1|BCOP, LOC119070778|XP_037031152.1|BCOP, LOC119082437|XP_037047860.1|BCOP, LOC119075407|XP_037037745.1|BCOP, LOC119077562|XP_037040668.1|BCOP, LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP, LOC119075111|XP_037037395.1|BCOP, LOC119075118|XP_037037401.1|BCOP, LOC119082431|XP_037047855.1|BCOP, LOC119077573|XP_037040679.1|BCOP, LOC119082505|XP_037047916.1|BCOP, LOC119075112|XP_037037396.1|BCOP, LOC119077564|XP_037040669.1|BCOP, LOC119075517|XP_037037883.1|BCOP	LOC117142722|XP_033162774.1|DMAU
OG0000012	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP	LOC117136761|XP_033153688.1|DMAU, LOC117136760|XP_033153687.1|DMAU, LOC117136898|XP_033153902.1|DMAU, LOC117137864|XP_033155471.1|DMAU, LOC117137455|XP_033154790.1|DMAU, LOC117136643|XP_033153526.1|DMAU, LOC117136387|XP_033153170.1|DMAU, LOC117136474|XP_033153296.1|DMAU, LOC117136403|XP_033153190.1|DMAU, LOC117138497|XP_033156518.1|DMAU, LOC117137795|XP_033155358.1|DMAU, LOC117137796|XP_033155359.1|DMAU
OG0000013	LOC119078237|XP_037041593.1|BCOP	LOC117136473|XP_033153295.1|DMAU
OG0000013	LOC119071389|XP_037032165.1|BCOP	LOC117148236|XP_033171424.1|DMAU
OG0000013	LOC119072742|XP_037033921.1|BCOP	LOC117142434|XP_033162286.1|DMAU
OG0000013	LOC119068977|XP_037028742.1|BCOP	LOC117143333|XP_033163884.1|DMAU
OG0000013	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP	LOC117142344|XP_033162152.1|DMAU, LOC117145307|XP_033166793.1|DMAU, LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU
OG0000016	LOC119069122|XP_037028916.1|BCOP	LOC117143253|XP_033163704.1|DMAU, LOC117136077|XP_033152622.1|DMAU
OG0000016	LOC119071771|XP_037032720.1|BCOP	LOC117144517|XP_033165627.1|DMAU
OG0000016	LOC119070068|XP_037030257.1|BCOP	LOC117148789|XP_033172290.1|DMAU
OG0000016	LOC119072263|XP_037033347.1|BCOP	LOC117140134|XP_033158791.1|DMAU
OG0000018	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP	LOC117141482|XP_033160851.1|DMAU, LOC117141483|XP_033160852.1|DMAU, LOC117140972|XP_033160097.1|DMAU, LOC117139215|XP_033157288.1|DMAU
OG0000019	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP, LOC119082044|XP_037047265.1|BCOP	LOC117143233|XP_033163675.1|DMAU, LOC117143237|XP_033163678.1|DMAU, LOC117143236|XP_033163677.1|DMAU, LOC117143229|XP_033163670.1|DMAU, LOC117143234|XP_033163676.1|DMAU, LOC117143231|XP_033163673.1|DMAU, LOC117143232|XP_033163674.1|DMAU
OG0000020	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP	LOC117143636|XP_033164304.1|DMAU, LOC117136475|XP_033153300.1|DMAU
OG0000020	LOC119077634|XP_037040747.1|BCOP	LOC117139859|XP_033158405.1|DMAU, LOC117138462|XP_033156478.1|DMAU, LOC117140141|XP_033158803.1|DMAU, LOC117145918|XP_033167668.1|DMAU, LOC117143368|XP_033163935.1|DMAU, LOC117135687|XP_033151982.1|DMAU, LOC117139836|XP_033158373.1|DMAU
OG0000021	LOC119076102|XP_037038654.1|BCOP	LOC117146855|XP_033169316.1|DMAU
OG0000021	LOC119074653|XP_037036827.1|BCOP	LOC117142241|XP_033161985.1|DMAU
OG0000023	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP	LOC117144283|XP_033165277.1|DMAU, LOC117144284|XP_033165278.1|DMAU, LOC117144282|XP_033165275.1|DMAU, LOC117135977|XP_033152481.1|DMAU, LOC117145126|XP_033166537.1|DMAU, LOC117144278|XP_033165272.1|DMAU, LOC117144775|XP_033166033.1|DMAU, LOC117144277|XP_033165271.1|DMAU, LOC117144765|XP_033166018.1|DMAU
OG0000024	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP	LOC117137467|XP_033154805.1|DMAU, LOC117137468|XP_033154806.1|DMAU, LOC117137469|XP_033154807.1|DMAU, LOC117137862|XP_033155468.1|DMAU, LOC117136255|XP_033152953.1|DMAU, LOC117150619|XP_033173479.1|DMAU, LOC117136506|XP_033153341.1|DMAU, LOC117135440|XP_033151508.1|DMAU
OG0000025	LOC119074493|XP_037036540.1|BCOP	LOC117146959|XP_033169512.1|DMAU, LOC117143378|XP_033163951.1|DMAU
OG0000026	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP, LOC119084799|XP_037050765.1|BCOP	LOC117146899|XP_033169397.1|DMAU, LOC117142902|XP_033163074.1|DMAU, LOC117145491|XP_033167059.1|DMAU
OG0000027	LOC119077158|XP_037040243.1|BCOP	LOC117140739|XP_033159710.1|DMAU
OG0000028	LOC119080979|XP_037045519.1|BCOP	LOC117139362|XP_033157505.1|DMAU, LOC117139334|XP_033157472.1|DMAU, LOC117139375|XP_033157515.1|DMAU, LOC117139373|XP_033157513.1|DMAU, LOC117139374|XP_033157514.1|DMAU, LOC117139371|XP_033157510.1|DMAU, LOC117139372|XP_033157511.1|DMAU, LOC117141110|XP_033160324.1|DMAU
OG0000029	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP	LOC117145028|XP_033166421.1|DMAU, LOC117136167|XP_033152799.1|DMAU, LOC117136614|XP_033153490.1|DMAU, LOC117135122|XP_033151033.1|DMAU, LOC117144854|XP_033166148.1|DMAU, LOC117140740|XP_033159707.1|DMAU
OG0000030	LOC119070696|XP_037031044.1|BCOP	LOC117150768|XP_033173696.1|DMAU, LOC117137293|XP_033154560.1|DMAU, LOC117150769|XP_033173697.1|DMAU, LOC117143350|XP_033163916.1|DMAU, LOC117137054|XP_033154154.1|DMAU, LOC117148684|XP_033172115.1|DMAU, LOC117148518|XP_033171816.1|DMAU, LOC117148443|XP_033171707.1|DMAU, LOC117148004|XP_033171054.1|DMAU
OG0000031	LOC119082337|XP_037047744.1|BCOP, LOC119073860|XP_037035620.1|BCOP, LOC119083184|XP_037048737.1|BCOP	LOC117144354|XP_033165364.1|DMAU, LOC117137476|XP_033154845.1|DMAU, LOC117145782|XP_033167456.1|DMAU, LOC117135426|XP_033151476.1|DMAU, LOC117138977|XP_033156935.1|DMAU, LOC117135570|XP_033151785.1|DMAU, LOC117138460|XP_033156477.1|DMAU
OG0000032	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP	LOC117145857|XP_033167568.1|DMAU, LOC117145860|XP_033167571.1|DMAU, LOC117145495|XP_033167064.1|DMAU, LOC117145861|XP_033167572.1|DMAU, LOC117145862|XP_033167573.1|DMAU, LOC117145859|XP_033167570.1|DMAU
OG0000033	LOC119070917|XP_037031350.1|BCOP	LOC117144719|XP_033165948.1|DMAU, LOC117143209|XP_033163650.1|DMAU, LOC117150287|XP_033172997.1|DMAU, LOC117143200|XP_033163638.1|DMAU, LOC117138299|XP_033156190.1|DMAU, LOC117138297|XP_033156188.1|DMAU, LOC117138298|XP_033156189.1|DMAU, LOC117140273|XP_033158989.1|DMAU, LOC117144413|XP_033165445.1|DMAU, LOC117144938|XP_033166283.1|DMAU, LOC117137789|XP_033155336.1|DMAU, LOC117137724|XP_033155189.1|DMAU
OG0000034	LOC119081013|XP_037045591.1|BCOP, LOC119070626|XP_037030946.1|BCOP, LOC119072973|XP_037034184.1|BCOP, LOC119072974|XP_037034185.1|BCOP, LOC119071410|XP_037032183.1|BCOP, LOC119070946|XP_037031394.1|BCOP, LOC119070948|XP_037031395.1|BCOP, LOC119070950|XP_037031397.1|BCOP, LOC119070428|XP_037030664.1|BCOP, LOC119077740|XP_037040914.1|BCOP, LOC119083666|XP_037049346.1|BCOP, LOC119066782|XP_037025340.1|BCOP	LOC117138566|XP_033156617.1|DMAU, LOC117141167|XP_033160397.1|DMAU, LOC117150484|XP_033173274.1|DMAU, LOC117150483|XP_033173273.1|DMAU, LOC117149319|XP_033172656.1|DMAU, LOC117143947|XP_033164772.1|DMAU, LOC117145446|XP_033166996.1|DMAU, LOC117143867|XP_033164627.1|DMAU
OG0000036	LOC119068370|XP_037027834.1|BCOP	LOC117145150|XP_033166581.1|DMAU
OG0000036	LOC119070319|XP_037030483.1|BCOP	LOC117145004|XP_033166383.1|DMAU
OG0000037	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP	LOC117137024|XP_033154116.1|DMAU, LOC117145239|XP_033166706.1|DMAU, LOC117143582|XP_033164221.1|DMAU
OG0000038	LOC119080641|XP_037044950.1|BCOP	LOC117139364|XP_033157507.1|DMAU
OG0000038	LOC119077484|XP_037040593.1|BCOP	LOC117141232|XP_033160483.1|DMAU
OG0000039	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP	LOC117144249|XP_033165219.1|DMAU
OG0000039	LOC119077423|XP_037040532.1|BCOP, LOC119083711|XP_037049395.1|BCOP	LOC117146886|XP_033169374.1|DMAU
OG0000041	LOC119070988|XP_037031473.1|BCOP	LOC117143749|XP_033164453.1|DMAU, LOC117144930|XP_033166274.1|DMAU, LOC117143589|XP_033164228.1|DMAU, LOC117145103|XP_033166514.1|DMAU, LOC117144174|XP_033165110.1|DMAU, LOC117145105|XP_033166515.1|DMAU
OG0000042	LOC119068087|XP_037027400.1|BCOP	LOC117146870|XP_033169351.1|DMAU, LOC117138472|XP_033156493.1|DMAU, LOC117138473|XP_033156494.1|DMAU, LOC117138470|XP_033156490.1|DMAU, LOC117138471|XP_033156492.1|DMAU
OG0000043	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP, LOC119077492|XP_037040609.1|BCOP, LOC119068375|XP_037027839.1|BCOP, LOC119075787|XP_037038245.1|BCOP, LOC119084856|XP_037050885.1|BCOP	LOC117143574|XP_033164210.1|DMAU, LOC117143570|XP_033164205.1|DMAU, LOC117143572|XP_033164208.1|DMAU, LOC117145149|XP_033166580.1|DMAU, LOC117143571|XP_033164207.1|DMAU, LOC117143573|XP_033164209.1|DMAU, LOC117145745|XP_033167398.1|DMAU, LOC117143372|XP_033163938.1|DMAU
OG0000044	LOC119081961|XP_037047159.1|BCOP, LOC119070043|XP_037030222.1|BCOP	LOC117143901|XP_033164698.1|DMAU, LOC117143451|XP_033164051.1|DMAU, LOC117145465|XP_033167027.1|DMAU, LOC117145163|XP_033166599.1|DMAU, LOC117143590|XP_033164229.1|DMAU, LOC117143652|XP_033164322.1|DMAU, LOC117143435|XP_033164032.1|DMAU
OG0000047	LOC119076406|XP_037039030.1|BCOP, LOC119076447|XP_037039111.1|BCOP	LOC117137846|XP_033155439.1|DMAU, LOC117137896|XP_033155525.1|DMAU, LOC117136744|XP_033153666.1|DMAU, LOC117141645|XP_033161109.1|DMAU, LOC117137194|XP_033154412.1|DMAU, LOC117141646|XP_033161110.1|DMAU
OG0000049	LOC119075345|XP_037037670.1|BCOP, LOC119085689|XP_037052030.1|BCOP, LOC119071948|XP_037032968.1|BCOP, LOC119082085|XP_037047341.1|BCOP, LOC119078213|XP_037041568.1|BCOP	LOC117144267|XP_033165261.1|DMAU, LOC117143819|XP_033164555.1|DMAU, LOC117145062|XP_033166468.1|DMAU, LOC117145059|XP_033166464.1|DMAU, LOC117145061|XP_033166467.1|DMAU, LOC117144466|XP_033165523.1|DMAU
OG0000051	LOC119075282|XP_037037564.1|BCOP, LOC119084550|XP_037050461.1|BCOP, LOC119084548|XP_037050456.1|BCOP, LOC119077746|XP_037040925.1|BCOP, LOC119068575|XP_037028116.1|BCOP, LOC119080254|XP_037044399.1|BCOP, LOC119070436|XP_037030675.1|BCOP, LOC119068715|XP_037028299.1|BCOP, LOC119072641|XP_037033787.1|BCOP, LOC119073031|XP_037034245.1|BCOP	LOC117143815|XP_033164552.1|DMAU, LOC117143638|XP_033164307.1|DMAU, LOC117142373|XP_033162194.1|DMAU, LOC117145370|XP_033166885.1|DMAU, LOC117145371|XP_033166886.1|DMAU
OG0000052	LOC119073702|XP_037035202.1|BCOP	LOC117145316|XP_033166802.1|DMAU, LOC117143900|XP_033164697.1|DMAU, LOC117143487|XP_033164091.1|DMAU, LOC117143488|XP_033164092.1|DMAU, LOC117143804|XP_033164539.1|DMAU, LOC117145315|XP_033166801.1|DMAU, LOC117136886|XP_033153888.1|DMAU, LOC117136885|XP_033153886.1|DMAU
OG0000053	LOC119072494|XP_037033629.1|BCOP	LOC117137106|XP_033154284.1|DMAU, LOC117137105|XP_033154282.1|DMAU, LOC117137096|XP_033154272.1|DMAU
OG0000053	LOC119083998|XP_037049705.1|BCOP	LOC117137107|XP_033154285.1|DMAU
OG0000054	LOC119078880|XP_037042497.1|BCOP, LOC119074993|XP_037037290.1|BCOP, LOC119073438|XP_037034817.1|BCOP, LOC119073440|XP_037034823.1|BCOP, LOC119081720|XP_037046756.1|BCOP, LOC119083861|XP_037049555.1|BCOP, LOC119079462|XP_037043284.1|BCOP, LOC119073442|XP_037034826.1|BCOP, LOC119066738|XP_037025254.1|BCOP	LOC117144491|XP_033165568.1|DMAU, LOC117145202|XP_033166655.1|DMAU, LOC117145522|XP_033167105.1|DMAU, LOC117144100|XP_033165007.1|DMAU
OG0000056	LOC119075842|XP_037038285.1|BCOP, LOC119069079|XP_037028851.1|BCOP, LOC119070819|XP_037031210.1|BCOP, LOC119077330|XP_037040408.1|BCOP, LOC119083576|XP_037049217.1|BCOP, LOC119072255|XP_037033333.1|BCOP, LOC119080728|XP_037045140.1|BCOP, LOC119073796|XP_037035427.1|BCOP, LOC119076770|XP_037039620.1|BCOP, LOC119078571|XP_037042041.1|BCOP, LOC119080735|XP_037045174.1|BCOP, LOC119084316|XP_037050135.1|BCOP	LOC117145913|XP_033167658.1|DMAU, LOC117145909|XP_033167655.1|DMAU, LOC117145912|XP_033167657.1|DMAU, LOC117144981|XP_033166341.1|DMAU, LOC117145911|XP_033167656.1|DMAU, LOC117144813|XP_033166080.1|DMAU
OG0000058	LOC119080858|XP_037045328.1|BCOP	LOC117135854|XP_033152264.1|DMAU, LOC117146035|XP_033167861.1|DMAU, LOC117138585|XP_033156655.1|DMAU, LOC117141672|XP_033161161.1|DMAU, LOC117147163|XP_033169841.1|DMAU
OG0000060	LOC119068417|XP_037027881.1|BCOP	LOC117148535|XP_033171846.1|DMAU
OG0000060	LOC119069761|XP_037029789.1|BCOP	LOC117142997|XP_033163243.1|DMAU
OG0000067	LOC119084735|XP_037050703.1|BCOP, LOC119072217|XP_037033292.1|BCOP, LOC119085607|XP_037051925.1|BCOP	LOC117143290|XP_033163776.1|DMAU, LOC117141618|XP_033161029.1|DMAU
OG0000067	LOC119085608|XP_037051927.1|BCOP	LOC117137893|XP_033155518.1|DMAU, LOC117139071|XP_033157072.1|DMAU
OG0000067	LOC119076438|XP_037039101.1|BCOP	LOC117140079|XP_033158722.1|DMAU
OG0000068	LOC119084165|XP_037049915.1|BCOP, LOC119072059|XP_037033087.1|BCOP, LOC119067027|XP_037025654.1|BCOP, LOC119070188|XP_037030388.1|BCOP, LOC119079055|XP_037042758.1|BCOP, LOC119072981|XP_037034196.1|BCOP	LOC117140267|XP_033158984.1|DMAU, LOC117142608|XP_033162579.1|DMAU, LOC117139306|XP_033157439.1|DMAU, LOC117135414|XP_033151458.1|DMAU, LOC117147929|XP_033170959.1|DMAU
OG0000070	LOC119071237|XP_037031965.1|BCOP	LOC117140982|XP_033160124.1|DMAU, LOC117148893|XP_033172490.1|DMAU, LOC117137413|XP_033154736.1|DMAU, LOC117146922|XP_033169442.1|DMAU
OG0000071	LOC119066621|XP_037025073.1|BCOP, LOC119075170|XP_037037491.1|BCOP	LOC117139106|XP_033157130.1|DMAU
OG0000071	LOC119077499|XP_037040619.1|BCOP, LOC119080663|XP_037044988.1|BCOP, LOC119072693|XP_037033860.1|BCOP, LOC119072013|XP_037033026.1|BCOP, LOC119071783|XP_037032737.1|BCOP, LOC119082689|XP_037048157.1|BCOP, LOC119071788|XP_037032744.1|BCOP, LOC119066595|XP_037025045.1|BCOP, LOC119082472|XP_037047886.1|BCOP, LOC119079098|XP_037042811.1|BCOP	LOC117139290|XP_033157411.1|DMAU, LOC117139289|XP_033157410.1|DMAU, LOC117139278|XP_033157396.1|DMAU
OG0000073	LOC119072039|XP_037033052.1|BCOP	LOC117138354|XP_033156291.1|DMAU
OG0000073	LOC119067527|XP_037026453.1|BCOP	LOC117147893|XP_033170883.1|DMAU
OG0000073	LOC119069220|XP_037029092.1|BCOP	LOC117142466|XP_033162348.1|DMAU
OG0000074	LOC119079099|XP_037042812.1|BCOP, LOC119067307|XP_037026110.1|BCOP, LOC119080892|XP_037045367.1|BCOP	LOC117142069|XP_033161840.1|DMAU, LOC117139233|XP_033157330.1|DMAU
OG0000075	LOC119080898|XP_037045374.1|BCOP, LOC119080899|XP_037045375.1|BCOP, LOC119080897|XP_037045372.1|BCOP	LOC117141890|XP_033161477.1|DMAU, LOC117139015|XP_033157000.1|DMAU, LOC117139016|XP_033157001.1|DMAU, LOC117141893|XP_033161485.1|DMAU
OG0000076	LOC119071813|XP_037032779.1|BCOP	LOC117141100|XP_033160313.1|DMAU
OG0000076	LOC119068533|XP_037028044.1|BCOP	LOC117147320|XP_033170062.1|DMAU
OG0000076	LOC119066422|XP_037024794.1|BCOP	LOC117147206|XP_033169911.1|DMAU, LOC117148842|XP_033172387.1|DMAU, LOC117148840|XP_033172385.1|DMAU
OG0000077	LOC119082353|XP_037047765.1|BCOP, LOC119082354|XP_037047766.1|BCOP	LOC117138525|XP_033156554.1|DMAU
OG0000077	LOC119076378|XP_037038990.1|BCOP	LOC117142441|XP_033162295.1|DMAU
OG0000077	LOC119071068|XP_037031598.1|BCOP	LOC117138466|XP_033156483.1|DMAU
OG0000077	LOC119069760|XP_037029786.1|BCOP	LOC117144652|XP_033165842.1|DMAU
OG0000078	LOC119072413|XP_037033522.1|BCOP	LOC117138008|XP_033155701.1|DMAU, LOC117140111|XP_033158764.1|DMAU, LOC117145393|XP_033166920.1|DMAU, LOC117146596|XP_033168812.1|DMAU, LOC117147316|XP_033170056.1|DMAU
OG0000079	LOC119073294|XP_037034574.1|BCOP	LOC117151011|XP_033174109.1|DMAU, LOC117151012|XP_033174110.1|DMAU, LOC117151008|XP_033174106.1|DMAU, LOC117151007|XP_033174105.1|DMAU, LOC117136799|XP_033153755.1|DMAU
OG0000080	LOC119071115|XP_037031659.1|BCOP, LOC119071116|XP_037031660.1|BCOP	LOC117137720|XP_033155183.1|DMAU, LOC117137725|XP_033155191.1|DMAU, LOC117136966|XP_033154021.1|DMAU
OG0000081	LOC119072492|XP_037033632.1|BCOP	LOC117140435|XP_033159244.1|DMAU
OG0000082	LOC119077224|XP_037040299.1|BCOP, LOC119077326|XP_037040404.1|BCOP, LOC119077878|XP_037041127.1|BCOP, LOC119069214|XP_037029085.1|BCOP, LOC119080439|XP_037044697.1|BCOP, LOC119067719|XP_037026731.1|BCOP, LOC119067656|XP_037026651.1|BCOP, LOC119067657|XP_037026652.1|BCOP, LOC119067658|XP_037026653.1|BCOP, LOC119075075|XP_037037362.1|BCOP, LOC119084030|XP_037049750.1|BCOP, LOC119079425|XP_037043226.1|BCOP, LOC119083787|XP_037049484.1|BCOP	LOC117138620|XP_033156721.1|DMAU, LOC117135990|XP_033152496.1|DMAU, LOC117142679|XP_033162708.1|DMAU, LOC117143259|XP_033163721.1|DMAU
OG0000083	LOC119071144|XP_037031768.1|BCOP, LOC119066519|XP_037024932.1|BCOP, LOC119084806|XP_037050772.1|BCOP	LOC117145762|XP_033167461.1|DMAU, LOC117140536|XP_033159420.1|DMAU, LOC117146342|XP_033168371.1|DMAU, LOC117144457|XP_033165508.1|DMAU, LOC117144620|XP_033165809.1|DMAU
OG0000083	LOC119077030|XP_037040043.1|BCOP	LOC117145464|XP_033167065.1|DMAU
OG0000084	LOC119071066|XP_037031596.1|BCOP, LOC119071181|XP_037031846.1|BCOP	LOC117136635|XP_033153517.1|DMAU
OG0000085	LOC119077040|XP_037040059.1|BCOP	LOC117136080|XP_033152640.1|DMAU
OG0000086	LOC119080738|XP_037045178.1|BCOP, LOC119067907|XP_037027094.1|BCOP, LOC119080632|XP_037044934.1|BCOP, LOC119068130|XP_037027486.1|BCOP	LOC117136149|XP_033152757.1|DMAU, LOC117136148|XP_033152756.1|DMAU
OG0000087	LOC119084681|XP_037050656.1|BCOP	LOC117147902|XP_033170903.1|DMAU
