Orthogroup	BCOP.longest_only	AALB.longest_only
OG0000014	LOC119077000|XP_037040000.1|BCOP	LOC118456248|XP_035772743.1|AALB, LOC118458874|XP_035777754.1|AALB
OG0000014	LOC119082466|XP_037047880.1|BCOP, LOC119079734|XP_037043693.1|BCOP	LOC118458427|XP_035776775.1|AALB, LOC118468815|XP_035795925.1|AALB
OG0000014	LOC119083379|XP_037048988.1|BCOP	LOC118457066|XP_035774267.1|AALB
OG0000016	LOC119069122|XP_037028916.1|BCOP	LOC118468980|XP_035796264.1|AALB
OG0000016	LOC119073565|XP_037035016.1|BCOP	LOC118463956|XP_035786832.1|AALB
OG0000016	LOC119071771|XP_037032720.1|BCOP	LOC118460590|XP_035780903.1|AALB
OG0000016	LOC119070068|XP_037030257.1|BCOP	LOC118460360|XP_035780540.1|AALB
OG0000016	LOC119072516|XP_037033655.1|BCOP, LOC119084274|XP_037050089.1|BCOP, LOC119072264|XP_037033350.1|BCOP	LOC118458000|XP_035775969.1|AALB, LOC118464033|XP_035786987.1|AALB, LOC118464459|XP_035787743.1|AALB
OG0000016	LOC119072263|XP_037033347.1|BCOP	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB
OG0000018	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP	LOC118463128|XP_035785378.1|AALB
OG0000018	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP	LOC118463106|XP_035785316.1|AALB, LOC118465488|XP_035789684.1|AALB, LOC118465487|XP_035789683.1|AALB, LOC118465489|XP_035789685.1|AALB
OG0000019	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB
OG0000019	LOC119082044|XP_037047265.1|BCOP	LOC118457590|XP_035775173.1|AALB
OG0000020	LOC119070432|XP_037030669.1|BCOP	LOC118461366|XP_035782501.1|AALB
OG0000020	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP	LOC118461362|XP_035782490.1|AALB
OG0000020	LOC119077634|XP_037040747.1|BCOP	LOC118467629|XP_035794243.1|AALB
OG0000020	LOC119084833|XP_037050813.1|BCOP, LOC119077828|XP_037041031.1|BCOP, LOC119075380|XP_037037714.1|BCOP	LOC118457118|XP_035774313.1|AALB
OG0000021	LOC119076102|XP_037038654.1|BCOP	LOC118468558|XP_035795352.1|AALB
OG0000021	LOC119074653|XP_037036827.1|BCOP, LOC119078339|XP_037041737.1|BCOP	LOC118467519|XP_035793970.1|AALB
OG0000023	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP	LOC118465606|XP_035789874.1|AALB, LOC118465607|XP_035789875.1|AALB
OG0000024	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP	LOC118462632|XP_035784369.1|AALB
OG0000025	LOC119074493|XP_037036540.1|BCOP	LOC118461108|XP_035781919.1|AALB
OG0000025	LOC119075511|XP_037037876.1|BCOP	LOC118463807|XP_035786575.1|AALB, LOC118463808|XP_035786577.1|AALB
OG0000025	LOC119075399|XP_037037738.1|BCOP	LOC118467560|XP_035794083.1|AALB
OG0000026	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB, LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB
OG0000027	LOC119077158|XP_037040243.1|BCOP	LOC118458650|XP_035777233.1|AALB, LOC118456231|XP_035772706.1|AALB, LOC118469008|XP_035796336.1|AALB, LOC118456249|XP_035772738.1|AALB
OG0000028	LOC119080979|XP_037045519.1|BCOP	LOC118464553|XP_035787885.1|AALB, LOC118456178|XP_035772621.1|AALB
OG0000029	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP	LOC118458435|XP_035776786.1|AALB, LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB, LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB
OG0000031	LOC119082337|XP_037047744.1|BCOP, LOC119073860|XP_037035620.1|BCOP, LOC119083184|XP_037048737.1|BCOP	LOC118467279|XP_035793475.1|AALB
OG0000031	LOC119070957|XP_037031407.1|BCOP, LOC119070655|XP_037030981.1|BCOP	LOC118467035|XP_035792911.1|AALB, LOC118466020|XP_035790729.1|AALB, LOC118465693|XP_035790014.1|AALB, LOC118467045|XP_035792924.1|AALB, LOC118467042|XP_035792921.1|AALB, LOC118467043|XP_035792922.1|AALB
OG0000032	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP	LOC118457170|XP_035774394.1|AALB, LOC118459702|XP_035779237.1|AALB, LOC118457171|XP_035774395.1|AALB
OG0000034	LOC119081013|XP_037045591.1|BCOP	LOC118466655|XP_035792144.1|AALB
OG0000034	LOC119070626|XP_037030946.1|BCOP	LOC118463234|XP_035785585.1|AALB
OG0000036	LOC119068370|XP_037027834.1|BCOP	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB
OG0000036	LOC119070319|XP_037030483.1|BCOP	LOC118457097|XP_035774277.1|AALB
OG0000036	LOC119074646|XP_037036818.1|BCOP	LOC118460050|XP_035779920.1|AALB, LOC118459729|XP_035779295.1|AALB, LOC118468930|XP_035796146.1|AALB, LOC118465413|XP_035789528.1|AALB
OG0000037	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB
OG0000038	LOC119080641|XP_037044950.1|BCOP	LOC118464582|XP_035787918.1|AALB
OG0000038	LOC119077484|XP_037040593.1|BCOP	LOC118467862|XP_035794660.1|AALB
OG0000038	LOC119080135|XP_037044248.1|BCOP	LOC118464578|XP_035787914.1|AALB, LOC118467864|XP_035794665.1|AALB, LOC118464580|XP_035787916.1|AALB, LOC118467865|XP_035794666.1|AALB, LOC118464581|XP_035787917.1|AALB, LOC118467867|XP_035794667.1|AALB, LOC118467868|XP_035794668.1|AALB
OG0000039	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB, LOC118458769|XP_035777454.1|AALB
OG0000041	LOC119070988|XP_037031473.1|BCOP	LOC118457785|XP_035775523.1|AALB
OG0000043	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP	LOC118465605|XP_035789873.1|AALB
OG0000043	LOC119084856|XP_037050885.1|BCOP	LOC118466656|XP_035792145.1|AALB
OG0000045	LOC119080622|XP_037044922.1|BCOP, LOC119077644|XP_037040760.1|BCOP	LOC118465475|XP_035789666.1|AALB, LOC118464996|XP_035788729.1|AALB, LOC118464285|XP_035787454.1|AALB, LOC118463346|XP_035785752.1|AALB
OG0000045	LOC119072379|XP_037033474.1|BCOP	LOC118463283|XP_035785654.1|AALB
OG0000047	LOC119076406|XP_037039030.1|BCOP, LOC119076447|XP_037039111.1|BCOP	LOC118458488|XP_035776933.1|AALB
OG0000049	LOC119075345|XP_037037670.1|BCOP, LOC119085689|XP_037052030.1|BCOP, LOC119071948|XP_037032968.1|BCOP, LOC119082085|XP_037047341.1|BCOP, LOC119078213|XP_037041568.1|BCOP	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB, LOC118463311|XP_035785688.1|AALB
OG0000051	LOC119075282|XP_037037564.1|BCOP, LOC119084550|XP_037050461.1|BCOP, LOC119084548|XP_037050456.1|BCOP, LOC119077746|XP_037040925.1|BCOP, LOC119068575|XP_037028116.1|BCOP, LOC119080254|XP_037044399.1|BCOP, LOC119070436|XP_037030675.1|BCOP, LOC119068715|XP_037028299.1|BCOP, LOC119072641|XP_037033787.1|BCOP, LOC119073031|XP_037034245.1|BCOP	LOC118456657|XP_035773500.1|AALB, LOC118456656|XP_035773499.1|AALB
OG0000053	LOC119072494|XP_037033629.1|BCOP	LOC118467904|XP_035794724.1|AALB, LOC118465671|XP_035789993.1|AALB, LOC118465672|XP_035789994.1|AALB
OG0000053	LOC119073487|XP_037034887.1|BCOP, LOC119073485|XP_037034885.1|BCOP	LOC118465673|XP_035789996.1|AALB, LOC118457028|XP_035774155.1|AALB
OG0000054	LOC119078880|XP_037042497.1|BCOP, LOC119074993|XP_037037290.1|BCOP, LOC119073438|XP_037034817.1|BCOP, LOC119073440|XP_037034823.1|BCOP, LOC119081720|XP_037046756.1|BCOP, LOC119083861|XP_037049555.1|BCOP, LOC119079462|XP_037043284.1|BCOP, LOC119073442|XP_037034826.1|BCOP, LOC119066738|XP_037025254.1|BCOP	LOC118465600|XP_035789868.1|AALB, LOC118464275|XP_035787431.1|AALB, LOC118464535|XP_035787865.1|AALB, LOC118463932|XP_035786785.1|AALB, LOC118465599|XP_035789867.1|AALB, LOC118465601|XP_035789869.1|AALB
OG0000056	LOC119075842|XP_037038285.1|BCOP, LOC119069079|XP_037028851.1|BCOP, LOC119070819|XP_037031210.1|BCOP, LOC119077330|XP_037040408.1|BCOP, LOC119083576|XP_037049217.1|BCOP, LOC119072255|XP_037033333.1|BCOP, LOC119080728|XP_037045140.1|BCOP, LOC119073796|XP_037035427.1|BCOP, LOC119076770|XP_037039620.1|BCOP, LOC119078571|XP_037042041.1|BCOP, LOC119080735|XP_037045174.1|BCOP, LOC119084316|XP_037050135.1|BCOP	LOC118463646|XP_035786286.1|AALB
OG0000058	LOC119080858|XP_037045328.1|BCOP	LOC118465012|XP_035788756.1|AALB, LOC118466840|XP_035792555.1|AALB
OG0000060	LOC119068417|XP_037027881.1|BCOP	LOC118462342|XP_035784016.1|AALB
OG0000060	LOC119069761|XP_037029789.1|BCOP	LOC118457079|XP_035774255.1|AALB
OG0000061	LOC119067640|XP_037026635.1|BCOP, LOC119079107|XP_037042821.1|BCOP, LOC119078167|XP_037041537.1|BCOP, LOC119076906|XP_037039818.1|BCOP, LOC119085000|XP_037051067.1|BCOP	LOC118462629|XP_035784366.1|AALB, LOC118462631|XP_035784368.1|AALB
OG0000064	LOC119072676|XP_037033846.1|BCOP, LOC119084722|XP_037050692.1|BCOP, LOC119081134|XP_037045774.1|BCOP, LOC119085665|XP_037052008.1|BCOP	LOC118463671|XP_035786321.1|AALB
OG0000067	LOC119084735|XP_037050703.1|BCOP, LOC119072217|XP_037033292.1|BCOP, LOC119085607|XP_037051925.1|BCOP	LOC118462964|XP_035785018.1|AALB
OG0000067	LOC119076438|XP_037039101.1|BCOP	LOC118463317|XP_035785696.1|AALB
OG0000068	LOC119084165|XP_037049915.1|BCOP	LOC118465636|XP_035789936.1|AALB, LOC118465635|XP_035789931.1|AALB, LOC118466683|XP_035792202.1|AALB, LOC118467770|XP_035794492.1|AALB
OG0000068	LOC119072059|XP_037033087.1|BCOP, LOC119067027|XP_037025654.1|BCOP	LOC118466177|XP_035791057.1|AALB
OG0000070	LOC119071237|XP_037031965.1|BCOP	LOC118466080|XP_035790865.1|AALB, LOC118461049|XP_035781833.1|AALB
OG0000071	LOC119066621|XP_037025073.1|BCOP, LOC119075170|XP_037037491.1|BCOP	LOC118464383|XP_035787619.1|AALB
OG0000071	LOC119077499|XP_037040619.1|BCOP, LOC119080663|XP_037044988.1|BCOP, LOC119072693|XP_037033860.1|BCOP	LOC118465593|XP_035789852.1|AALB, LOC118464385|XP_035787624.1|AALB, LOC118467940|XP_035794802.1|AALB
OG0000071	LOC119072013|XP_037033026.1|BCOP, LOC119071783|XP_037032737.1|BCOP, LOC119082689|XP_037048157.1|BCOP, LOC119071788|XP_037032744.1|BCOP	LOC118465893|XP_035790437.1|AALB
OG0000073	LOC119072039|XP_037033052.1|BCOP	LOC118466982|XP_035792790.1|AALB
OG0000073	LOC119070609|XP_037030924.1|BCOP	LOC118468531|XP_035795302.1|AALB, LOC118468327|XP_035794968.1|AALB
OG0000073	LOC119067527|XP_037026453.1|BCOP	LOC118461208|XP_035782153.1|AALB, LOC118461209|XP_035782163.1|AALB
OG0000073	LOC119069220|XP_037029092.1|BCOP	LOC118458541|XP_035777018.1|AALB
OG0000073	LOC119085615|XP_037051934.1|BCOP	LOC118468553|XP_035795347.1|AALB
OG0000073	LOC119069895|XP_037029990.1|BCOP	LOC118466170|XP_035791050.1|AALB
OG0000074	LOC119079099|XP_037042812.1|BCOP, LOC119067307|XP_037026110.1|BCOP, LOC119080892|XP_037045367.1|BCOP	LOC118467317|XP_035793548.1|AALB, LOC118464632|XP_035787971.1|AALB, LOC118462489|XP_035784094.1|AALB, LOC118462490|XP_035784095.1|AALB, LOC118462491|XP_035784096.1|AALB, LOC118462492|XP_035784098.1|AALB, LOC118465572|XP_035789827.1|AALB, LOC118465573|XP_035789828.1|AALB, LOC118462925|XP_035784926.1|AALB, LOC118467316|XP_035793547.1|AALB, LOC118463374|XP_035785792.1|AALB, LOC118465722|XP_035790060.1|AALB, LOC118463415|XP_035785860.1|AALB, LOC118463299|XP_035785677.1|AALB, LOC118464633|XP_035787972.1|AALB, LOC118465280|XP_035789213.1|AALB, LOC118463180|XP_035785487.1|AALB
OG0000076	LOC119071813|XP_037032779.1|BCOP	LOC118462886|XP_035784863.1|AALB
OG0000076	LOC119068533|XP_037028044.1|BCOP	LOC118456474|XP_035773167.1|AALB
OG0000077	LOC119082353|XP_037047765.1|BCOP, LOC119082354|XP_037047766.1|BCOP	LOC118467920|XP_035794755.1|AALB
OG0000077	LOC119076378|XP_037038990.1|BCOP	LOC118460116|XP_035780047.1|AALB
OG0000077	LOC119071068|XP_037031598.1|BCOP	LOC118463835|XP_035786622.1|AALB
OG0000077	LOC119069760|XP_037029786.1|BCOP	LOC118466147|XP_035791003.1|AALB
OG0000078	LOC119072413|XP_037033522.1|BCOP	LOC118456476|XP_035773179.1|AALB
OG0000080	LOC119082209|XP_037047551.1|BCOP, LOC119080227|XP_037044368.1|BCOP	LOC118463760|XP_035786467.1|AALB
OG0000080	LOC119071114|XP_037031655.1|BCOP	LOC118467641|XP_035794260.1|AALB
OG0000080	LOC119071117|XP_037031661.1|BCOP	LOC118464111|XP_035787092.1|AALB
OG0000080	LOC119071115|XP_037031659.1|BCOP, LOC119071116|XP_037031660.1|BCOP	LOC118460320|XP_035780425.1|AALB, LOC118460319|XP_035780424.1|AALB
OG0000081	LOC119066627|XP_037025085.1|BCOP, LOC119075064|XP_037037353.1|BCOP, LOC119080801|XP_037045266.1|BCOP	LOC118467883|XP_035794688.1|AALB, LOC118467885|XP_035794689.1|AALB
OG0000081	LOC119077978|XP_037041256.1|BCOP, LOC119079546|XP_037043429.1|BCOP, LOC119082960|XP_037048502.1|BCOP, LOC119082961|XP_037048503.1|BCOP, LOC119082962|XP_037048504.1|BCOP, LOC119066874|XP_037025443.1|BCOP, LOC119066603|XP_037025061.1|BCOP, LOC119083562|XP_037049185.1|BCOP, LOC119069899|XP_037030006.1|BCOP, LOC119080371|XP_037044567.1|BCOP	LOC118464126|XP_035787112.1|AALB
OG0000083	LOC119071144|XP_037031768.1|BCOP, LOC119066519|XP_037024932.1|BCOP, LOC119084806|XP_037050772.1|BCOP, LOC119077030|XP_037040043.1|BCOP	LOC118457381|XP_035774809.1|AALB, LOC118457852|XP_035775635.1|AALB, LOC118457853|XP_035775636.1|AALB
OG0000084	LOC119085264|XP_037051509.1|BCOP	LOC118464662|XP_035788063.1|AALB
OG0000084	LOC119071066|XP_037031596.1|BCOP, LOC119071181|XP_037031846.1|BCOP	LOC118460417|XP_035780598.1|AALB, LOC118464572|XP_035787906.1|AALB, LOC118464665|XP_035788069.1|AALB
OG0000085	LOC119078404|XP_037041802.1|BCOP, LOC119075491|XP_037037853.1|BCOP, LOC119078406|XP_037041805.1|BCOP, LOC119075492|XP_037037854.1|BCOP, LOC119082788|XP_037048277.1|BCOP, LOC119079916|XP_037043902.1|BCOP, LOC119073099|XP_037034308.1|BCOP, LOC119077221|XP_037040300.1|BCOP	LOC118463156|XP_035785432.1|AALB
OG0000085	LOC119077040|XP_037040059.1|BCOP	LOC118467757|XP_035794478.1|AALB
OG0000086	LOC119080738|XP_037045178.1|BCOP, LOC119067907|XP_037027094.1|BCOP, LOC119080632|XP_037044934.1|BCOP, LOC119068130|XP_037027486.1|BCOP	LOC118467052|XP_035792946.1|AALB
OG0000087	LOC119084681|XP_037050656.1|BCOP	LOC118461776|XP_035783398.1|AALB, LOC118461322|XP_035782419.1|AALB, LOC118461763|XP_035783391.1|AALB
OG0000088	LOC119079125|XP_037042849.1|BCOP	LOC118462894|XP_035784880.1|AALB
OG0000089	LOC119082274|XP_037047643.1|BCOP	LOC118464755|XP_035788267.1|AALB, LOC118458513|XP_035776977.1|AALB
OG0000089	LOC119068248|XP_037027675.1|BCOP	LOC118465461|XP_035789653.1|AALB
OG0000089	LOC119081420|XP_037046225.1|BCOP, LOC119081121|XP_037045760.1|BCOP, LOC119081493|XP_037046395.1|BCOP	LOC118462651|XP_035784397.1|AALB, LOC118467873|XP_035794676.1|AALB
OG0000089	LOC119085328|XP_037051605.1|BCOP	LOC118458730|XP_035777392.1|AALB
OG0000090	LOC119078560|XP_037042023.1|BCOP	LOC118465859|XP_035790384.1|AALB
OG0000090	LOC119072351|XP_037033434.1|BCOP, LOC119085017|XP_037051089.1|BCOP, LOC119071272|XP_037032032.1|BCOP, LOC119081800|XP_037046914.1|BCOP	LOC118464436|XP_035787701.1|AALB, LOC118464435|XP_035787700.1|AALB
