Orthogroup	BCOP.longest_only	AEAL.longest_only
OG0000005	LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP	LOC115255470|XP_029709453.1|AEAL, LOC115262910|XP_029721668.1|AEAL, LOC109621766|XP_019931446.2|AEAL, LOC115265236|XP_029725377.1|AEAL, LOC115263152|XP_029721939.1|AEAL, LOC115261259|XP_029718493.1|AEAL, LOC115261266|XP_029718501.1|AEAL, LOC115261255|XP_029718489.1|AEAL, LOC115261257|XP_029718491.1|AEAL, LOC115261289|XP_029718530.1|AEAL, LOC115261597|XP_029719357.1|AEAL, LOC115261594|XP_029719355.1|AEAL, LOC115261223|XP_029718457.1|AEAL, LOC115261254|XP_029718488.1|AEAL, LOC115261256|XP_029718490.1|AEAL, LOC115261258|XP_029718492.1|AEAL, LOC115261260|XP_029718495.1|AEAL, LOC109398605|XP_019526537.1|AEAL, LOC109398661|XP_029714684.1|AEAL
OG0000006	LOC119082428|XP_037047851.1|BCOP	LOC109431221|XP_019562978.1|AEAL, LOC109621653|XP_019931303.1|AEAL
OG0000006	LOC119077557|XP_037040663.1|BCOP	LOC115264612|XP_029724346.1|AEAL
OG0000006	LOC119075400|XP_037037739.1|BCOP	LOC115261264|XP_029718499.1|AEAL, LOC115261271|XP_029718506.1|AEAL, LOC115261261|XP_029718496.1|AEAL, LOC115261224|XP_029718458.1|AEAL, LOC115261225|XP_029718459.1|AEAL, LOC115261263|XP_029718498.1|AEAL, LOC115261262|XP_029718497.1|AEAL, LOC115261290|XP_029718531.1|AEAL, LOC115263330|XP_029722488.1|AEAL, LOC109418596|XP_019548347.2|AEAL, LOC115261265|XP_029718500.1|AEAL, LOC115261270|XP_029718504.1|AEAL
OG0000006	LOC119078394|XP_037041792.1|BCOP	LOC109431223|XP_019562981.1|AEAL
OG0000007	LOC119080766|XP_037045225.1|BCOP	LOC109417624|XP_019547214.2|AEAL, LOC109417822|XP_019547546.2|AEAL, LOC109417827|XP_019547550.2|AEAL
OG0000008	LOC119076148|XP_037038725.1|BCOP	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL, LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL
OG0000008	LOC119067198|XP_037025928.1|BCOP	LOC109409017|XP_019537970.1|AEAL, LOC115261399|XP_029718872.1|AEAL, LOC109429131|XP_029730081.1|AEAL, LOC109429134|XP_019560529.1|AEAL, LOC115261395|XP_029718863.1|AEAL, LOC115261400|XP_029718873.1|AEAL, LOC109409015|XP_029718862.1|AEAL
OG0000008	LOC119077089|XP_037040143.1|BCOP	LOC115258666|XP_029714842.1|AEAL, LOC109418542|XP_029714903.1|AEAL, LOC115258618|XP_029714768.1|AEAL
OG0000009	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP	LOC109421248|XP_029710358.1|AEAL, LOC109410814|XP_019539891.2|AEAL, LOC109421247|XP_019551278.2|AEAL, LOC109421196|XP_019551233.2|AEAL, LOC115256237|XP_029710360.1|AEAL, LOC109421246|XP_029710374.1|AEAL, LOC109410815|XP_029710361.1|AEAL, LOC109410828|XP_029725091.1|AEAL, LOC115268621|XP_029732616.1|AEAL, LOC109621352|XP_019930946.2|AEAL, LOC109410832|XP_019539911.2|AEAL, LOC115265026|XP_029725093.1|AEAL, LOC115266859|XP_029729327.1|AEAL, LOC109621393|XP_029732578.1|AEAL, LOC109427506|XP_019558604.2|AEAL, LOC109432620|XP_019564525.2|AEAL, LOC109405071|XP_019533608.2|AEAL, LOC109405076|XP_019533612.2|AEAL, LOC109397914|XP_019525799.2|AEAL, LOC109406992|XP_019535559.2|AEAL, LOC109406984|XP_029711464.1|AEAL, LOC109406989|XP_019535556.2|AEAL, LOC109397917|XP_019525802.2|AEAL
OG0000010	LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP	LOC115261272|XP_029718507.1|AEAL
OG0000010	LOC119077564|XP_037040669.1|BCOP	LOC109401799|XP_029718532.1|AEAL
OG0000010	LOC119075519|XP_037037884.1|BCOP, LOC119082442|XP_037047864.1|BCOP	LOC115261269|XP_029718503.1|AEAL, LOC115264607|XP_029724331.1|AEAL
OG0000012	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP	LOC109423253|XP_029726458.1|AEAL, LOC109423301|XP_019553773.2|AEAL
OG0000013	LOC119078237|XP_037041593.1|BCOP	LOC109401240|XP_019529248.2|AEAL
OG0000013	LOC119071389|XP_037032165.1|BCOP	LOC109413675|XP_019542933.1|AEAL, LOC109413676|XP_029727534.1|AEAL
OG0000013	LOC119072742|XP_037033921.1|BCOP	LOC109429441|XP_029729534.1|AEAL, LOC109425568|XP_029729465.1|AEAL
OG0000013	LOC119068977|XP_037028742.1|BCOP	LOC109427543|XP_019558656.2|AEAL, LOC115256412|XP_029710769.1|AEAL, LOC115269375|XP_029733907.1|AEAL
OG0000013	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP	LOC109400253|XP_029725161.1|AEAL, LOC115264117|XP_029723308.1|AEAL, LOC109423611|XP_019554131.2|AEAL, LOC115268774|XP_029732800.1|AEAL, LOC109423617|XP_019554136.2|AEAL, LOC115266508|XP_029728614.1|AEAL, LOC115265081|XP_029725162.1|AEAL, LOC115264108|XP_029723289.1|AEAL, LOC115264115|XP_029723306.1|AEAL, LOC109423616|XP_029728615.1|AEAL, LOC109400264|XP_019528292.2|AEAL, LOC115264109|XP_029723290.1|AEAL, LOC109423619|XP_019554137.2|AEAL, LOC109400270|XP_019528297.2|AEAL, LOC115264105|XP_029723288.1|AEAL, LOC109400252|XP_019528281.2|AEAL, LOC115266509|XP_029728616.1|AEAL, LOC109423613|XP_019554133.2|AEAL, LOC109423612|XP_029728617.1|AEAL, LOC109400251|XP_019528280.2|AEAL, LOC115265080|XP_029725160.1|AEAL
OG0000014	LOC119066014|XP_037024126.1|BCOP	LOC115264834|XP_029724698.1|AEAL, LOC115255174|XP_029708964.1|AEAL, LOC115258617|XP_029714765.1|AEAL, LOC115254741|XP_029708279.1|AEAL, LOC115261576|XP_029719333.1|AEAL, LOC115255704|XP_029709664.1|AEAL, LOC115255748|XP_029709726.1|AEAL, LOC115260149|XP_029716918.1|AEAL, LOC115264822|XP_029724696.1|AEAL, LOC115265232|XP_029725374.1|AEAL
OG0000014	LOC119085658|XP_037052000.1|BCOP, LOC119078378|XP_037041775.1|BCOP	LOC109406986|XP_029718883.1|AEAL
OG0000014	LOC119082957|XP_037048500.1|BCOP, LOC119077000|XP_037040000.1|BCOP	LOC115260572|XP_029717367.1|AEAL
OG0000016	LOC119069122|XP_037028916.1|BCOP	LOC109404004|XP_019532410.1|AEAL, LOC109432056|XP_019563901.1|AEAL
OG0000016	LOC119073565|XP_037035016.1|BCOP	LOC115267287|XP_029730061.1|AEAL, LOC109426671|XP_019557748.2|AEAL
OG0000016	LOC119070068|XP_037030257.1|BCOP	LOC109405344|XP_029709586.1|AEAL, LOC109397804|XP_029709571.1|AEAL, LOC115253654|XP_029709604.1|AEAL
OG0000016	LOC119072516|XP_037033655.1|BCOP, LOC119084274|XP_037050089.1|BCOP, LOC119072264|XP_037033350.1|BCOP	LOC109432714|XP_019564645.1|AEAL, LOC109408752|XP_029730782.1|AEAL, LOC109401547|XP_029734087.1|AEAL, LOC109412625|XP_019541794.2|AEAL, LOC115264648|XP_029724442.1|AEAL, LOC115264655|XP_029724449.1|AEAL, LOC109401551|XP_029724420.1|AEAL, LOC115264654|XP_029724448.1|AEAL
OG0000016	LOC119072263|XP_037033347.1|BCOP	LOC115264649|XP_029724444.1|AEAL, LOC115264653|XP_029724447.1|AEAL, LOC109412623|XP_029734089.1|AEAL, LOC109401543|XP_019529658.1|AEAL, LOC115264650|XP_029724445.1|AEAL, LOC109401546|XP_019529660.1|AEAL, LOC109412626|XP_019541796.1|AEAL, LOC115269457|XP_029734090.1|AEAL
OG0000018	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP	LOC109414002|XP_019543272.1|AEAL
OG0000018	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP	LOC109399209|XP_019527192.1|AEAL, LOC109415712|XP_019545185.2|AEAL, LOC109416102|XP_019545617.2|AEAL, LOC109413967|XP_019543245.2|AEAL, LOC109399166|XP_019527139.1|AEAL, LOC109413968|XP_029726577.1|AEAL, LOC109413965|XP_019543244.1|AEAL, LOC115258683|XP_029714868.1|AEAL, LOC109398683|XP_019526605.1|AEAL, LOC109405058|XP_019533604.1|AEAL, LOC115258702|XP_029714905.1|AEAL, LOC115265099|XP_029725190.1|AEAL, LOC109405051|XP_019533595.1|AEAL, LOC109398688|XP_019526607.1|AEAL, LOC109413969|XP_019543246.2|AEAL
OG0000019	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP	LOC109623324|XP_029721557.1|AEAL, LOC109623384|XP_019933486.2|AEAL, LOC109426884|XP_029721552.1|AEAL, LOC109426908|XP_029721551.1|AEAL, LOC109623325|XP_019933423.1|AEAL, LOC109623386|XP_019933488.2|AEAL, LOC109426910|XP_019558013.2|AEAL, LOC109623385|XP_019933487.2|AEAL, LOC109426909|XP_019558012.2|AEAL, LOC109623326|XP_019933424.2|AEAL, LOC109426911|XP_019558015.2|AEAL, LOC109426885|XP_019557991.2|AEAL, LOC109623383|XP_029721553.1|AEAL, LOC109426882|XP_019557987.2|AEAL
OG0000019	LOC119082044|XP_037047265.1|BCOP	LOC109415812|XP_019545289.2|AEAL, LOC115267448|XP_029730327.1|AEAL
OG0000020	LOC119070432|XP_037030669.1|BCOP	LOC115268755|XP_029732776.1|AEAL, LOC109402380|XP_029718005.1|AEAL, LOC109405472|XP_029732768.1|AEAL, LOC115260817|XP_029718001.1|AEAL, LOC109402397|XP_029712618.1|AEAL
OG0000020	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP	LOC115253451|XP_029718002.1|AEAL, LOC109402396|XP_019530601.2|AEAL
OG0000020	LOC119077634|XP_037040747.1|BCOP	LOC109417980|XP_029713947.1|AEAL, LOC109426856|XP_029732521.1|AEAL
OG0000020	LOC119084833|XP_037050813.1|BCOP, LOC119077828|XP_037041031.1|BCOP, LOC119075380|XP_037037714.1|BCOP	LOC109424074|XP_019554703.2|AEAL
OG0000021	LOC119076102|XP_037038654.1|BCOP	LOC109418363|XP_029721863.1|AEAL, LOC109418407|XP_029721534.1|AEAL, LOC109426122|XP_029723111.1|AEAL
OG0000021	LOC119074653|XP_037036827.1|BCOP, LOC119078339|XP_037041737.1|BCOP	LOC109412802|XP_029732887.1|AEAL
OG0000023	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP	LOC109403033|XP_019531286.2|AEAL, LOC109403032|XP_019531283.2|AEAL
OG0000024	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP	LOC109412054|XP_019541244.2|AEAL
OG0000025	LOC119074493|XP_037036540.1|BCOP	LOC109409461|XP_019538450.3|AEAL, LOC109413799|XP_019543073.1|AEAL
OG0000025	LOC119075511|XP_037037876.1|BCOP	LOC109431226|XP_029724373.1|AEAL
OG0000025	LOC119075399|XP_037037738.1|BCOP	LOC115264617|XP_029724354.1|AEAL
OG0000026	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP	LOC109399647|XP_019527683.2|AEAL, LOC115267833|XP_029731177.1|AEAL, LOC115267832|XP_029731174.1|AEAL, LOC109400782|XP_019528828.2|AEAL, LOC109399572|XP_019527592.2|AEAL, LOC109400780|XP_019528826.2|AEAL, LOC115265241|XP_029725389.1|AEAL, LOC109399573|XP_029731179.1|AEAL, LOC109400781|XP_019528827.2|AEAL, LOC115260441|XP_029717255.1|AEAL, LOC115264893|XP_029724783.1|AEAL, LOC109403546|XP_019531912.2|AEAL, LOC109399576|XP_019527597.2|AEAL, LOC115267834|XP_029731178.1|AEAL, LOC115260095|XP_029716826.1|AEAL, LOC109401312|XP_029721744.1|AEAL
OG0000026	LOC119084799|XP_037050765.1|BCOP	LOC109428786|XP_019560176.1|AEAL, LOC109405070|XP_019533611.1|AEAL, LOC115260980|XP_029718210.1|AEAL
OG0000027	LOC119077158|XP_037040243.1|BCOP	LOC109421336|XP_019551391.1|AEAL, LOC115265525|XP_029726926.1|AEAL, LOC115265811|XP_029727614.1|AEAL, LOC109432444|XP_019564322.2|AEAL, LOC109421229|XP_019551259.2|AEAL, LOC109432443|XP_019564321.2|AEAL, LOC109421228|XP_019551258.2|AEAL, LOC109421231|XP_019564335.2|AEAL
OG0000028	LOC119080979|XP_037045519.1|BCOP	LOC109426605|XP_029727488.1|AEAL, LOC115265692|XP_029727512.1|AEAL, LOC109426631|XP_029727489.1|AEAL, LOC109426606|XP_029727487.1|AEAL, LOC109426604|XP_019557684.2|AEAL, LOC109417943|XP_019547632.2|AEAL, LOC109426743|XP_029709980.1|AEAL, LOC109421165|XP_019551209.3|AEAL, LOC109623168|XP_019933220.2|AEAL
OG0000029	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP	LOC115269291|XP_029733734.1|AEAL, LOC109415312|XP_029733730.1|AEAL, LOC115269290|XP_029733731.1|AEAL, LOC109623195|XP_029733735.1|AEAL, LOC109623187|XP_029733727.1|AEAL, LOC109415309|XP_029733732.1|AEAL, LOC115269113|XP_029733384.1|AEAL, LOC109432586|XP_019564475.2|AEAL, LOC109397173|XP_029733388.1|AEAL, LOC109432589|XP_019564477.2|AEAL, LOC115269043|XP_029733198.1|AEAL, LOC109432591|XP_029733199.1|AEAL, LOC115269094|XP_029733307.1|AEAL, LOC109397170|XP_019525050.2|AEAL, LOC109432585|XP_029733202.1|AEAL, LOC115269114|XP_029733386.1|AEAL, LOC115269116|XP_029733389.1|AEAL, LOC115265698|XP_029727519.1|AEAL, LOC115265712|XP_029727533.1|AEAL, LOC115265694|XP_029727515.1|AEAL, LOC115264083|XP_029723257.1|AEAL, LOC115264363|XP_029723881.1|AEAL, LOC109425457|XP_019556272.2|AEAL, LOC115261105|XP_029718339.1|AEAL
OG0000031	LOC119082337|XP_037047744.1|BCOP, LOC119073860|XP_037035620.1|BCOP, LOC119083184|XP_037048737.1|BCOP	LOC109622184|XP_029732913.1|AEAL, LOC115267932|XP_029731534.1|AEAL, LOC109403189|XP_029731533.1|AEAL, LOC109622286|XP_029732911.1|AEAL, LOC109403147|XP_029732221.1|AEAL, LOC115268871|XP_029732907.1|AEAL, LOC109622133|XP_029731542.1|AEAL, LOC109403188|XP_029732912.1|AEAL, LOC109622182|XP_029731541.1|AEAL
OG0000031	LOC119070957|XP_037031407.1|BCOP, LOC119070655|XP_037030981.1|BCOP	LOC115253560|XP_029713715.1|AEAL, LOC115257879|XP_029713709.1|AEAL, LOC115257854|XP_029713671.1|AEAL, LOC109403394|XP_019531763.2|AEAL, LOC115257634|XP_029713321.1|AEAL, LOC115257385|XP_029712776.1|AEAL, LOC109403393|XP_029712807.1|AEAL, LOC115257883|XP_029713713.1|AEAL
OG0000032	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP	LOC109424805|XP_029724727.1|AEAL, LOC109414646|XP_019544030.2|AEAL, LOC109424803|XP_029724729.1|AEAL, LOC109414675|XP_019544050.2|AEAL, LOC109424791|XP_019555521.2|AEAL, LOC109414639|XP_029723585.1|AEAL, LOC109424779|XP_029724728.1|AEAL
OG0000034	LOC119081013|XP_037045591.1|BCOP	LOC109622501|XP_019932420.2|AEAL, LOC109622498|XP_029726333.1|AEAL
OG0000034	LOC119070626|XP_037030946.1|BCOP	LOC109422421|XP_019552762.2|AEAL
OG0000036	LOC119068370|XP_037027834.1|BCOP	LOC115267651|XP_029730653.1|AEAL, LOC109430321|XP_029722919.1|AEAL, LOC115253701|XP_029730650.1|AEAL
OG0000036	LOC119070319|XP_037030483.1|BCOP	LOC109424827|XP_019555564.2|AEAL
OG0000036	LOC119074646|XP_037036818.1|BCOP	LOC109414897|XP_019544289.2|AEAL, LOC109416024|XP_029731286.1|AEAL, LOC109414876|XP_029714408.1|AEAL, LOC109416023|XP_029731289.1|AEAL, LOC109427449|XP_029711324.1|AEAL, LOC109416028|XP_019545539.2|AEAL, LOC115269483|XP_029734122.1|AEAL, LOC115269488|XP_029734128.1|AEAL, LOC109425619|XP_029734679.1|AEAL, LOC115254234|XP_029734129.1|AEAL, LOC109425636|XP_019556421.2|AEAL, LOC109423473|XP_029734681.1|AEAL, LOC115269482|XP_029734121.1|AEAL, LOC109422852|XP_019553295.2|AEAL
OG0000037	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP	LOC109421512|XP_029727599.1|AEAL, LOC109421510|XP_019551560.2|AEAL, LOC109402061|XP_029711245.1|AEAL, LOC109622959|XP_019932969.2|AEAL, LOC109421511|XP_029717238.1|AEAL
OG0000038	LOC119080641|XP_037044950.1|BCOP	LOC109404373|XP_019532766.1|AEAL, LOC115270368|XP_029735750.1|AEAL
