Orthogroup	BCOP.longest_only	DYAK.longest_only
OG0000008	LOC119067198|XP_037025928.1|BCOP	LOC6532927|XP_002093663.1|DYAK
OG0000008	LOC119077089|XP_037040143.1|BCOP	LOC6527319|XP_002088412.1|DYAK
OG0000008	LOC119067264|XP_037026041.1|BCOP	LOC6532928|XP_002093664.1|DYAK
OG0000009	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP	LOC6535723|XP_002096349.3|DYAK, LOC6535721|XP_002096347.1|DYAK, LOC6535720|XP_002096346.1|DYAK, LOC6535722|XP_002096348.1|DYAK, LOC6533117|XP_002093843.1|DYAK, LOC6533118|XP_002093844.1|DYAK, LOC6532044|XP_002092821.1|DYAK, LOC6536768|XP_002097339.1|DYAK, LOC6530109|XP_002091055.1|DYAK, LOC6530111|XP_002091057.1|DYAK
OG0000010	LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP	LOC120321202|XP_039229121.1|DYAK, LOC120321245|XP_039229342.1|DYAK, LOC120322219|XP_039233209.1|DYAK
OG0000010	LOC119077564|XP_037040669.1|BCOP	LOC120322218|XP_039233208.1|DYAK
OG0000010	LOC119082442|XP_037047864.1|BCOP	LOC120322222|XP_039233212.1|DYAK
OG0000012	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP	LOC6530957|XP_002091795.1|DYAK, LOC6530958|XP_002091796.1|DYAK, LOC6530959|XP_015051811.1|DYAK, LOC6530956|XP_002091794.1|DYAK, LOC6530954|XP_002091792.1|DYAK, LOC6530955|XP_002091793.1|DYAK, LOC6530135|XP_002091081.1|DYAK, LOC6530133|XP_002091079.2|DYAK, LOC6530132|XP_002091078.1|DYAK, LOC6530131|XP_002091077.2|DYAK, LOC6530130|XP_002091076.1|DYAK, LOC6530129|XP_002091075.1|DYAK
OG0000013	LOC119078237|XP_037041593.1|BCOP	LOC6530359|XP_002091285.1|DYAK
OG0000013	LOC119071389|XP_037032165.1|BCOP	LOC6525539|XP_002101374.1|DYAK
OG0000013	LOC119072742|XP_037033921.1|BCOP	LOC6537221|XP_002097779.1|DYAK
OG0000013	LOC119068977|XP_037028742.1|BCOP	LOC6536907|XP_002097476.1|DYAK
OG0000013	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP	LOC6538786|XP_002099299.1|DYAK, LOC6536836|XP_039232142.1|DYAK, LOC6536837|XP_039232350.1|DYAK, LOC6536733|XP_039231378.1|DYAK, LOC26536199|XP_039231379.1|DYAK, LOC26535865|XP_039231377.1|DYAK
OG0000014	LOC119066014|XP_037024126.1|BCOP	LOC120322250|XP_039233239.1|DYAK, LOC120322248|XP_039233238.1|DYAK, LOC120321426|XP_039229753.1|DYAK
OG0000016	LOC119069122|XP_037028916.1|BCOP	LOC6536965|XP_002097534.1|DYAK, LOC6530731|XP_002091621.1|DYAK
OG0000016	LOC119071771|XP_037032720.1|BCOP	LOC6536862|XP_002097431.1|DYAK
OG0000016	LOC119070068|XP_037030257.1|BCOP	LOC6525488|XP_002101323.1|DYAK
OG0000016	LOC119072263|XP_037033347.1|BCOP	LOC6535129|XP_039230803.1|DYAK
OG0000018	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP	LOC6533164|XP_002093890.1|DYAK
OG0000018	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP	LOC26535738|XP_015049834.1|DYAK, LOC26535124|XP_015049835.1|DYAK, LOC26536164|XP_039229759.1|DYAK, LOC26535774|XP_015049832.1|DYAK, LOC6533166|XP_002093892.1|DYAK, LOC26534877|XP_015049829.1|DYAK, LOC26534805|XP_015049828.1|DYAK, LOC26535405|XP_015049827.1|DYAK, LOC26534941|XP_015049831.1|DYAK
OG0000019	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP, LOC119082044|XP_037047265.1|BCOP	LOC6538322|XP_039232218.1|DYAK, LOC6538324|XP_002098851.2|DYAK, LOC6538323|XP_002098850.2|DYAK, LOC6538326|XP_002098853.2|DYAK, LOC6538321|XP_002098848.1|DYAK, LOC6538320|XP_002098847.1|DYAK
OG0000020	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP	LOC6538082|XP_002098616.1|DYAK, LOC6530655|XP_002091553.1|DYAK
OG0000020	LOC119077634|XP_037040747.1|BCOP	LOC6529647|XP_002090641.1|DYAK, LOC6528749|XP_002089784.2|DYAK, LOC6527703|XP_002088787.1|DYAK, LOC6535735|XP_039231556.1|DYAK, LOC6537431|XP_002097987.1|DYAK, LOC6529263|XP_002090268.1|DYAK, LOC6529648|XP_002090642.1|DYAK
OG0000021	LOC119076102|XP_037038654.1|BCOP	LOC6526013|XP_039229713.1|DYAK
OG0000021	LOC119074653|XP_037036827.1|BCOP	LOC6538705|XP_002099220.3|DYAK
OG0000023	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP	LOC6536030|XP_002096645.2|DYAK, LOC6536027|XP_002096642.3|DYAK, LOC6536034|XP_002096649.3|DYAK, LOC6539886|XP_002086766.1|DYAK, LOC6531278|XP_002092087.2|DYAK, LOC26536093|XP_039232188.1|DYAK, LOC6536032|XP_039230972.1|DYAK, LOC6536035|XP_002096650.2|DYAK, LOC6540152|XP_039232191.1|DYAK
OG0000024	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP	LOC6530300|XP_002091227.1|DYAK, LOC6530298|XP_002091225.1|DYAK, LOC6530299|XP_002091226.1|DYAK, LOC6530302|XP_002091229.1|DYAK, LOC6530301|XP_002091228.2|DYAK, LOC6529811|XP_002090793.1|DYAK, LOC6530303|XP_002091230.1|DYAK, LOC6529951|XP_002090905.3|DYAK
OG0000025	LOC119074493|XP_037036540.1|BCOP	LOC6525230|XP_002101068.1|DYAK, LOC6527587|XP_002088675.1|DYAK
OG0000026	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP, LOC119084799|XP_037050765.1|BCOP	LOC6525544|XP_002101379.1|DYAK, LOC6535919|XP_002096535.1|DYAK
OG0000027	LOC119077158|XP_037040243.1|BCOP	LOC6526913|XP_002088012.1|DYAK
OG0000028	LOC119080979|XP_037045519.1|BCOP	LOC26534799|XP_015044645.1|DYAK, LOC26535937|XP_015050935.2|DYAK, LOC26535654|XP_015045147.2|DYAK, LOC26535087|XP_015045044.2|DYAK, LOC6534951|XP_039229813.1|DYAK, LOC6535078|XP_039229703.1|DYAK
OG0000029	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP	LOC6536587|XP_002097163.1|DYAK, LOC6528801|XP_002089833.1|DYAK, LOC6531052|XP_002091888.1|DYAK, LOC6536173|XP_002096764.1|DYAK, LOC6534230|XP_002094912.1|DYAK
OG0000030	LOC119070696|XP_037031044.1|BCOP	LOC6527318|XP_002088411.1|DYAK, LOC6527316|XP_002088409.2|DYAK, LOC6527317|XP_002088410.1|DYAK, LOC6526597|XP_002087705.1|DYAK, LOC6531827|XP_039228114.1|DYAK, LOC6524424|XP_002100282.1|DYAK, LOC6525109|XP_002100948.2|DYAK
OG0000031	LOC119082337|XP_037047744.1|BCOP, LOC119073860|XP_037035620.1|BCOP, LOC119083184|XP_037048737.1|BCOP	LOC6528958|XP_002089990.1|DYAK, LOC6528971|XP_002090003.2|DYAK, LOC6528984|XP_002090016.3|DYAK, LOC6529463|XP_002090465.2|DYAK, LOC6532903|XP_002093639.1|DYAK, LOC6526633|XP_002087741.1|DYAK, LOC6528983|XP_002090015.2|DYAK
OG0000032	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP	LOC6536794|XP_002097364.1|DYAK, LOC6536792|XP_002097362.1|DYAK, LOC6536800|XP_002097370.2|DYAK, LOC6536793|XP_002097363.1|DYAK, LOC6536802|XP_002097372.1|DYAK, LOC6536801|XP_002097371.1|DYAK
OG0000033	LOC119070917|XP_037031350.1|BCOP	LOC6538141|XP_039231494.1|DYAK, LOC6538142|XP_002098676.1|DYAK, LOC6530309|XP_039228670.1|DYAK, LOC6530310|XP_039228063.1|DYAK, LOC6528345|XP_002089398.1|DYAK, LOC6528344|XP_002089397.2|DYAK, LOC6528350|XP_002089399.1|DYAK, LOC6534298|XP_002094979.1|DYAK, LOC6535950|XP_002096566.1|DYAK, LOC6531400|XP_002092203.1|DYAK, LOC6531401|XP_002092204.1|DYAK
OG0000034	LOC119081013|XP_037045591.1|BCOP, LOC119070626|XP_037030946.1|BCOP, LOC119072973|XP_037034184.1|BCOP, LOC119072974|XP_037034185.1|BCOP, LOC119071410|XP_037032183.1|BCOP, LOC119070946|XP_037031394.1|BCOP, LOC119070948|XP_037031395.1|BCOP, LOC119070950|XP_037031397.1|BCOP, LOC119070428|XP_037030664.1|BCOP, LOC119077740|XP_037040914.1|BCOP, LOC119083666|XP_037049346.1|BCOP, LOC119066782|XP_037025340.1|BCOP	LOC6531351|XP_002092155.1|DYAK, LOC6529512|XP_002090514.1|DYAK, LOC6529511|XP_002090513.2|DYAK, LOC6529510|XP_002090512.1|DYAK, LOC6536871|XP_002097440.2|DYAK, LOC6529821|XP_002090802.3|DYAK, LOC6536872|XP_002097441.1|DYAK, LOC6527117|XP_002088210.1|DYAK
OG0000036	LOC119068370|XP_037027834.1|BCOP	LOC6536018|XP_002096633.1|DYAK
OG0000036	LOC119070319|XP_037030483.1|BCOP	LOC6537201|XP_002097759.1|DYAK
OG0000037	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP	LOC6531032|XP_002091868.2|DYAK, LOC6535647|XP_002096275.2|DYAK, LOC6535648|XP_002096276.2|DYAK
OG0000038	LOC119080641|XP_037044950.1|BCOP	LOC6539691|XP_002086577.2|DYAK
OG0000038	LOC119077484|XP_037040593.1|BCOP	LOC6534938|XP_039229728.1|DYAK
OG0000039	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP	LOC6537610|XP_002098156.2|DYAK
OG0000039	LOC119077423|XP_037040532.1|BCOP, LOC119083711|XP_037049395.1|BCOP	LOC6526007|XP_002101825.1|DYAK
OG0000041	LOC119070988|XP_037031473.1|BCOP	LOC6538543|XP_002099065.1|DYAK, LOC6538542|XP_002099064.1|DYAK, LOC6538540|XP_002099062.1|DYAK, LOC6538541|XP_002099063.1|DYAK, LOC6538533|XP_002099055.1|DYAK, LOC6538535|XP_039230997.1|DYAK, LOC6538534|XP_002099056.1|DYAK
OG0000042	LOC119068087|XP_037027400.1|BCOP	LOC6525924|XP_002101744.1|DYAK, LOC6531112|XP_002091946.1|DYAK, LOC6531108|XP_002091942.2|DYAK, LOC6531111|XP_002091945.1|DYAK, LOC6531109|XP_039228701.1|DYAK, LOC6531110|XP_002091944.2|DYAK, LOC6531107|XP_002091941.2|DYAK
OG0000043	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP, LOC119077492|XP_037040609.1|BCOP, LOC119068375|XP_037027839.1|BCOP, LOC119075787|XP_037038245.1|BCOP, LOC119084856|XP_037050885.1|BCOP	LOC6536588|XP_002097164.1|DYAK, LOC6536590|XP_002097166.1|DYAK, LOC6536589|XP_002097165.1|DYAK, LOC6536584|XP_002097160.1|DYAK, LOC6536592|XP_002097168.1|DYAK, LOC6536593|XP_039231638.1|DYAK, LOC6539005|XP_002099507.1|DYAK, LOC6536594|XP_002097170.1|DYAK
OG0000044	LOC119081961|XP_037047159.1|BCOP, LOC119070043|XP_037030222.1|BCOP	LOC6538530|XP_002099052.1|DYAK, LOC6538526|XP_002099048.1|DYAK, LOC6538525|XP_002099047.1|DYAK, LOC6538529|XP_002099051.1|DYAK, LOC6538527|XP_002099049.1|DYAK, LOC6538528|XP_002099050.1|DYAK, LOC6537407|XP_002097963.3|DYAK
OG0000047	LOC119076406|XP_037039030.1|BCOP, LOC119076447|XP_037039111.1|BCOP	LOC6531393|XP_002092196.1|DYAK, LOC6531396|XP_002092199.1|DYAK, LOC6529920|XP_002090877.1|DYAK, LOC6533594|XP_002094302.1|DYAK, LOC6529913|XP_002090870.1|DYAK, LOC6533595|XP_002094303.1|DYAK
OG0000049	LOC119075345|XP_037037670.1|BCOP, LOC119085689|XP_037052030.1|BCOP, LOC119071948|XP_037032968.1|BCOP, LOC119082085|XP_037047341.1|BCOP, LOC119078213|XP_037041568.1|BCOP	LOC6536652|XP_002097224.1|DYAK, LOC6537437|XP_002097993.1|DYAK, LOC6536653|XP_002097225.1|DYAK, LOC6536655|XP_002097227.1|DYAK, LOC6536654|XP_002097226.1|DYAK, LOC6537438|XP_002097994.1|DYAK
OG0000051	LOC119075282|XP_037037564.1|BCOP, LOC119084550|XP_037050461.1|BCOP, LOC119084548|XP_037050456.1|BCOP, LOC119077746|XP_037040925.1|BCOP, LOC119068575|XP_037028116.1|BCOP, LOC119080254|XP_037044399.1|BCOP, LOC119070436|XP_037030675.1|BCOP, LOC119068715|XP_037028299.1|BCOP, LOC119072641|XP_037033787.1|BCOP, LOC119073031|XP_037034245.1|BCOP	LOC6536236|XP_002096825.1|DYAK, LOC6536859|XP_002097428.1|DYAK, LOC6536777|XP_002097348.1|DYAK, LOC6537302|XP_002097860.1|DYAK, LOC6536778|XP_002097349.1|DYAK, LOC6536779|XP_002097350.1|DYAK
OG0000052	LOC119073702|XP_037035202.1|BCOP	LOC6536447|XP_002097028.1|DYAK, LOC6537955|XP_002098492.1|DYAK, LOC6536445|XP_002097026.2|DYAK, LOC6536449|XP_002097030.1|DYAK, LOC6536448|XP_002097029.1|DYAK, LOC6531034|XP_002091870.1|DYAK, LOC6531035|XP_002091871.1|DYAK
OG0000053	LOC119072494|XP_037033629.1|BCOP	LOC6528601|XP_002089644.1|DYAK, LOC6528600|XP_002089643.1|DYAK, LOC6528599|XP_002089642.1|DYAK
OG0000053	LOC119083998|XP_037049705.1|BCOP	LOC6528594|XP_002089637.3|DYAK
OG0000054	LOC119078880|XP_037042497.1|BCOP, LOC119074993|XP_037037290.1|BCOP, LOC119073438|XP_037034817.1|BCOP, LOC119073440|XP_037034823.1|BCOP, LOC119081720|XP_037046756.1|BCOP, LOC119083861|XP_037049555.1|BCOP, LOC119079462|XP_037043284.1|BCOP, LOC119073442|XP_037034826.1|BCOP, LOC119066738|XP_037025254.1|BCOP	LOC6537158|XP_002097719.1|DYAK, LOC6537157|XP_002097718.1|DYAK, LOC6537155|XP_002097716.1|DYAK, LOC6537156|XP_002097717.1|DYAK
OG0000056	LOC119075842|XP_037038285.1|BCOP, LOC119069079|XP_037028851.1|BCOP, LOC119070819|XP_037031210.1|BCOP, LOC119077330|XP_037040408.1|BCOP, LOC119083576|XP_037049217.1|BCOP, LOC119072255|XP_037033333.1|BCOP, LOC119080728|XP_037045140.1|BCOP, LOC119073796|XP_037035427.1|BCOP, LOC119076770|XP_037039620.1|BCOP, LOC119078571|XP_037042041.1|BCOP, LOC119080735|XP_037045174.1|BCOP, LOC119084316|XP_037050135.1|BCOP	LOC6537842|XP_002098383.1|DYAK, LOC6537843|XP_002098384.1|DYAK, LOC6537844|XP_002098385.1|DYAK, LOC6537846|XP_002098387.1|DYAK, LOC6537845|XP_002098386.1|DYAK, LOC6536528|XP_002097104.1|DYAK, LOC6536529|XP_002097105.1|DYAK
OG0000058	LOC119080858|XP_037045328.1|BCOP	LOC6530969|XP_002091807.2|DYAK, LOC6529786|XP_002090770.1|DYAK, LOC6530971|XP_002091809.1|DYAK, LOC6527116|XP_002088209.1|DYAK, LOC6524094|XP_002099958.2|DYAK
OG0000060	LOC119068417|XP_037027881.1|BCOP	LOC6524523|XP_002100380.1|DYAK
OG0000060	LOC119069761|XP_037029789.1|BCOP	LOC6538963|XP_002099466.1|DYAK
OG0000067	LOC119084735|XP_037050703.1|BCOP, LOC119072217|XP_037033292.1|BCOP, LOC119085607|XP_037051925.1|BCOP	LOC6535876|XP_002096492.1|DYAK, LOC6533078|XP_002093810.1|DYAK
OG0000067	LOC119085608|XP_037051927.1|BCOP	LOC6528771|XP_039227562.1|DYAK, LOC6533077|XP_002093809.1|DYAK
OG0000067	LOC119076438|XP_037039101.1|BCOP	LOC6539372|XP_002086266.2|DYAK
OG0000068	LOC119084165|XP_037049915.1|BCOP, LOC119072059|XP_037033087.1|BCOP, LOC119067027|XP_037025654.1|BCOP, LOC119070188|XP_037030388.1|BCOP, LOC119079055|XP_037042758.1|BCOP, LOC119072981|XP_037034196.1|BCOP	LOC6534297|XP_039230811.1|DYAK, LOC6535752|XP_002096375.3|DYAK, LOC6534288|XP_002094969.2|DYAK, LOC6530829|XP_002091712.2|DYAK, LOC6526162|XP_039231832.1|DYAK
OG0000070	LOC119071237|XP_037031965.1|BCOP	LOC6527107|XP_002088200.1|DYAK, LOC6523840|XP_002099713.1|DYAK, LOC6527108|XP_002088201.1|DYAK, LOC6525751|XP_002101573.1|DYAK
OG0000071	LOC119066621|XP_037025073.1|BCOP, LOC119075170|XP_037037491.1|BCOP	LOC6533773|XP_002094477.1|DYAK
OG0000071	LOC119077499|XP_037040619.1|BCOP, LOC119080663|XP_037044988.1|BCOP, LOC119072693|XP_037033860.1|BCOP, LOC119072013|XP_037033026.1|BCOP, LOC119071783|XP_037032737.1|BCOP, LOC119082689|XP_037048157.1|BCOP, LOC119071788|XP_037032744.1|BCOP, LOC119066595|XP_037025045.1|BCOP, LOC119082472|XP_037047886.1|BCOP, LOC119079098|XP_037042811.1|BCOP	LOC6534017|XP_002094704.2|DYAK, LOC6534016|XP_002094703.3|DYAK, LOC6534018|XP_002094705.1|DYAK
OG0000073	LOC119072039|XP_037033052.1|BCOP	LOC6531137|XP_002091971.1|DYAK
OG0000073	LOC119067527|XP_037026453.1|BCOP	LOC6523936|XP_039227706.1|DYAK
OG0000073	LOC119069220|XP_037029092.1|BCOP	LOC6535942|XP_039231524.1|DYAK
OG0000074	LOC119079099|XP_037042812.1|BCOP, LOC119067307|XP_037026110.1|BCOP, LOC119080892|XP_037045367.1|BCOP	LOC6533148|XP_002093874.3|DYAK, LOC6534311|XP_002094991.1|DYAK
OG0000075	LOC119080898|XP_037045374.1|BCOP, LOC119080899|XP_037045375.1|BCOP, LOC119080897|XP_037045372.1|BCOP	LOC6532580|XP_002093324.1|DYAK, LOC6532578|XP_002093322.1|DYAK, LOC6532579|XP_002093323.1|DYAK, LOC6532581|XP_002093325.1|DYAK
OG0000076	LOC119071813|XP_037032779.1|BCOP	LOC6532992|XP_002093727.1|DYAK
OG0000076	LOC119068533|XP_037028044.1|BCOP	LOC6525884|XP_002101704.3|DYAK
OG0000076	LOC119066422|XP_037024794.1|BCOP	LOC6525885|XP_002101705.1|DYAK
OG0000077	LOC119082353|XP_037047765.1|BCOP, LOC119082354|XP_037047766.1|BCOP	LOC6530939|XP_002091781.1|DYAK
OG0000077	LOC119076378|XP_037038990.1|BCOP	LOC6536356|XP_002096938.1|DYAK
OG0000077	LOC119071068|XP_037031598.1|BCOP	LOC6532023|XP_002092801.1|DYAK
OG0000077	LOC119069760|XP_037029786.1|BCOP	LOC6538194|XP_002098722.2|DYAK
