Orthogroup	BCOP.longest_only	DPSE.longest_only
OG0000006	LOC119070780|XP_037031154.1|BCOP	LOC117185637|XP_033241723.1|DPSE
OG0000007	LOC119080766|XP_037045225.1|BCOP	LOC6900428|XP_002134819.1|DPSE, LOC5495512|XP_001353851.2|DPSE, LOC5495507|XP_001353849.1|DPSE, LOC5495509|XP_001355939.3|DPSE, LOC4805058|XP_001361522.1|DPSE, LOC6896708|XP_002136922.1|DPSE, LOC4800234|XP_001357614.1|DPSE, LOC6896707|XP_002136921.2|DPSE, LOC4816610|XP_001355938.2|DPSE, LOC4813941|XP_001354103.1|DPSE, LOC4816998|XP_001356721.3|DPSE, LOC4813497|XP_001353852.2|DPSE, LOC4813468|XP_001353840.2|DPSE
OG0000008	LOC119076148|XP_037038725.1|BCOP	LOC4803265|XP_001360036.3|DPSE
OG0000008	LOC119067198|XP_037025928.1|BCOP	LOC6900302|XP_002135624.1|DPSE
OG0000008	LOC119077089|XP_037040143.1|BCOP	LOC6903158|XP_002132860.2|DPSE
OG0000009	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP	LOC6897995|XP_002138092.2|DPSE, LOC4803283|XP_001360048.3|DPSE, LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE, LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE, LOC4805603|XP_001361980.2|DPSE, LOC4802604|XP_001359493.2|DPSE, LOC4804281|XP_001360862.1|DPSE, LOC6898444|XP_002138487.3|DPSE
OG0000010	LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP	LOC117185619|XP_033241650.1|DPSE, LOC117183603|XP_033233990.1|DPSE
OG0000010	LOC119077564|XP_037040669.1|BCOP, LOC119075517|XP_037037883.1|BCOP	LOC117185640|XP_033241727.1|DPSE
OG0000010	LOC119082442|XP_037047864.1|BCOP	LOC26532676|XP_015035129.1|DPSE
OG0000010	LOC119082500|XP_037047910.1|BCOP	LOC117183563|XP_033233697.1|DPSE
OG0000012	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP	LOC4804261|XP_015039777.2|DPSE, LOC4804255|XP_001360842.2|DPSE, LOC4804254|XP_015039772.2|DPSE, LOC6898436|XP_033233736.1|DPSE, LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE, LOC4804256|XP_015039778.2|DPSE, LOC4804263|XP_001360847.3|DPSE, LOC6898438|XP_002138480.2|DPSE, LOC4804265|XP_001360848.3|DPSE, LOC6898439|XP_002138481.3|DPSE, LOC4804266|XP_033235099.1|DPSE
OG0000013	LOC119078237|XP_037041593.1|BCOP	LOC4805483|XP_001361878.1|DPSE
OG0000013	LOC119071389|XP_037032165.1|BCOP	LOC4815139|XP_001354758.1|DPSE
OG0000013	LOC119072742|XP_037033921.1|BCOP	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE
OG0000013	LOC119068977|XP_037028742.1|BCOP	LOC4801399|XP_001358499.2|DPSE
OG0000013	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE, LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE
OG0000016	LOC119069122|XP_037028916.1|BCOP	LOC4801993|XP_001359004.1|DPSE, LOC6898475|XP_002138517.1|DPSE
OG0000016	LOC119071771|XP_037032720.1|BCOP	LOC4801351|XP_001358460.1|DPSE
OG0000016	LOC119070068|XP_037030257.1|BCOP	LOC4814924|XP_001354857.1|DPSE
OG0000016	LOC119072263|XP_037033347.1|BCOP	LOC4812150|XP_001352883.1|DPSE
OG0000018	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP	LOC5495511|XP_001353833.1|DPSE
OG0000018	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP	LOC4813480|XP_001353827.2|DPSE, LOC4813481|XP_001353829.1|DPSE, LOC6900715|XP_002135078.1|DPSE, LOC6900712|XP_002135075.1|DPSE, LOC6900714|XP_002135077.1|DPSE, LOC6900713|XP_002135076.1|DPSE, LOC6900711|XP_002135074.2|DPSE, LOC6900710|XP_002135073.3|DPSE
OG0000019	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP, LOC119082044|XP_037047265.1|BCOP	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE, LOC4801129|XP_033235715.1|DPSE, LOC4801131|XP_001358273.2|DPSE, LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE
OG0000020	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP	LOC6896759|XP_002136966.1|DPSE, LOC4803770|XP_001360432.3|DPSE
OG0000020	LOC119077634|XP_037040747.1|BCOP	LOC6902791|XP_002132528.2|DPSE, LOC117183221|XP_033232918.1|DPSE, LOC6897832|XP_002137937.1|DPSE, LOC4818201|XP_033236143.1|DPSE
OG0000021	LOC119076102|XP_037038654.1|BCOP	LOC6901473|XP_033238237.1|DPSE
OG0000021	LOC119074653|XP_037036827.1|BCOP	LOC6897478|XP_002137627.1|DPSE
OG0000023	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP	LOC6897864|XP_033232668.1|DPSE, LOC4802962|XP_001359775.3|DPSE, LOC4802964|XP_001359777.4|DPSE, LOC4804210|XP_001360806.2|DPSE, LOC6897865|XP_033232678.1|DPSE, LOC4802957|XP_001359771.3|DPSE, LOC5495505|XP_001359769.4|DPSE, LOC5384073|XP_001359768.2|DPSE, LOC4802956|XP_015038205.2|DPSE
OG0000024	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP	LOC6898786|XP_002138763.2|DPSE, LOC6898785|XP_002138762.1|DPSE, LOC5495520|XP_001361563.3|DPSE, LOC4805107|XP_001361564.1|DPSE, LOC6899225|XP_002136299.3|DPSE, LOC5495508|XP_001361566.2|DPSE, LOC4805028|XP_001361496.1|DPSE
OG0000025	LOC119074493|XP_037036540.1|BCOP	LOC4816320|XP_001355964.1|DPSE, LOC6901557|XP_002134231.1|DPSE
OG0000025	LOC119075399|XP_037037738.1|BCOP	LOC117183559|XP_033233680.1|DPSE, LOC117183558|XP_033233678.1|DPSE
OG0000026	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP, LOC119084799|XP_037050765.1|BCOP	LOC4815876|XP_001355332.2|DPSE, LOC4801930|XP_001358948.3|DPSE, LOC6897388|XP_002137540.2|DPSE, LOC4800860|XP_001358060.2|DPSE
OG0000027	LOC119077158|XP_037040243.1|BCOP	LOC4817432|XP_001356466.2|DPSE
OG0000028	LOC119080979|XP_037045519.1|BCOP	LOC6900259|XP_002135588.3|DPSE, LOC26532152|XP_033239703.1|DPSE, LOC6900257|XP_033239706.1|DPSE, LOC117184834|XP_033239705.1|DPSE, LOC26533203|XP_015044031.2|DPSE, LOC6900258|XP_002135587.2|DPSE, LOC117183194|XP_033239704.1|DPSE, LOC117184835|XP_033239707.1|DPSE, LOC6900255|XP_002135584.2|DPSE, LOC6900007|XP_002135372.2|DPSE
OG0000029	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP	LOC117183538|XP_033233522.1|DPSE, LOC6898458|XP_002138501.2|DPSE, LOC26533066|XP_015039817.2|DPSE, LOC6897267|XP_033233167.1|DPSE, LOC4813458|XP_001353977.2|DPSE
OG0000030	LOC119070696|XP_037031044.1|BCOP	LOC4817563|XP_001356970.3|DPSE, LOC4817564|XP_002132859.2|DPSE, LOC6903157|XP_002132858.2|DPSE, LOC4817562|XP_001356969.3|DPSE, LOC4816660|XP_001355989.2|DPSE, LOC4804482|XP_001361038.2|DPSE, LOC4816069|XP_001355235.2|DPSE, LOC4815215|XP_001354948.2|DPSE
OG0000031	LOC119082337|XP_037047744.1|BCOP, LOC119073860|XP_037035620.1|BCOP, LOC119083184|XP_037048737.1|BCOP	LOC6902663|XP_015036753.2|DPSE, LOC6902656|XP_002133172.3|DPSE, LOC6902659|XP_033236257.1|DPSE, LOC6902665|XP_002133181.3|DPSE, LOC117184065|XP_033236023.1|DPSE
OG0000032	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP	LOC4800808|XP_001358017.2|DPSE, LOC6896921|XP_033236577.1|DPSE, LOC4800814|XP_001358021.1|DPSE, LOC4800811|XP_001358020.3|DPSE
OG0000033	LOC119070917|XP_037031350.1|BCOP	LOC6896947|XP_002137132.2|DPSE, LOC4800626|XP_001357867.3|DPSE, LOC6896839|XP_033241865.1|DPSE, LOC6898089|XP_002138174.1|DPSE, LOC6898093|XP_002138175.2|DPSE, LOC4800868|XP_001358066.3|DPSE
OG0000034	LOC119081013|XP_037045591.1|BCOP, LOC119070626|XP_037030946.1|BCOP, LOC119072973|XP_037034184.1|BCOP, LOC119072974|XP_037034185.1|BCOP, LOC119071410|XP_037032183.1|BCOP, LOC119070946|XP_037031394.1|BCOP, LOC119070948|XP_037031395.1|BCOP, LOC119070950|XP_037031397.1|BCOP, LOC119070428|XP_037030664.1|BCOP, LOC119077740|XP_037040914.1|BCOP, LOC119083666|XP_037049346.1|BCOP, LOC119066782|XP_037025340.1|BCOP	LOC4817450|XP_001356533.3|DPSE, LOC4817037|XP_001356534.3|DPSE, LOC6902878|XP_002132612.2|DPSE, LOC6902430|XP_033236728.1|DPSE, LOC6902429|XP_002133363.2|DPSE, LOC4816157|XP_001355874.3|DPSE
OG0000036	LOC119068370|XP_037027834.1|BCOP	LOC6897873|XP_002137975.2|DPSE
OG0000036	LOC119070319|XP_037030483.1|BCOP	LOC4801521|XP_033232300.1|DPSE
OG0000037	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP	LOC4803745|XP_001360410.4|DPSE, LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE
OG0000038	LOC119080641|XP_037044950.1|BCOP	LOC4812152|XP_001352947.2|DPSE
OG0000038	LOC119077484|XP_037040593.1|BCOP	LOC6900265|XP_002135594.2|DPSE
OG0000039	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP	LOC6897556|XP_033241818.1|DPSE
OG0000039	LOC119077423|XP_037040532.1|BCOP, LOC119083711|XP_037049395.1|BCOP	LOC6901668|XP_002134337.3|DPSE
OG0000041	LOC119070988|XP_037031473.1|BCOP	LOC6897576|XP_002137721.2|DPSE, LOC6897577|XP_002137722.1|DPSE, LOC4802353|XP_001359283.3|DPSE, LOC6897572|XP_033240353.1|DPSE
OG0000042	LOC119068087|XP_037027400.1|BCOP	LOC6902242|XP_002133769.2|DPSE, LOC4804794|XP_001361299.3|DPSE, LOC5495510|XP_001361301.4|DPSE, LOC6898652|XP_002138657.1|DPSE, LOC4804796|XP_033234018.1|DPSE, LOC6898651|XP_033233475.1|DPSE, LOC6902899|XP_002132633.1|DPSE, LOC4804792|XP_001361298.2|DPSE
OG0000043	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP, LOC119077492|XP_037040609.1|BCOP, LOC119068375|XP_037027839.1|BCOP, LOC119075787|XP_037038245.1|BCOP, LOC119084856|XP_037050885.1|BCOP	LOC4803128|XP_001359922.2|DPSE, LOC4803135|XP_001359927.2|DPSE, LOC6897936|XP_002138038.2|DPSE, LOC4803134|XP_001359926.3|DPSE, LOC4803126|XP_001359920.4|DPSE, LOC6897937|XP_002138039.2|DPSE, LOC4803132|XP_001359925.3|DPSE
OG0000044	LOC119081961|XP_037047159.1|BCOP, LOC119070043|XP_037030222.1|BCOP	LOC4802344|XP_001359278.1|DPSE, LOC6897570|XP_033232296.1|DPSE, LOC6899656|XP_033239795.1|DPSE, LOC6897571|XP_033232533.1|DPSE, LOC4802345|XP_001359279.2|DPSE, LOC4802849|XP_001359684.3|DPSE
OG0000047	LOC119076406|XP_037039030.1|BCOP, LOC119076447|XP_037039111.1|BCOP	LOC4803784|XP_001360446.3|DPSE, LOC4803787|XP_001360449.3|DPSE, LOC6898081|XP_002138166.2|DPSE, LOC4805168|XP_001361615.3|DPSE, LOC6903509|XP_002132386.2|DPSE, LOC6902682|XP_002133198.2|DPSE, LOC4805161|XP_001361611.2|DPSE, LOC4813116|XP_001353776.3|DPSE
OG0000049	LOC119081689|XP_037046681.1|BCOP	LOC6896800|XP_015037024.2|DPSE, LOC6896904|XP_002137091.3|DPSE
OG0000049	LOC119075345|XP_037037670.1|BCOP, LOC119085689|XP_037052030.1|BCOP, LOC119071948|XP_037032968.1|BCOP, LOC119082085|XP_037047341.1|BCOP, LOC119078213|XP_037041568.1|BCOP	LOC4800760|XP_001357975.3|DPSE, LOC4800765|XP_001357980.2|DPSE, LOC4800759|XP_001357974.3|DPSE, LOC4800761|XP_001357976.3|DPSE, LOC4800766|XP_001357981.4|DPSE, LOC4800764|XP_001357979.3|DPSE
OG0000051	LOC119075282|XP_037037564.1|BCOP, LOC119084550|XP_037050461.1|BCOP, LOC119084548|XP_037050456.1|BCOP, LOC119077746|XP_037040925.1|BCOP, LOC119068575|XP_037028116.1|BCOP, LOC119080254|XP_037044399.1|BCOP, LOC119070436|XP_037030675.1|BCOP, LOC119068715|XP_037028299.1|BCOP, LOC119072641|XP_037033787.1|BCOP, LOC119073031|XP_037034245.1|BCOP	LOC4802029|XP_001359029.3|DPSE, LOC6896948|XP_002137133.2|DPSE, LOC4800870|XP_001358067.3|DPSE, LOC6897665|XP_002137803.2|DPSE, LOC6897664|XP_033232373.1|DPSE
OG0000052	LOC119073702|XP_037035202.1|BCOP	LOC4801488|XP_001358571.4|DPSE, LOC4801489|XP_001358572.4|DPSE, LOC4803747|XP_001360412.1|DPSE, LOC4803748|XP_001360413.3|DPSE
OG0000053	LOC119072494|XP_037033629.1|BCOP	LOC4803611|XP_001360303.3|DPSE, LOC6898153|XP_002138231.3|DPSE, LOC4803609|XP_001360302.2|DPSE
OG0000053	LOC119083998|XP_037049705.1|BCOP	LOC6898150|XP_002138228.2|DPSE
OG0000054	LOC119078880|XP_037042497.1|BCOP, LOC119074993|XP_037037290.1|BCOP, LOC119073438|XP_037034817.1|BCOP, LOC119073440|XP_037034823.1|BCOP, LOC119081720|XP_037046756.1|BCOP, LOC119083861|XP_037049555.1|BCOP, LOC119079462|XP_037043284.1|BCOP, LOC119073442|XP_037034826.1|BCOP, LOC119066738|XP_037025254.1|BCOP	LOC117183732|XP_033234597.1|DPSE, LOC6898005|XP_002138098.2|DPSE, LOC4803309|XP_001360071.1|DPSE, LOC4803310|XP_001360074.4|DPSE, LOC5384075|XP_033232371.1|DPSE, LOC6898345|XP_002138398.2|DPSE, LOC5384076|XP_001360072.2|DPSE
OG0000056	LOC119075842|XP_037038285.1|BCOP, LOC119069079|XP_037028851.1|BCOP, LOC119070819|XP_037031210.1|BCOP, LOC119077330|XP_037040408.1|BCOP, LOC119083576|XP_037049217.1|BCOP, LOC119072255|XP_037033333.1|BCOP, LOC119080728|XP_037045140.1|BCOP, LOC119073796|XP_037035427.1|BCOP, LOC119076770|XP_037039620.1|BCOP, LOC119078571|XP_037042041.1|BCOP, LOC119080735|XP_037045174.1|BCOP, LOC119084316|XP_037050135.1|BCOP	LOC4800581|XP_015038723.2|DPSE, LOC6896822|XP_002137025.2|DPSE, LOC4800580|XP_001357831.3|DPSE, LOC6897000|XP_002137186.2|DPSE, LOC6896999|XP_002137185.2|DPSE
OG0000058	LOC119080858|XP_037045328.1|BCOP	LOC6902428|XP_002133362.2|DPSE, LOC6902422|XP_002133356.2|DPSE, LOC6898067|XP_002138152.1|DPSE, LOC4816156|XP_001355873.3|DPSE, LOC4816089|XP_001355320.2|DPSE
OG0000060	LOC119068417|XP_037027881.1|BCOP	LOC4816062|XP_001355381.1|DPSE
OG0000060	LOC119069761|XP_037029789.1|BCOP	LOC4800333|XP_033234022.1|DPSE
OG0000067	LOC119084735|XP_037050703.1|BCOP, LOC119072217|XP_037033292.1|BCOP, LOC119085607|XP_037051925.1|BCOP	LOC4801537|XP_001358611.3|DPSE, LOC4813294|XP_001353742.3|DPSE
OG0000067	LOC119085608|XP_037051927.1|BCOP	LOC4805303|XP_001361725.2|DPSE, LOC4813729|XP_001353743.2|DPSE
OG0000067	LOC119076438|XP_037039101.1|BCOP	LOC6901001|XP_033238396.1|DPSE
OG0000068	LOC119084165|XP_037049915.1|BCOP, LOC119072059|XP_037033087.1|BCOP, LOC119067027|XP_037025654.1|BCOP, LOC119070188|XP_037030388.1|BCOP, LOC119079055|XP_037042758.1|BCOP, LOC119072981|XP_037034196.1|BCOP	LOC6900642|XP_002135015.3|DPSE, LOC6896795|XP_033241765.1|DPSE, LOC26532323|XP_033236250.1|DPSE, LOC6902365|XP_002133311.2|DPSE, LOC4815620|XP_015041394.2|DPSE
OG0000070	LOC119071237|XP_037031965.1|BCOP	LOC4816245|XP_001355864.2|DPSE, LOC4815848|XP_001355583.2|DPSE, LOC4816246|XP_001355865.2|DPSE, LOC6902417|XP_002133351.2|DPSE
OG0000071	LOC119066621|XP_037025073.1|BCOP, LOC119075170|XP_037037491.1|BCOP	LOC6900130|XP_033241129.1|DPSE
OG0000071	LOC119077499|XP_037040619.1|BCOP, LOC119080663|XP_037044988.1|BCOP, LOC119072693|XP_037033860.1|BCOP, LOC119072013|XP_037033026.1|BCOP, LOC119071783|XP_037032737.1|BCOP, LOC119082689|XP_037048157.1|BCOP, LOC119071788|XP_037032744.1|BCOP, LOC119066595|XP_037025045.1|BCOP, LOC119082472|XP_037047886.1|BCOP, LOC119079098|XP_037042811.1|BCOP	LOC4811953|XP_001352897.3|DPSE, LOC6900213|XP_033239373.1|DPSE, LOC6900212|XP_002135544.1|DPSE
OG0000073	LOC119072039|XP_037033052.1|BCOP	LOC4804155|XP_001360761.3|DPSE
OG0000073	LOC119067527|XP_037026453.1|BCOP	LOC6902077|XP_033240712.1|DPSE
OG0000073	LOC119069220|XP_037029092.1|BCOP	LOC13036455|XP_003736334.2|DPSE
OG0000074	LOC119079099|XP_037042812.1|BCOP, LOC119067307|XP_037026110.1|BCOP, LOC119080892|XP_037045367.1|BCOP	LOC4813467|XP_001353839.3|DPSE, LOC4813167|XP_001353329.2|DPSE
