Orthogroup	BCOP.longest_only	DSAN.longest_only
OG0000008	LOC119067198|XP_037025928.1|BCOP	LOC120449655|XP_039488186.1|DSAN
OG0000008	LOC119077089|XP_037040143.1|BCOP	LOC120458586|XP_039502222.1|DSAN
OG0000008	LOC119067264|XP_037026041.1|BCOP	LOC120449658|XP_039488188.1|DSAN
OG0000009	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP	LOC120452846|XP_039493217.1|DSAN, LOC120453968|XP_039494853.1|DSAN, LOC120454581|XP_039495924.1|DSAN, LOC120452847|XP_039493218.1|DSAN, LOC120447920|XP_039485510.1|DSAN, LOC120447921|XP_039485511.1|DSAN, LOC120446532|XP_039483479.1|DSAN, LOC120453301|XP_039493868.1|DSAN, LOC120445192|XP_039481349.1|DSAN, LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN
OG0000010	LOC119077562|XP_037040668.1|BCOP, LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP, LOC119075111|XP_037037395.1|BCOP, LOC119075118|XP_037037401.1|BCOP, LOC119082431|XP_037047855.1|BCOP	LOC120446204|XP_039482989.1|DSAN
OG0000010	LOC119077564|XP_037040669.1|BCOP, LOC119075517|XP_037037883.1|BCOP	LOC120457684|XP_039501107.1|DSAN
OG0000012	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP	LOC120445821|XP_039482372.1|DSAN, LOC120445820|XP_039482371.1|DSAN, LOC120446192|XP_039482973.1|DSAN, LOC120446256|XP_039483062.1|DSAN, LOC120444865|XP_039480765.1|DSAN, LOC120445730|XP_039482234.1|DSAN, LOC120446629|XP_039483624.1|DSAN, LOC120446410|XP_039483290.1|DSAN, LOC120445226|XP_039481417.1|DSAN, LOC120446006|XP_039482689.1|DSAN, LOC120446007|XP_039482691.1|DSAN
OG0000013	LOC119078237|XP_037041593.1|BCOP	LOC120444466|XP_039480072.1|DSAN
OG0000013	LOC119071389|XP_037032165.1|BCOP	LOC120456796|XP_039499752.1|DSAN
OG0000013	LOC119072742|XP_037033921.1|BCOP	LOC120450753|XP_039489810.1|DSAN
OG0000013	LOC119068977|XP_037028742.1|BCOP	LOC120450808|XP_039489911.1|DSAN
OG0000013	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP	LOC120452623|XP_039492863.1|DSAN, LOC120450792|XP_039489887.1|DSAN, LOC120451564|XP_039491301.1|DSAN, LOC120454351|XP_039495505.1|DSAN, LOC120451683|XP_039491500.1|DSAN
OG0000016	LOC119069122|XP_037028916.1|BCOP	LOC120451140|XP_039490495.1|DSAN, LOC120444605|XP_039480314.1|DSAN
OG0000016	LOC119071771|XP_037032720.1|BCOP	LOC120454635|XP_039496058.1|DSAN
OG0000016	LOC119070068|XP_037030257.1|BCOP	LOC120457379|XP_039500852.1|DSAN
OG0000016	LOC119072263|XP_037033347.1|BCOP	LOC120450393|XP_039489322.1|DSAN
OG0000018	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP	LOC120448958|XP_039487148.1|DSAN
OG0000018	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP	LOC120449277|XP_039487593.1|DSAN, LOC120449281|XP_039487598.1|DSAN, LOC120447671|XP_039485130.1|DSAN, LOC120448951|XP_039487134.1|DSAN, LOC120448952|XP_039487135.1|DSAN, LOC120448659|XP_039486726.1|DSAN
OG0000019	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP, LOC119082044|XP_037047265.1|BCOP	LOC120453199|XP_039493718.1|DSAN, LOC120453201|XP_039493721.1|DSAN, LOC120453202|XP_039493723.1|DSAN, LOC120453194|XP_039493696.1|DSAN, LOC120453200|XP_039493720.1|DSAN, LOC120453203|XP_039493724.1|DSAN, LOC120453198|XP_039493717.1|DSAN
OG0000020	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP	LOC120451285|XP_039490765.1|DSAN, LOC120445014|XP_039481012.1|DSAN
OG0000020	LOC119077634|XP_037040747.1|BCOP	LOC120444384|XP_039479923.1|DSAN, LOC120445506|XP_039481897.1|DSAN, LOC120445000|XP_039480984.1|DSAN, LOC120450860|XP_039490007.1|DSAN, LOC120453863|XP_039494701.1|DSAN, LOC120457706|XP_039501135.1|DSAN, LOC120444385|XP_039479926.1|DSAN
OG0000021	LOC119076102|XP_037038654.1|BCOP	LOC120456405|XP_039499169.1|DSAN
OG0000021	LOC119074653|XP_037036827.1|BCOP	LOC120450748|XP_039489804.1|DSAN
OG0000023	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP	LOC120454389|XP_039495573.1|DSAN, LOC120453272|XP_039493833.1|DSAN, LOC120454388|XP_039495572.1|DSAN, LOC120444959|XP_039480909.1|DSAN, LOC120453781|XP_039494563.1|DSAN, LOC120453806|XP_039494614.1|DSAN, LOC120450927|XP_039490127.1|DSAN, LOC120453011|XP_039493460.1|DSAN, LOC120450929|XP_039490129.1|DSAN
OG0000024	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP	LOC120445294|XP_039481531.1|DSAN, LOC120446529|XP_039483475.1|DSAN, LOC120446530|XP_039483476.1|DSAN, LOC120445292|XP_039481529.1|DSAN, LOC120445293|XP_039481530.1|DSAN, LOC120446616|XP_039483595.1|DSAN, LOC120446257|XP_039483064.1|DSAN, LOC120446965|XP_039484167.1|DSAN
OG0000025	LOC119074493|XP_037036540.1|BCOP	LOC120453411|XP_039494047.1|DSAN, LOC120456451|XP_039499224.1|DSAN
OG0000025	LOC119078392|XP_037041789.1|BCOP	LOC120446200|XP_039482983.1|DSAN
OG0000025	LOC119075511|XP_037037876.1|BCOP	LOC120446199|XP_039482982.1|DSAN, LOC120457929|XP_039501366.1|DSAN
OG0000026	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP, LOC119084799|XP_037050765.1|BCOP	LOC120456651|XP_039499515.1|DSAN, LOC120453885|XP_039494736.1|DSAN
OG0000027	LOC119077158|XP_037040243.1|BCOP	LOC120458543|XP_039502157.1|DSAN
OG0000028	LOC119080979|XP_037045519.1|BCOP	LOC120447590|XP_039484991.1|DSAN, LOC120447589|XP_039484990.1|DSAN, LOC120447591|XP_039484992.1|DSAN, LOC120447592|XP_039484994.1|DSAN, LOC120447587|XP_039484989.1|DSAN, LOC120447866|XP_039485407.1|DSAN
OG0000029	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP	LOC120454032|XP_039494960.1|DSAN, LOC120450915|XP_039490111.1|DSAN, LOC120445653|XP_039482132.1|DSAN, LOC120452245|XP_039492306.1|DSAN, LOC120448524|XP_039486496.1|DSAN
OG0000030	LOC119070696|XP_037031044.1|BCOP	LOC120458250|XP_039501773.1|DSAN, LOC120458016|XP_039501452.1|DSAN, LOC120457864|XP_039501320.1|DSAN, LOC120458849|XP_039502609.1|DSAN, LOC120445779|XP_039482317.1|DSAN, LOC120455262|XP_039497197.1|DSAN, LOC120456032|XP_039498536.1|DSAN
OG0000031	LOC119082337|XP_037047744.1|BCOP, LOC119073860|XP_037035620.1|BCOP, LOC119083184|XP_037048737.1|BCOP	LOC120455351|XP_039497383.1|DSAN, LOC120458683|XP_039502393.1|DSAN, LOC120443942|XP_039479323.1|DSAN, LOC120446453|XP_039483382.1|DSAN, LOC120444733|XP_039480594.1|DSAN, LOC120450501|XP_039489486.1|DSAN, LOC120458846|XP_039502606.1|DSAN, LOC120443941|XP_039479322.1|DSAN
OG0000032	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP	LOC120451694|XP_039491522.1|DSAN, LOC120453292|XP_039493855.1|DSAN, LOC120453694|XP_039494449.1|DSAN, LOC120453066|XP_039493525.1|DSAN, LOC120451611|XP_039491379.1|DSAN, LOC120451410|XP_039491015.1|DSAN, LOC120451635|XP_039491427.1|DSAN
OG0000033	LOC119070917|XP_037031350.1|BCOP	LOC120452564|XP_039492778.1|DSAN, LOC120452239|XP_039492298.1|DSAN, LOC120445509|XP_039481901.1|DSAN, LOC120443742|XP_039478933.1|DSAN, LOC120443740|XP_039478930.1|DSAN, LOC120443741|XP_039478932.1|DSAN, LOC120447695|XP_039485159.1|DSAN, LOC120452485|XP_039492667.1|DSAN, LOC120446152|XP_039482915.1|DSAN, LOC120446144|XP_039482905.1|DSAN
OG0000034	LOC119081013|XP_037045591.1|BCOP, LOC119070626|XP_037030946.1|BCOP, LOC119072973|XP_037034184.1|BCOP, LOC119072974|XP_037034185.1|BCOP, LOC119071410|XP_037032183.1|BCOP, LOC119070946|XP_037031394.1|BCOP, LOC119070948|XP_037031395.1|BCOP, LOC119070950|XP_037031397.1|BCOP, LOC119070428|XP_037030664.1|BCOP, LOC119077740|XP_037040914.1|BCOP, LOC119083666|XP_037049346.1|BCOP, LOC119066782|XP_037025340.1|BCOP	LOC120445348|XP_039481622.1|DSAN, LOC120447094|XP_039484434.1|DSAN, LOC120447093|XP_039484433.1|DSAN, LOC120447092|XP_039484432.1|DSAN, LOC120453778|XP_039494559.1|DSAN, LOC120445471|XP_039481849.1|DSAN, LOC120452815|XP_039493155.1|DSAN, LOC120452816|XP_039493156.1|DSAN, LOC120458883|XP_039502653.1|DSAN
OG0000036	LOC119068370|XP_037027834.1|BCOP	LOC120453442|XP_039494083.1|DSAN
OG0000036	LOC119070319|XP_037030483.1|BCOP	LOC120450981|XP_039490212.1|DSAN
OG0000037	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP	LOC120445359|XP_039481651.1|DSAN, LOC120451056|XP_039490346.1|DSAN, LOC120451055|XP_039490345.1|DSAN
OG0000038	LOC119080641|XP_037044950.1|BCOP	LOC120447582|XP_039484984.1|DSAN
OG0000038	LOC119077484|XP_037040593.1|BCOP	LOC120448623|XP_039486674.1|DSAN
OG0000039	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP	LOC120453556|XP_039494243.1|DSAN
OG0000039	LOC119077423|XP_037040532.1|BCOP, LOC119083711|XP_037049395.1|BCOP	LOC120455951|XP_039498428.1|DSAN
OG0000041	LOC119070988|XP_037031473.1|BCOP	LOC120452967|XP_039493393.1|DSAN, LOC120452968|XP_039493395.1|DSAN, LOC120451583|XP_039491328.1|DSAN, LOC120453870|XP_039494709.1|DSAN, LOC120453724|XP_039494486.1|DSAN, LOC120451584|XP_039491329.1|DSAN, LOC120453723|XP_039494485.1|DSAN
OG0000042	LOC119068087|XP_037027400.1|BCOP	LOC120456654|XP_039499520.1|DSAN, LOC120446237|XP_039483042.1|DSAN, LOC120446238|XP_039483043.1|DSAN, LOC120446233|XP_039483037.1|DSAN, LOC120446235|XP_039483039.1|DSAN, LOC120446236|XP_039483040.1|DSAN, LOC120446234|XP_039483038.1|DSAN
OG0000043	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP, LOC119077492|XP_037040609.1|BCOP, LOC119068375|XP_037027839.1|BCOP, LOC119075787|XP_037038245.1|BCOP, LOC119084856|XP_037050885.1|BCOP	LOC120453988|XP_039494877.1|DSAN, LOC120453019|XP_039493471.1|DSAN, LOC120453349|XP_039493953.1|DSAN, LOC120453637|XP_039494364.1|DSAN, LOC120452792|XP_039493119.1|DSAN, LOC120454041|XP_039494968.1|DSAN, LOC120452693|XP_039492981.1|DSAN, LOC120453380|XP_039493988.1|DSAN
OG0000044	LOC119081961|XP_037047159.1|BCOP, LOC119070043|XP_037030222.1|BCOP	LOC120452826|XP_039493165.1|DSAN, LOC120453510|XP_039494189.1|DSAN, LOC120450906|XP_039490090.1|DSAN, LOC120451723|XP_039491559.1|DSAN, LOC120453660|XP_039494388.1|DSAN, LOC120453780|XP_039494561.1|DSAN, LOC120453569|XP_039494260.1|DSAN
OG0000047	LOC119076406|XP_037039030.1|BCOP, LOC119076447|XP_037039111.1|BCOP	LOC120446362|XP_039483228.1|DSAN, LOC120446445|XP_039483359.1|DSAN, LOC120447165|XP_039484555.1|DSAN, LOC120449448|XP_039487853.1|DSAN, LOC120446374|XP_039483239.1|DSAN, LOC120450023|XP_039488699.1|DSAN
OG0000049	LOC119075345|XP_037037670.1|BCOP, LOC119085689|XP_037052030.1|BCOP, LOC119071948|XP_037032968.1|BCOP, LOC119082085|XP_037047341.1|BCOP, LOC119078213|XP_037041568.1|BCOP	LOC120451912|XP_039491855.1|DSAN, LOC120454479|XP_039495747.1|DSAN, LOC120451908|XP_039491850.1|DSAN, LOC120451909|XP_039491851.1|DSAN, LOC120451911|XP_039491854.1|DSAN, LOC120454478|XP_039495745.1|DSAN
OG0000051	LOC119075282|XP_037037564.1|BCOP, LOC119084550|XP_037050461.1|BCOP, LOC119084548|XP_037050456.1|BCOP, LOC119077746|XP_037040925.1|BCOP, LOC119068575|XP_037028116.1|BCOP, LOC119080254|XP_037044399.1|BCOP, LOC119070436|XP_037030675.1|BCOP, LOC119068715|XP_037028299.1|BCOP, LOC119072641|XP_037033787.1|BCOP, LOC119073031|XP_037034245.1|BCOP	LOC120454079|XP_039495023.1|DSAN, LOC120450805|XP_039489908.1|DSAN, LOC120453085|XP_039493545.1|DSAN, LOC120452423|XP_039492584.1|DSAN, LOC120454116|XP_039495080.1|DSAN
OG0000052	LOC119073702|XP_037035202.1|BCOP	LOC120451899|XP_039491841.1|DSAN, LOC120452530|XP_039492728.1|DSAN, LOC120451902|XP_039491845.1|DSAN, LOC120451901|XP_039491844.1|DSAN, LOC120451898|XP_039491840.1|DSAN, LOC120451896|XP_039491839.1|DSAN, LOC120446961|XP_039484150.1|DSAN, LOC120446960|XP_039484149.1|DSAN
OG0000053	LOC119072494|XP_037033629.1|BCOP	LOC120458373|XP_039501926.1|DSAN, LOC120458372|XP_039501925.1|DSAN, LOC120458371|XP_039501924.1|DSAN
OG0000053	LOC119083998|XP_037049705.1|BCOP	LOC120458380|XP_039501934.1|DSAN
OG0000054	LOC119078880|XP_037042497.1|BCOP, LOC119074993|XP_037037290.1|BCOP, LOC119073438|XP_037034817.1|BCOP, LOC119073440|XP_037034823.1|BCOP, LOC119081720|XP_037046756.1|BCOP, LOC119083861|XP_037049555.1|BCOP, LOC119079462|XP_037043284.1|BCOP, LOC119073442|XP_037034826.1|BCOP, LOC119066738|XP_037025254.1|BCOP	LOC120451731|XP_039491574.1|DSAN, LOC120451217|XP_039490630.1|DSAN, LOC120451218|XP_039490631.1|DSAN, LOC120451219|XP_039490632.1|DSAN
OG0000056	LOC119075842|XP_037038285.1|BCOP, LOC119069079|XP_037028851.1|BCOP, LOC119070819|XP_037031210.1|BCOP, LOC119077330|XP_037040408.1|BCOP, LOC119083576|XP_037049217.1|BCOP, LOC119072255|XP_037033333.1|BCOP, LOC119080728|XP_037045140.1|BCOP, LOC119073796|XP_037035427.1|BCOP, LOC119076770|XP_037039620.1|BCOP, LOC119078571|XP_037042041.1|BCOP, LOC119080735|XP_037045174.1|BCOP, LOC119084316|XP_037050135.1|BCOP	LOC120454503|XP_039495790.1|DSAN, LOC120454502|XP_039495789.1|DSAN, LOC120454505|XP_039495792.1|DSAN, LOC120454507|XP_039495793.1|DSAN, LOC120454504|XP_039495791.1|DSAN, LOC120450990|XP_039490227.1|DSAN
OG0000058	LOC119080858|XP_037045328.1|BCOP	LOC120446054|XP_039482765.1|DSAN, LOC120446683|XP_039483696.1|DSAN, LOC120446675|XP_039483682.1|DSAN, LOC120456673|XP_039499561.1|DSAN, LOC120456892|XP_039499925.1|DSAN
OG0000060	LOC119068417|XP_037027881.1|BCOP	LOC120457148|XP_039500354.1|DSAN
OG0000060	LOC119069761|XP_037029789.1|BCOP	LOC120453827|XP_039494650.1|DSAN
OG0000067	LOC119084735|XP_037050703.1|BCOP, LOC119072217|XP_037033292.1|BCOP, LOC119085607|XP_037051925.1|BCOP	LOC120454266|XP_039495354.1|DSAN, LOC120457853|XP_039501305.1|DSAN, LOC120450458|XP_039489412.1|DSAN
OG0000067	LOC119085608|XP_037051927.1|BCOP	LOC120458360|XP_039501908.1|DSAN, LOC120450457|XP_039489411.1|DSAN
OG0000067	LOC119076438|XP_037039101.1|BCOP	LOC120448549|XP_039486536.1|DSAN
OG0000068	LOC119084165|XP_037049915.1|BCOP, LOC119072059|XP_037033087.1|BCOP, LOC119067027|XP_037025654.1|BCOP, LOC119070188|XP_037030388.1|BCOP, LOC119079055|XP_037042758.1|BCOP, LOC119072981|XP_037034196.1|BCOP	LOC120447690|XP_039485154.1|DSAN, LOC120450869|XP_039490026.1|DSAN, LOC120448372|XP_039486275.1|DSAN, LOC120447208|XP_039484652.1|DSAN, LOC120454977|XP_039496696.1|DSAN
OG0000070	LOC119071237|XP_037031965.1|BCOP	LOC120458437|XP_039502014.1|DSAN, LOC120456297|XP_039498979.1|DSAN, LOC120449441|XP_039488053.1|DSAN, LOC120456697|XP_039499596.1|DSAN
OG0000071	LOC119066621|XP_037025073.1|BCOP, LOC119075170|XP_037037491.1|BCOP	LOC120448314|XP_039486195.1|DSAN
OG0000071	LOC119077499|XP_037040619.1|BCOP, LOC119080663|XP_037044988.1|BCOP, LOC119072693|XP_037033860.1|BCOP, LOC119072013|XP_037033026.1|BCOP, LOC119071783|XP_037032737.1|BCOP, LOC119082689|XP_037048157.1|BCOP, LOC119071788|XP_037032744.1|BCOP, LOC119066595|XP_037025045.1|BCOP, LOC119082472|XP_037047886.1|BCOP, LOC119079098|XP_037042811.1|BCOP	LOC120449503|XP_039487937.1|DSAN, LOC120449500|XP_039487934.1|DSAN, LOC120449502|XP_039487935.1|DSAN
OG0000073	LOC119072039|XP_037033052.1|BCOP	LOC120444353|XP_039479869.1|DSAN
OG0000073	LOC119067527|XP_037026453.1|BCOP	LOC120456580|XP_039499414.1|DSAN
OG0000073	LOC119069220|XP_037029092.1|BCOP	LOC120454001|XP_039494904.1|DSAN
OG0000074	LOC119079099|XP_037042812.1|BCOP, LOC119067307|XP_037026110.1|BCOP, LOC119080892|XP_037045367.1|BCOP	LOC120449385|XP_039487757.1|DSAN, LOC120450528|XP_039489549.1|DSAN
OG0000075	LOC119080898|XP_037045374.1|BCOP, LOC119080899|XP_037045375.1|BCOP, LOC119080897|XP_037045372.1|BCOP	LOC120447488|XP_039484819.1|DSAN, LOC120449479|XP_039487889.1|DSAN, LOC120447493|XP_039484823.1|DSAN, LOC120447489|XP_039484820.1|DSAN
OG0000076	LOC119071813|XP_037032779.1|BCOP	LOC120447668|XP_039485120.1|DSAN
OG0000076	LOC119068533|XP_037028044.1|BCOP	LOC120455415|XP_039497494.1|DSAN
OG0000076	LOC119066422|XP_037024794.1|BCOP	LOC120455300|XP_039497274.1|DSAN
OG0000077	LOC119082353|XP_037047765.1|BCOP, LOC119082354|XP_037047766.1|BCOP	LOC120444282|XP_039479731.1|DSAN
OG0000077	LOC119076378|XP_037038990.1|BCOP	LOC120452789|XP_039493115.1|DSAN
OG0000077	LOC119071068|XP_037031598.1|BCOP	LOC120445437|XP_039481803.1|DSAN
OG0000077	LOC119069760|XP_037029786.1|BCOP	LOC120451310|XP_039490813.1|DSAN
OG0000078	LOC119072413|XP_037033522.1|BCOP	LOC120446615|XP_039483594.1|DSAN, LOC120449498|XP_039487932.1|DSAN, LOC120454154|XP_039495149.1|DSAN, LOC120455667|XP_039497996.1|DSAN, LOC120457056|XP_039500165.1|DSAN
OG0000079	LOC119073294|XP_037034574.1|BCOP	LOC120458928|XP_039502714.1|DSAN, LOC120458927|XP_039502713.1|DSAN, LOC120456240|XP_039498869.1|DSAN, LOC120453707|XP_039494467.1|DSAN
