Orthogroup	BCOP.longest_only	DSEC.longest_only
OG0000009	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC, LOC6619043|XP_032582932.1|DSEC, LOC6619041|XP_032576486.1|DSEC, LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC, LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC, LOC6619042|XP_032576485.1|DSEC, LOC6610926|XP_032574591.1|DSEC, LOC116801150|XP_032574906.1|DSEC, LOC6618810|XP_002043059.1|DSEC, LOC6606719|XP_002031518.1|DSEC, LOC6608841|XP_002033555.1|DSEC, LOC6608840|XP_002033554.1|DSEC
OG0000010	LOC119078398|XP_037041796.1|BCOP, LOC119067746|XP_037026771.1|BCOP, LOC119075105|XP_037037388.1|BCOP, LOC119075519|XP_037037884.1|BCOP, LOC119082442|XP_037047864.1|BCOP, LOC119082500|XP_037047910.1|BCOP, LOC119070779|XP_037031153.1|BCOP	LOC6606375|XP_032579311.1|DSEC
OG0000012	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP	LOC6609925|XP_002034575.2|DSEC, LOC6609924|XP_002034574.2|DSEC, LOC6609923|XP_032571611.1|DSEC, LOC6609926|XP_002034576.1|DSEC, LOC6609929|XP_032571342.1|DSEC, LOC6609927|XP_002034577.1|DSEC, LOC6608817|XP_032571423.1|DSEC, LOC6608818|XP_032571424.1|DSEC, LOC6608819|XP_002033533.2|DSEC, LOC6608820|XP_032571616.1|DSEC, LOC6608821|XP_032571618.1|DSEC, LOC6608822|XP_032571615.1|DSEC
OG0000013	LOC119078237|XP_037041593.1|BCOP	LOC6609116|XP_002033818.1|DSEC
OG0000013	LOC119071389|XP_037032165.1|BCOP	LOC6619913|XP_032582274.1|DSEC
OG0000013	LOC119072742|XP_037033921.1|BCOP	LOC6606301|XP_002031106.1|DSEC
OG0000013	LOC119068977|XP_037028742.1|BCOP	LOC6606578|XP_002031379.1|DSEC
OG0000013	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP	LOC6607674|XP_002032439.2|DSEC, LOC116801751|XP_032578918.1|DSEC, LOC6606753|XP_002031550.1|DSEC, LOC6606754|XP_002031551.1|DSEC
OG0000016	LOC119069122|XP_037028916.1|BCOP	LOC6606525|XP_002031326.2|DSEC, LOC6615268|XP_002039673.2|DSEC
OG0000016	LOC119071771|XP_037032720.1|BCOP	LOC6606623|XP_002031424.1|DSEC
OG0000016	LOC119070068|XP_037030257.1|BCOP	LOC6612339|XP_002036849.1|DSEC
OG0000016	LOC119072263|XP_037033347.1|BCOP	LOC6616531|XP_002040890.1|DSEC
OG0000018	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP	LOC6610980|XP_002035537.1|DSEC
OG0000018	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP	LOC6610987|XP_002035544.1|DSEC, LOC6610983|XP_002035540.1|DSEC, LOC6621634|XP_002045742.2|DSEC, LOC6610978|XP_002035535.1|DSEC, LOC6610976|XP_002035533.2|DSEC
OG0000019	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP, LOC119082044|XP_037047265.1|BCOP	LOC6617118|XP_002041445.1|DSEC, LOC6617116|XP_002041443.2|DSEC, LOC6617117|XP_002041444.1|DSEC, LOC6617113|XP_002041440.2|DSEC, LOC6617114|XP_002041441.1|DSEC, LOC6617119|XP_002041446.1|DSEC, LOC6617120|XP_032579359.1|DSEC
OG0000020	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP	LOC116801805|XP_032579403.1|DSEC, LOC6615344|XP_002039742.1|DSEC
OG0000020	LOC119077634|XP_037040747.1|BCOP	LOC6614620|XP_002039048.1|DSEC, LOC6608343|XP_032571142.1|DSEC, LOC6611665|XP_032583373.1|DSEC, LOC6619030|XP_032578205.1|DSEC, LOC6606811|XP_002031608.2|DSEC, LOC6618224|XP_032583413.1|DSEC, LOC6614621|XP_002039049.1|DSEC
OG0000021	LOC119076102|XP_037038654.1|BCOP	LOC6617550|XP_032580648.1|DSEC
OG0000021	LOC119074653|XP_037036827.1|BCOP	LOC6607757|XP_002032520.1|DSEC
OG0000023	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP	LOC6614266|XP_002038706.1|DSEC, LOC6614270|XP_002038710.2|DSEC, LOC6614272|XP_002038712.1|DSEC, LOC6615538|XP_002039917.1|DSEC, LOC6614271|XP_032578446.1|DSEC, LOC6614265|XP_002038705.1|DSEC, LOC6614261|XP_032579066.1|DSEC, LOC6614263|XP_002038703.1|DSEC, LOC6614259|XP_032579064.1|DSEC
OG0000024	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP	LOC116800706|XP_032573066.1|DSEC, LOC6608650|XP_002033384.1|DSEC, LOC6608651|XP_032573063.1|DSEC, LOC6618118|XP_002042417.2|DSEC, LOC6608649|XP_032571742.1|DSEC, LOC6609002|XP_002033708.1|DSEC
OG0000025	LOC119074493|XP_037036540.1|BCOP	LOC6619774|XP_032582021.1|DSEC, LOC6613440|XP_002037914.1|DSEC
OG0000026	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP, LOC119084799|XP_037050765.1|BCOP	LOC6619909|XP_002044121.1|DSEC, LOC6614041|XP_002038495.1|DSEC, LOC6620024|XP_002044237.2|DSEC
OG0000027	LOC119077158|XP_037040243.1|BCOP	LOC6611565|XP_002036103.2|DSEC
OG0000028	LOC119080979|XP_037045519.1|BCOP	LOC116801287|XP_032575822.1|DSEC, LOC116801288|XP_032575823.1|DSEC, LOC6619350|XP_032575819.1|DSEC, LOC116801283|XP_032575818.1|DSEC, LOC116800996|XP_032573943.1|DSEC, LOC116801284|XP_032575821.1|DSEC, LOC6619351|XP_032575820.1|DSEC, LOC6605908|XP_002030721.1|DSEC
OG0000029	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP	LOC6606884|XP_002031678.1|DSEC, LOC6608399|XP_002033133.1|DSEC, LOC6609830|XP_002034482.1|DSEC, LOC6611703|XP_002036237.1|DSEC, LOC6607309|XP_002032088.1|DSEC, LOC6618299|XP_002042572.1|DSEC
OG0000030	LOC119070696|XP_037031044.1|BCOP	LOC6617677|XP_032583255.1|DSEC, LOC6617675|XP_002041988.1|DSEC, LOC6617676|XP_002041989.1|DSEC, LOC6613129|XP_002037610.2|DSEC, LOC6615712|XP_002040083.1|DSEC, LOC6616124|XP_002040489.1|DSEC, LOC6615087|XP_032581969.1|DSEC
OG0000031	LOC119082337|XP_037047744.1|BCOP, LOC119073860|XP_037035620.1|BCOP, LOC119083184|XP_037048737.1|BCOP	LOC6613654|XP_002038124.2|DSEC, LOC6613642|XP_032571112.1|DSEC, LOC6611386|XP_002035931.1|DSEC, LOC116803563|XP_032583263.1|DSEC, LOC6610715|XP_032575982.1|DSEC, LOC6613163|XP_002037644.1|DSEC, LOC6608128|XP_002032876.2|DSEC
OG0000032	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP	LOC6606692|XP_002031492.2|DSEC, LOC6606694|XP_002031494.1|DSEC, LOC6606686|XP_002031486.2|DSEC, LOC6606689|XP_002031489.2|DSEC, LOC6606693|XP_002031493.1|DSEC, LOC6606685|XP_002031485.1|DSEC, LOC6606688|XP_002031488.1|DSEC
OG0000033	LOC119070917|XP_037031350.1|BCOP	LOC6612608|XP_032578226.1|DSEC, LOC6618199|XP_032571400.1|DSEC, LOC6618200|XP_032577814.1|DSEC, LOC6618198|XP_002042473.1|DSEC, LOC6607913|XP_002032667.1|DSEC, LOC6607912|XP_002032666.2|DSEC, LOC6607918|XP_002032668.1|DSEC, LOC6606119|XP_002030927.1|DSEC, LOC6614345|XP_002038784.1|DSEC, LOC6614346|XP_032579053.1|DSEC, LOC6609451|XP_002034136.1|DSEC, LOC6609450|XP_002034135.2|DSEC
OG0000034	LOC119081013|XP_037045591.1|BCOP, LOC119070626|XP_037030946.1|BCOP, LOC119072973|XP_037034184.1|BCOP, LOC119072974|XP_037034185.1|BCOP, LOC119071410|XP_037032183.1|BCOP, LOC119070946|XP_037031394.1|BCOP, LOC119070948|XP_037031395.1|BCOP, LOC119070950|XP_037031397.1|BCOP, LOC119070428|XP_037030664.1|BCOP, LOC119077740|XP_037040914.1|BCOP, LOC119083666|XP_037049346.1|BCOP, LOC119066782|XP_037025340.1|BCOP	LOC6609502|XP_032572499.1|DSEC, LOC6614428|XP_002038861.1|DSEC, LOC6614429|XP_032583720.1|DSEC, LOC6614430|XP_002038863.1|DSEC, LOC6618128|XP_032583108.1|DSEC, LOC6613602|XP_002038072.1|DSEC
OG0000036	LOC119068370|XP_037027834.1|BCOP	LOC6614280|XP_002038720.1|DSEC
OG0000036	LOC119070319|XP_037030483.1|BCOP	LOC6606280|XP_032578992.1|DSEC
OG0000037	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP	LOC6609848|XP_002034500.1|DSEC, LOC6619109|XP_002043349.1|DSEC, LOC6619108|XP_002043348.1|DSEC
OG0000038	LOC119080641|XP_037044950.1|BCOP	LOC6619358|XP_002043575.1|DSEC
OG0000038	LOC119077484|XP_037040593.1|BCOP	LOC6619360|XP_032575071.1|DSEC
OG0000039	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP	LOC6614108|XP_032577608.1|DSEC
OG0000039	LOC119077423|XP_037040532.1|BCOP, LOC119083711|XP_037049395.1|BCOP	LOC6617545|XP_032581966.1|DSEC
OG0000041	LOC119070988|XP_037031473.1|BCOP	LOC6619701|XP_002043916.1|DSEC, LOC6619702|XP_002043917.1|DSEC, LOC6619703|XP_032579544.1|DSEC, LOC6619709|XP_002043924.1|DSEC, LOC6619708|XP_032579543.1|DSEC, LOC116801819|XP_032579546.1|DSEC, LOC116801818|XP_032579545.1|DSEC
OG0000042	LOC119068087|XP_037027400.1|BCOP	LOC6617460|XP_002041777.2|DSEC, LOC6609765|XP_002034419.1|DSEC, LOC6609768|XP_002034422.2|DSEC, LOC6609766|XP_032571746.1|DSEC, LOC6609767|XP_032571748.1|DSEC, LOC116800694|XP_032572982.1|DSEC, LOC6609769|XP_002034423.2|DSEC
OG0000043	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP, LOC119077492|XP_037040609.1|BCOP, LOC119068375|XP_037027839.1|BCOP, LOC119075787|XP_037038245.1|BCOP, LOC119084856|XP_037050885.1|BCOP	LOC6606882|XP_002031676.2|DSEC, LOC6606880|XP_002031674.2|DSEC, LOC6606881|XP_032578763.1|DSEC, LOC6606886|XP_002031680.1|DSEC, LOC6606877|XP_032576948.1|DSEC, LOC6606875|XP_002031669.2|DSEC, LOC6612980|XP_002037471.1|DSEC, LOC6606874|XP_002031668.1|DSEC
OG0000044	LOC119081961|XP_037047159.1|BCOP, LOC119070043|XP_037030222.1|BCOP	LOC6619712|XP_032578272.1|DSEC, LOC6619716|XP_002043931.1|DSEC, LOC6619717|XP_002043932.1|DSEC, LOC6619713|XP_032578123.1|DSEC, LOC6619715|XP_002043930.1|DSEC, LOC6619714|XP_002043929.1|DSEC
OG0000047	LOC119076406|XP_037039030.1|BCOP, LOC119076447|XP_037039111.1|BCOP	LOC6609458|XP_002034143.1|DSEC, LOC6609455|XP_002034140.1|DSEC, LOC6609036|XP_032573031.1|DSEC, LOC6605158|XP_002029997.1|DSEC, LOC6609046|XP_032572064.1|DSEC, LOC6605159|XP_002029998.2|DSEC
OG0000049	LOC119075345|XP_037037670.1|BCOP, LOC119085689|XP_037052030.1|BCOP, LOC119071948|XP_037032968.1|BCOP, LOC119082085|XP_037047341.1|BCOP, LOC119078213|XP_037041568.1|BCOP	LOC6616787|XP_002041124.1|DSEC, LOC6616784|XP_002041121.1|DSEC, LOC6616788|XP_002041125.1|DSEC, LOC6616790|XP_032578183.1|DSEC, LOC6616789|XP_002041126.1|DSEC, LOC6616783|XP_002041120.1|DSEC
OG0000051	LOC119075282|XP_037037564.1|BCOP, LOC119084550|XP_037050461.1|BCOP, LOC119084548|XP_037050456.1|BCOP, LOC119077746|XP_037040925.1|BCOP, LOC119068575|XP_037028116.1|BCOP, LOC119080254|XP_037044399.1|BCOP, LOC119070436|XP_037030675.1|BCOP, LOC119068715|XP_037028299.1|BCOP, LOC119072641|XP_037033787.1|BCOP, LOC119073031|XP_037034245.1|BCOP	LOC6607242|XP_032578378.1|DSEC, LOC6606627|XP_002031428.1|DSEC, LOC6606391|XP_002031196.1|DSEC, LOC6606710|XP_002031509.1|DSEC, LOC6606709|XP_002031508.1|DSEC
OG0000052	LOC119073702|XP_037035202.1|BCOP	LOC6607024|XP_002031813.1|DSEC, LOC6607642|XP_002032407.1|DSEC, LOC6607025|XP_002031814.1|DSEC, LOC6607026|XP_002031815.1|DSEC, LOC6607022|XP_002031811.2|DSEC, LOC6607023|XP_002031812.1|DSEC, LOC6609846|XP_002034498.1|DSEC, LOC6609845|XP_002034497.1|DSEC
OG0000053	LOC119072494|XP_037033629.1|BCOP	LOC6608189|XP_002032934.2|DSEC, LOC6608187|XP_002032932.1|DSEC, LOC6608186|XP_002032931.2|DSEC
OG0000053	LOC119083998|XP_037049705.1|BCOP	LOC6608180|XP_002032925.1|DSEC
OG0000054	LOC119078880|XP_037042497.1|BCOP, LOC119074993|XP_037037290.1|BCOP, LOC119073438|XP_037034817.1|BCOP, LOC119073440|XP_037034823.1|BCOP, LOC119081720|XP_037046756.1|BCOP, LOC119083861|XP_037049555.1|BCOP, LOC119079462|XP_037043284.1|BCOP, LOC119073442|XP_037034826.1|BCOP, LOC119066738|XP_037025254.1|BCOP	LOC6606233|XP_002031041.1|DSEC, LOC6606232|XP_002031040.1|DSEC, LOC6606230|XP_002031038.1|DSEC, LOC6606231|XP_032576779.1|DSEC
OG0000056	LOC119075842|XP_037038285.1|BCOP, LOC119069079|XP_037028851.1|BCOP, LOC119070819|XP_037031210.1|BCOP, LOC119077330|XP_037040408.1|BCOP, LOC119083576|XP_037049217.1|BCOP, LOC119072255|XP_037033333.1|BCOP, LOC119080728|XP_037045140.1|BCOP, LOC119073796|XP_037035427.1|BCOP, LOC119076770|XP_037039620.1|BCOP, LOC119078571|XP_037042041.1|BCOP, LOC119080735|XP_037045174.1|BCOP, LOC119084316|XP_037050135.1|BCOP	LOC6607531|XP_002032300.1|DSEC, LOC6607532|XP_002032301.1|DSEC, LOC6607533|XP_002032302.1|DSEC, LOC6607534|XP_002032303.1|DSEC, LOC6606941|XP_002031735.1|DSEC, LOC6606940|XP_002031734.1|DSEC
OG0000058	LOC119080858|XP_037045328.1|BCOP	LOC6609913|XP_002034563.1|DSEC, LOC6614763|XP_002039182.2|DSEC, LOC6609912|XP_002034562.2|DSEC, LOC6609909|XP_032572423.1|DSEC, LOC6613603|XP_002038073.1|DSEC, LOC6612350|XP_002036859.1|DSEC
OG0000060	LOC119068417|XP_037027881.1|BCOP	LOC6618583|XP_002042842.1|DSEC
OG0000060	LOC119069761|XP_037029789.1|BCOP	LOC6612941|XP_032579191.1|DSEC
OG0000067	LOC119084735|XP_037050703.1|BCOP, LOC119072217|XP_037033292.1|BCOP, LOC119085607|XP_037051925.1|BCOP	LOC6620079|XP_002044291.1|DSEC, LOC6610892|XP_002035455.1|DSEC
OG0000067	LOC119085608|XP_037051927.1|BCOP	LOC6608367|XP_002033103.1|DSEC, LOC6610891|XP_002035454.1|DSEC
OG0000067	LOC119076438|XP_037039101.1|BCOP	LOC6616446|XP_002040807.1|DSEC
OG0000068	LOC119084165|XP_037049915.1|BCOP, LOC119072059|XP_037033087.1|BCOP, LOC119067027|XP_037025654.1|BCOP, LOC119070188|XP_037030388.1|BCOP, LOC119079055|XP_037042758.1|BCOP, LOC119072981|XP_037034196.1|BCOP	LOC6606120|XP_032575928.1|DSEC, LOC6620399|XP_032576530.1|DSEC, LOC6606128|XP_032573930.1|DSEC, LOC6610046|XP_002034662.2|DSEC, LOC6615215|XP_032581888.1|DSEC
OG0000070	LOC119071237|XP_037031965.1|BCOP	LOC6613612|XP_002038082.1|DSEC, LOC6615903|XP_002040271.1|DSEC, LOC6613611|XP_002038081.1|DSEC, LOC6614825|XP_002039244.1|DSEC
OG0000071	LOC119066621|XP_037025073.1|BCOP, LOC119075170|XP_037037491.1|BCOP	LOC6605331|XP_002030168.2|DSEC
OG0000071	LOC119077499|XP_037040619.1|BCOP, LOC119080663|XP_037044988.1|BCOP, LOC119072693|XP_037033860.1|BCOP, LOC119072013|XP_037033026.1|BCOP, LOC119071783|XP_037032737.1|BCOP, LOC119082689|XP_037048157.1|BCOP, LOC119071788|XP_037032744.1|BCOP, LOC119066595|XP_037025045.1|BCOP, LOC119082472|XP_037047886.1|BCOP, LOC119079098|XP_037042811.1|BCOP	LOC6605584|XP_032575054.1|DSEC, LOC6605583|XP_002030402.2|DSEC, LOC6605585|XP_002030404.1|DSEC
OG0000073	LOC119072039|XP_037033052.1|BCOP	LOC6609744|XP_002034398.2|DSEC
OG0000073	LOC119067527|XP_037026453.1|BCOP	LOC6616009|XP_032581764.1|DSEC
OG0000073	LOC119069220|XP_037029092.1|BCOP	LOC6614351|XP_032576696.1|DSEC
OG0000074	LOC119079099|XP_037042812.1|BCOP, LOC119067307|XP_037026110.1|BCOP, LOC119080892|XP_037045367.1|BCOP	LOC6610960|XP_002035517.1|DSEC, LOC6606103|XP_002030912.1|DSEC
OG0000075	LOC119080898|XP_037045374.1|BCOP, LOC119080899|XP_037045375.1|BCOP, LOC119080897|XP_037045372.1|BCOP	LOC6605016|XP_002029859.2|DSEC, LOC6605018|XP_002029861.1|DSEC, LOC6605017|XP_002029860.1|DSEC, LOC6605015|XP_002029858.1|DSEC
OG0000076	LOC119071813|XP_037032779.1|BCOP	LOC6610804|XP_032574471.1|DSEC
OG0000076	LOC119068533|XP_037028044.1|BCOP	LOC6614957|XP_002039374.1|DSEC
OG0000076	LOC119066422|XP_037024794.1|BCOP	LOC6614944|XP_032581504.1|DSEC, LOC6614958|XP_032581514.1|DSEC
OG0000077	LOC119082353|XP_037047765.1|BCOP, LOC119082354|XP_037047766.1|BCOP	LOC6609946|XP_002034592.1|DSEC
OG0000077	LOC119076378|XP_037038990.1|BCOP	LOC6607116|XP_002031904.1|DSEC
OG0000077	LOC119071068|XP_037031598.1|BCOP	LOC6618789|XP_002043039.2|DSEC
OG0000077	LOC119069760|XP_037029786.1|BCOP	LOC6618743|XP_032576637.1|DSEC
OG0000078	LOC119072413|XP_037033522.1|BCOP	LOC6609985|XP_032572329.1|DSEC, LOC6616471|XP_032574945.1|DSEC, LOC6614250|XP_032578587.1|DSEC, LOC6615175|XP_002039591.1|DSEC, LOC6618086|XP_002042384.1|DSEC
OG0000079	LOC119073294|XP_037034574.1|BCOP	LOC116801784|XP_032579181.1|DSEC, LOC6613269|XP_032579200.1|DSEC, LOC6613270|XP_032579159.1|DSEC, LOC6613271|XP_002037748.1|DSEC, LOC116801778|XP_032579140.1|DSEC
OG0000080	LOC119071115|XP_037031659.1|BCOP, LOC119071116|XP_037031660.1|BCOP	LOC6609553|XP_032570859.1|DSEC, LOC6609476|XP_002034161.1|DSEC
OG0000081	LOC119072492|XP_037033632.1|BCOP	LOC6610291|XP_002034886.1|DSEC
OG0000082	LOC119077224|XP_037040299.1|BCOP, LOC119077326|XP_037040404.1|BCOP, LOC119077878|XP_037041127.1|BCOP, LOC119069214|XP_037029085.1|BCOP, LOC119080439|XP_037044697.1|BCOP, LOC119067719|XP_037026731.1|BCOP, LOC119067656|XP_037026651.1|BCOP, LOC119067657|XP_037026652.1|BCOP, LOC119067658|XP_037026653.1|BCOP, LOC119075075|XP_037037362.1|BCOP, LOC119084030|XP_037049750.1|BCOP, LOC119079425|XP_037043226.1|BCOP, LOC119083787|XP_037049484.1|BCOP	LOC6615566|XP_002039940.2|DSEC, LOC6606452|XP_002031255.1|DSEC
OG0000083	LOC119071144|XP_037031768.1|BCOP, LOC119066519|XP_037024932.1|BCOP, LOC119084806|XP_037050772.1|BCOP	LOC116800215|XP_032569927.1|DSEC, LOC6611746|XP_002036269.1|DSEC, LOC6611745|XP_032583492.1|DSEC, LOC6611743|XP_032583597.1|DSEC, LOC6611744|XP_032583168.1|DSEC
OG0000083	LOC119077030|XP_037040043.1|BCOP	LOC6612009|XP_032569925.1|DSEC
OG0000084	LOC119071066|XP_037031596.1|BCOP, LOC119071181|XP_037031846.1|BCOP	LOC6609841|XP_002034493.1|DSEC
OG0000085	LOC119077040|XP_037040059.1|BCOP	LOC6608029|XP_032572862.1|DSEC
OG0000086	LOC119080738|XP_037045178.1|BCOP, LOC119067907|XP_037027094.1|BCOP, LOC119080632|XP_037044934.1|BCOP, LOC119068130|XP_037027486.1|BCOP	LOC6609922|XP_002034572.1|DSEC
OG0000087	LOC119084681|XP_037050656.1|BCOP	LOC6611885|XP_002036403.2|DSEC
