Orthogroup	BCOP.longest_only	DKIK.longest_only
OG0000008	LOC119077089|XP_037040143.1|BCOP	LOC108075890|XP_017023993.1|DKIK
OG0000008	LOC119067264|XP_037026041.1|BCOP	LOC108072727|XP_017019476.1|DKIK
OG0000009	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP	LOC108076150|XP_017024404.1|DKIK, LOC108076246|XP_017024517.1|DKIK, LOC108085665|XP_017037844.1|DKIK, LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK, LOC108075985|XP_017024164.1|DKIK, LOC108070751|XP_017016837.1|DKIK, LOC108080446|XP_017030671.1|DKIK, LOC108082335|XP_017033154.1|DKIK, LOC108082309|XP_017033129.1|DKIK, LOC108078551|XP_017027957.1|DKIK, LOC108078552|XP_017027958.1|DKIK, LOC108082375|XP_017033205.1|DKIK, LOC108082329|XP_017033149.1|DKIK, LOC108074693|XP_017022321.1|DKIK, LOC108082367|XP_017033197.1|DKIK, LOC108082310|XP_017033130.1|DKIK, LOC108082371|XP_017033201.1|DKIK
OG0000010	LOC119077564|XP_037040669.1|BCOP	LOC108072854|XP_017019661.1|DKIK
OG0000012	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP	LOC108076784|XP_017025279.1|DKIK, LOC108076783|XP_017025278.1|DKIK, LOC108076799|XP_017025312.1|DKIK, LOC108076590|XP_017024991.1|DKIK, LOC108076575|XP_017024974.1|DKIK, LOC108076815|XP_017025335.1|DKIK, LOC108076574|XP_017024973.1|DKIK, LOC108076609|XP_017025012.1|DKIK, LOC108082430|XP_017033289.1|DKIK, LOC108082433|XP_017033293.1|DKIK, LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK, LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK, LOC108082347|XP_017033172.1|DKIK, LOC108082320|XP_017033139.1|DKIK, LOC108082319|XP_017033138.1|DKIK
OG0000013	LOC119078237|XP_037041593.1|BCOP	LOC108074734|XP_017022389.1|DKIK
OG0000013	LOC119071389|XP_037032165.1|BCOP	LOC108079326|XP_017029113.1|DKIK
OG0000013	LOC119072742|XP_037033921.1|BCOP	LOC108084190|XP_017035777.1|DKIK
OG0000013	LOC119068977|XP_037028742.1|BCOP	LOC108080801|XP_017031181.1|DKIK
OG0000013	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK, LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK
OG0000016	LOC119069122|XP_037028916.1|BCOP	LOC108074071|XP_017021434.1|DKIK, LOC108078132|XP_017027246.1|DKIK
OG0000016	LOC119071771|XP_037032720.1|BCOP	LOC108085727|XP_017037944.1|DKIK
OG0000016	LOC119070068|XP_037030257.1|BCOP	LOC108084467|XP_017036167.1|DKIK
OG0000016	LOC119072263|XP_037033347.1|BCOP	LOC108075195|XP_017023019.1|DKIK
OG0000018	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP	LOC108071595|XP_017017864.1|DKIK
OG0000018	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP	LOC108071574|XP_017017844.1|DKIK, LOC108071603|XP_017017873.1|DKIK, LOC108071591|XP_017017861.1|DKIK, LOC108071573|XP_017017843.1|DKIK, LOC108071585|XP_017017855.1|DKIK, LOC108071604|XP_017017875.1|DKIK, LOC108071596|XP_017017865.1|DKIK, LOC108071599|XP_017017870.1|DKIK
OG0000019	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP, LOC119082044|XP_037047265.1|BCOP	LOC108084990|XP_017036905.1|DKIK, LOC108084992|XP_017036907.1|DKIK, LOC108084993|XP_017036908.1|DKIK, LOC108084902|XP_017036785.1|DKIK, LOC108084991|XP_017036906.1|DKIK, LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK
OG0000020	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP	LOC108075744|XP_017023787.1|DKIK, LOC108082576|XP_017033522.1|DKIK
OG0000020	LOC119077634|XP_037040747.1|BCOP	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK, LOC108074835|XP_017022525.1|DKIK, LOC108077930|XP_017026994.1|DKIK, LOC108072156|XP_017018689.1|DKIK, LOC108074862|XP_017022564.1|DKIK, LOC108074823|XP_017022510.1|DKIK
OG0000021	LOC119076102|XP_037038654.1|BCOP	LOC108083858|XP_017035332.1|DKIK
OG0000021	LOC119074653|XP_037036827.1|BCOP	LOC108073195|XP_017020199.1|DKIK
OG0000021	LOC119078339|XP_037041737.1|BCOP	LOC108074275|XP_017021739.1|DKIK
OG0000023	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP	LOC108084054|XP_017035562.1|DKIK, LOC108083991|XP_017035494.1|DKIK, LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK, LOC108078099|XP_017027186.1|DKIK, LOC108083995|XP_017035498.1|DKIK, LOC108083992|XP_017035495.1|DKIK, LOC108084052|XP_017035560.1|DKIK, LOC108084215|XP_017035827.1|DKIK, LOC108084051|XP_017035559.1|DKIK, LOC108084214|XP_017035825.1|DKIK
OG0000024	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP	LOC108078190|XP_017027347.1|DKIK, LOC108078326|XP_017027614.1|DKIK, LOC108078191|XP_017027348.1|DKIK, LOC108078192|XP_017027349.1|DKIK, LOC108072495|XP_017019150.1|DKIK, LOC108078211|XP_017027385.1|DKIK, LOC108070821|XP_017016922.1|DKIK
OG0000025	LOC119074493|XP_037036540.1|BCOP	LOC108083463|XP_017034734.1|DKIK, LOC108086239|XP_017038600.1|DKIK
OG0000025	LOC119078392|XP_037041789.1|BCOP	LOC108076484|XP_017024865.1|DKIK
OG0000025	LOC119075511|XP_037037876.1|BCOP	LOC108081074|XP_017031548.1|DKIK
OG0000026	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP, LOC119084799|XP_037050765.1|BCOP	LOC108079334|XP_017029126.1|DKIK, LOC108070686|XP_017016752.1|DKIK, LOC108075406|XP_017023320.1|DKIK
OG0000027	LOC119077158|XP_037040243.1|BCOP	LOC108079587|XP_017029421.1|DKIK
OG0000028	LOC119080979|XP_037045519.1|BCOP	LOC108083651|XP_017035012.1|DKIK, LOC108083637|XP_017034996.1|DKIK
OG0000029	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP	LOC108082661|XP_017033647.1|DKIK, LOC108077932|XP_017026959.1|DKIK, LOC108076869|XP_017025387.1|DKIK, LOC108085551|XP_017037679.1|DKIK, LOC108076852|XP_017025371.1|DKIK, LOC108076861|XP_017025380.1|DKIK, LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK, LOC108071401|XP_017017633.1|DKIK, LOC108080624|XP_017030937.1|DKIK
OG0000030	LOC119070696|XP_037031044.1|BCOP	LOC108075768|XP_017023819.1|DKIK, LOC108075896|XP_017024005.1|DKIK, LOC108075779|XP_017023830.1|DKIK, LOC108077325|XP_017026102.1|DKIK, LOC108076161|XP_017024376.1|DKIK, LOC108076242|XP_017024479.1|DKIK, LOC108083344|XP_017034576.1|DKIK, LOC108079999|XP_017030054.1|DKIK
OG0000031	LOC119082337|XP_037047744.1|BCOP, LOC119073860|XP_037035620.1|BCOP, LOC119083184|XP_037048737.1|BCOP	LOC108082121|XP_017032911.1|DKIK, LOC108075780|XP_017023827.1|DKIK, LOC108075783|XP_017023831.1|DKIK, LOC108075781|XP_017023828.1|DKIK, LOC108075782|XP_017023829.1|DKIK
OG0000032	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP	LOC108077824|XP_017026839.1|DKIK, LOC108077790|XP_017026779.1|DKIK, LOC108077711|XP_017026651.1|DKIK, LOC108077713|XP_017026652.1|DKIK, LOC108077714|XP_017026653.1|DKIK, LOC108077612|XP_017026507.1|DKIK, LOC108077846|XP_017026865.1|DKIK, LOC108074977|XP_017022699.1|DKIK, LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK, LOC108077628|XP_017026527.1|DKIK
OG0000033	LOC119070917|XP_037031350.1|BCOP	LOC108080886|XP_017031277.1|DKIK, LOC108080887|XP_017031279.1|DKIK, LOC108081203|XP_017031760.1|DKIK, LOC108080716|XP_017031056.1|DKIK, LOC108080717|XP_017031057.1|DKIK, LOC108080718|XP_017031058.1|DKIK, LOC108084001|XP_017035503.1|DKIK, LOC108076855|XP_017025374.1|DKIK, LOC108076138|XP_017024355.1|DKIK, LOC108076137|XP_017024354.1|DKIK, LOC108076136|XP_017024353.1|DKIK, LOC108084006|XP_017035508.1|DKIK, LOC108074461|XP_017022015.1|DKIK
OG0000034	LOC119081013|XP_037045591.1|BCOP, LOC119070626|XP_037030946.1|BCOP, LOC119072973|XP_037034184.1|BCOP, LOC119072974|XP_037034185.1|BCOP, LOC119071410|XP_037032183.1|BCOP, LOC119070946|XP_037031394.1|BCOP, LOC119070948|XP_037031395.1|BCOP, LOC119070950|XP_037031397.1|BCOP, LOC119070428|XP_037030664.1|BCOP, LOC119077740|XP_037040914.1|BCOP, LOC119083666|XP_037049346.1|BCOP, LOC119066782|XP_037025340.1|BCOP	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK, LOC108076836|XP_017025354.1|DKIK, LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK, LOC108082752|XP_017033757.1|DKIK, LOC108082754|XP_017033758.1|DKIK, LOC108082755|XP_017033759.1|DKIK
OG0000036	LOC119068370|XP_037027834.1|BCOP	LOC108084034|XP_017035539.1|DKIK
OG0000036	LOC119070319|XP_037030483.1|BCOP	LOC108081215|XP_017031778.1|DKIK
OG0000037	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP	LOC108082568|XP_017033513.1|DKIK, LOC108073148|XP_017020150.1|DKIK, LOC108073159|XP_017020158.1|DKIK
OG0000038	LOC119080641|XP_037044950.1|BCOP	LOC108083255|XP_017034451.1|DKIK
OG0000038	LOC119077484|XP_037040593.1|BCOP	LOC108083246|XP_017034442.1|DKIK
OG0000039	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP	LOC108081169|XP_017031714.1|DKIK
OG0000039	LOC119077423|XP_037040532.1|BCOP, LOC119083711|XP_037049395.1|BCOP	LOC108082955|XP_017034059.1|DKIK
OG0000041	LOC119070988|XP_037031473.1|BCOP	LOC108071265|XP_017017445.1|DKIK, LOC108071273|XP_017017453.1|DKIK, LOC108071358|XP_017017589.1|DKIK, LOC108072005|XP_017018471.1|DKIK, LOC108072016|XP_017018485.1|DKIK, LOC108072162|XP_017018696.1|DKIK, LOC108071355|XP_017017584.1|DKIK
OG0000042	LOC119068087|XP_037027400.1|BCOP	LOC108076653|XP_017025076.1|DKIK, LOC108076654|XP_017025077.1|DKIK, LOC108076655|XP_017025078.1|DKIK, LOC108076549|XP_017024949.1|DKIK, LOC108076658|XP_017025082.1|DKIK, LOC108076656|XP_017025079.1|DKIK, LOC108076652|XP_017025074.1|DKIK, LOC108076661|XP_017025084.1|DKIK, LOC108076660|XP_017025083.1|DKIK, LOC108076657|XP_017025080.1|DKIK
OG0000043	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP, LOC119077492|XP_037040609.1|BCOP, LOC119068375|XP_037027839.1|BCOP, LOC119075787|XP_037038245.1|BCOP, LOC119084856|XP_037050885.1|BCOP	LOC108081486|XP_017032174.1|DKIK, LOC108081508|XP_017032216.1|DKIK, LOC108081485|XP_017032173.1|DKIK, LOC108081478|XP_017032164.1|DKIK, LOC108081500|XP_017032208.1|DKIK, LOC108081483|XP_017032171.1|DKIK, LOC108086038|XP_017038347.1|DKIK, LOC108081480|XP_017032168.1|DKIK
OG0000044	LOC119081961|XP_037047159.1|BCOP, LOC119070043|XP_037030222.1|BCOP	LOC108071988|XP_017018451.1|DKIK, LOC108072003|XP_017018467.1|DKIK, LOC108072022|XP_017018491.1|DKIK, LOC108072004|XP_017018470.1|DKIK, LOC108072010|XP_017018477.1|DKIK, LOC108072006|XP_017018472.1|DKIK, LOC108072020|XP_017018489.1|DKIK, LOC108072017|XP_017018486.1|DKIK, LOC108082753|XP_017033762.1|DKIK
OG0000047	LOC119076406|XP_037039030.1|BCOP, LOC119076447|XP_037039111.1|BCOP	LOC108076173|XP_017024393.1|DKIK, LOC108076538|XP_017024940.1|DKIK, LOC108080858|XP_017031251.1|DKIK, LOC108078780|XP_017028320.1|DKIK, LOC108071908|XP_017018345.1|DKIK
OG0000049	LOC119075345|XP_037037670.1|BCOP, LOC119085689|XP_037052030.1|BCOP, LOC119071948|XP_037032968.1|BCOP, LOC119082085|XP_037047341.1|BCOP, LOC119078213|XP_037041568.1|BCOP	LOC108084080|XP_017035590.1|DKIK, LOC108084068|XP_017035576.1|DKIK, LOC108084077|XP_017035587.1|DKIK, LOC108084022|XP_017035524.1|DKIK, LOC108084023|XP_017035525.1|DKIK, LOC108084019|XP_017035520.1|DKIK
OG0000051	LOC119075282|XP_037037564.1|BCOP, LOC119084550|XP_037050461.1|BCOP, LOC119084548|XP_037050456.1|BCOP, LOC119077746|XP_037040925.1|BCOP, LOC119068575|XP_037028116.1|BCOP, LOC119080254|XP_037044399.1|BCOP, LOC119070436|XP_037030675.1|BCOP, LOC119068715|XP_037028299.1|BCOP, LOC119072641|XP_037033787.1|BCOP, LOC119073031|XP_037034245.1|BCOP	LOC108083217|XP_017034415.1|DKIK, LOC108085672|XP_017037854.1|DKIK, LOC108080429|XP_017030651.1|DKIK, LOC108080428|XP_017030650.1|DKIK
OG0000052	LOC119073702|XP_037035202.1|BCOP	LOC108084580|XP_017036343.1|DKIK, LOC108074446|XP_017021976.1|DKIK, LOC108085090|XP_017037048.1|DKIK, LOC108074588|XP_017022184.1|DKIK, LOC108084010|XP_017035511.1|DKIK, LOC108077591|XP_017026474.1|DKIK, LOC108084105|XP_017035621.1|DKIK, LOC108084092|XP_017035606.1|DKIK, LOC108084066|XP_017035574.1|DKIK, LOC108082278|XP_017033098.1|DKIK, LOC108082558|XP_017033497.1|DKIK
OG0000053	LOC119072494|XP_037033629.1|BCOP	LOC108070784|XP_017016873.1|DKIK, LOC108070783|XP_017016872.1|DKIK, LOC108070782|XP_017016871.1|DKIK
OG0000053	LOC119083998|XP_037049705.1|BCOP	LOC108070786|XP_017016875.1|DKIK
OG0000054	LOC119078880|XP_037042497.1|BCOP, LOC119074993|XP_037037290.1|BCOP, LOC119073438|XP_037034817.1|BCOP, LOC119073440|XP_037034823.1|BCOP, LOC119081720|XP_037046756.1|BCOP, LOC119083861|XP_037049555.1|BCOP, LOC119079462|XP_037043284.1|BCOP, LOC119073442|XP_037034826.1|BCOP, LOC119066738|XP_037025254.1|BCOP	LOC108081173|XP_017031718.1|DKIK, LOC108080878|XP_017031270.1|DKIK, LOC108080879|XP_017031271.1|DKIK, LOC108081160|XP_017031693.1|DKIK, LOC108081159|XP_017031690.1|DKIK
OG0000056	LOC119075842|XP_037038285.1|BCOP, LOC119069079|XP_037028851.1|BCOP, LOC119070819|XP_037031210.1|BCOP, LOC119077330|XP_037040408.1|BCOP, LOC119083576|XP_037049217.1|BCOP, LOC119072255|XP_037033333.1|BCOP, LOC119080728|XP_037045140.1|BCOP, LOC119073796|XP_037035427.1|BCOP, LOC119076770|XP_037039620.1|BCOP, LOC119078571|XP_037042041.1|BCOP, LOC119080735|XP_037045174.1|BCOP, LOC119084316|XP_037050135.1|BCOP	LOC108071295|XP_017017484.1|DKIK, LOC108071297|XP_017017486.1|DKIK, LOC108071299|XP_017017488.1|DKIK, LOC108071298|XP_017017487.1|DKIK, LOC108071296|XP_017017485.1|DKIK, LOC108077622|XP_017026519.1|DKIK, LOC108077830|XP_017026845.1|DKIK
OG0000058	LOC119080858|XP_037045328.1|BCOP	LOC108084972|XP_017036881.1|DKIK, LOC108082757|XP_017033763.1|DKIK, LOC108082758|XP_017033764.1|DKIK, LOC108070811|XP_017016903.1|DKIK
OG0000060	LOC119068417|XP_037027881.1|BCOP	LOC108080522|XP_017030803.1|DKIK
OG0000060	LOC119069761|XP_037029789.1|BCOP	LOC108085322|XP_017037367.1|DKIK
OG0000064	LOC119072676|XP_037033846.1|BCOP, LOC119084722|XP_037050692.1|BCOP, LOC119081134|XP_037045774.1|BCOP, LOC119085665|XP_037052008.1|BCOP	LOC108084033|XP_017035536.1|DKIK
OG0000067	LOC119084735|XP_037050703.1|BCOP, LOC119072217|XP_037033292.1|BCOP, LOC119085607|XP_037051925.1|BCOP	LOC108084848|XP_017036716.1|DKIK, LOC108085996|XP_017038286.1|DKIK
OG0000067	LOC119085608|XP_037051927.1|BCOP	LOC108077943|XP_017026970.1|DKIK, LOC108085995|XP_017038285.1|DKIK
OG0000067	LOC119076438|XP_037039101.1|BCOP	LOC108071874|XP_017018291.1|DKIK
OG0000068	LOC119084165|XP_037049915.1|BCOP, LOC119072059|XP_037033087.1|BCOP, LOC119067027|XP_037025654.1|BCOP, LOC119070188|XP_037030388.1|BCOP, LOC119079055|XP_037042758.1|BCOP, LOC119072981|XP_037034196.1|BCOP	LOC108071863|XP_017018280.1|DKIK, LOC108071864|XP_017018281.1|DKIK, LOC108084117|XP_017035637.1|DKIK, LOC108074164|XP_017021563.1|DKIK
OG0000070	LOC119071237|XP_037031965.1|BCOP	LOC108082879|XP_017033949.1|DKIK, LOC108076002|XP_017024145.1|DKIK, LOC108082683|XP_017033673.1|DKIK, LOC108082714|XP_017033711.1|DKIK
OG0000071	LOC119066621|XP_037025073.1|BCOP, LOC119075170|XP_037037491.1|BCOP	LOC108073779|XP_017021035.1|DKIK
OG0000071	LOC119077499|XP_037040619.1|BCOP, LOC119080663|XP_037044988.1|BCOP, LOC119072693|XP_037033860.1|BCOP, LOC119072013|XP_037033026.1|BCOP, LOC119071783|XP_037032737.1|BCOP, LOC119082689|XP_037048157.1|BCOP, LOC119071788|XP_037032744.1|BCOP, LOC119066595|XP_037025045.1|BCOP, LOC119082472|XP_037047886.1|BCOP, LOC119079098|XP_037042811.1|BCOP	LOC108070385|XP_017016325.1|DKIK, LOC108070384|XP_017016324.1|DKIK, LOC108070386|XP_017016326.1|DKIK
OG0000073	LOC119072039|XP_037033052.1|BCOP	LOC108082462|XP_017033327.1|DKIK
OG0000073	LOC119067527|XP_037026453.1|BCOP	LOC108079402|XP_017029216.1|DKIK
