Orthogroup	BCOP.longest_only	DPER.longest_only
OG0000006	LOC119078394|XP_037041792.1|BCOP	LOC113567395|XP_026850912.1|DPER
OG0000006	LOC119077559|XP_037040665.1|BCOP	LOC113567386|XP_026850891.1|DPER
OG0000007	LOC119080766|XP_037045225.1|BCOP	LOC6595910|XP_002021056.1|DPER, LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER, LOC6601482|XP_002026422.2|DPER, LOC6596309|XP_002021479.1|DPER, LOC6592462|XP_002017797.1|DPER, LOC6595007|XP_002020464.1|DPER, LOC6595006|XP_002020463.1|DPER, LOC6595005|XP_002020462.1|DPER, LOC6596310|XP_002021480.2|DPER, LOC6601214|XP_002026310.2|DPER, LOC6589529|XP_002015017.1|DPER, LOC6601483|XP_026847920.1|DPER, LOC6601458|XP_026847765.1|DPER
OG0000008	LOC119076148|XP_037038725.1|BCOP	LOC6594328|XP_026850351.1|DPER
OG0000008	LOC119067198|XP_037025928.1|BCOP	LOC6601897|XP_026849381.1|DPER
OG0000008	LOC119077089|XP_037040143.1|BCOP	LOC6595506|XP_002020611.1|DPER
OG0000008	LOC119067264|XP_037026041.1|BCOP	LOC113566715|XP_026849382.1|DPER
OG0000009	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP	LOC6594636|XP_026850331.1|DPER, LOC6594634|XP_002019930.1|DPER, LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER, LOC6591365|XP_002017250.2|DPER, LOC6604573|XP_026840043.1|DPER, LOC6591362|XP_002017247.1|DPER, LOC6591562|XP_002017111.1|DPER, LOC6601280|XP_026841960.1|DPER, LOC6591389|XP_002017359.1|DPER, LOC6590982|XP_002016547.1|DPER, LOC6590981|XP_002016546.2|DPER
OG0000010	LOC119077562|XP_037040668.1|BCOP, LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP, LOC119075111|XP_037037395.1|BCOP, LOC119075118|XP_037037401.1|BCOP, LOC119082431|XP_037047855.1|BCOP	LOC113567423|XP_026850962.1|DPER
OG0000010	LOC119077564|XP_037040669.1|BCOP	LOC113567415|XP_026850950.1|DPER
OG0000010	LOC119082442|XP_037047864.1|BCOP	LOC113567250|XP_026850220.1|DPER
OG0000012	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP	LOC6589910|XP_026840670.1|DPER, LOC6589909|XP_002016518.1|DPER, LOC6589908|XP_026841658.1|DPER, LOC6589911|XP_026840671.1|DPER, LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER, LOC6589912|XP_002016521.1|DPER, LOC6590586|XP_002016525.1|DPER, LOC6590587|XP_002016526.1|DPER, LOC6590588|XP_002016527.1|DPER, LOC6590215|XP_002016528.1|DPER, LOC6590216|XP_002016529.1|DPER
OG0000013	LOC119078237|XP_037041593.1|BCOP	LOC6600889|XP_026840828.1|DPER
OG0000013	LOC119071389|XP_037032165.1|BCOP	LOC6598353|XP_002023428.2|DPER
OG0000013	LOC119072742|XP_037033921.1|BCOP	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER
OG0000013	LOC119068977|XP_037028742.1|BCOP	LOC113564954|XP_026840479.1|DPER
OG0000013	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP	LOC6587278|XP_002013456.1|DPER, LOC6588391|XP_002013455.2|DPER, LOC6598714|XP_002023893.1|DPER, LOC6598715|XP_026850871.1|DPER
OG0000016	LOC119069122|XP_037028916.1|BCOP	LOC6587871|XP_002013173.2|DPER, LOC6593077|XP_002017890.1|DPER
OG0000016	LOC119071771|XP_037032720.1|BCOP	LOC6587678|XP_002013954.1|DPER
OG0000016	LOC119070068|XP_037030257.1|BCOP	LOC6599243|XP_002024300.1|DPER
OG0000016	LOC119072263|XP_037033347.1|BCOP	LOC6602189|XP_026848039.1|DPER
OG0000018	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP	LOC6601448|XP_002026450.1|DPER
OG0000018	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP	LOC6601452|XP_002026454.1|DPER, LOC6601451|XP_002026453.1|DPER, LOC6601450|XP_002026452.1|DPER, LOC6601447|XP_002026449.1|DPER, LOC6601443|XP_002026445.1|DPER, LOC6601446|XP_002026448.1|DPER, LOC6601444|XP_002026446.1|DPER, LOC6601454|XP_026847893.1|DPER, LOC6601453|XP_002026455.1|DPER
OG0000019	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP, LOC119082044|XP_037047265.1|BCOP	LOC6587177|XP_002013000.1|DPER, LOC6587211|XP_002013001.2|DPER, LOC113564910|XP_026840077.1|DPER, LOC6588514|XP_002012998.2|DPER, LOC6587186|XP_002012999.1|DPER, LOC6587637|XP_002013003.2|DPER, LOC6587295|XP_002013004.1|DPER, LOC6587205|XP_002013002.1|DPER
OG0000020	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP	LOC6594838|XP_002020242.2|DPER, LOC6590666|XP_002015941.1|DPER
OG0000020	LOC119077634|XP_037040747.1|BCOP	LOC6589657|XP_002014518.1|DPER, LOC6594627|XP_026850533.1|DPER, LOC6594128|XP_002019432.1|DPER, LOC6593366|XP_002018585.1|DPER, LOC6589656|XP_026844645.1|DPER
OG0000021	LOC119076102|XP_037038654.1|BCOP	LOC6599244|XP_026848260.1|DPER
OG0000021	LOC119074653|XP_037036827.1|BCOP	LOC113565817|XP_026844838.1|DPER
OG0000023	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP	LOC6594351|XP_026840807.1|DPER, LOC6594350|XP_002019529.2|DPER, LOC6594355|XP_002019534.1|DPER, LOC6594114|XP_002019536.2|DPER, LOC6590773|XP_002016461.1|DPER, LOC6594113|XP_002019535.2|DPER, LOC6594346|XP_002019525.2|DPER, LOC6594348|XP_002019527.1|DPER, LOC6594344|XP_002019523.1|DPER
OG0000024	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP	LOC6592576|XP_002017741.1|DPER, LOC6592577|XP_002017742.1|DPER, LOC6592579|XP_002017744.1|DPER, LOC6592578|XP_002017743.2|DPER, LOC6593580|XP_002018871.1|DPER, LOC6592580|XP_002017745.1|DPER, LOC6591036|XP_002016629.1|DPER
OG0000025	LOC119074493|XP_037036540.1|BCOP	LOC6596516|XP_002021511.1|DPER, LOC6599955|XP_002025032.1|DPER
OG0000025	LOC119075511|XP_037037876.1|BCOP	LOC6604122|XP_002029055.1|DPER, LOC113567416|XP_026850955.1|DPER
OG0000025	LOC119075399|XP_037037738.1|BCOP	LOC113567384|XP_026850889.1|DPER
OG0000026	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP, LOC119084799|XP_037050765.1|BCOP	LOC6600343|XP_026848406.1|DPER, LOC6587226|XP_002013258.1|DPER, LOC6587539|XP_002013259.1|DPER, LOC6587439|XP_026847477.1|DPER, LOC6598768|XP_002023910.1|DPER
OG0000027	LOC119077158|XP_037040243.1|BCOP	LOC6589890|XP_026844932.1|DPER
OG0000028	LOC119080979|XP_037045519.1|BCOP	LOC113566562|XP_026848458.1|DPER, LOC113566573|XP_026848580.1|DPER, LOC6602376|XP_026848583.1|DPER, LOC6602403|XP_002027408.2|DPER, LOC113566574|XP_026848581.1|DPER, LOC113566575|XP_026848582.1|DPER, LOC6602374|XP_026848578.1|DPER, LOC6599696|XP_002024949.1|DPER
OG0000029	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP	LOC6592269|XP_002017847.2|DPER, LOC6590423|XP_002016595.1|DPER, LOC6587627|XP_026841612.1|DPER, LOC6599019|XP_002024136.1|DPER
OG0000030	LOC119070696|XP_037031044.1|BCOP	LOC6595505|XP_002020610.1|DPER, LOC6595503|XP_002020608.1|DPER, LOC6595502|XP_002020607.1|DPER, LOC6595504|XP_002020609.1|DPER, LOC6596396|XP_002021549.2|DPER, LOC6592616|XP_002018164.1|DPER, LOC6600142|XP_002025259.1|DPER, LOC6597331|XP_002022519.1|DPER
OG0000031	LOC119082337|XP_037047744.1|BCOP, LOC119073860|XP_037035620.1|BCOP, LOC119083184|XP_037048737.1|BCOP	LOC6603379|XP_002028365.1|DPER, LOC6596433|XP_002021831.1|DPER, LOC6596572|XP_002021833.1|DPER, LOC6596432|XP_002021830.2|DPER
OG0000032	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP	LOC6598612|XP_002023857.1|DPER, LOC6598610|XP_026850099.1|DPER, LOC6598613|XP_002023858.2|DPER, LOC6598611|XP_026840271.1|DPER, LOC6598616|XP_002023861.1|DPER, LOC6598615|XP_002023860.1|DPER
OG0000033	LOC119070917|XP_037031350.1|BCOP	LOC6598817|XP_002023929.2|DPER, LOC6594755|XP_002020092.1|DPER, LOC6595261|XP_026840016.1|DPER, LOC6590958|XP_002015543.1|DPER, LOC6590962|XP_002015544.1|DPER, LOC6598819|XP_002023931.1|DPER
OG0000034	LOC119081013|XP_037045591.1|BCOP, LOC119070626|XP_037030946.1|BCOP, LOC119072973|XP_037034184.1|BCOP, LOC119072974|XP_037034185.1|BCOP, LOC119071410|XP_037032183.1|BCOP, LOC119070946|XP_037031394.1|BCOP, LOC119070948|XP_037031395.1|BCOP, LOC119070950|XP_037031397.1|BCOP, LOC119070428|XP_037030664.1|BCOP, LOC119077740|XP_037040914.1|BCOP, LOC119083666|XP_037049346.1|BCOP, LOC119066782|XP_037025340.1|BCOP	LOC6589244|XP_002014736.2|DPER, LOC6589243|XP_002014735.1|DPER, LOC6589242|XP_002014734.1|DPER, LOC6593810|XP_002019277.1|DPER, LOC6593809|XP_002019276.1|DPER, LOC6593808|XP_026844827.1|DPER
OG0000036	LOC119068370|XP_037027834.1|BCOP	LOC6594433|XP_002019545.1|DPER
OG0000036	LOC119070319|XP_037030483.1|BCOP	LOC6587691|XP_002013731.1|DPER
OG0000037	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP	LOC6590968|XP_002015904.2|DPER, LOC6588198|XP_002012851.2|DPER, LOC6588191|XP_002012852.1|DPER, LOC6588222|XP_002012850.1|DPER, LOC6587269|XP_002012849.2|DPER
OG0000038	LOC119080641|XP_037044950.1|BCOP	LOC6602410|XP_002027415.1|DPER
OG0000038	LOC119077484|XP_037040593.1|BCOP	LOC6602412|XP_026848529.1|DPER
OG0000039	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP	LOC6591968|XP_026846968.1|DPER
OG0000039	LOC119077423|XP_037040532.1|BCOP, LOC119083711|XP_037049395.1|BCOP	LOC6599449|XP_026847206.1|DPER
OG0000041	LOC119070988|XP_037031473.1|BCOP	LOC6591525|XP_002017073.1|DPER, LOC6591526|XP_002017074.1|DPER, LOC6591518|XP_002017066.1|DPER, LOC6591551|XP_002017060.1|DPER
OG0000042	LOC119068087|XP_037027400.1|BCOP	LOC6597209|XP_002022617.2|DPER, LOC6592870|XP_026842041.1|DPER, LOC6592873|XP_002018540.1|DPER, LOC6592872|XP_002018539.1|DPER, LOC6592871|XP_002018538.1|DPER, LOC113565032|XP_026840750.1|DPER, LOC6589097|XP_002014784.1|DPER, LOC6592874|XP_002018541.2|DPER
OG0000043	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP, LOC119077492|XP_037040609.1|BCOP, LOC119068375|XP_037027839.1|BCOP, LOC119075787|XP_037038245.1|BCOP, LOC119084856|XP_037050885.1|BCOP	LOC6594473|XP_002019739.2|DPER, LOC6594475|XP_002019741.1|DPER, LOC6594476|XP_002019742.1|DPER, LOC113567252|XP_026850237.1|DPER, LOC6594474|XP_002019740.1|DPER, LOC6594076|XP_002019736.1|DPER, LOC6594478|XP_002019744.1|DPER, LOC6594479|XP_002019745.1|DPER
OG0000044	LOC119081961|XP_037047159.1|BCOP, LOC119070043|XP_037030222.1|BCOP	LOC6591553|XP_026847828.1|DPER, LOC6591547|XP_002017056.1|DPER, LOC6591548|XP_026843232.1|DPER, LOC6591549|XP_002017058.1|DPER, LOC6591550|XP_002017059.1|DPER, LOC113564933|XP_026840246.1|DPER
OG0000047	LOC119076406|XP_037039030.1|BCOP, LOC119076447|XP_037039111.1|BCOP	LOC6589933|XP_002015961.2|DPER, LOC6592655|XP_026842447.1|DPER, LOC6592377|XP_002017999.1|DPER
OG0000049	LOC119081689|XP_037046681.1|BCOP	LOC6598737|XP_002023806.2|DPER
OG0000049	LOC119075345|XP_037037670.1|BCOP, LOC119085689|XP_037052030.1|BCOP, LOC119071948|XP_037032968.1|BCOP, LOC119082085|XP_037047341.1|BCOP, LOC119078213|XP_037041568.1|BCOP	LOC6598767|XP_002023801.1|DPER, LOC113564913|XP_026840082.1|DPER, LOC6598735|XP_002023804.1|DPER, LOC6598764|XP_002023798.1|DPER, LOC6598765|XP_002023799.1|DPER, LOC6598736|XP_026840083.1|DPER
OG0000051	LOC119075282|XP_037037564.1|BCOP, LOC119084550|XP_037050461.1|BCOP, LOC119084548|XP_037050456.1|BCOP, LOC119077746|XP_037040925.1|BCOP, LOC119068575|XP_037028116.1|BCOP, LOC119080254|XP_037044399.1|BCOP, LOC119070436|XP_037030675.1|BCOP, LOC119068715|XP_037028299.1|BCOP, LOC119072641|XP_037033787.1|BCOP, LOC119073031|XP_037034245.1|BCOP	LOC6588071|XP_002014115.1|DPER, LOC6598821|XP_026848488.1|DPER, LOC6598820|XP_002023932.1|DPER, LOC6591581|XP_026848899.1|DPER, LOC113566604|XP_026848831.1|DPER
OG0000052	LOC119073702|XP_037035202.1|BCOP	LOC6588118|XP_002013763.1|DPER, LOC6588232|XP_026849799.1|DPER, LOC6590971|XP_002015907.1|DPER, LOC6591184|XP_002015908.1|DPER
OG0000053	LOC119072494|XP_037033629.1|BCOP	LOC6589988|XP_002015740.1|DPER, LOC6589987|XP_002015739.1|DPER, LOC6589986|XP_002015738.1|DPER
OG0000053	LOC119083998|XP_037049705.1|BCOP	LOC6590437|XP_002015733.2|DPER
OG0000054	LOC119078880|XP_037042497.1|BCOP, LOC119074993|XP_037037290.1|BCOP, LOC119073438|XP_037034817.1|BCOP, LOC119073440|XP_037034823.1|BCOP, LOC119081720|XP_037046756.1|BCOP, LOC119083861|XP_037049555.1|BCOP, LOC119079462|XP_037043284.1|BCOP, LOC119073442|XP_037034826.1|BCOP, LOC119066738|XP_037025254.1|BCOP	LOC6594489|XP_002019960.1|DPER, LOC6594490|XP_002019961.1|DPER, LOC6594491|XP_026850312.1|DPER, LOC6594493|XP_002019964.1|DPER, LOC6590894|XP_002016261.1|DPER, LOC6594492|XP_002019963.1|DPER
OG0000056	LOC119075842|XP_037038285.1|BCOP, LOC119069079|XP_037028851.1|BCOP, LOC119070819|XP_037031210.1|BCOP, LOC119077330|XP_037040408.1|BCOP, LOC119083576|XP_037049217.1|BCOP, LOC119072255|XP_037033333.1|BCOP, LOC119080728|XP_037045140.1|BCOP, LOC119073796|XP_037035427.1|BCOP, LOC119076770|XP_037039620.1|BCOP, LOC119078571|XP_037042041.1|BCOP, LOC119080735|XP_037045174.1|BCOP, LOC119084316|XP_037050135.1|BCOP	LOC6595083|XP_002020145.1|DPER, LOC6595082|XP_002020144.1|DPER, LOC6595081|XP_002020143.1|DPER, LOC6588033|XP_002012860.1|DPER, LOC6588046|XP_002012859.1|DPER
OG0000058	LOC119080858|XP_037045328.1|BCOP	LOC6593806|XP_002019273.1|DPER, LOC6593936|XP_002019265.2|DPER, LOC6590269|XP_002015472.1|DPER, LOC6593807|XP_002019274.1|DPER, LOC6600389|XP_002025477.1|DPER
OG0000060	LOC119068417|XP_037027881.1|BCOP	LOC6603233|XP_026845368.1|DPER
OG0000060	LOC119069761|XP_037029789.1|BCOP	LOC6595218|XP_026848071.1|DPER
OG0000067	LOC119084735|XP_037050703.1|BCOP, LOC119072217|XP_037033292.1|BCOP, LOC119085607|XP_037051925.1|BCOP	LOC6587985|XP_002013720.1|DPER, LOC6600313|XP_026849051.1|DPER
OG0000067	LOC119085608|XP_037051927.1|BCOP	LOC6592947|XP_002017691.1|DPER, LOC6600311|XP_002025365.2|DPER
OG0000067	LOC119076438|XP_037039101.1|BCOP	LOC6599619|XP_026849500.1|DPER
OG0000068	LOC119084165|XP_037049915.1|BCOP, LOC119072059|XP_037033087.1|BCOP, LOC119067027|XP_037025654.1|BCOP, LOC119070188|XP_037030388.1|BCOP, LOC119079055|XP_037042758.1|BCOP, LOC119072981|XP_037034196.1|BCOP	LOC6600249|XP_026849073.1|DPER, LOC6595219|XP_026850489.1|DPER, LOC113564897|XP_026839974.1|DPER, LOC6595222|XP_026849095.1|DPER, LOC6593500|XP_002019163.2|DPER, LOC6597733|XP_026846914.1|DPER
OG0000070	LOC119071237|XP_037031965.1|BCOP	LOC6593928|XP_002019257.1|DPER, LOC6600003|XP_026849240.1|DPER, LOC6593930|XP_002019259.1|DPER, LOC6593929|XP_002019258.1|DPER
OG0000071	LOC119066621|XP_037025073.1|BCOP, LOC119075170|XP_037037491.1|BCOP	LOC113566413|XP_026847671.1|DPER
OG0000071	LOC119077499|XP_037040619.1|BCOP, LOC119080663|XP_037044988.1|BCOP, LOC119072693|XP_037033860.1|BCOP, LOC119072013|XP_037033026.1|BCOP, LOC119071783|XP_037032737.1|BCOP, LOC119082689|XP_037048157.1|BCOP, LOC119071788|XP_037032744.1|BCOP, LOC119066595|XP_037025045.1|BCOP, LOC119082472|XP_037047886.1|BCOP, LOC119079098|XP_037042811.1|BCOP	LOC6602203|XP_002027211.2|DPER, LOC6602202|XP_002027210.1|DPER, LOC6602204|XP_002027212.1|DPER
OG0000073	LOC119072039|XP_037033052.1|BCOP	LOC6590059|XP_002016391.2|DPER
OG0000073	LOC119067527|XP_037026453.1|BCOP	LOC6596773|XP_026845891.1|DPER
OG0000073	LOC119069220|XP_037029092.1|BCOP	LOC6598784|XP_026845038.1|DPER
OG0000074	LOC119079099|XP_037042812.1|BCOP, LOC119067307|XP_037026110.1|BCOP, LOC119080892|XP_037045367.1|BCOP	LOC6601461|XP_002026428.1|DPER, LOC6595912|XP_002021058.1|DPER
OG0000075	LOC119080898|XP_037045374.1|BCOP, LOC119080899|XP_037045375.1|BCOP, LOC119080897|XP_037045372.1|BCOP	LOC6599641|XP_026849541.1|DPER, LOC6599637|XP_002024747.1|DPER, LOC6599639|XP_002024749.1|DPER, LOC6599638|XP_002024748.1|DPER, LOC6599640|XP_002024750.1|DPER, LOC6599642|XP_002024752.1|DPER
OG0000076	LOC119071813|XP_037032779.1|BCOP	LOC6599674|XP_026847351.1|DPER
OG0000076	LOC119068533|XP_037028044.1|BCOP	LOC6597369|XP_002022410.2|DPER
OG0000076	LOC119066422|XP_037024794.1|BCOP	LOC6597368|XP_002022409.1|DPER
OG0000077	LOC119082353|XP_037047765.1|BCOP, LOC119082354|XP_037047766.1|BCOP	LOC6592709|XP_002018511.1|DPER
OG0000077	LOC119076378|XP_037038990.1|BCOP	LOC6594922|XP_002020130.2|DPER
