Orthogroup	DERE.longest_only	DSUB.longest_only
OG0000008	LOC6553016|XP_001979107.1|DERE	LOC117898640|XP_034664094.1|DSUB
OG0000008	LOC6553019|XP_001979110.3|DERE	LOC117898631|XP_034664083.1|DSUB
OG0000008	LOC6553017|XP_001979108.1|DERE	LOC117898634|XP_034664087.1|DSUB
OG0000008	LOC6553015|XP_001979106.1|DERE	LOC117898636|XP_034664090.1|DSUB
OG0000009	LOC6554105|XP_001979501.1|DERE	LOC117896628|XP_034660961.1|DSUB
OG0000009	LOC6554107|XP_001979503.1|DERE	LOC117898287|XP_034663434.1|DSUB
OG0000009	LOC6554108|XP_001979504.1|DERE, LOC6554106|XP_001979502.1|DERE	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB
OG0000009	LOC6548094|XP_001976600.1|DERE	LOC117890282|XP_034650935.1|DSUB
OG0000009	LOC6553884|XP_001980458.1|DERE	LOC117896426|XP_034660636.1|DSUB
OG0000009	LOC6546804|XP_001975914.1|DERE	LOC117892376|XP_034654476.1|DSUB
OG0000009	LOC6546805|XP_001975915.1|DERE	LOC117892374|XP_034654475.1|DSUB
OG0000010	LOC6548710|XP_026839403.1|DERE, LOC6556033|XP_026839405.1|DERE, LOC6549045|XP_026839450.1|DERE	LOC117899454|XP_034665355.1|DSUB
OG0000011	LOC113564152|XP_026835545.1|DERE, LOC6550533|XP_001977930.3|DERE, LOC6540864|XP_001968531.3|DERE, LOC6540904|XP_026835063.1|DERE, LOC6543446|XP_001968684.2|DERE, LOC6543815|XP_001973630.3|DERE, LOC6555031|XP_001981173.1|DERE, LOC113564144|XP_026835345.1|DERE, LOC113564056|XP_026834236.1|DERE, LOC6547227|XP_026836974.1|DERE, LOC113564269|XP_026836076.1|DERE, LOC6547226|XP_026836976.1|DERE, LOC6547233|XP_026836236.1|DERE, LOC6551039|XP_001978306.1|DERE	LOC117901349|XP_034667951.1|DSUB, LOC117900952|XP_034667416.1|DSUB, LOC117902493|XP_034669808.1|DSUB, LOC117902497|XP_034669813.1|DSUB, LOC117900244|XP_034666423.1|DSUB, LOC117902732|XP_034670197.1|DSUB, LOC117901918|XP_034668778.1|DSUB, LOC117902500|XP_034669817.1|DSUB, LOC117902495|XP_034669810.1|DSUB, LOC117902496|XP_034669811.1|DSUB, LOC117901786|XP_034668586.1|DSUB, LOC117900246|XP_034666433.1|DSUB
OG0000011	LOC6545632|XP_001972694.2|DERE	LOC117893712|XP_034656290.1|DSUB
OG0000011	LOC6545633|XP_001972695.1|DERE	LOC117894953|XP_034658172.1|DSUB
OG0000011	LOC6552127|XP_001980788.1|DERE	LOC117897187|XP_034661778.1|DSUB
OG0000012	LOC6547483|XP_015011854.1|DERE	LOC117892204|XP_034654190.1|DSUB
OG0000012	LOC6547482|XP_001974798.1|DERE	LOC117892205|XP_034654193.1|DSUB
OG0000012	LOC6547337|XP_015012184.1|DERE	LOC117892198|XP_034654182.1|DSUB
OG0000012	LOC6547484|XP_026836781.1|DERE	LOC117892199|XP_034654185.1|DSUB
OG0000012	LOC6547486|XP_001974802.1|DERE	LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB
OG0000012	LOC6547485|XP_015012185.1|DERE	LOC117892200|XP_034654187.1|DSUB
OG0000012	LOC6546830|XP_026836193.1|DERE	LOC117891062|XP_034652125.1|DSUB
OG0000012	LOC6546691|XP_001975936.3|DERE	LOC117891063|XP_034652127.1|DSUB
OG0000012	LOC6546690|XP_001975935.1|DERE, LOC26526953|XP_026835974.1|DERE	LOC117891061|XP_034652124.1|DSUB
OG0000012	LOC6546689|XP_001975934.2|DERE	LOC117891058|XP_034652122.1|DSUB
OG0000012	LOC6546688|XP_001975933.1|DERE	LOC117891064|XP_034652128.1|DSUB
OG0000013	LOC6549620|XP_001975657.1|DERE	LOC117890717|XP_034651649.1|DSUB
OG0000013	LOC6551261|XP_026838843.1|DERE	LOC117896187|XP_034660170.1|DSUB
OG0000013	LOC6553110|XP_001980016.1|DERE	LOC117896516|XP_034660775.1|DSUB
OG0000013	LOC6545627|XP_026832753.1|DERE	LOC117895334|XP_034658799.1|DSUB
OG0000013	LOC6553734|XP_001980320.1|DERE	LOC117898536|XP_034663901.1|DSUB
OG0000013	LOC6554353|XP_001982051.1|DERE	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB
OG0000013	LOC6553767|XP_001980392.1|DERE, LOC6553763|XP_026839524.1|DERE, LOC113564842|XP_026839519.1|DERE, LOC6553724|XP_001980393.1|DERE, LOC6554050|XP_001980491.1|DERE, LOC6554051|XP_001980492.1|DERE	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB
OG0000016	LOC6553473|XP_001980267.1|DERE	LOC117899529|XP_034665488.1|DSUB
OG0000016	LOC6547825|XP_001974973.1|DERE	LOC117889984|XP_034650458.1|DSUB
OG0000016	LOC6553744|XP_001980362.1|DERE	LOC117898309|XP_034663475.1|DSUB
OG0000016	LOC6548497|XP_001975310.2|DERE	LOC117892105|XP_034654005.1|DSUB
OG0000016	LOC6551195|XP_001977029.1|DERE	LOC117903845|XP_034672195.1|DSUB
OG0000016	LOC6542573|XP_026835446.1|DERE	LOC117890476|XP_034651231.1|DSUB
OG0000016	LOC6553157|XP_026831618.1|DERE	LOC117898432|XP_034663715.1|DSUB
OG0000016	LOC6544283|XP_001973711.1|DERE	LOC117893424|XP_034655932.1|DSUB
OG0000017	LOC6550521|XP_001977911.1|DERE	LOC117892719|XP_034655033.1|DSUB
OG0000017	LOC6540975|XP_001970557.1|DERE	LOC117890423|XP_034651134.1|DSUB
OG0000017	LOC6542635|XP_001970806.1|DERE	LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB
OG0000017	LOC6544876|XP_001973836.1|DERE, LOC6556262|XP_026839527.1|DERE	LOC117899292|XP_034665095.1|DSUB, LOC117899291|XP_034665094.1|DSUB
OG0000017	LOC6547791|XP_001976408.1|DERE	LOC117891086|XP_034652156.1|DSUB
OG0000017	LOC6542668|XP_001970804.1|DERE	LOC117890435|XP_034651155.1|DSUB
OG0000017	LOC6547792|XP_001976409.1|DERE	LOC117892462|XP_034654603.1|DSUB
OG0000017	LOC6543081|XP_001968299.1|DERE	LOC117900183|XP_034666320.1|DSUB, LOC117900621|XP_034666940.1|DSUB
OG0000018	LOC6545112|XP_001972081.1|DERE	LOC117895264|XP_034658678.1|DSUB
OG0000018	LOC6545117|XP_001972086.1|DERE, LOC6545115|XP_001972084.1|DERE	LOC117895265|XP_034658679.1|DSUB
OG0000018	LOC6545114|XP_001972083.1|DERE	LOC117895258|XP_034658670.1|DSUB
OG0000018	LOC6545189|XP_001972077.1|DERE, LOC6545191|XP_001972079.1|DERE	LOC117895272|XP_034658688.1|DSUB
OG0000019	LOC113564308|XP_026836578.1|DERE	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB
OG0000019	LOC6555070|XP_001981612.1|DERE	LOC117899339|XP_034665171.1|DSUB
OG0000019	LOC6555069|XP_001981611.1|DERE	LOC117899361|XP_034665230.1|DSUB
OG0000019	LOC113564283|XP_026836268.1|DERE, LOC6555065|XP_001981607.1|DERE, LOC113563849|XP_026832170.1|DERE, LOC113563848|XP_026832169.1|DERE, LOC113563851|XP_026832173.1|DERE, LOC113563850|XP_026832172.1|DERE, LOC6555062|XP_001981604.2|DERE, LOC6555064|XP_026839386.1|DERE	LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB
OG0000020	LOC6555052|XP_026839769.1|DERE	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB
OG0000020	LOC6547855|XP_001975038.1|DERE	LOC117892172|XP_034654141.1|DSUB
OG0000020	LOC6549413|XP_026836257.1|DERE, LOC6540649|XP_026834533.1|DERE, LOC6543425|XP_026834766.1|DERE	LOC117902343|XP_034669534.1|DSUB
OG0000020	LOC6553828|XP_026839892.1|DERE	LOC117898500|XP_034663833.1|DSUB
OG0000020	LOC6554060|XP_001980549.1|DERE	LOC117898411|XP_034663671.1|DSUB
OG0000020	LOC6548804|XP_001974084.1|DERE	LOC117901489|XP_034668148.1|DSUB
OG0000020	LOC6549412|XP_001974317.1|DERE	LOC117901231|XP_034667794.1|DSUB
OG0000021	LOC6543194|XP_001968524.1|DERE	LOC117892038|XP_034653853.1|DSUB
OG0000021	LOC6556017|XP_001982880.1|DERE	LOC117892039|XP_034653854.1|DSUB
OG0000021	LOC6547978|XP_001975124.1|DERE	LOC117891478|XP_034652849.1|DSUB
OG0000021	LOC6548381|XP_001975140.1|DERE	LOC117891531|XP_034652923.1|DSUB
OG0000021	LOC6556217|XP_001983050.1|DERE	LOC117892040|XP_034653856.1|DSUB
OG0000021	LOC6551659|XP_001977237.1|DERE	LOC117903672|XP_034671893.1|DSUB
OG0000021	LOC6554651|XP_001981975.1|DERE	LOC117896843|XP_034661258.1|DSUB
OG0000021	LOC6553703|XP_001980409.1|DERE	LOC117898591|XP_034664027.1|DSUB
OG0000022	LOC6548724|XP_001975398.1|DERE	LOC117892309|XP_034654347.1|DSUB
OG0000022	LOC6543861|XP_001971088.1|DERE	LOC117892920|XP_034655126.1|DSUB
OG0000022	LOC6545495|XP_001971097.1|DERE	LOC117892921|XP_034655127.1|DSUB
OG0000022	LOC6545494|XP_001971096.1|DERE	LOC117892919|XP_034655125.1|DSUB
OG0000023	LOC113563731|XP_026831631.1|DERE	LOC117896153|XP_034660122.1|DSUB
OG0000023	LOC6553285|XP_001979203.1|DERE	LOC117896150|XP_034660117.1|DSUB
OG0000023	LOC6546697|XP_026836761.1|DERE	LOC117891805|XP_034653377.1|DSUB
OG0000023	LOC6553284|XP_026831910.1|DERE	LOC117896149|XP_034660116.1|DSUB
OG0000023	LOC6553331|XP_001979193.1|DERE	LOC117898724|XP_034664233.1|DSUB
OG0000023	LOC6553328|XP_001979190.1|DERE	LOC117898725|XP_034664234.1|DSUB
OG0000024	LOC6547181|XP_001976079.1|DERE, LOC6547180|XP_001976078.1|DERE, LOC6547179|XP_001976077.1|DERE	LOC117889935|XP_034650357.1|DSUB
OG0000024	LOC6547183|XP_001976081.1|DERE	LOC117889933|XP_034650355.1|DSUB
OG0000024	LOC6547182|XP_001976080.1|DERE	LOC117889934|XP_034650356.1|DSUB
OG0000024	LOC6549069|XP_001974169.1|DERE	LOC117901020|XP_034667512.1|DSUB
OG0000024	LOC6547184|XP_001976082.1|DERE	LOC117889812|XP_034650181.1|DSUB
OG0000024	LOC6549473|XP_001975764.1|DERE	LOC117891118|XP_034652213.1|DSUB
OG0000025	LOC6540718|XP_001968765.1|DERE	LOC117890855|XP_034651836.1|DSUB
OG0000026	LOC6551694|XP_001977155.1|DERE	LOC117889599|XP_034649905.1|DSUB
OG0000026	LOC6543477|XP_001969495.1|DERE	LOC117901731|XP_034668504.1|DSUB
OG0000026	LOC6551346|XP_001977080.1|DERE	LOC117903905|XP_034672302.1|DSUB
OG0000026	LOC6553336|XP_001979309.1|DERE	LOC117899507|XP_034665449.1|DSUB
OG0000027	LOC6541432|XP_001970185.1|DERE	LOC117902555|XP_034669887.1|DSUB
OG0000027	LOC6541563|XP_001970188.1|DERE	LOC117902556|XP_034669889.1|DSUB
OG0000027	LOC6541340|XP_001970186.1|DERE	LOC117902554|XP_034669886.1|DSUB
OG0000028	LOC6545516|XP_001973330.1|DERE	LOC117894266|XP_034657112.1|DSUB
OG0000028	LOC6545103|XP_001973211.1|DERE	LOC117894530|XP_034657538.1|DSUB
OG0000029	LOC6541177|XP_001969159.1|DERE, LOC6547215|XP_001974713.1|DERE, LOC6543371|XP_001969207.2|DERE	LOC117890176|XP_034650765.1|DSUB
OG0000029	LOC6552797|XP_001981008.1|DERE	LOC117898949|XP_034664564.1|DSUB
OG0000029	LOC6546309|XP_026833134.1|DERE	LOC117893783|XP_034656418.1|DSUB
OG0000030	LOC6540832|XP_001969798.1|DERE	LOC117901334|XP_034667933.1|DSUB
OG0000030	LOC6541247|XP_001969800.2|DERE	LOC117901337|XP_034667938.1|DSUB
OG0000030	LOC6543200|XP_001969799.1|DERE	LOC117901339|XP_034667940.1|DSUB, LOC117901335|XP_034667935.1|DSUB
OG0000030	LOC6542410|XP_001968441.1|DERE	LOC117901974|XP_034668869.1|DSUB
OG0000030	LOC6547811|XP_001976404.1|DERE	LOC117890851|XP_034651829.1|DSUB, LOC117891095|XP_034652169.1|DSUB, LOC117890674|XP_034651546.1|DSUB
OG0000030	LOC6555505|XP_026838381.1|DERE	LOC117903801|XP_034672130.1|DSUB
OG0000030	LOC6550371|XP_001977852.1|DERE	LOC117903197|XP_034670973.1|DSUB
OG0000031	LOC6542615|XP_001969442.1|DERE	LOC117900916|XP_034667369.1|DSUB
OG0000032	LOC6553974|XP_015009875.1|DERE	LOC117898600|XP_034664039.1|DSUB
OG0000032	LOC6553916|XP_015010087.1|DERE	LOC117898606|XP_034664047.1|DSUB
OG0000032	LOC6553973|XP_026831770.1|DERE	LOC117898607|XP_034664048.1|DSUB
OG0000032	LOC6553976|XP_001980433.2|DERE	LOC117899193|XP_034664947.1|DSUB
OG0000032	LOC6553975|XP_026831724.1|DERE	LOC117898595|XP_034664033.1|DSUB
OG0000032	LOC113564299|XP_026836470.1|DERE	LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB
OG0000033	LOC6555354|XP_026839686.1|DERE, LOC6555355|XP_001981434.1|DERE	LOC117899465|XP_034665372.1|DSUB
OG0000033	LOC6541653|XP_001970703.1|DERE	LOC117891426|XP_034652788.1|DSUB
OG0000033	LOC6541460|XP_001970702.1|DERE	LOC117891425|XP_034652787.1|DSUB
OG0000033	LOC6546216|XP_001972911.1|DERE, LOC6553620|XP_001979278.1|DERE, LOC6548922|XP_001975350.1|DERE	LOC117897820|XP_034662764.1|DSUB
OG0000034	LOC6547752|XP_001976261.2|DERE	LOC117902583|XP_034669972.1|DSUB
OG0000034	LOC6547627|XP_001976262.1|DERE	LOC117902582|XP_034669970.1|DSUB
OG0000034	LOC113564268|XP_026836067.1|DERE, LOC6553711|XP_001980355.1|DERE	LOC117902354|XP_034669556.1|DSUB, LOC117902355|XP_034669558.1|DSUB
OG0000036	LOC6553210|XP_001979212.1|DERE	LOC117898005|XP_034663024.1|DSUB
OG0000036	LOC6553049|XP_001980037.3|DERE	LOC117896918|XP_034661349.1|DSUB
OG0000036	LOC6552090|XP_001978801.1|DERE	LOC117897457|XP_034662194.1|DSUB
OG0000036	LOC6554160|XP_026832544.1|DERE, LOC113563885|XP_026832533.1|DERE	LOC117899046|XP_034664697.1|DSUB
OG0000037	LOC6547304|XP_026836461.1|DERE	LOC117890311|XP_034650989.1|DSUB
OG0000037	LOC6553809|XP_001979566.1|DERE, LOC6553808|XP_001979565.1|DERE	LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB
OG0000038	LOC6545503|XP_001973343.1|DERE	LOC117894264|XP_034657109.1|DSUB
OG0000038	LOC6545505|XP_026833772.1|DERE	LOC117893334|XP_034655815.1|DSUB
OG0000039	LOC6553078|XP_001979073.2|DERE	LOC117897419|XP_034662142.1|DSUB
OG0000039	LOC6550737|XP_001978160.1|DERE	LOC117903895|XP_034672289.1|DSUB
OG0000039	LOC6550622|XP_026837736.1|DERE	LOC117903896|XP_034672290.1|DSUB
OG0000039	LOC6551666|XP_001977244.1|DERE	LOC117892341|XP_034654394.1|DSUB
OG0000040	LOC6551893|XP_026835202.1|DERE	LOC117897706|XP_034662619.1|DSUB
OG0000040	LOC6551780|XP_001980593.1|DERE	LOC117899276|XP_034665068.1|DSUB, LOC117897606|XP_034662454.1|DSUB
OG0000040	LOC6551781|XP_001980594.1|DERE	LOC117899278|XP_034665074.1|DSUB
OG0000040	LOC6551892|XP_001979714.2|DERE	LOC117896008|XP_034659896.1|DSUB
OG0000040	LOC6551891|XP_001979713.1|DERE	LOC117899589|XP_034665598.1|DSUB
OG0000040	LOC6551889|XP_001979711.1|DERE	LOC117899588|XP_034665597.1|DSUB
OG0000040	LOC6554299|XP_001981067.1|DERE	LOC117899356|XP_034665219.1|DSUB
OG0000041	LOC6554981|XP_001981824.1|DERE, LOC26526627|XP_015009397.2|DERE, LOC6554997|XP_001981822.1|DERE, LOC6554980|XP_001981823.2|DERE	LOC117898984|XP_034664617.1|DSUB, LOC117898987|XP_034664620.1|DSUB, LOC117898990|XP_034664622.1|DSUB
OG0000041	LOC6554990|XP_001981815.1|DERE	LOC117898988|XP_034664621.1|DSUB, LOC117898986|XP_034664619.1|DSUB
OG0000042	LOC6549797|XP_001977320.1|DERE	LOC117903839|XP_034672183.1|DSUB
OG0000042	LOC6547072|XP_001974652.1|DERE	LOC117891862|XP_034653515.1|DSUB
OG0000042	LOC6547084|XP_001974656.1|DERE	LOC117891861|XP_034653514.1|DSUB
OG0000042	LOC6547081|XP_026835970.1|DERE, LOC6547083|XP_026836041.1|DERE, LOC6547082|XP_001974654.1|DERE	LOC117891863|XP_034653516.1|DSUB, LOC117901781|XP_034668580.1|DSUB
OG0000042	LOC6547085|XP_001974657.2|DERE	LOC117891864|XP_034653517.1|DSUB
OG0000043	LOC6551884|XP_001980608.2|DERE	LOC117898000|XP_034663019.1|DSUB
OG0000043	LOC6551882|XP_001980606.1|DERE	LOC117897983|XP_034662986.1|DSUB, LOC117897815|XP_034662757.1|DSUB
OG0000043	LOC6551883|XP_001980607.1|DERE	LOC117898866|XP_034664435.1|DSUB
OG0000043	LOC6551896|XP_001980611.1|DERE	LOC117897840|XP_034662797.1|DSUB, LOC117897841|XP_034662798.1|DSUB
OG0000043	LOC6554744|XP_001981087.1|DERE	LOC117898867|XP_034664437.1|DSUB
OG0000043	LOC6549065|XP_026836066.1|DERE, LOC6551880|XP_001980604.1|DERE	LOC117897193|XP_034661785.1|DSUB
OG0000044	LOC6554933|XP_001981812.1|DERE	LOC117898991|XP_034664623.1|DSUB
OG0000044	LOC6554929|XP_001981808.1|DERE, LOC6554928|XP_001981807.1|DERE	LOC117895983|XP_034659856.1|DSUB
OG0000044	LOC6554932|XP_026836683.1|DERE, LOC6554930|XP_001981809.1|DERE, LOC6554931|XP_001981810.2|DERE	LOC117897592|XP_034662438.1|DSUB, LOC117897591|XP_034662436.1|DSUB, LOC117897590|XP_034662434.1|DSUB, LOC117897593|XP_034662439.1|DSUB
OG0000044	LOC6553968|XP_001980526.3|DERE	LOC117898153|XP_034663242.1|DSUB
OG0000045	LOC6543777|XP_001972312.1|DERE	LOC117894865|XP_034658016.1|DSUB
OG0000045	LOC6543776|XP_001972311.2|DERE, LOC6543775|XP_001972310.1|DERE	LOC117893502|XP_034656031.1|DSUB
OG0000045	LOC6544619|XP_001971501.1|DERE	LOC117894637|XP_034657700.1|DSUB
OG0000045	LOC6544620|XP_001971502.1|DERE	LOC117893875|XP_034656539.1|DSUB
OG0000046	LOC6553418|XP_001979316.1|DERE	LOC117898099|XP_034663170.1|DSUB
OG0000046	LOC6550460|XP_001977787.1|DERE	LOC117892263|XP_034654274.1|DSUB, LOC117892238|XP_034654240.1|DSUB
OG0000046	LOC6554301|XP_001982125.2|DERE, LOC6554302|XP_001982126.1|DERE	LOC117899466|XP_034665373.1|DSUB, LOC117899066|XP_034664724.1|DSUB, LOC117899065|XP_034664723.1|DSUB
OG0000047	LOC6548915|XP_026836112.1|DERE	LOC117891323|XP_034652630.1|DSUB
OG0000047	LOC6548919|XP_001975347.1|DERE	LOC117891482|XP_034652852.1|DSUB
OG0000047	LOC6549604|XP_001975737.1|DERE	LOC117892480|XP_034654625.1|DSUB
OG0000047	LOC6546188|XP_001972281.1|DERE	LOC117893757|XP_034656383.1|DSUB
OG0000047	LOC6549507|XP_001975729.1|DERE	LOC117891376|XP_034652704.1|DSUB
OG0000047	LOC6546189|XP_001972282.1|DERE	LOC117895380|XP_034658890.1|DSUB
OG0000048	LOC6544966|XP_001973233.1|DERE, LOC6544967|XP_001973234.1|DERE	LOC117894528|XP_034657533.1|DSUB, LOC117894532|XP_034657540.1|DSUB
OG0000048	LOC6545045|XP_001973227.2|DERE	LOC117894523|XP_034657528.1|DSUB
OG0000048	LOC6544963|XP_001973230.1|DERE	LOC117894537|XP_034657548.1|DSUB
OG0000049	LOC6552334|XP_001979793.1|DERE	LOC117898484|XP_034663812.1|DSUB
OG0000049	LOC6552229|XP_001979794.1|DERE	LOC117898479|XP_034663805.1|DSUB
OG0000049	LOC6552230|XP_001979795.1|DERE	LOC117899170|XP_034664920.1|DSUB
OG0000049	LOC6552330|XP_001979789.1|DERE	LOC117898482|XP_034663809.1|DSUB
OG0000050	LOC6544231|XP_001973747.1|DERE	LOC117893221|XP_034655647.1|DSUB
OG0000050	LOC6544204|XP_026833494.1|DERE	LOC117893222|XP_034655648.1|DSUB, LOC117894675|XP_034657744.1|DSUB
OG0000050	LOC26526578|XP_026833595.1|DERE	LOC117893225|XP_034655653.1|DSUB, LOC117894628|XP_034657684.1|DSUB
OG0000050	LOC6544232|XP_026833594.1|DERE	LOC117893220|XP_034655645.1|DSUB
OG0000050	LOC6544203|XP_001973745.2|DERE	LOC117893224|XP_034655652.1|DSUB
OG0000051	LOC6552520|XP_001980945.1|DERE	LOC117896438|XP_034660657.1|DSUB
OG0000051	LOC6553748|XP_001980366.1|DERE	LOC117898110|XP_034663186.1|DSUB, LOC117898109|XP_034663185.1|DSUB
OG0000051	LOC6553801|XP_001980449.1|DERE, LOC6552141|XP_001979934.1|DERE, LOC6553800|XP_001980448.1|DERE, LOC6553799|XP_001980447.1|DERE	LOC117898770|XP_034664295.1|DSUB, LOC117898095|XP_034663165.1|DSUB
OG0000052	LOC6552258|XP_001980739.1|DERE, LOC6555308|XP_001982081.1|DERE	LOC117898169|XP_034663268.1|DSUB
