Orthogroup	DERE.longest_only	ASTE.longest_only
OG0000022	LOC6548724|XP_001975398.1|DERE, LOC6543861|XP_001971088.1|DERE, LOC6556144|XP_001982999.1|DERE, LOC6545492|XP_001971094.1|DERE, LOC6545493|XP_026833569.1|DERE, LOC6556143|XP_001982998.1|DERE, LOC6545495|XP_001971097.1|DERE, LOC6545494|XP_001971096.1|DERE	LOC118510588|XP_035908481.1|ASTE
OG0000023	LOC113563731|XP_026831631.1|DERE, LOC6553285|XP_001979203.1|DERE, LOC6546697|XP_026836761.1|DERE, LOC6553284|XP_026831910.1|DERE, LOC6553277|XP_001979195.2|DERE, LOC6553329|XP_001979191.2|DERE, LOC6553331|XP_001979193.1|DERE, LOC6553328|XP_001979190.1|DERE	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE
OG0000024	LOC6547181|XP_001976079.1|DERE, LOC6547180|XP_001976078.1|DERE, LOC6547179|XP_001976077.1|DERE, LOC6547183|XP_001976081.1|DERE, LOC6547182|XP_001976080.1|DERE, LOC6549069|XP_001974169.1|DERE, LOC6547184|XP_001976082.1|DERE, LOC6549473|XP_001975764.1|DERE	LOC118507315|XP_035901591.1|ASTE
OG0000025	LOC6540718|XP_001968765.1|DERE	LOC118514136|XP_035916629.1|ASTE
OG0000026	LOC6551346|XP_001977080.1|DERE, LOC6553336|XP_001979309.1|DERE	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE
OG0000027	LOC6541432|XP_001970185.1|DERE, LOC6541563|XP_001970188.1|DERE, LOC6541340|XP_001970186.1|DERE	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE
OG0000028	LOC6545328|XP_001973336.1|DERE, LOC6545326|XP_026833776.1|DERE, LOC6545325|XP_026832190.1|DERE, LOC6545324|XP_026833774.1|DERE, LOC6545516|XP_001973330.1|DERE, LOC6545103|XP_001973211.1|DERE	LOC118513512|XP_035915261.1|ASTE
OG0000029	LOC6551894|XP_001980609.1|DERE, LOC6541177|XP_001969159.1|DERE, LOC6547215|XP_001974713.1|DERE, LOC6543371|XP_001969207.2|DERE, LOC6552797|XP_001981008.1|DERE, LOC6546309|XP_026833134.1|DERE	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE
OG0000031	LOC6541519|XP_001969009.2|DERE, LOC6543250|XP_001968986.1|DERE, LOC113563971|XP_026833917.1|DERE	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE
OG0000032	LOC6553974|XP_015009875.1|DERE, LOC6553916|XP_015010087.1|DERE, LOC6553973|XP_026831770.1|DERE, LOC6553976|XP_001980433.2|DERE, LOC6553975|XP_026831724.1|DERE, LOC113564299|XP_026836470.1|DERE	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE
OG0000034	LOC6547752|XP_001976261.2|DERE, LOC6547627|XP_001976262.1|DERE, LOC113564268|XP_026836067.1|DERE, LOC6553711|XP_001980355.1|DERE	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE
OG0000036	LOC6553210|XP_001979212.1|DERE	LOC118505450|XP_035897142.1|ASTE
OG0000036	LOC6553049|XP_001980037.3|DERE	LOC118502424|XP_035890544.1|ASTE
OG0000037	LOC6547304|XP_026836461.1|DERE, LOC6553809|XP_001979566.1|DERE, LOC6553808|XP_001979565.1|DERE	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE
OG0000038	LOC6545503|XP_001973343.1|DERE	LOC118510894|XP_035909171.1|ASTE
OG0000038	LOC6545505|XP_026833772.1|DERE	LOC118510898|XP_035909176.1|ASTE
OG0000039	LOC6553078|XP_001979073.2|DERE	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE
OG0000041	LOC6554981|XP_001981824.1|DERE, LOC26526627|XP_015009397.2|DERE, LOC6554997|XP_001981822.1|DERE, LOC6554980|XP_001981823.2|DERE, LOC6554990|XP_001981815.1|DERE, LOC6554992|XP_001981817.1|DERE, LOC6554991|XP_001981816.2|DERE	LOC118502651|XP_035890993.1|ASTE
OG0000043	LOC6551884|XP_001980608.2|DERE, LOC6551882|XP_001980606.1|DERE, LOC6551883|XP_001980607.1|DERE, LOC6551896|XP_001980611.1|DERE, LOC6554744|XP_001981087.1|DERE, LOC6549065|XP_026836066.1|DERE, LOC6551880|XP_001980604.1|DERE	LOC118514201|XP_035916783.1|ASTE
OG0000047	LOC6548915|XP_026836112.1|DERE, LOC6548919|XP_001975347.1|DERE, LOC6549604|XP_001975737.1|DERE, LOC6546188|XP_001972281.1|DERE, LOC6549507|XP_001975729.1|DERE, LOC6546189|XP_001972282.1|DERE	LOC118514097|XP_035916530.1|ASTE
OG0000048	LOC6545047|XP_001973229.1|DERE, LOC6545045|XP_001973227.2|DERE, LOC6544963|XP_001973230.1|DERE	LOC118510295|XP_035907813.1|ASTE
OG0000049	LOC6552334|XP_001979793.1|DERE, LOC6552331|XP_001979790.1|DERE, LOC6552229|XP_001979794.1|DERE, LOC6552231|XP_001979796.1|DERE, LOC6552230|XP_001979795.1|DERE, LOC6552330|XP_001979789.1|DERE	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE
OG0000051	LOC6552520|XP_001980945.1|DERE, LOC6553748|XP_001980366.1|DERE, LOC6553801|XP_001980449.1|DERE, LOC6552141|XP_001979934.1|DERE, LOC6553800|XP_001980448.1|DERE, LOC6553799|XP_001980447.1|DERE	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE
OG0000053	LOC6541123|XP_001970454.1|DERE, LOC6542707|XP_001970455.1|DERE, LOC6542876|XP_001970456.1|DERE	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE
OG0000054	LOC6553130|XP_001980075.1|DERE, LOC6553131|XP_001980076.1|DERE, LOC6553059|XP_001980078.1|DERE, LOC6553132|XP_026836543.1|DERE	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE
OG0000055	LOC26527116|XP_015009429.1|DERE, LOC6555464|XP_001981222.1|DERE, LOC6555461|XP_001981219.1|DERE, LOC113564309|XP_026836595.1|DERE	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE
OG0000056	LOC6554751|XP_001982187.1|DERE, LOC6554750|XP_001982186.1|DERE, LOC6554782|XP_001982185.1|DERE, LOC6554781|XP_001982184.3|DERE, LOC6551980|XP_001980665.2|DERE	LOC118507841|XP_035902865.1|ASTE
OG0000058	LOC6548959|XP_001974191.1|DERE, LOC6548960|XP_001974192.1|DERE, LOC6543269|XP_001969993.1|DERE	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE
OG0000060	LOC6551123|XP_026838344.1|DERE	LOC118506293|XP_035899121.1|ASTE
OG0000060	LOC6554918|XP_026832695.1|DERE	LOC118514292|XP_035916947.1|ASTE
OG0000060	LOC6551264|XP_001978379.1|DERE, LOC6542766|XP_001968438.1|DERE	LOC118509485|XP_035906030.1|ASTE
OG0000062	LOC6549684|XP_001977426.1|DERE, LOC6549489|XP_001974263.1|DERE, LOC6549488|XP_001974262.1|DERE, LOC113564055|XP_026834234.1|DERE	LOC118512947|XP_035914059.1|ASTE
OG0000067	LOC6553482|XP_001979359.1|DERE, LOC6544666|XP_001972003.3|DERE	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE
OG0000067	LOC6543541|XP_001973625.1|DERE	LOC118509032|XP_035904963.1|ASTE
OG0000068	LOC6546215|XP_001972910.3|DERE, LOC6553949|XP_001979475.2|DERE, LOC6546278|XP_001972902.2|DERE, LOC6547621|XP_001974885.1|DERE, LOC6549927|XP_026837643.1|DERE	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE
OG0000070	LOC6541526|XP_001970002.1|DERE, LOC6555523|XP_001982429.1|DERE, LOC6542508|XP_001970001.1|DERE, LOC6550273|XP_001977632.1|DERE	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE
OG0000071	LOC6544447|XP_001972434.2|DERE	LOC118507755|XP_035902660.1|ASTE
OG0000071	LOC6544819|XP_026832512.1|DERE, LOC6544818|XP_026832511.1|DERE, LOC6544820|XP_001972656.1|DERE	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE
OG0000072	LOC6548840|XP_001975354.1|DERE, LOC6548921|XP_001975349.1|DERE, LOC6548838|XP_001975352.2|DERE	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE
OG0000073	LOC6547037|XP_026835680.1|DERE	LOC118508175|XP_035903617.1|ASTE
OG0000073	LOC6555769|XP_026837941.1|DERE	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE
OG0000073	LOC6553627|XP_015009630.1|DERE	LOC118506813|XP_035900364.1|ASTE
OG0000073	LOC6550857|XP_026837405.1|DERE	LOC118508670|XP_035904399.1|ASTE
OG0000074	LOC6545304|XP_001972062.2|DERE, LOC6546439|XP_001972925.1|DERE	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE
OG0000076	LOC6544188|XP_015013837.1|DERE	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE
OG0000076	LOC6550413|XP_001977744.3|DERE	LOC118504620|XP_035895194.1|ASTE
OG0000077	LOC6547656|XP_001974813.2|DERE	LOC118507281|XP_035901485.1|ASTE
OG0000077	LOC6552303|XP_001980828.1|DERE	LOC118512454|XP_035912813.1|ASTE
OG0000077	LOC6548296|XP_001976581.1|DERE	LOC118506025|XP_035898529.1|ASTE
OG0000077	LOC6554318|XP_001981477.2|DERE	LOC118511962|XP_035911578.1|ASTE
OG0000078	LOC6547567|XP_001974844.1|DERE, LOC6543899|XP_001973650.1|DERE, LOC6553294|XP_001979187.1|DERE, LOC6549869|XP_001978650.1|DERE, LOC6550069|XP_001977566.1|DERE	LOC118506363|XP_035899271.1|ASTE
OG0000080	LOC6548270|XP_001975252.1|DERE, LOC6548272|XP_001975254.1|DERE, LOC6548314|XP_001975327.1|DERE	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE
OG0000082	LOC6549322|XP_026837009.1|DERE, LOC6554914|XP_001982236.1|DERE, LOC6552838|XP_001979871.1|DERE	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE
OG0000083	LOC6541689|XP_026834543.1|DERE, LOC6543321|XP_001969237.1|DERE, LOC6543013|XP_001969236.1|DERE, LOC6543404|XP_001969234.1|DERE, LOC6543089|XP_001969235.1|DERE, LOC6542300|XP_001969971.2|DERE	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE
OG0000084	LOC6547297|XP_001974723.1|DERE	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE
OG0000084	LOC6548751|XP_001975436.1|DERE	LOC118503417|XP_035892550.1|ASTE
OG0000085	LOC6541232|XP_001970598.1|DERE	LOC118513044|XP_035914229.1|ASTE
OG0000086	LOC6547336|XP_001974796.1|DERE	LOC118508907|XP_035904661.1|ASTE
OG0000087	LOC6541207|XP_001969370.1|DERE	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE
OG0000088	LOC6543073|XP_015014662.1|DERE	LOC118503330|XP_035892383.1|ASTE
OG0000089	LOC6553054|XP_001979141.1|DERE, LOC6553281|XP_001979199.1|DERE	LOC118505310|XP_035896841.1|ASTE
OG0000089	LOC6543975|XP_026832426.1|DERE	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE
OG0000090	LOC6543160|XP_026835138.1|DERE, LOC6542384|XP_026835110.1|DERE, LOC6543999|XP_001971891.1|DERE, LOC6545497|XP_001971099.2|DERE	LOC118506264|XP_035899059.1|ASTE
OG0000091	LOC6555007|XP_015009056.1|DERE	LOC118507859|XP_035902942.1|ASTE
OG0000091	LOC6541159|XP_001969819.1|DERE, LOC113563760|XP_026831978.1|DERE, LOC6551848|XP_026831615.1|DERE	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE
OG0000093	LOC6541764|XP_026834401.1|DERE	LOC118510780|XP_035908957.1|ASTE
OG0000094	LOC6546506|XP_026832953.1|DERE, LOC6552799|XP_001979027.1|DERE	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE
OG0000096	LOC6549153|XP_001974282.1|DERE, LOC6541172|XP_026834907.1|DERE, LOC6552105|XP_001980699.1|DERE, LOC6549084|XP_001974223.1|DERE	LOC118514595|XP_035917485.1|ASTE
OG0000098	LOC6553676|XP_001980418.1|DERE	LOC118506462|XP_035899533.1|ASTE
OG0000099	LOC6555581|XP_015008726.1|DERE	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE
OG0000101	LOC113563952|XP_026833685.1|DERE, LOC113563950|XP_026833684.1|DERE, LOC6545510|XP_015012990.1|DERE	LOC118510504|XP_035908303.1|ASTE
OG0000102	LOC6546722|XP_001974594.1|DERE	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE
OG0000102	LOC6540855|XP_001970375.1|DERE, LOC6547312|XP_001976339.1|DERE	LOC118504365|XP_035894655.1|ASTE
OG0000103	LOC6545153|XP_001971583.1|DERE, LOC6546214|XP_001972909.1|DERE, LOC26526609|XP_015014313.1|DERE, LOC6547246|XP_026836375.1|DERE	LOC118508203|XP_035903666.1|ASTE
OG0000105	LOC6545983|XP_001972191.2|DERE, LOC6552845|XP_001980953.1|DERE, LOC6552850|XP_001980958.2|DERE	LOC118506605|XP_035899865.1|ASTE
OG0000109	LOC6541724|XP_026834322.1|DERE, LOC6541702|XP_026835082.1|DERE	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE
OG0000109	LOC6542019|XP_001969959.1|DERE	LOC118504419|XP_035894746.1|ASTE
OG0000110	LOC6544572|XP_001971451.2|DERE, LOC6544308|XP_001971450.1|DERE, LOC6544307|XP_001971449.3|DERE, LOC6544306|XP_001971448.1|DERE	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE
OG0000111	LOC6547569|XP_001974846.1|DERE, LOC6547573|XP_001974850.1|DERE, LOC6547572|XP_026836839.1|DERE	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE
OG0000112	LOC6549919|XP_001978671.1|DERE, LOC6550010|XP_001977476.1|DERE, LOC113564579|XP_026838421.1|DERE, LOC6549742|XP_001978647.2|DERE	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE
OG0000113	LOC113564127|XP_026835137.1|DERE, LOC6549603|XP_001975736.1|DERE, LOC6552710|XP_026831517.1|DERE, LOC6549195|XP_026836393.1|DERE	LOC118512990|XP_035914139.1|ASTE
OG0000114	LOC113564097|XP_026834771.1|DERE, LOC113564096|XP_026834770.1|DERE	LOC118509008|XP_035904916.1|ASTE
OG0000117	LOC6540738|XP_001969562.1|DERE, LOC6540920|XP_001969563.1|DERE, LOC6540785|XP_001969564.1|DERE, LOC6540760|XP_001969565.1|DERE	LOC118502432|XP_035890553.1|ASTE, LOC118506535|XP_035899700.1|ASTE
OG0000118	LOC6540609|XP_001968779.3|DERE, LOC6540594|XP_001968778.1|DERE, LOC6543468|XP_001969543.1|DERE	LOC118502409|XP_035890526.1|ASTE
OG0000119	LOC6552165|XP_001980717.1|DERE, LOC6552163|XP_001980715.1|DERE, LOC6552164|XP_001980716.1|DERE	LOC118504397|XP_035894696.1|ASTE, LOC118507360|XP_035901665.1|ASTE, LOC118510253|XP_035907732.1|ASTE, LOC118504396|XP_035894695.1|ASTE
OG0000120	LOC6555510|XP_015008783.1|DERE	LOC118509359|XP_035905774.1|ASTE
OG0000120	LOC6546603|XP_001976042.1|DERE	LOC118512861|XP_035913838.1|ASTE
OG0000121	LOC6549747|XP_001977350.1|DERE, LOC6552855|XP_001979940.1|DERE, LOC6552857|XP_026831855.1|DERE, LOC6552856|XP_001979941.1|DERE	LOC118504430|XP_035894762.1|ASTE
OG0000122	LOC6541936|XP_001968351.2|DERE, LOC6551621|XP_001977124.1|DERE, LOC6543179|XP_001969187.2|DERE, LOC6541798|XP_001968644.1|DERE	LOC118502484|XP_035890608.1|ASTE
OG0000123	LOC6548565|XP_001976637.1|DERE, LOC6553667|XP_026839511.1|DERE, LOC6553075|XP_001979096.1|DERE, LOC6553074|XP_001979095.1|DERE, LOC6553076|XP_001979097.1|DERE	LOC118506463|XP_035899530.1|ASTE
OG0000125	LOC6554806|XP_015009019.2|DERE	LOC118502975|XP_035891640.1|ASTE
OG0000125	LOC6553712|XP_001980356.1|DERE	LOC118511794|XP_035911255.1|ASTE
OG0000126	LOC6554336|XP_001981300.2|DERE, LOC6543059|XP_001968919.2|DERE	LOC118510666|XP_035908699.1|ASTE
OG0000127	LOC6553214|XP_001979216.1|DERE, LOC6553215|XP_001979217.1|DERE, LOC6553213|XP_001979215.1|DERE, LOC6553212|XP_001979214.2|DERE	LOC118506630|XP_035899894.1|ASTE, LOC118506629|XP_035899892.1|ASTE
OG0000128	LOC6547674|XP_026836856.1|DERE, LOC6547673|XP_026837174.1|DERE, LOC6553622|XP_001979280.3|DERE	LOC118516915|XP_035918646.1|ASTE, LOC118509094|XP_035905138.1|ASTE
OG0000129	LOC6551485|XP_001978469.1|DERE, LOC6544586|XP_001972385.1|DERE, LOC26527022|XP_015015590.1|DERE, LOC6551486|XP_001978470.2|DERE	LOC118506636|XP_035899907.1|ASTE
OG0000130	LOC6545208|XP_001972099.1|DERE, LOC6544918|XP_026833930.1|DERE	LOC118507218|XP_035901212.1|ASTE
