Orthogroup	DERE.longest_only	CCAP.longest_only
OG0000016	LOC6553473|XP_001980267.1|DERE, LOC6547825|XP_001974973.1|DERE	CCAP1982_LOCUS2337|CAD6993525.1|CCAP
OG0000016	LOC6553744|XP_001980362.1|DERE	CCAP1982_LOCUS4238|CAD6995526.1|CCAP
OG0000016	LOC6548497|XP_001975310.2|DERE	CCAP1982_LOCUS8417|CAD6999907.1|CCAP
OG0000016	LOC6553157|XP_026831618.1|DERE	CCAP1982_LOCUS4923|CAD6996239.1|CCAP
OG0000016	LOC6544283|XP_001973711.1|DERE	CCAP1982_LOCUS22100|CAD7014094.1|CCAP
OG0000017	LOC6540975|XP_001970557.1|DERE, LOC6542635|XP_001970806.1|DERE	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP
OG0000018	LOC6545112|XP_001972081.1|DERE	CCAP1982_LOCUS12552|CAD7004131.1|CCAP
OG0000018	LOC6545117|XP_001972086.1|DERE, LOC6545115|XP_001972084.1|DERE	CCAP1982_LOCUS12546|CAD7004125.1|CCAP
OG0000018	LOC6545114|XP_001972083.1|DERE	CCAP1982_LOCUS12550|CAD7004129.1|CCAP
OG0000018	LOC6545189|XP_001972077.1|DERE, LOC6545191|XP_001972079.1|DERE	CCAP1982_LOCUS12549|CAD7004128.1|CCAP, CCAP1982_LOCUS12547|CAD7004126.1|CCAP, CCAP1982_LOCUS12548|CAD7004127.1|CCAP
OG0000019	LOC113564308|XP_026836578.1|DERE, LOC113564837|XP_026839515.1|DERE, LOC6555070|XP_001981612.1|DERE, LOC6555069|XP_001981611.1|DERE, LOC113564283|XP_026836268.1|DERE, LOC6555065|XP_001981607.1|DERE, LOC113563849|XP_026832170.1|DERE, LOC113563848|XP_026832169.1|DERE, LOC113563851|XP_026832173.1|DERE, LOC113563850|XP_026832172.1|DERE, LOC6555062|XP_001981604.2|DERE, LOC6555064|XP_026839386.1|DERE	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP
OG0000020	LOC6555052|XP_026839769.1|DERE	CCAP1982_LOCUS1146|CAD6992278.1|CCAP
OG0000020	LOC6549413|XP_026836257.1|DERE, LOC6540649|XP_026834533.1|DERE, LOC6543425|XP_026834766.1|DERE	CCAP1982_LOCUS1002|CAD6992120.1|CCAP
OG0000020	LOC6553828|XP_026839892.1|DERE	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP
OG0000020	LOC6548804|XP_001974084.1|DERE, LOC6549412|XP_001974317.1|DERE	CCAP1982_LOCUS999|CAD6992115.1|CCAP
OG0000021	LOC6553703|XP_001980409.1|DERE	CCAP1982_LOCUS162|CAD6991224.1|CCAP
OG0000022	LOC6548724|XP_001975398.1|DERE	CCAP1982_LOCUS19689|CAD7011600.1|CCAP
OG0000022	LOC6556144|XP_001982999.1|DERE, LOC6545492|XP_001971094.1|DERE, LOC6545493|XP_026833569.1|DERE, LOC6556143|XP_001982998.1|DERE	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP
OG0000023	LOC6553285|XP_001979203.1|DERE, LOC6546697|XP_026836761.1|DERE, LOC6553284|XP_026831910.1|DERE	CCAP1982_LOCUS4737|CAD6996031.1|CCAP
OG0000023	LOC6553277|XP_001979195.2|DERE	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP
OG0000023	LOC6553329|XP_001979191.2|DERE	CCAP1982_LOCUS4752|CAD6996046.1|CCAP
OG0000023	LOC6553331|XP_001979193.1|DERE	CCAP1982_LOCUS4751|CAD6996045.1|CCAP
OG0000023	LOC6553328|XP_001979190.1|DERE	CCAP1982_LOCUS4754|CAD6996047.1|CCAP
OG0000024	LOC6549069|XP_001974169.1|DERE, LOC6547184|XP_001976082.1|DERE	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP
OG0000026	LOC6551346|XP_001977080.1|DERE, LOC6553336|XP_001979309.1|DERE	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP
OG0000027	LOC6541432|XP_001970185.1|DERE	CCAP1982_LOCUS8299|CAD6999776.1|CCAP
OG0000027	LOC6541563|XP_001970188.1|DERE	CCAP1982_LOCUS8293|CAD6999770.1|CCAP
OG0000027	LOC6541340|XP_001970186.1|DERE	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP
OG0000028	LOC6545516|XP_001973330.1|DERE	CCAP1982_LOCUS11984|CAD7003534.1|CCAP
OG0000028	LOC6545103|XP_001973211.1|DERE	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP
OG0000029	LOC6551894|XP_001980609.1|DERE, LOC6541177|XP_001969159.1|DERE, LOC6547215|XP_001974713.1|DERE, LOC6543371|XP_001969207.2|DERE, LOC6552797|XP_001981008.1|DERE, LOC6546309|XP_026833134.1|DERE	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP
OG0000030	LOC6540832|XP_001969798.1|DERE, LOC6541247|XP_001969800.2|DERE, LOC6543200|XP_001969799.1|DERE	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP
OG0000030	LOC6542410|XP_001968441.1|DERE, LOC6547811|XP_001976404.1|DERE	CCAP1982_LOCUS21173|CAD7013099.1|CCAP
OG0000031	LOC6542615|XP_001969442.1|DERE	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP
OG0000032	LOC6553974|XP_015009875.1|DERE	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP
OG0000032	LOC113564299|XP_026836470.1|DERE	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP
OG0000034	LOC6547752|XP_001976261.2|DERE, LOC6547627|XP_001976262.1|DERE, LOC113564268|XP_026836067.1|DERE, LOC6553711|XP_001980355.1|DERE	CCAP1982_LOCUS7893|CAD6999366.1|CCAP
OG0000036	LOC6553210|XP_001979212.1|DERE	CCAP1982_LOCUS4712|CAD6996006.1|CCAP
OG0000036	LOC6553049|XP_001980037.3|DERE	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP
OG0000036	LOC6552090|XP_001978801.1|DERE	CCAP1982_LOCUS1595|CAD6992752.1|CCAP
OG0000036	LOC6554160|XP_026832544.1|DERE, LOC113563885|XP_026832533.1|DERE	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP
OG0000037	LOC6547304|XP_026836461.1|DERE	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP
OG0000037	LOC6553809|XP_001979566.1|DERE, LOC6553808|XP_001979565.1|DERE	CCAP1982_LOCUS2613|CAD6993815.1|CCAP
OG0000038	LOC6545503|XP_001973343.1|DERE	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP
OG0000041	LOC6554981|XP_001981824.1|DERE, LOC26526627|XP_015009397.2|DERE, LOC6554997|XP_001981822.1|DERE, LOC6554980|XP_001981823.2|DERE, LOC6554990|XP_001981815.1|DERE, LOC6554992|XP_001981817.1|DERE, LOC6554991|XP_001981816.2|DERE	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP
OG0000043	LOC6551884|XP_001980608.2|DERE, LOC6551882|XP_001980606.1|DERE, LOC6551883|XP_001980607.1|DERE	CCAP1982_LOCUS4613|CAD6995911.1|CCAP
OG0000043	LOC6551896|XP_001980611.1|DERE, LOC6554744|XP_001981087.1|DERE, LOC6549065|XP_026836066.1|DERE, LOC6551880|XP_001980604.1|DERE	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP
OG0000044	LOC6554933|XP_001981812.1|DERE	CCAP1982_LOCUS840|CAD6991952.1|CCAP
OG0000044	LOC6554929|XP_001981808.1|DERE, LOC6554928|XP_001981807.1|DERE, LOC6554932|XP_026836683.1|DERE, LOC6554930|XP_001981809.1|DERE, LOC6554931|XP_001981810.2|DERE	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP
OG0000044	LOC6553968|XP_001980526.3|DERE	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP
OG0000045	LOC6543777|XP_001972312.1|DERE	CCAP1982_LOCUS11539|CAD7003076.1|CCAP
OG0000045	LOC6543776|XP_001972311.2|DERE, LOC6543775|XP_001972310.1|DERE	CCAP1982_LOCUS11540|CAD7003077.1|CCAP
OG0000045	LOC6544619|XP_001971501.1|DERE	CCAP1982_LOCUS11541|CAD7003078.1|CCAP
OG0000045	LOC6544620|XP_001971502.1|DERE	CCAP1982_LOCUS11542|CAD7003079.1|CCAP
OG0000047	LOC6549604|XP_001975737.1|DERE	CCAP1982_LOCUS9943|CAD7001446.1|CCAP
OG0000048	LOC6544966|XP_001973233.1|DERE, LOC6544967|XP_001973234.1|DERE	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP
OG0000048	LOC6545047|XP_001973229.1|DERE, LOC6545045|XP_001973227.2|DERE	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP
OG0000048	LOC6544963|XP_001973230.1|DERE	CCAP1982_LOCUS14852|CAD7006538.1|CCAP
OG0000049	LOC6552331|XP_001979790.1|DERE	CCAP1982_LOCUS3089|CAD6994333.1|CCAP
OG0000049	LOC6552229|XP_001979794.1|DERE	CCAP1982_LOCUS3087|CAD6994331.1|CCAP
OG0000049	LOC6552231|XP_001979796.1|DERE, LOC6552230|XP_001979795.1|DERE	CCAP1982_LOCUS3086|CAD6994330.1|CCAP
OG0000049	LOC6552330|XP_001979789.1|DERE	CCAP1982_LOCUS3090|CAD6994334.1|CCAP
OG0000050	LOC6544231|XP_001973747.1|DERE, LOC6544204|XP_026833494.1|DERE, LOC26526578|XP_026833595.1|DERE, LOC6544232|XP_026833594.1|DERE, LOC6544203|XP_001973745.2|DERE	CCAP1982_LOCUS13740|CAD7005380.1|CCAP
OG0000051	LOC6552520|XP_001980945.1|DERE	CCAP1982_LOCUS274|CAD6991345.1|CCAP
OG0000051	LOC6553748|XP_001980366.1|DERE	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP
OG0000051	LOC6553801|XP_001980449.1|DERE, LOC6552141|XP_001979934.1|DERE, LOC6553800|XP_001980448.1|DERE, LOC6553799|XP_001980447.1|DERE	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP
OG0000052	LOC6552258|XP_001980739.1|DERE, LOC6555308|XP_001982081.1|DERE, LOC6552259|XP_001980740.3|DERE, LOC6552256|XP_001980737.2|DERE, LOC6552257|XP_001980738.1|DERE, LOC6547302|XP_001974728.1|DERE, LOC6547301|XP_001974727.1|DERE	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP
OG0000053	LOC6541123|XP_001970454.1|DERE, LOC6542707|XP_001970455.1|DERE	CCAP1982_LOCUS20953|CAD7012854.1|CCAP
OG0000053	LOC6542876|XP_001970456.1|DERE	CCAP1982_LOCUS20955|CAD7012856.1|CCAP
OG0000053	LOC6542254|XP_001970457.1|DERE	CCAP1982_LOCUS20956|CAD7012857.1|CCAP
OG0000053	LOC6542856|XP_001970461.3|DERE	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP
OG0000054	LOC6553130|XP_001980075.1|DERE	CCAP1982_LOCUS1028|CAD6992150.1|CCAP
OG0000054	LOC6553131|XP_001980076.1|DERE, LOC6553059|XP_001980078.1|DERE, LOC6553132|XP_026836543.1|DERE	CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP
OG0000058	LOC6548959|XP_001974191.1|DERE, LOC6548960|XP_001974192.1|DERE, LOC6543269|XP_001969993.1|DERE	CCAP1982_LOCUS13059|CAD7004664.1|CCAP, CCAP1982_LOCUS14675|CAD7006353.1|CCAP
OG0000059	LOC6555431|XP_001981657.1|DERE, LOC6555433|XP_001981659.1|DERE, LOC6555434|XP_001981660.1|DERE, LOC6555432|XP_001981658.1|DERE, LOC6555436|XP_001981662.1|DERE, LOC6555437|XP_001981663.1|DERE, LOC6555439|XP_001981665.1|DERE	CCAP1982_LOCUS3622|CAD6994887.1|CCAP, CCAP1982_LOCUS3628|CAD6994893.1|CCAP, CCAP1982_LOCUS3630|CAD6994895.1|CCAP, CCAP1982_LOCUS3620|CAD6994885.1|CCAP, CCAP1982_LOCUS3626|CAD6994891.1|CCAP
OG0000060	LOC6554918|XP_026832695.1|DERE	CCAP1982_LOCUS3311|CAD6994573.1|CCAP
OG0000061	LOC6541628|XP_001968975.1|DERE	CCAP1982_LOCUS7588|CAD6999041.1|CCAP
OG0000061	LOC6542667|XP_001968981.1|DERE	CCAP1982_LOCUS7592|CAD6999045.1|CCAP
OG0000061	LOC6541823|XP_001968977.1|DERE, LOC6542105|XP_001968978.2|DERE	CCAP1982_LOCUS7589|CAD6999042.1|CCAP, CCAP1982_LOCUS7590|CAD6999043.1|CCAP
OG0000062	LOC6549684|XP_001977426.1|DERE, LOC6549489|XP_001974263.1|DERE, LOC6549488|XP_001974262.1|DERE, LOC113564055|XP_026834234.1|DERE	CCAP1982_LOCUS9178|CAD7000705.1|CCAP, CCAP1982_LOCUS2476|CAD6993670.1|CCAP, CCAP1982_LOCUS9173|CAD7000700.1|CCAP, CCAP1982_LOCUS9182|CAD7000709.1|CCAP, CCAP1982_LOCUS9181|CAD7000708.1|CCAP, CCAP1982_LOCUS9180|CAD7000707.1|CCAP
