Orthogroup	DERE.longest_only	CPIP.longest_only
OG0000010	LOC6556039|XP_015008608.2|DERE	LOC120430236|XP_039451249.1|CPIP
OG0000010	LOC6548695|XP_001974014.1|DERE, LOC113564802|XP_026839451.1|DERE, LOC113564785|XP_026839418.1|DERE, LOC26526498|XP_026839417.1|DERE	LOC120422947|XP_039442463.1|CPIP
OG0000010	LOC6548705|XP_026839404.1|DERE, LOC6548710|XP_026839403.1|DERE, LOC6556033|XP_026839405.1|DERE, LOC6549045|XP_026839450.1|DERE, LOC6556049|XP_001982909.3|DERE	LOC120415441|XP_039432923.1|CPIP
OG0000012	LOC6547483|XP_015011854.1|DERE, LOC6547482|XP_001974798.1|DERE, LOC6547337|XP_015012184.1|DERE, LOC6547484|XP_026836781.1|DERE, LOC6547486|XP_001974802.1|DERE, LOC6547485|XP_015012185.1|DERE, LOC6546830|XP_026836193.1|DERE, LOC6546691|XP_001975936.3|DERE, LOC6546690|XP_001975935.1|DERE, LOC26526953|XP_026835974.1|DERE, LOC6546689|XP_001975934.2|DERE, LOC6546688|XP_001975933.1|DERE	LOC120419492|XP_039438114.1|CPIP, LOC120419485|XP_039438104.1|CPIP, LOC120419486|XP_039438105.1|CPIP
OG0000013	LOC6549620|XP_001975657.1|DERE	LOC120421446|XP_039440586.1|CPIP
OG0000013	LOC6551261|XP_026838843.1|DERE	LOC120414719|XP_039431959.1|CPIP
OG0000013	LOC6553110|XP_001980016.1|DERE	LOC120419254|XP_039437842.1|CPIP
OG0000013	LOC6545627|XP_026832753.1|DERE	LOC120425238|XP_039445606.1|CPIP, LOC120426202|XP_039446840.1|CPIP
OG0000013	LOC6553734|XP_001980320.1|DERE	LOC120420165|XP_039439065.1|CPIP
OG0000013	LOC6554353|XP_001982051.1|DERE, LOC6553767|XP_001980392.1|DERE, LOC6553763|XP_026839524.1|DERE, LOC113564842|XP_026839519.1|DERE, LOC6553724|XP_001980393.1|DERE, LOC6554050|XP_001980491.1|DERE, LOC6554051|XP_001980492.1|DERE	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP
OG0000016	LOC6553473|XP_001980267.1|DERE, LOC6547825|XP_001974973.1|DERE	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP
OG0000016	LOC6553744|XP_001980362.1|DERE	LOC120432396|XP_039453527.1|CPIP
OG0000016	LOC6551195|XP_001977029.1|DERE	LOC120421049|XP_039440125.1|CPIP
OG0000016	LOC6544283|XP_001973711.1|DERE	LOC120412537|XP_039428967.1|CPIP, LOC120412538|XP_039428968.1|CPIP
OG0000018	LOC6545112|XP_001972081.1|DERE	LOC120418854|XP_039437316.1|CPIP
OG0000018	LOC6545189|XP_001972077.1|DERE, LOC6545191|XP_001972079.1|DERE	LOC120425088|XP_039445415.1|CPIP
OG0000019	LOC113564308|XP_026836578.1|DERE, LOC113564837|XP_026839515.1|DERE, LOC6555070|XP_001981612.1|DERE, LOC6555069|XP_001981611.1|DERE, LOC113564283|XP_026836268.1|DERE, LOC6555065|XP_001981607.1|DERE, LOC113563849|XP_026832170.1|DERE, LOC113563848|XP_026832169.1|DERE, LOC113563851|XP_026832173.1|DERE, LOC113563850|XP_026832172.1|DERE, LOC6555062|XP_001981604.2|DERE, LOC6555064|XP_026839386.1|DERE	LOC120417104|XP_039435015.1|CPIP, LOC120426863|XP_039447601.1|CPIP, LOC120417105|XP_039435016.1|CPIP, LOC120426867|XP_039447605.1|CPIP, LOC120426866|XP_039447604.1|CPIP, LOC120426873|XP_039447610.1|CPIP, LOC120426878|XP_039447615.1|CPIP, LOC120426877|XP_039447614.1|CPIP, LOC120426875|XP_039447611.1|CPIP, LOC120428181|XP_039449096.1|CPIP, LOC120428060|XP_039448954.1|CPIP, LOC120415075|XP_039432414.1|CPIP, LOC120414371|XP_039431471.1|CPIP, LOC120428640|XP_039449615.1|CPIP
OG0000020	LOC6555052|XP_026839769.1|DERE, LOC6547855|XP_001975038.1|DERE	LOC120421785|XP_039440991.1|CPIP
OG0000020	LOC6549413|XP_026836257.1|DERE, LOC6540649|XP_026834533.1|DERE, LOC6543425|XP_026834766.1|DERE, LOC6553828|XP_026839892.1|DERE, LOC6554060|XP_001980549.1|DERE, LOC6548804|XP_001974084.1|DERE, LOC6549412|XP_001974317.1|DERE	LOC120420106|XP_039438987.1|CPIP
OG0000021	LOC6551659|XP_001977237.1|DERE	LOC120418811|XP_039437259.1|CPIP
OG0000021	LOC6554651|XP_001981975.1|DERE, LOC6553703|XP_001980409.1|DERE, LOC26526932|XP_026837924.1|DERE	LOC120424111|XP_039444066.1|CPIP
OG0000022	LOC6548724|XP_001975398.1|DERE, LOC6543861|XP_001971088.1|DERE, LOC6556144|XP_001982999.1|DERE, LOC6545492|XP_001971094.1|DERE, LOC6545493|XP_026833569.1|DERE, LOC6556143|XP_001982998.1|DERE, LOC6545495|XP_001971097.1|DERE, LOC6545494|XP_001971096.1|DERE	LOC120418999|XP_039437504.1|CPIP
OG0000023	LOC113563731|XP_026831631.1|DERE, LOC6553285|XP_001979203.1|DERE, LOC6546697|XP_026836761.1|DERE, LOC6553284|XP_026831910.1|DERE, LOC6553277|XP_001979195.2|DERE, LOC6553329|XP_001979191.2|DERE, LOC6553331|XP_001979193.1|DERE, LOC6553328|XP_001979190.1|DERE	LOC120424653|XP_039444760.1|CPIP, LOC120424643|XP_039444746.1|CPIP
OG0000025	LOC6540718|XP_001968765.1|DERE	LOC120425545|XP_039446040.1|CPIP, LOC120422939|XP_039442451.1|CPIP
OG0000026	LOC6551346|XP_001977080.1|DERE, LOC6553336|XP_001979309.1|DERE	LOC120420109|XP_039438991.1|CPIP, LOC120420108|XP_039438989.1|CPIP, LOC120420107|XP_039438988.1|CPIP, LOC120420114|XP_039438997.1|CPIP, LOC120420115|XP_039438998.1|CPIP, LOC120424841|XP_039445018.1|CPIP, LOC120424843|XP_039445020.1|CPIP, LOC120424842|XP_039445019.1|CPIP, LOC120414676|XP_039431895.1|CPIP, LOC120421347|XP_039440461.1|CPIP
OG0000027	LOC6541432|XP_001970185.1|DERE, LOC6541563|XP_001970188.1|DERE, LOC6541340|XP_001970186.1|DERE	LOC120419680|XP_039438401.1|CPIP, LOC120419648|XP_039438338.1|CPIP, LOC120419663|XP_039438360.1|CPIP, LOC120419649|XP_039438339.1|CPIP, LOC120419660|XP_039438354.1|CPIP
OG0000028	LOC6545328|XP_001973336.1|DERE, LOC6545326|XP_026833776.1|DERE, LOC6545325|XP_026832190.1|DERE, LOC6545324|XP_026833774.1|DERE, LOC6545516|XP_001973330.1|DERE, LOC6545103|XP_001973211.1|DERE	LOC120431646|XP_039452687.1|CPIP, LOC120428342|XP_039449274.1|CPIP, LOC120413636|XP_039430486.1|CPIP
OG0000029	LOC6551894|XP_001980609.1|DERE, LOC6541177|XP_001969159.1|DERE, LOC6547215|XP_001974713.1|DERE, LOC6543371|XP_001969207.2|DERE, LOC6552797|XP_001981008.1|DERE, LOC6546309|XP_026833134.1|DERE	LOC120427995|XP_039448892.1|CPIP, LOC120429043|XP_039450116.1|CPIP, LOC120425400|XP_039445848.1|CPIP, LOC120412437|XP_039428830.1|CPIP, LOC120412438|XP_039428832.1|CPIP, LOC120412377|XP_039428737.1|CPIP, LOC120426298|XP_039446982.1|CPIP, LOC120431774|XP_039452829.1|CPIP, LOC120431776|XP_039452830.1|CPIP, LOC120414517|XP_039431660.1|CPIP, LOC120431779|XP_039452834.1|CPIP, LOC120431777|XP_039452831.1|CPIP, LOC120414516|XP_039431658.1|CPIP, LOC120431778|XP_039452832.1|CPIP, LOC120431781|XP_039452836.1|CPIP, LOC120423531|XP_039443312.1|CPIP, LOC120423591|XP_039443386.1|CPIP, LOC120423529|XP_039443310.1|CPIP, LOC120423562|XP_039443346.1|CPIP, LOC120423590|XP_039443385.1|CPIP, LOC120423574|XP_039443365.1|CPIP, LOC120423530|XP_039443311.1|CPIP, LOC120428050|XP_039448948.1|CPIP, LOC120428047|XP_039448945.1|CPIP, LOC120428042|XP_039448940.1|CPIP, LOC120428049|XP_039448947.1|CPIP, LOC120428044|XP_039448941.1|CPIP, LOC120428048|XP_039448946.1|CPIP, LOC120428041|XP_039448939.1|CPIP, LOC120416967|XP_039434819.1|CPIP, LOC120416965|XP_039434818.1|CPIP, LOC120416968|XP_039434820.1|CPIP, LOC120424280|XP_039444284.1|CPIP, LOC120416978|XP_039434836.1|CPIP, LOC120425984|XP_039446573.1|CPIP
OG0000031	LOC6541519|XP_001969009.2|DERE, LOC6543250|XP_001968986.1|DERE, LOC113563971|XP_026833917.1|DERE	LOC120431052|XP_039452140.1|CPIP, LOC120431053|XP_039452142.1|CPIP, LOC120431044|XP_039452130.1|CPIP
OG0000032	LOC6553974|XP_015009875.1|DERE, LOC6553916|XP_015010087.1|DERE, LOC6553973|XP_026831770.1|DERE, LOC6553976|XP_001980433.2|DERE, LOC6553975|XP_026831724.1|DERE, LOC113564299|XP_026836470.1|DERE	LOC120428276|XP_039449203.1|CPIP, LOC120428278|XP_039449205.1|CPIP, LOC120423181|XP_039442808.1|CPIP, LOC120428273|XP_039449199.1|CPIP, LOC120428279|XP_039449206.1|CPIP, LOC120423333|XP_039443034.1|CPIP, LOC120423329|XP_039443024.1|CPIP
OG0000034	LOC6547752|XP_001976261.2|DERE, LOC6547627|XP_001976262.1|DERE, LOC113564268|XP_026836067.1|DERE, LOC6553711|XP_001980355.1|DERE	LOC120424426|XP_039444477.1|CPIP, LOC120424428|XP_039444478.1|CPIP, LOC120425576|XP_039446083.1|CPIP
OG0000036	LOC6553210|XP_001979212.1|DERE	LOC120423312|XP_039443009.1|CPIP, LOC120423302|XP_039442999.1|CPIP
OG0000036	LOC6553049|XP_001980037.3|DERE	LOC120428713|XP_039449719.1|CPIP
OG0000037	LOC6547304|XP_026836461.1|DERE, LOC6553809|XP_001979566.1|DERE, LOC6553808|XP_001979565.1|DERE	LOC120427863|XP_039448721.1|CPIP, LOC120427866|XP_039448727.1|CPIP
OG0000038	LOC6545503|XP_001973343.1|DERE	LOC120421672|XP_039440837.1|CPIP
OG0000038	LOC6545505|XP_026833772.1|DERE	LOC120424485|XP_039444561.1|CPIP
OG0000039	LOC6553078|XP_001979073.2|DERE	LOC120423308|XP_039443007.1|CPIP, LOC120423309|XP_039443008.1|CPIP, LOC120423299|XP_039442997.1|CPIP, LOC120423315|XP_039443011.1|CPIP, LOC120414296|XP_039431365.1|CPIP, LOC120414287|XP_039431352.1|CPIP, LOC120425565|XP_039446064.1|CPIP, LOC120425872|XP_039446428.1|CPIP, LOC120421228|XP_039440361.1|CPIP, LOC120420530|XP_039439537.1|CPIP, LOC120419083|XP_039437604.1|CPIP, LOC120419038|XP_039437539.1|CPIP, LOC120419279|XP_039437882.1|CPIP
OG0000041	LOC6554981|XP_001981824.1|DERE, LOC26526627|XP_015009397.2|DERE, LOC6554997|XP_001981822.1|DERE, LOC6554980|XP_001981823.2|DERE, LOC6554990|XP_001981815.1|DERE, LOC6554992|XP_001981817.1|DERE, LOC6554991|XP_001981816.2|DERE	LOC120412956|XP_039429533.1|CPIP, LOC120412955|XP_039429528.1|CPIP, LOC120412998|XP_039429583.1|CPIP, LOC120412985|XP_039429569.1|CPIP, LOC120412939|XP_039429511.1|CPIP
OG0000043	LOC6551884|XP_001980608.2|DERE, LOC6551882|XP_001980606.1|DERE, LOC6551883|XP_001980607.1|DERE, LOC6551896|XP_001980611.1|DERE, LOC6554744|XP_001981087.1|DERE, LOC6549065|XP_026836066.1|DERE, LOC6551880|XP_001980604.1|DERE	LOC120430105|XP_039451125.1|CPIP, LOC120430134|XP_039451155.1|CPIP, LOC120423650|XP_039443467.1|CPIP, LOC120423651|XP_039443468.1|CPIP
OG0000044	LOC6554933|XP_001981812.1|DERE, LOC6554929|XP_001981808.1|DERE, LOC6554928|XP_001981807.1|DERE, LOC6554932|XP_026836683.1|DERE, LOC6554930|XP_001981809.1|DERE, LOC6554931|XP_001981810.2|DERE, LOC6553968|XP_001980526.3|DERE	LOC120431841|XP_039452903.1|CPIP
OG0000047	LOC6548915|XP_026836112.1|DERE, LOC6548919|XP_001975347.1|DERE, LOC6549604|XP_001975737.1|DERE, LOC6546188|XP_001972281.1|DERE, LOC6549507|XP_001975729.1|DERE, LOC6546189|XP_001972282.1|DERE	LOC120423119|XP_039442732.1|CPIP
OG0000048	LOC6545047|XP_001973229.1|DERE, LOC6545045|XP_001973227.2|DERE, LOC6544963|XP_001973230.1|DERE	LOC120428345|XP_039449278.1|CPIP, LOC120428347|XP_039449282.1|CPIP
OG0000049	LOC6552334|XP_001979793.1|DERE, LOC6552331|XP_001979790.1|DERE, LOC6552229|XP_001979794.1|DERE, LOC6552231|XP_001979796.1|DERE, LOC6552230|XP_001979795.1|DERE, LOC6552330|XP_001979789.1|DERE	LOC120423767|XP_039443615.1|CPIP, LOC120423768|XP_039443616.1|CPIP, LOC120422276|XP_039441594.1|CPIP, LOC120414464|XP_039431589.1|CPIP
OG0000051	LOC6552520|XP_001980945.1|DERE, LOC6553748|XP_001980366.1|DERE, LOC6553801|XP_001980449.1|DERE, LOC6552141|XP_001979934.1|DERE, LOC6553800|XP_001980448.1|DERE, LOC6553799|XP_001980447.1|DERE	LOC120417514|XP_039435529.1|CPIP, LOC120417515|XP_039435532.1|CPIP, LOC120417516|XP_039435533.1|CPIP, LOC120417522|XP_039435539.1|CPIP, LOC120417521|XP_039435538.1|CPIP
OG0000053	LOC6541123|XP_001970454.1|DERE, LOC6542707|XP_001970455.1|DERE, LOC6542876|XP_001970456.1|DERE	LOC120416815|XP_039434629.1|CPIP, LOC120422201|XP_039441517.1|CPIP, LOC120422212|XP_039441531.1|CPIP, LOC120422199|XP_039441515.1|CPIP
OG0000054	LOC6553130|XP_001980075.1|DERE, LOC6553131|XP_001980076.1|DERE, LOC6553059|XP_001980078.1|DERE, LOC6553132|XP_026836543.1|DERE	LOC120424642|XP_039444745.1|CPIP, LOC120424640|XP_039444743.1|CPIP, LOC120424639|XP_039444742.1|CPIP, LOC120424641|XP_039444744.1|CPIP, LOC120423364|XP_039443073.1|CPIP, LOC120426098|XP_039446735.1|CPIP, LOC120426101|XP_039446739.1|CPIP, LOC120423365|XP_039443074.1|CPIP, LOC120424648|XP_039444752.1|CPIP, LOC120430136|XP_039451157.1|CPIP, LOC120430099|XP_039451120.1|CPIP, LOC120432483|XP_039453634.1|CPIP, LOC120430127|XP_039451146.1|CPIP, LOC120430097|XP_039451119.1|CPIP
OG0000055	LOC26527116|XP_015009429.1|DERE, LOC6555464|XP_001981222.1|DERE, LOC6555461|XP_001981219.1|DERE, LOC113564309|XP_026836595.1|DERE	LOC120417320|XP_039435220.1|CPIP, LOC120426347|XP_039447068.1|CPIP, LOC120426434|XP_039447163.1|CPIP
OG0000056	LOC6554751|XP_001982187.1|DERE, LOC6554750|XP_001982186.1|DERE, LOC6554782|XP_001982185.1|DERE, LOC6554781|XP_001982184.3|DERE, LOC6551980|XP_001980665.2|DERE	LOC120426017|XP_039446626.1|CPIP, LOC120426019|XP_039446628.1|CPIP, LOC120426018|XP_039446627.1|CPIP, LOC120421076|XP_039440155.1|CPIP
OG0000058	LOC6548959|XP_001974191.1|DERE, LOC6548960|XP_001974192.1|DERE, LOC6543269|XP_001969993.1|DERE	LOC120416511|XP_039434162.1|CPIP, LOC120416581|XP_039434249.1|CPIP, LOC120416580|XP_039434248.1|CPIP, LOC120416567|XP_039434234.1|CPIP, LOC120416513|XP_039434165.1|CPIP, LOC120416512|XP_039434163.1|CPIP
OG0000060	LOC6551123|XP_026838344.1|DERE	LOC120420228|XP_039439150.1|CPIP
OG0000060	LOC6554918|XP_026832695.1|DERE	LOC120426886|XP_039447624.1|CPIP
OG0000061	LOC6541628|XP_001968975.1|DERE, LOC6542667|XP_001968981.1|DERE, LOC6541823|XP_001968977.1|DERE, LOC6542105|XP_001968978.2|DERE	LOC120415159|XP_039432529.1|CPIP
OG0000067	LOC6553482|XP_001979359.1|DERE, LOC6544666|XP_001972003.3|DERE	LOC120432580|XP_039453749.1|CPIP, LOC120432652|XP_039453830.1|CPIP, LOC120432654|XP_039453831.1|CPIP
OG0000067	LOC6543302|XP_001969186.1|DERE, LOC6544665|XP_001972002.1|DERE	LOC120432651|XP_039453829.1|CPIP
OG0000067	LOC6543541|XP_001973625.1|DERE	LOC120427625|XP_039448443.1|CPIP
OG0000068	LOC6546215|XP_001972910.3|DERE, LOC6553949|XP_001979475.2|DERE, LOC6546278|XP_001972902.2|DERE, LOC6547621|XP_001974885.1|DERE, LOC6549927|XP_026837643.1|DERE	LOC120412403|XP_039428799.1|CPIP, LOC120412410|XP_039428807.1|CPIP, LOC120412405|XP_039428802.1|CPIP, LOC120412404|XP_039428800.1|CPIP, LOC120417591|XP_039435637.1|CPIP, LOC120417584|XP_039435629.1|CPIP, LOC120417585|XP_039435630.1|CPIP, LOC120412539|XP_039428969.1|CPIP
OG0000070	LOC6541526|XP_001970002.1|DERE, LOC6555523|XP_001982429.1|DERE, LOC6542508|XP_001970001.1|DERE, LOC6550273|XP_001977632.1|DERE	LOC120414155|XP_039431129.1|CPIP
OG0000071	LOC6544819|XP_026832512.1|DERE, LOC6544818|XP_026832511.1|DERE, LOC6544820|XP_001972656.1|DERE	LOC120417372|XP_039435321.1|CPIP, LOC120425799|XP_039446344.1|CPIP
OG0000072	LOC6548840|XP_001975354.1|DERE, LOC6548921|XP_001975349.1|DERE, LOC6548838|XP_001975352.2|DERE	LOC120420739|XP_039439769.1|CPIP, LOC120412899|XP_039429465.1|CPIP, LOC120412897|XP_039429462.1|CPIP, LOC120419603|XP_039438279.1|CPIP, LOC120420422|XP_039439378.1|CPIP, LOC120420470|XP_039439437.1|CPIP, LOC120419611|XP_039438287.1|CPIP
OG0000073	LOC6547037|XP_026835680.1|DERE	LOC120414900|XP_039432160.1|CPIP
OG0000073	LOC6555769|XP_026837941.1|DERE	LOC120424938|XP_039445177.1|CPIP, LOC120424929|XP_039445153.1|CPIP
OG0000073	LOC6553627|XP_015009630.1|DERE	LOC120418372|XP_039436675.1|CPIP
OG0000073	LOC6550857|XP_026837405.1|DERE	LOC120419640|XP_039438328.1|CPIP
OG0000074	LOC6545304|XP_001972062.2|DERE, LOC6546439|XP_001972925.1|DERE	LOC120428393|XP_039449334.1|CPIP, LOC120428412|XP_039449359.1|CPIP, LOC120428418|XP_039449364.1|CPIP, LOC120428413|XP_039449360.1|CPIP, LOC120423023|XP_039442600.1|CPIP, LOC120423018|XP_039442593.1|CPIP, LOC120423020|XP_039442594.1|CPIP, LOC120423021|XP_039442595.1|CPIP, LOC120423005|XP_039442562.1|CPIP, LOC120423030|XP_039442605.1|CPIP, LOC120428411|XP_039449358.1|CPIP, LOC120420019|XP_039438857.1|CPIP, LOC120428388|XP_039449320.1|CPIP, LOC120428410|XP_039449357.1|CPIP, LOC120428409|XP_039449356.1|CPIP, LOC120427610|XP_039448425.1|CPIP
OG0000076	LOC6544188|XP_015013837.1|DERE	LOC120414119|XP_039431083.1|CPIP
OG0000076	LOC6550413|XP_001977744.3|DERE	LOC120419152|XP_039437732.1|CPIP
OG0000077	LOC6547656|XP_001974813.2|DERE	LOC120428195|XP_039449110.1|CPIP
OG0000077	LOC6548296|XP_001976581.1|DERE	LOC120425394|XP_039445844.1|CPIP
OG0000077	LOC6554318|XP_001981477.2|DERE	LOC120420744|XP_039439774.1|CPIP
OG0000078	LOC6547567|XP_001974844.1|DERE, LOC6543899|XP_001973650.1|DERE, LOC6553294|XP_001979187.1|DERE, LOC6549869|XP_001978650.1|DERE, LOC6550069|XP_001977566.1|DERE	LOC120426652|XP_039447380.1|CPIP, LOC120417056|XP_039434945.1|CPIP
OG0000080	LOC6548270|XP_001975252.1|DERE, LOC6548272|XP_001975254.1|DERE, LOC6548314|XP_001975327.1|DERE	LOC120419665|XP_039438362.1|CPIP, LOC120432076|XP_039453147.1|CPIP, LOC120431515|XP_039452549.1|CPIP, LOC120432086|XP_039453158.1|CPIP, LOC120431996|XP_039453065.1|CPIP
OG0000082	LOC6549322|XP_026837009.1|DERE, LOC6554914|XP_001982236.1|DERE, LOC6552838|XP_001979871.1|DERE	LOC120417717|XP_039435802.1|CPIP, LOC120412752|XP_039429279.1|CPIP, LOC120412753|XP_039429280.1|CPIP, LOC120419465|XP_039438084.1|CPIP, LOC120419907|XP_039438710.1|CPIP, LOC120417732|XP_039435823.1|CPIP, LOC120413477|XP_039430262.1|CPIP, LOC120430123|XP_039451143.1|CPIP, LOC120414610|XP_039431767.1|CPIP
OG0000083	LOC6541689|XP_026834543.1|DERE, LOC6543321|XP_001969237.1|DERE, LOC6543013|XP_001969236.1|DERE, LOC6543404|XP_001969234.1|DERE, LOC6543089|XP_001969235.1|DERE, LOC6542300|XP_001969971.2|DERE	LOC120420972|XP_039440038.1|CPIP, LOC120420970|XP_039440036.1|CPIP
OG0000084	LOC6547297|XP_001974723.1|DERE	LOC120417385|XP_039435338.1|CPIP, LOC120417417|XP_039435394.1|CPIP, LOC120417391|XP_039435346.1|CPIP, LOC120421339|XP_039440455.1|CPIP, LOC120416554|XP_039434220.1|CPIP
OG0000084	LOC6548751|XP_001975436.1|DERE	LOC120424545|XP_039444643.1|CPIP, LOC120424544|XP_039444642.1|CPIP, LOC120422454|XP_039441832.1|CPIP, LOC120424528|XP_039444621.1|CPIP, LOC120424522|XP_039444615.1|CPIP, LOC120426597|XP_039447322.1|CPIP, LOC120424525|XP_039444619.1|CPIP, LOC120424523|XP_039444617.1|CPIP, LOC120424526|XP_039444620.1|CPIP, LOC120424524|XP_039444618.1|CPIP, LOC120423778|XP_039443631.1|CPIP
OG0000085	LOC6541232|XP_001970598.1|DERE	LOC120418894|XP_039437359.1|CPIP
OG0000086	LOC6547336|XP_001974796.1|DERE	LOC120419495|XP_039438120.1|CPIP
OG0000087	LOC6541207|XP_001969370.1|DERE	LOC120431959|XP_039453027.1|CPIP, LOC120424926|XP_039445151.1|CPIP, LOC120424893|XP_039445115.1|CPIP, LOC120431961|XP_039453029.1|CPIP, LOC120431960|XP_039453028.1|CPIP, LOC120424925|XP_039445150.1|CPIP, LOC120424892|XP_039445113.1|CPIP, LOC120424924|XP_039445149.1|CPIP, LOC120424889|XP_039445110.1|CPIP, LOC120425288|XP_039445674.1|CPIP
OG0000087	LOC6540621|XP_001968888.1|DERE, LOC6541897|XP_001969393.1|DERE	LOC120424910|XP_039445137.1|CPIP, LOC120424913|XP_039445140.1|CPIP
OG0000088	LOC6543073|XP_015014662.1|DERE	LOC120424171|XP_039444162.1|CPIP
OG0000089	LOC6553054|XP_001979141.1|DERE, LOC6553281|XP_001979199.1|DERE	LOC120414898|XP_039432159.1|CPIP
OG0000089	LOC6552316|XP_001980769.1|DERE	LOC120415074|XP_039432408.1|CPIP
OG0000089	LOC6543975|XP_026832426.1|DERE	LOC120419960|XP_039438755.1|CPIP, LOC120419983|XP_039438795.1|CPIP
