Orthogroup	DERE.longest_only	DHYD.longest_only
OG0000008	LOC6553017|XP_001979108.1|DERE	LOC111600808|XP_023172870.1|DHYD
OG0000008	LOC6553015|XP_001979106.1|DERE	LOC111600811|XP_023172873.1|DHYD
OG0000009	LOC6554105|XP_001979501.1|DERE	LOC111604985|XP_023179049.1|DHYD
OG0000009	LOC6554107|XP_001979503.1|DERE	LOC111604987|XP_023179051.2|DHYD
OG0000009	LOC6554108|XP_001979504.1|DERE, LOC6554106|XP_001979502.1|DERE	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD
OG0000009	LOC6548094|XP_001976600.1|DERE	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD
OG0000009	LOC6546804|XP_001975914.1|DERE	LOC111593549|XP_023162171.2|DHYD
OG0000009	LOC6546805|XP_001975915.1|DERE	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD
OG0000010	LOC6556039|XP_015008608.2|DERE	LOC115483191|XP_030080236.1|DHYD, LOC115483264|XP_030080469.1|DHYD
OG0000010	LOC113564802|XP_026839451.1|DERE	LOC115483272|XP_030080475.1|DHYD, LOC115483287|XP_030080490.1|DHYD, LOC115483262|XP_030080467.1|DHYD
OG0000010	LOC6548710|XP_026839403.1|DERE, LOC6556033|XP_026839405.1|DERE, LOC6549045|XP_026839450.1|DERE	LOC115482881|XP_030078991.1|DHYD
OG0000011	LOC6552127|XP_001980788.1|DERE	LOC111599147|XP_023170484.2|DHYD
OG0000012	LOC6547483|XP_015011854.1|DERE	LOC111603849|XP_023177406.2|DHYD
OG0000012	LOC6547482|XP_001974798.1|DERE	LOC111603850|XP_023177409.2|DHYD
OG0000012	LOC6547337|XP_015012184.1|DERE	LOC111603802|XP_023177320.1|DHYD
OG0000012	LOC6547484|XP_026836781.1|DERE	LOC111603848|XP_023177404.2|DHYD
OG0000012	LOC6547486|XP_001974802.1|DERE, LOC6547485|XP_015012185.1|DERE	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD
OG0000012	LOC6546830|XP_026836193.1|DERE, LOC6546691|XP_001975936.3|DERE, LOC6546690|XP_001975935.1|DERE, LOC26526953|XP_026835974.1|DERE	LOC111597898|XP_023168600.2|DHYD
OG0000012	LOC6546689|XP_001975934.2|DERE, LOC6546688|XP_001975933.1|DERE	LOC111597903|XP_023168607.2|DHYD
OG0000013	LOC6549620|XP_001975657.1|DERE	LOC111593737|XP_023162498.2|DHYD
OG0000013	LOC6551261|XP_026838843.1|DERE	LOC111605302|XP_030080103.1|DHYD
OG0000013	LOC6553110|XP_001980016.1|DERE	LOC111603010|XP_023176183.1|DHYD
OG0000013	LOC6545627|XP_026832753.1|DERE	LOC111604413|XP_023178237.2|DHYD
OG0000013	LOC6553734|XP_001980320.1|DERE	LOC111594553|XP_023163674.1|DHYD
OG0000013	LOC6554353|XP_001982051.1|DERE	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD
OG0000013	LOC6553767|XP_001980392.1|DERE, LOC6553763|XP_026839524.1|DERE, LOC113564842|XP_026839519.1|DERE, LOC6553724|XP_001980393.1|DERE, LOC6554050|XP_001980491.1|DERE, LOC6554051|XP_001980492.1|DERE	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD
OG0000015	LOC6549487|XP_001974261.3|DERE	LOC111592667|XP_023160798.2|DHYD
OG0000016	LOC6553473|XP_001980267.1|DERE	LOC111605496|XP_023179814.1|DHYD
OG0000016	LOC6547825|XP_001974973.1|DERE	LOC111602093|XP_023174795.1|DHYD
OG0000016	LOC6553744|XP_001980362.1|DERE	LOC111598341|XP_023169316.1|DHYD
OG0000016	LOC6548497|XP_001975310.2|DERE	LOC111592540|XP_023160594.1|DHYD
OG0000016	LOC6551195|XP_001977029.1|DERE	LOC111597353|XP_023167768.1|DHYD
OG0000016	LOC6542573|XP_026835446.1|DERE	LOC111603208|XP_023176475.1|DHYD
OG0000016	LOC6553157|XP_026831618.1|DERE	LOC111595218|XP_023164600.1|DHYD
OG0000016	LOC6544283|XP_001973711.1|DERE	LOC111599234|XP_023170599.1|DHYD
OG0000017	LOC6542635|XP_001970806.1|DERE	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD
OG0000017	LOC6544876|XP_001973836.1|DERE, LOC6556262|XP_026839527.1|DERE	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD
OG0000017	LOC6547791|XP_001976408.1|DERE	LOC111603822|XP_023177351.2|DHYD
OG0000017	LOC6542668|XP_001970804.1|DERE	LOC111600903|XP_030081002.1|DHYD
OG0000017	LOC6543081|XP_001968299.1|DERE	LOC111595834|XP_023165510.2|DHYD
OG0000018	LOC6545112|XP_001972081.1|DERE	LOC111600492|XP_023172388.2|DHYD
OG0000018	LOC6545117|XP_001972086.1|DERE, LOC6545115|XP_001972084.1|DERE	LOC111600507|XP_023172403.1|DHYD
OG0000018	LOC6545114|XP_001972083.1|DERE	LOC111600497|XP_023172393.2|DHYD
OG0000019	LOC113564308|XP_026836578.1|DERE	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD
OG0000019	LOC6555070|XP_001981612.1|DERE	LOC111598920|XP_023170158.2|DHYD
OG0000019	LOC6555069|XP_001981611.1|DERE	LOC111603248|XP_023176523.1|DHYD
OG0000019	LOC113564283|XP_026836268.1|DERE, LOC6555065|XP_001981607.1|DERE, LOC113563849|XP_026832170.1|DERE, LOC113563848|XP_026832169.1|DERE, LOC113563851|XP_026832173.1|DERE, LOC113563850|XP_026832172.1|DERE, LOC6555062|XP_001981604.2|DERE, LOC6555064|XP_026839386.1|DERE	LOC111598923|XP_023170162.2|DHYD
OG0000020	LOC6555052|XP_026839769.1|DERE	LOC111594494|XP_030080618.1|DHYD
OG0000020	LOC6547855|XP_001975038.1|DERE	LOC111593180|XP_023161558.2|DHYD
OG0000020	LOC6549413|XP_026836257.1|DERE, LOC6540649|XP_026834533.1|DERE, LOC6543425|XP_026834766.1|DERE	LOC111598962|XP_023170216.2|DHYD
OG0000020	LOC6553828|XP_026839892.1|DERE	LOC111596686|XP_023166760.2|DHYD
OG0000020	LOC6554060|XP_001980549.1|DERE	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD
OG0000020	LOC6548804|XP_001974084.1|DERE, LOC6549412|XP_001974317.1|DERE	LOC111598978|XP_030080535.1|DHYD
OG0000021	LOC6543194|XP_001968524.1|DERE	LOC111601219|XP_023173482.1|DHYD
OG0000021	LOC6547978|XP_001975124.1|DERE	LOC111601270|XP_023173549.2|DHYD
OG0000021	LOC6548381|XP_001975140.1|DERE	LOC111596996|XP_023167262.1|DHYD
OG0000021	LOC6546948|XP_001974598.1|DERE	LOC111600652|XP_023172641.1|DHYD
OG0000021	LOC6556217|XP_001983050.1|DERE	LOC111601220|XP_023173483.1|DHYD
OG0000021	LOC6551659|XP_001977237.1|DERE	LOC111602062|XP_023174743.2|DHYD
OG0000021	LOC6554651|XP_001981975.1|DERE	LOC111593360|XP_023161841.1|DHYD
OG0000021	LOC6553703|XP_001980409.1|DERE	LOC111601414|XP_023173744.1|DHYD
OG0000021	LOC26526932|XP_026837924.1|DERE	LOC111604024|XP_023177648.1|DHYD
OG0000022	LOC6548724|XP_001975398.1|DERE	LOC111595585|XP_023165164.2|DHYD
OG0000022	LOC6556144|XP_001982999.1|DERE, LOC6545492|XP_001971094.1|DERE, LOC6545493|XP_026833569.1|DERE, LOC6556143|XP_001982998.1|DERE	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD
OG0000023	LOC113563731|XP_026831631.1|DERE	LOC111602788|XP_023175829.2|DHYD
OG0000023	LOC6553285|XP_001979203.1|DERE	LOC111602748|XP_023175768.2|DHYD
OG0000023	LOC6546697|XP_026836761.1|DERE	LOC111600543|XP_023172455.2|DHYD
OG0000023	LOC6553284|XP_026831910.1|DERE	LOC111602765|XP_023175792.2|DHYD
OG0000023	LOC6553277|XP_001979195.2|DERE	LOC111602764|XP_023175791.1|DHYD
OG0000023	LOC6553329|XP_001979191.2|DERE	LOC111602801|XP_023175861.1|DHYD
OG0000023	LOC6553331|XP_001979193.1|DERE	LOC111602761|XP_023175787.2|DHYD
OG0000023	LOC6553328|XP_001979190.1|DERE	LOC111602800|XP_023175857.2|DHYD
OG0000024	LOC6547181|XP_001976079.1|DERE, LOC6547180|XP_001976078.1|DERE, LOC6547179|XP_001976077.1|DERE, LOC6547183|XP_001976081.1|DERE	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD
OG0000024	LOC6547182|XP_001976080.1|DERE	LOC111592141|XP_023159955.2|DHYD
OG0000024	LOC6549069|XP_001974169.1|DERE	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD
OG0000024	LOC6547184|XP_001976082.1|DERE	LOC111592145|XP_023159959.2|DHYD
OG0000024	LOC6549473|XP_001975764.1|DERE	LOC111598026|XP_023168817.2|DHYD
OG0000025	LOC6540718|XP_001968765.1|DERE	LOC111599384|XP_023170789.1|DHYD
OG0000025	LOC113564765|XP_026839399.1|DERE	LOC115482900|XP_030079008.1|DHYD
OG0000026	LOC6551694|XP_001977155.1|DERE	LOC111600180|XP_023171950.2|DHYD
OG0000026	LOC6543477|XP_001969495.1|DERE	LOC111596354|XP_023166318.1|DHYD
OG0000026	LOC6553336|XP_001979309.1|DERE	LOC111602647|XP_023175583.2|DHYD
OG0000027	LOC6541432|XP_001970185.1|DERE	LOC111599153|XP_023170492.2|DHYD
OG0000027	LOC6541563|XP_001970188.1|DERE	LOC111595849|XP_023165527.1|DHYD
OG0000027	LOC6541340|XP_001970186.1|DERE	LOC111599119|XP_023170448.2|DHYD
OG0000028	LOC6545516|XP_001973330.1|DERE	LOC111605107|XP_023179216.2|DHYD
OG0000029	LOC6552797|XP_001981008.1|DERE	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD
OG0000029	LOC6546309|XP_026833134.1|DERE	LOC111599253|XP_023170620.2|DHYD
OG0000030	LOC6540832|XP_001969798.1|DERE	LOC111603775|XP_023177278.2|DHYD
OG0000030	LOC6542410|XP_001968441.1|DERE	LOC111596081|XP_023165908.2|DHYD
OG0000030	LOC6547811|XP_001976404.1|DERE	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD
OG0000030	LOC6555505|XP_026838381.1|DERE	LOC111596747|XP_030080079.1|DHYD
OG0000030	LOC6550371|XP_001977852.1|DERE	LOC111598248|XP_023169180.2|DHYD
OG0000031	LOC6541519|XP_001969009.2|DERE, LOC6543250|XP_001968986.1|DERE	LOC111596192|XP_023166065.2|DHYD
OG0000031	LOC113563971|XP_026833917.1|DERE	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD
OG0000031	LOC6542615|XP_001969442.1|DERE	LOC111594664|XP_023163834.1|DHYD
OG0000032	LOC6553974|XP_015009875.1|DERE	LOC111599037|XP_023170323.1|DHYD
OG0000032	LOC6553916|XP_015010087.1|DERE, LOC6553973|XP_026831770.1|DERE, LOC6553976|XP_001980433.2|DERE, LOC6553975|XP_026831724.1|DERE	LOC111599021|XP_023170312.2|DHYD
OG0000032	LOC113564299|XP_026836470.1|DERE	LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD
OG0000033	LOC6548262|XP_001974108.1|DERE, LOC6548263|XP_001974109.1|DERE, LOC6541653|XP_001970703.1|DERE, LOC6542775|XP_001970704.2|DERE	LOC111599962|XP_023171625.2|DHYD
OG0000033	LOC6541460|XP_001970702.1|DERE	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD
OG0000034	LOC6547752|XP_001976261.2|DERE	LOC111602472|XP_023175302.2|DHYD
OG0000034	LOC6547627|XP_001976262.1|DERE	LOC111602462|XP_023175290.2|DHYD
OG0000036	LOC6553210|XP_001979212.1|DERE	LOC111602683|XP_023175671.1|DHYD
OG0000036	LOC6553049|XP_001980037.3|DERE	LOC111602776|XP_023175811.1|DHYD
OG0000036	LOC6552090|XP_001978801.1|DERE	LOC111602665|XP_023175617.1|DHYD
OG0000036	LOC6554160|XP_026832544.1|DERE, LOC113563885|XP_026832533.1|DERE	LOC111601529|XP_023173926.1|DHYD
OG0000037	LOC6547304|XP_026836461.1|DERE	LOC111604322|XP_030081296.1|DHYD
OG0000037	LOC6553809|XP_001979566.1|DERE, LOC6553808|XP_001979565.1|DERE	LOC111601750|XP_023174255.2|DHYD
OG0000038	LOC6545503|XP_001973343.1|DERE	LOC111605099|XP_023179209.2|DHYD
OG0000038	LOC6545505|XP_026833772.1|DERE	LOC111605094|XP_023179201.2|DHYD
OG0000039	LOC6553078|XP_001979073.2|DERE	LOC111599549|XP_023170981.2|DHYD
OG0000039	LOC6550737|XP_001978160.1|DERE	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD
OG0000039	LOC6550622|XP_026837736.1|DERE	LOC111602852|XP_023175933.1|DHYD
OG0000039	LOC6551666|XP_001977244.1|DERE	LOC111592722|XP_023160878.1|DHYD
OG0000040	LOC6551893|XP_026835202.1|DERE, LOC6551780|XP_001980593.1|DERE	LOC111604247|XP_023178000.2|DHYD
OG0000040	LOC6551781|XP_001980594.1|DERE	LOC111604248|XP_023178001.2|DHYD
OG0000040	LOC6551892|XP_001979714.2|DERE, LOC6551891|XP_001979713.1|DERE	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD
OG0000040	LOC6551889|XP_001979711.1|DERE	LOC111604211|XP_023177942.2|DHYD
OG0000040	LOC6554299|XP_001981067.1|DERE	LOC111594486|XP_023163562.2|DHYD
OG0000041	LOC6554981|XP_001981824.1|DERE, LOC26526627|XP_015009397.2|DERE, LOC6554997|XP_001981822.1|DERE, LOC6554980|XP_001981823.2|DERE, LOC6554990|XP_001981815.1|DERE, LOC6554992|XP_001981817.1|DERE, LOC6554991|XP_001981816.2|DERE	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD
OG0000042	LOC6547072|XP_001974652.1|DERE, LOC6547084|XP_001974656.1|DERE, LOC6547081|XP_026835970.1|DERE, LOC6547083|XP_026836041.1|DERE, LOC6547082|XP_001974654.1|DERE	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD
OG0000042	LOC6547085|XP_001974657.2|DERE	LOC111598606|XP_023169706.2|DHYD
OG0000043	LOC6551882|XP_001980606.1|DERE	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD
OG0000043	LOC6551883|XP_001980607.1|DERE	LOC111600264|XP_023172080.2|DHYD
OG0000043	LOC6551896|XP_001980611.1|DERE	LOC111600256|XP_023172069.2|DHYD
OG0000043	LOC6554744|XP_001981087.1|DERE, LOC6549065|XP_026836066.1|DERE, LOC6551880|XP_001980604.1|DERE	LOC111600253|XP_023172066.2|DHYD
OG0000044	LOC6554933|XP_001981812.1|DERE	LOC111604839|XP_023178838.2|DHYD
OG0000044	LOC6554929|XP_001981808.1|DERE, LOC6554928|XP_001981807.1|DERE	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD
OG0000044	LOC6554932|XP_026836683.1|DERE	LOC111604847|XP_023178847.2|DHYD
OG0000044	LOC6553968|XP_001980526.3|DERE	LOC111592024|XP_023159785.2|DHYD
OG0000045	LOC6543777|XP_001972312.1|DERE	LOC111597387|XP_023167819.1|DHYD
OG0000045	LOC6543776|XP_001972311.2|DERE, LOC6543775|XP_001972310.1|DERE	LOC111597391|XP_023167823.1|DHYD
OG0000045	LOC6544619|XP_001971501.1|DERE	LOC111597386|XP_023167816.1|DHYD
OG0000045	LOC6544620|XP_001971502.1|DERE	LOC111597377|XP_023167802.1|DHYD
OG0000046	LOC6550460|XP_001977787.1|DERE	LOC111591975|XP_023159692.2|DHYD
OG0000046	LOC6554301|XP_001982125.2|DERE, LOC6554302|XP_001982126.1|DERE	LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD
OG0000047	LOC6548915|XP_026836112.1|DERE	LOC111596622|XP_023166677.1|DHYD
OG0000047	LOC6548919|XP_001975347.1|DERE	LOC111594123|XP_023163050.2|DHYD
OG0000047	LOC6549604|XP_001975737.1|DERE	LOC111595469|XP_023165002.1|DHYD
OG0000047	LOC6549507|XP_001975729.1|DERE	LOC111595525|XP_023165074.2|DHYD
OG0000048	LOC6544966|XP_001973233.1|DERE, LOC6544967|XP_001973234.1|DERE	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD
OG0000048	LOC6545047|XP_001973229.1|DERE	LOC111604700|XP_023178641.1|DHYD
OG0000048	LOC6545045|XP_001973227.2|DERE	LOC111604676|XP_023178606.1|DHYD
OG0000048	LOC6544963|XP_001973230.1|DERE	LOC111604701|XP_023178642.1|DHYD
OG0000049	LOC6552334|XP_001979793.1|DERE	LOC111594543|XP_023163663.2|DHYD
OG0000049	LOC6552331|XP_001979790.1|DERE	LOC111594529|XP_023163631.2|DHYD
OG0000049	LOC6552229|XP_001979794.1|DERE	LOC111594475|XP_023163544.1|DHYD
OG0000049	LOC6552230|XP_001979795.1|DERE	LOC111594476|XP_023163545.2|DHYD
OG0000049	LOC6552330|XP_001979789.1|DERE	LOC111594581|XP_023163706.2|DHYD
OG0000050	LOC6544204|XP_026833494.1|DERE	LOC111597562|XP_023168129.2|DHYD
OG0000050	LOC26526578|XP_026833595.1|DERE	LOC111597563|XP_023168130.1|DHYD
OG0000050	LOC6544232|XP_026833594.1|DERE	LOC111597557|XP_023168122.2|DHYD
OG0000051	LOC6552520|XP_001980945.1|DERE	LOC111604842|XP_023178842.2|DHYD
OG0000051	LOC6553748|XP_001980366.1|DERE	LOC111598254|XP_023169188.2|DHYD
OG0000052	LOC6552258|XP_001980739.1|DERE, LOC6555308|XP_001982081.1|DERE, LOC6552259|XP_001980740.3|DERE, LOC6552256|XP_001980737.2|DERE, LOC6552257|XP_001980738.1|DERE	LOC111604961|XP_023179009.1|DHYD, LOC111604963|XP_023179011.2|DHYD, LOC111604962|XP_023179010.1|DHYD
OG0000052	LOC6547302|XP_001974728.1|DERE	LOC111604228|XP_023177970.1|DHYD, LOC111604271|XP_023178041.2|DHYD, LOC111604241|XP_023177996.1|DHYD, LOC111604278|XP_023178055.1|DHYD
OG0000052	LOC6547301|XP_001974727.1|DERE	LOC111604234|XP_023177982.1|DHYD
OG0000053	LOC6541123|XP_001970454.1|DERE	LOC111602599|XP_023175526.2|DHYD
OG0000053	LOC6542707|XP_001970455.1|DERE	LOC111602600|XP_023175527.2|DHYD
OG0000053	LOC6542876|XP_001970456.1|DERE	LOC111596382|XP_023166356.2|DHYD
OG0000053	LOC6542254|XP_001970457.1|DERE	LOC111596381|XP_023166355.2|DHYD
OG0000053	LOC6542856|XP_001970461.3|DERE	LOC111596379|XP_023166352.2|DHYD
OG0000054	LOC6553130|XP_001980075.1|DERE	LOC111604826|XP_023178817.2|DHYD
OG0000054	LOC6553131|XP_001980076.1|DERE	LOC111593322|XP_023161796.2|DHYD
OG0000054	LOC6553059|XP_001980078.1|DERE, LOC6553132|XP_026836543.1|DERE	LOC111604856|XP_023178857.2|DHYD
OG0000055	LOC26527116|XP_015009429.1|DERE, LOC6555464|XP_001981222.1|DERE	LOC111603258|XP_023176533.1|DHYD, LOC111603253|XP_023176529.1|DHYD, LOC111603262|XP_023176542.2|DHYD, LOC111603257|XP_023176532.1|DHYD
OG0000055	LOC113564309|XP_026836595.1|DERE	LOC111603272|XP_023176553.1|DHYD
OG0000056	LOC6554751|XP_001982187.1|DERE	LOC111599611|XP_023171068.2|DHYD
OG0000056	LOC6554782|XP_001982185.1|DERE, LOC6554781|XP_001982184.3|DERE	LOC111599619|XP_023171079.2|DHYD, LOC111599613|XP_023171070.2|DHYD
OG0000056	LOC6551980|XP_001980665.2|DERE	LOC111600558|XP_023172478.1|DHYD
OG0000058	LOC6548959|XP_001974191.1|DERE, LOC6548960|XP_001974192.1|DERE	LOC111602372|XP_023175155.1|DHYD, LOC111602373|XP_023175156.2|DHYD
OG0000058	LOC6543269|XP_001969993.1|DERE	LOC111602375|XP_023175159.2|DHYD, LOC111602371|XP_023175154.1|DHYD, LOC111602374|XP_023175158.2|DHYD
OG0000059	LOC6555431|XP_001981657.1|DERE	LOC111595783|XP_030078737.1|DHYD
OG0000059	LOC6555433|XP_001981659.1|DERE, LOC6555434|XP_001981660.1|DERE	LOC111595875|XP_023165572.2|DHYD
OG0000059	LOC6555432|XP_001981658.1|DERE	LOC111595256|XP_023164673.2|DHYD
OG0000059	LOC6555439|XP_001981665.1|DERE	LOC111595830|XP_030078745.1|DHYD, LOC111595757|XP_023165402.2|DHYD, LOC111595792|XP_023165450.1|DHYD
OG0000060	LOC6551123|XP_026838344.1|DERE	LOC111605118|XP_023179239.1|DHYD
OG0000060	LOC6549244|XP_001974429.1|DERE	LOC111594203|XP_023163168.1|DHYD
OG0000060	LOC6552399|XP_001978925.3|DERE	LOC115482748|XP_030081618.1|DHYD
OG0000060	LOC6554918|XP_026832695.1|DERE	LOC111597837|XP_023168500.1|DHYD
OG0000060	LOC6551264|XP_001978379.1|DERE	LOC111598840|XP_023170044.1|DHYD
