Orthogroup	DSUP.longest_only	DANA.longest_only
OG0000011	LOC119548095|XP_037711111.1|DSUP, LOC119548094|XP_037711110.1|DSUP, LOC119548461|XP_037711657.1|DSUP, LOC119548363|XP_037711507.1|DSUP, LOC119548364|XP_037711508.1|DSUP, LOC119546642|XP_037709016.1|DSUP, LOC119546643|XP_037709017.1|DSUP, LOC119548873|XP_037712431.1|DSUP, LOC119546938|XP_037709503.1|DSUP	LOC6503983|XP_014760411.1|DANA
OG0000011	LOC119555043|XP_037722157.1|DSUP, LOC119555066|XP_037722201.1|DSUP, LOC119557843|XP_037726753.1|DSUP, LOC119560943|XP_037730609.1|DSUP, LOC119554642|XP_037721569.1|DSUP, LOC119560221|XP_037729507.1|DSUP, LOC119560941|XP_037730605.1|DSUP, LOC119553270|XP_037719489.1|DSUP, LOC119554912|XP_037721943.1|DSUP, LOC119555170|XP_037722349.1|DSUP, LOC119555608|XP_037723034.1|DSUP, LOC119546892|XP_037709441.1|DSUP	LOC6502747|XP_014760371.2|DANA
OG0000011	LOC119554627|XP_037721551.1|DSUP	LOC6506691|XP_001957410.1|DANA
OG0000011	LOC119555960|XP_037723606.1|DSUP, LOC119554626|XP_037721550.1|DSUP	LOC6502839|XP_001957409.2|DANA
OG0000011	LOC119554762|XP_037721730.1|DSUP	LOC6499942|XP_001953585.2|DANA
OG0000012	LOC119550822|XP_037715693.1|DSUP	LOC6495461|XP_014763319.1|DANA
OG0000012	LOC119550821|XP_037715691.1|DSUP	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA
OG0000012	LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP	LOC6495181|XP_001958900.1|DANA
OG0000012	LOC119551494|XP_037716788.1|DSUP	LOC6495184|XP_001958896.1|DANA
OG0000012	LOC119550209|XP_037714688.1|DSUP	LOC6495189|XP_001958891.1|DANA
OG0000012	LOC119551074|XP_037716130.1|DSUP	LOC6495188|XP_001958892.1|DANA
OG0000012	LOC119551639|XP_037716997.1|DSUP	LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA
OG0000012	LOC119550378|XP_037714954.1|DSUP	LOC6495185|XP_001958895.2|DANA
OG0000012	LOC119549965|XP_037714285.1|DSUP	LOC6495691|XP_001959390.1|DANA
OG0000012	LOC119551851|XP_037717353.1|DSUP	LOC6495692|XP_001959391.1|DANA
OG0000012	LOC119551850|XP_037717352.1|DSUP	LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA
OG0000012	LOC119550449|XP_037715053.1|DSUP	LOC26514216|XP_014763990.1|DANA
OG0000012	LOC119551476|XP_037716767.1|DSUP	LOC6495695|XP_001959394.1|DANA
OG0000012	LOC119551477|XP_037716768.1|DSUP	LOC6495696|XP_032306537.1|DANA
OG0000013	LOC119549437|XP_037713458.1|DSUP	LOC6494224|XP_001960708.1|DANA
OG0000013	LOC119558255|XP_037727511.1|DSUP	LOC6502959|XP_001963513.1|DANA
OG0000013	LOC119563541|XP_037732953.1|DSUP	LOC6494241|XP_001965950.1|DANA
OG0000013	LOC119555401|XP_037722683.1|DSUP	LOC6506687|XP_032309811.1|DANA
OG0000013	LOC119556345|XP_037724379.1|DSUP	LOC6500356|XP_001953043.1|DANA
OG0000013	LOC119545787|XP_037707587.1|DSUP	LOC6500746|XP_001953834.1|DANA
OG0000013	LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP	LOC116655736|XP_032309488.1|DANA, LOC6499424|XP_001954664.1|DANA, LOC6501160|XP_001954666.1|DANA, LOC6501159|XP_001954665.1|DANA, LOC6502045|XP_032309431.1|DANA
OG0000014	LOC119561864|XP_037731272.1|DSUP	LOC116655386|XP_032309137.1|DANA
OG0000014	LOC119561546|XP_037731125.1|DSUP	LOC116656446|XP_032311954.1|DANA, LOC116655390|XP_032309143.1|DANA
OG0000014	LOC119559720|XP_037728710.1|DSUP	LOC116654535|XP_032305652.1|DANA, LOC116656408|XP_032311858.1|DANA, LOC116655579|XP_032309422.1|DANA
OG0000015	LOC119547179|XP_037709842.1|DSUP	LOC26514981|XP_014762390.1|DANA, LOC26514454|XP_032307424.1|DANA, LOC26515278|XP_032307635.1|DANA, LOC6498157|XP_001962200.1|DANA, LOC6498497|XP_001962951.1|DANA, LOC6498498|XP_001962952.1|DANA
OG0000015	LOC119555864|XP_037723443.1|DSUP	LOC26515394|XP_032307327.1|DANA, LOC26515478|XP_014762438.1|DANA
OG0000015	LOC119546298|XP_037708414.1|DSUP, LOC119546326|XP_037708454.1|DSUP, LOC119547138|XP_037709780.1|DSUP, LOC119553466|XP_037719796.1|DSUP, LOC119547086|XP_037709714.1|DSUP, LOC119546156|XP_037708194.1|DSUP, LOC119547559|XP_037710387.1|DSUP	LOC26514504|XP_014762337.1|DANA, LOC6502479|XP_032311112.1|DANA
OG0000015	LOC119550622|XP_037715380.1|DSUP	LOC6497258|XP_001962453.2|DANA, LOC6497259|XP_014761594.1|DANA, LOC26515435|XP_014762433.2|DANA, LOC6502546|XP_001958772.2|DANA
OG0000015	LOC119546949|XP_037709517.1|DSUP	LOC26514507|XP_014762338.1|DANA
OG0000016	LOC119560964|XP_037730645.1|DSUP	LOC6500386|XP_001953106.1|DANA
OG0000016	LOC119551792|XP_037717267.1|DSUP	LOC6495063|XP_001959144.1|DANA
OG0000016	LOC119560636|XP_037730116.1|DSUP	LOC6499904|XP_001953662.1|DANA
OG0000016	LOC119549928|XP_037714197.1|DSUP, LOC119549685|XP_037713828.1|DSUP	LOC6494270|XP_001960623.3|DANA
OG0000016	LOC119557630|XP_037726388.1|DSUP	LOC6504746|XP_032309021.1|DANA
OG0000016	LOC119559471|XP_037728511.1|DSUP	LOC6496662|XP_001961354.1|DANA
OG0000016	LOC119561925|XP_037731293.1|DSUP	LOC6501076|XP_001954513.1|DANA
OG0000016	LOC119555565|XP_037722943.1|DSUP	LOC6493807|XP_014764542.1|DANA
OG0000017	LOC119555819|XP_037723364.1|DSUP	LOC6503036|XP_001963366.1|DANA
OG0000017	LOC119549290|XP_037713167.1|DSUP	LOC6494096|XP_001960985.1|DANA
OG0000017	LOC119562617|XP_037731769.1|DSUP, LOC119562618|XP_037731771.1|DSUP	LOC6493898|XP_001961368.1|DANA
OG0000017	LOC119552736|XP_037718429.1|DSUP	LOC6499101|XP_001955295.3|DANA, LOC6499102|XP_001955294.1|DANA
OG0000017	LOC119550337|XP_037714884.1|DSUP, LOC119558631|XP_037727964.1|DSUP	LOC6494709|XP_001959816.1|DANA
OG0000017	LOC119562595|XP_037731744.1|DSUP	LOC6496668|XP_001961367.1|DANA
OG0000017	LOC119558630|XP_037727962.1|DSUP, LOC119550336|XP_037714883.1|DSUP	LOC6494707|XP_001959817.2|DANA
OG0000017	LOC119546290|XP_037708399.1|DSUP	LOC6498649|XP_001963243.2|DANA
OG0000018	LOC119554781|XP_037721753.1|DSUP	LOC6493787|XP_001958436.1|DANA
OG0000018	LOC119554782|XP_037721754.1|DSUP	LOC6506162|XP_001958433.1|DANA
OG0000018	LOC119554784|XP_037721757.1|DSUP	LOC6506161|XP_001958434.1|DANA
OG0000018	LOC119552517|XP_037718063.1|DSUP	LOC6493789|XP_001958438.1|DANA
OG0000019	LOC119545699|XP_037707379.1|DSUP	LOC6505609|XP_001964601.1|DANA
OG0000019	LOC119545701|XP_037707381.1|DSUP, LOC119545702|XP_037707383.1|DSUP	LOC6505610|XP_001964600.1|DANA
OG0000019	LOC119553849|XP_037720426.1|DSUP	LOC6505613|XP_032305481.1|DANA
OG0000019	LOC119545700|XP_037707380.1|DSUP	LOC6505612|XP_001964599.1|DANA
OG0000019	LOC119545696|XP_037707377.1|DSUP, LOC119545697|XP_037707378.1|DSUP	LOC6505608|XP_001964602.1|DANA
OG0000020	LOC119551011|XP_037715994.1|DSUP	LOC6499398|XP_032312200.1|DANA
OG0000020	LOC119549986|XP_037714317.1|DSUP	LOC6494967|XP_001959313.1|DANA
OG0000020	LOC119546352|XP_037708508.1|DSUP, LOC119548418|XP_037711587.1|DSUP, LOC119560332|XP_037729650.1|DSUP, LOC119546657|XP_037709040.1|DSUP, LOC119546786|XP_037709271.1|DSUP, LOC119550100|XP_037714508.1|DSUP	LOC6497509|XP_001961936.3|DANA, LOC26514839|XP_032307435.1|DANA, LOC26514326|XP_014762314.1|DANA
OG0000020	LOC119546737|XP_037709159.1|DSUP	LOC6497508|XP_032307386.1|DANA
OG0000020	LOC119561092|XP_037730913.1|DSUP	LOC6500139|XP_032312147.1|DANA
OG0000020	LOC119556769|XP_037725126.1|DSUP	LOC6501153|XP_001954651.1|DANA
OG0000020	LOC119547825|XP_037710775.1|DSUP	LOC6506852|XP_001965261.1|DANA
OG0000020	LOC119546570|XP_037708891.1|DSUP	LOC6497510|XP_032307412.1|DANA
OG0000021	LOC119548675|XP_037712046.1|DSUP	LOC26515395|XP_032312045.1|DANA
OG0000021	LOC119549002|XP_037712540.1|DSUP	LOC6494472|XP_001960263.1|DANA
OG0000021	LOC119550684|XP_037715475.1|DSUP	LOC6494465|XP_001960278.1|DANA
OG0000021	LOC119550497|XP_037715116.1|DSUP	LOC6496057|XP_001960127.1|DANA
OG0000021	LOC119552371|XP_037718001.1|DSUP	LOC6503446|XP_001967498.1|DANA
OG0000021	LOC119560336|XP_037729656.1|DSUP	LOC6499833|XP_001953817.3|DANA
OG0000021	LOC119555956|XP_037723602.1|DSUP	LOC6503731|XP_032308490.1|DANA
OG0000022	LOC119550370|XP_037714944.1|DSUP	LOC6495509|XP_001959002.1|DANA
OG0000022	LOC119553490|XP_037719826.1|DSUP, LOC119555408|XP_037722693.1|DSUP	LOC6492952|XP_001956727.1|DANA
OG0000022	LOC119555581|XP_037722982.1|DSUP, LOC119555583|XP_037722985.1|DSUP	LOC6507069|XP_001956716.1|DANA
OG0000022	LOC119555580|XP_037722981.1|DSUP	LOC6492946|XP_001956717.1|DANA
OG0000023	LOC119559780|XP_037728787.1|DSUP	LOC6500082|XP_001953260.1|DANA
OG0000023	LOC119559786|XP_037728794.1|DSUP	LOC6500077|XP_001953265.1|DANA
OG0000023	LOC119559783|XP_037728790.1|DSUP	LOC6500461|XP_001953266.1|DANA
OG0000023	LOC119550999|XP_037715976.1|DSUP	LOC6494760|XP_001959725.1|DANA
OG0000023	LOC119559784|XP_037728792.1|DSUP	LOC6500076|XP_001953267.1|DANA
OG0000023	LOC119559779|XP_037728786.1|DSUP	LOC6500083|XP_001953259.2|DANA
OG0000023	LOC119559782|XP_037728789.1|DSUP	LOC6500087|XP_001953255.2|DANA
OG0000023	LOC119559778|XP_037728785.1|DSUP	LOC6500085|XP_032312233.1|DANA
OG0000023	LOC119559785|XP_037728793.1|DSUP	LOC6500088|XP_014766376.1|DANA
OG0000024	LOC119551120|XP_037716232.1|DSUP, LOC119549911|XP_037714159.1|DSUP, LOC119552112|XP_037717826.1|DSUP	LOC116654715|XP_032306639.1|DANA
OG0000024	LOC119551714|XP_037717116.1|DSUP	LOC6495396|XP_001958754.1|DANA, LOC6495253|XP_001958752.1|DANA
OG0000024	LOC119551121|XP_037716233.1|DSUP	LOC6495252|XP_001958753.1|DANA
OG0000024	LOC119548131|XP_037711156.1|DSUP, LOC119548130|XP_037711155.1|DSUP, LOC119546161|XP_037708208.1|DSUP, LOC119548129|XP_037711154.1|DSUP	LOC6498256|XP_001962412.1|DANA
OG0000024	LOC119551919|XP_037717477.1|DSUP	LOC6496529|XP_001961079.1|DANA
OG0000025	LOC119556135|XP_037723954.1|DSUP	LOC6501933|XP_032308306.1|DANA, LOC6498525|XP_001962995.1|DANA
OG0000025	LOC119559590|XP_037728532.1|DSUP, LOC119559601|XP_037728544.1|DSUP, LOC119561449|XP_037731029.1|DSUP, LOC119561527|XP_037731107.1|DSUP, LOC119559244|XP_037728243.1|DSUP	LOC26513707|XP_032309216.1|DANA
OG0000025	LOC119559249|XP_037728249.1|DSUP, LOC119559246|XP_037728246.1|DSUP	LOC6498725|XP_001967729.1|DANA
OG0000025	LOC119546077|XP_037708082.1|DSUP	LOC6498690|XP_001967678.1|DANA, LOC6504929|XP_032310964.1|DANA, LOC26515026|XP_014758997.2|DANA, LOC116655979|XP_032310863.1|DANA, LOC116655980|XP_032310864.1|DANA, LOC26513675|XP_032309215.1|DANA, LOC6504897|XP_001964816.3|DANA, LOC116655982|XP_032310866.1|DANA
OG0000026	LOC119557908|XP_037726842.1|DSUP	LOC6505023|XP_001965614.1|DANA
OG0000026	LOC119547110|XP_037709748.1|DSUP	LOC6498214|XP_001962316.1|DANA
OG0000026	LOC119557301|XP_037725939.1|DSUP	LOC6502964|XP_001963504.1|DANA
OG0000026	LOC119561040|XP_037730797.1|DSUP	LOC6499160|XP_001955195.1|DANA, LOC6499161|XP_001955194.1|DANA
OG0000026	LOC119560123|XP_037729401.1|DSUP	LOC6500045|XP_001953325.1|DANA
OG0000027	LOC119548404|XP_037711568.1|DSUP	LOC6497408|XP_001962144.1|DANA
OG0000027	LOC119548409|XP_037711576.1|DSUP	LOC6497406|XP_001962147.2|DANA
OG0000027	LOC119548453|XP_037711645.1|DSUP	LOC6497407|XP_001962145.1|DANA
OG0000028	LOC119555138|XP_037722293.1|DSUP	LOC116655895|XP_032310688.1|DANA
OG0000028	LOC119555144|XP_037722299.1|DSUP, LOC119555146|XP_037722302.1|DSUP	LOC26514521|XP_014765635.1|DANA, LOC6506314|XP_001958128.1|DANA
OG0000028	LOC119554646|XP_037721574.1|DSUP	LOC6506803|XP_001957208.1|DANA
OG0000029	LOC119550971|XP_037715934.1|DSUP, LOC119549481|XP_037713512.1|DSUP, LOC119546385|XP_037708552.1|DSUP	LOC116655417|XP_032309201.1|DANA
OG0000029	LOC119548587|XP_037711848.1|DSUP, LOC119560689|XP_037730195.1|DSUP	LOC26514560|XP_014767301.1|DANA, LOC6502609|XP_001955595.2|DANA
OG0000029	LOC119554065|XP_037720734.1|DSUP	LOC6506262|XP_014764698.1|DANA
OG0000030	LOC119547225|XP_037709914.1|DSUP	LOC6504294|XP_001965069.1|DANA
OG0000030	LOC119546122|XP_037708143.1|DSUP	LOC6502755|XP_001965071.1|DANA, LOC6502754|XP_001965074.2|DANA
OG0000030	LOC119547226|XP_037709915.1|DSUP	LOC6504293|XP_001965070.2|DANA, LOC6504292|XP_001965072.2|DANA, LOC6504291|XP_001965073.2|DANA
OG0000030	LOC119546258|XP_037708345.1|DSUP, LOC119546257|XP_037708344.1|DSUP	LOC6496715|XP_001967320.2|DANA, LOC116655435|XP_032309226.1|DANA
OG0000030	LOC119550805|XP_037715669.1|DSUP, LOC119558621|XP_037727957.1|DSUP	LOC6494711|XP_001959810.1|DANA
OG0000030	LOC119557894|XP_037726826.1|DSUP	LOC6504640|XP_001966489.1|DANA
OG0000030	LOC119556830|XP_037725216.1|DSUP	LOC6503160|XP_001963545.1|DANA
OG0000031	LOC119546941|XP_037709506.1|DSUP, LOC119546197|XP_037708251.1|DSUP, LOC119548227|XP_037711293.1|DSUP	LOC6493999|XP_001961166.1|DANA, LOC6496566|XP_001961169.2|DANA
OG0000031	LOC119552950|XP_037718858.1|DSUP, LOC119547137|XP_037709777.1|DSUP	LOC6502572|XP_001959893.2|DANA, LOC6502573|XP_001959894.2|DANA
OG0000031	LOC119546475|XP_037708689.1|DSUP, LOC119546474|XP_037708687.1|DSUP	LOC6496944|XP_001963083.2|DANA
OG0000032	LOC119559763|XP_037728765.1|DSUP	LOC6499841|XP_001953793.1|DANA
OG0000032	LOC119559770|XP_037728775.1|DSUP, LOC119559771|XP_037728776.1|DSUP	LOC6500722|XP_032312297.1|DANA
OG0000032	LOC119560219|XP_037729506.1|DSUP	LOC6499843|XP_032305552.1|DANA
OG0000032	LOC119560574|XP_037730023.1|DSUP	LOC6500728|XP_001953801.1|DANA
OG0000032	LOC119559967|XP_037729131.1|DSUP	LOC6500726|XP_032305502.1|DANA
OG0000033	LOC119551206|XP_037716367.1|DSUP	LOC6494619|XP_001959999.1|DANA
OG0000033	LOC119551207|XP_037716368.1|DSUP	LOC6494622|XP_001959998.3|DANA
OG0000033	LOC119551205|XP_037716366.1|DSUP	LOC6495993|XP_001960000.1|DANA
OG0000033	LOC119560194|XP_037729486.1|DSUP	LOC6501373|XP_001955098.3|DANA
OG0000034	LOC119548454|XP_037711646.1|DSUP	LOC6498174|XP_001962232.1|DANA
OG0000034	LOC119547534|XP_037710356.1|DSUP	LOC6498177|XP_001962235.2|DANA, LOC26515374|XP_014762427.1|DANA, LOC6498178|XP_001962236.1|DANA
OG0000034	LOC119546306|XP_037708427.1|DSUP, LOC119563012|XP_037732131.1|DSUP, LOC119552157|XP_037717904.1|DSUP, LOC119563011|XP_037732130.1|DSUP	LOC6498552|XP_001963046.3|DANA
OG0000034	LOC119546951|XP_037709518.1|DSUP	LOC6498487|XP_032311321.1|DANA, LOC116656026|XP_032311054.1|DANA, LOC6497780|XP_001961435.2|DANA
OG0000035	LOC119554014|XP_037720659.1|DSUP	LOC116655392|XP_032309148.1|DANA, LOC116655456|XP_032309239.1|DANA, LOC116655738|XP_032309482.1|DANA, LOC116655677|XP_032309434.1|DANA, LOC116656512|XP_032312047.1|DANA, LOC116656511|XP_032312046.1|DANA, LOC116654548|XP_032305690.1|DANA
OG0000036	LOC119560416|XP_037729780.1|DSUP	LOC6500465|XP_001953274.1|DANA
OG0000036	LOC119555899|XP_037723507.1|DSUP	LOC6505844|XP_001964473.1|DANA
OG0000036	LOC119560377|XP_037729713.1|DSUP	LOC6500980|XP_001954293.1|DANA
OG0000036	LOC119545810|XP_037707622.1|DSUP	LOC6499049|XP_001955412.1|DANA
OG0000037	LOC119549907|XP_037714155.1|DSUP	LOC6493979|XP_001961214.2|DANA
OG0000037	LOC119560063|XP_037729297.1|DSUP, LOC119560052|XP_037729285.1|DSUP, LOC119559867|XP_037728904.1|DSUP	LOC6498848|XP_001955809.2|DANA
OG0000038	LOC119555136|XP_037722291.1|DSUP	LOC6506319|XP_001958116.1|DANA
OG0000038	LOC119555124|XP_037722276.1|DSUP	LOC6492929|XP_032310430.1|DANA
OG0000039	LOC119560141|XP_037729421.1|DSUP	LOC6501134|XP_001954615.2|DANA
OG0000039	LOC119556467|XP_037724643.1|DSUP	LOC6502398|XP_001967387.3|DANA
OG0000039	LOC119556870|XP_037725271.1|DSUP	LOC6504273|XP_001967388.1|DANA
OG0000039	LOC119555839|XP_037723395.1|DSUP	LOC6503200|XP_032311880.1|DANA
OG0000040	LOC119556456|XP_037724634.1|DSUP	LOC6500947|XP_014766809.1|DANA
OG0000040	LOC119563112|XP_037732283.1|DSUP	LOC6501033|XP_001954424.1|DANA
OG0000040	LOC119563113|XP_037732284.1|DSUP	LOC6499533|XP_001954425.2|DANA
