Orthogroup	DSUP.longest_only	DKIK.longest_only
OG0000000	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP	LOC108070814|XP_017016902.1|DKIK
OG0000000	LOC119563146|XP_037732330.1|DSUP	LOC108070634|XP_017016690.1|DKIK
OG0000000	LOC119560562|XP_037730007.1|DSUP	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK
OG0000000	LOC119552808|XP_037718574.1|DSUP, LOC119555364|XP_037722629.1|DSUP, LOC119555366|XP_037722632.1|DSUP	LOC108078601|XP_017028010.1|DKIK
OG0000002	LOC119550810|XP_037715678.1|DSUP	LOC108082125|XP_017032915.1|DKIK
OG0000002	LOC119551092|XP_037716195.1|DSUP	LOC108085203|XP_017037209.1|DKIK
OG0000002	LOC119551091|XP_037716194.1|DSUP	LOC108085202|XP_017037207.1|DKIK
OG0000002	LOC119550446|XP_037715049.1|DSUP	LOC108078189|XP_017027346.1|DKIK
OG0000002	LOC119555504|XP_037722850.1|DSUP	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK
OG0000002	LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP	LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK
OG0000002	LOC119546867|XP_037709399.1|DSUP	LOC108077339|XP_017026117.1|DKIK
OG0000003	LOC119549193|XP_037712950.1|DSUP	LOC108072418|XP_017019012.1|DKIK
OG0000003	LOC119549692|XP_037713843.1|DSUP	LOC108072446|XP_017019063.1|DKIK
OG0000003	LOC119548975|XP_037712493.1|DSUP	LOC108070524|XP_017016527.1|DKIK
OG0000003	LOC119549751|XP_037713922.1|DSUP, LOC119549192|XP_037712949.1|DSUP	LOC108072417|XP_017019010.1|DKIK
OG0000003	LOC119549194|XP_037712951.1|DSUP	LOC108072407|XP_017018998.1|DKIK
OG0000003	LOC119550953|XP_037715907.1|DSUP	LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK
OG0000003	LOC119549586|XP_037713672.1|DSUP	LOC108072419|XP_017019013.1|DKIK
OG0000003	LOC119551761|XP_037717216.1|DSUP	LOC108070794|XP_017016883.1|DKIK
OG0000003	LOC119551759|XP_037717214.1|DSUP	LOC108070791|XP_017016879.1|DKIK
OG0000003	LOC119551760|XP_037717215.1|DSUP	LOC108070792|XP_017016880.1|DKIK
OG0000003	LOC119546510|XP_037708761.1|DSUP	LOC108073603|XP_017020784.1|DKIK
OG0000004	LOC119561523|XP_037731102.1|DSUP, LOC119561407|XP_037730990.1|DSUP	LOC108085733|XP_017037954.1|DKIK
OG0000004	LOC119546076|XP_037708081.1|DSUP, LOC119561441|XP_037731022.1|DSUP, LOC119559251|XP_037728250.1|DSUP, LOC119561442|XP_037731023.1|DSUP	LOC108083332|XP_017034568.1|DKIK
OG0000004	LOC119561504|XP_037731082.1|DSUP, LOC119546078|XP_037708083.1|DSUP	LOC108085470|XP_017037578.1|DKIK, LOC108075568|XP_017023576.1|DKIK
OG0000005	LOC119559204|XP_037728202.1|DSUP, LOC119559203|XP_037728200.1|DSUP, LOC119547991|XP_037710975.1|DSUP, LOC119559202|XP_037728198.1|DSUP, LOC119547992|XP_037710977.1|DSUP, LOC119559198|XP_037728191.1|DSUP, LOC119561464|XP_037731045.1|DSUP, LOC119546625|XP_037708992.1|DSUP, LOC119561418|XP_037731001.1|DSUP, LOC119548248|XP_037711317.1|DSUP, LOC119559195|XP_037728185.1|DSUP, LOC119559194|XP_037728183.1|DSUP, LOC119547945|XP_037710922.1|DSUP, LOC119559201|XP_037728196.1|DSUP, LOC119559197|XP_037728189.1|DSUP, LOC119547944|XP_037710920.1|DSUP, LOC119559200|XP_037728193.1|DSUP, LOC119546493|XP_037708718.1|DSUP, LOC119561417|XP_037730999.1|DSUP, LOC119561470|XP_037731051.1|DSUP, LOC119561465|XP_037731047.1|DSUP, LOC119559196|XP_037728187.1|DSUP, LOC119561467|XP_037731049.1|DSUP, LOC119546624|XP_037708989.1|DSUP, LOC119561415|XP_037730997.1|DSUP	LOC108085749|XP_017037978.1|DKIK
OG0000005	LOC119559217|XP_037728216.1|DSUP, LOC119559243|XP_037728242.1|DSUP, LOC119559230|XP_037728229.1|DSUP, LOC119559236|XP_037728234.1|DSUP, LOC119559223|XP_037728222.1|DSUP, LOC119559229|XP_037728228.1|DSUP, LOC119559222|XP_037728221.1|DSUP	LOC108085758|XP_017037990.1|DKIK
OG0000006	LOC119546620|XP_037708986.1|DSUP, LOC119559191|XP_037728179.1|DSUP, LOC119548246|XP_037711314.1|DSUP, LOC119546492|XP_037708717.1|DSUP, LOC119559255|XP_037728253.1|DSUP, LOC119559258|XP_037728257.1|DSUP, LOC119559193|XP_037728181.1|DSUP, LOC119546623|XP_037708988.1|DSUP, LOC119547990|XP_037710974.1|DSUP, LOC119559186|XP_037728175.1|DSUP, LOC119559183|XP_037728172.1|DSUP, LOC119559188|XP_037728177.1|DSUP, LOC119559189|XP_037728178.1|DSUP, LOC119559257|XP_037728256.1|DSUP, LOC119559184|XP_037728173.1|DSUP, LOC119547942|XP_037710917.1|DSUP, LOC119547989|XP_037710973.1|DSUP, LOC119559187|XP_037728176.1|DSUP, LOC119546622|XP_037708987.1|DSUP	LOC108072846|XP_017019650.1|DKIK
OG0000006	LOC119547943|XP_037710919.1|DSUP	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK
OG0000007	LOC119555653|XP_037723160.1|DSUP	LOC108071918|XP_017018366.1|DKIK
OG0000007	LOC119554489|XP_037721348.1|DSUP	LOC108071584|XP_017017854.1|DKIK
OG0000007	LOC119554491|XP_037721352.1|DSUP, LOC119552519|XP_037718065.1|DSUP	LOC108071566|XP_017017836.1|DKIK
OG0000007	LOC119546692|XP_037709098.1|DSUP	LOC108086265|XP_017038640.1|DKIK
OG0000007	LOC119550735|XP_037715578.1|DSUP	LOC108078491|XP_017027862.1|DKIK
OG0000007	LOC119546637|XP_037709013.1|DSUP	LOC108073664|XP_017020878.1|DKIK, LOC108073665|XP_017020880.1|DKIK, LOC108077603|XP_017026488.1|DKIK
OG0000007	LOC119546891|XP_037709439.1|DSUP	LOC108086266|XP_017038642.1|DKIK
OG0000007	LOC119553820|XP_037720375.1|DSUP	LOC108078726|XP_017028216.1|DKIK
OG0000007	LOC119553445|XP_037719763.1|DSUP	LOC108078727|XP_017028217.1|DKIK
OG0000007	LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP	LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK
OG0000007	LOC119554496|XP_037721356.1|DSUP	LOC108071627|XP_017017899.1|DKIK
OG0000008	LOC119559922|XP_037729053.1|DSUP	LOC108081759|XP_017032449.1|DKIK
OG0000008	LOC119554293|XP_037721080.1|DSUP	LOC108072724|XP_017019474.1|DKIK
OG0000008	LOC119546547|XP_037708827.1|DSUP	LOC108075890|XP_017023993.1|DKIK
OG0000008	LOC119554296|XP_037721084.1|DSUP	LOC108072727|XP_017019476.1|DKIK
OG0000008	LOC119556861|XP_037725260.1|DSUP	LOC108070862|XP_017016987.1|DKIK
OG0000008	LOC119560392|XP_037729748.1|DSUP	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK
OG0000008	LOC119560393|XP_037729749.1|DSUP	LOC108080451|XP_017030677.1|DKIK
OG0000008	LOC119560395|XP_037729751.1|DSUP	LOC108080456|XP_017030682.1|DKIK
OG0000008	LOC119560394|XP_037729750.1|DSUP	LOC108080419|XP_017030641.1|DKIK
OG0000008	LOC119560107|XP_037729380.1|DSUP	LOC108080455|XP_017030681.1|DKIK
OG0000009	LOC119560146|XP_037729428.1|DSUP	LOC108076150|XP_017024404.1|DKIK
OG0000009	LOC119560480|XP_037729870.1|DSUP	LOC108076246|XP_017024517.1|DKIK
OG0000009	LOC119545681|XP_037707348.1|DSUP	LOC108085665|XP_017037844.1|DKIK
OG0000009	LOC119560408|XP_037729769.1|DSUP	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK
OG0000009	LOC119560481|XP_037729871.1|DSUP	LOC108075985|XP_017024164.1|DKIK
OG0000009	LOC119550480|XP_037715097.1|DSUP	LOC108070751|XP_017016837.1|DKIK
OG0000009	LOC119560195|XP_037729489.1|DSUP	LOC108080446|XP_017030671.1|DKIK
OG0000009	LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP	LOC108082335|XP_017033154.1|DKIK
OG0000009	LOC119547540|XP_037710365.1|DSUP	LOC108082309|XP_017033129.1|DKIK
OG0000009	LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP	LOC108082367|XP_017033197.1|DKIK
OG0000010	LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP	LOC108072854|XP_017019661.1|DKIK
OG0000010	LOC119547947|XP_037710925.1|DSUP	LOC108075010|XP_017022751.1|DKIK, LOC108084633|XP_017036410.1|DKIK
OG0000011	LOC119558003|XP_037727039.1|DSUP	LOC108074353|XP_017021868.1|DKIK, LOC108084761|XP_017036565.1|DKIK, LOC108084804|XP_017036651.1|DKIK, LOC108083260|XP_017034457.1|DKIK, LOC108084805|XP_017036652.1|DKIK, LOC108084755|XP_017036555.1|DKIK, LOC108083234|XP_017034430.1|DKIK, LOC108078960|XP_017028605.1|DKIK, LOC108072111|XP_017018626.1|DKIK, LOC108079747|XP_017029651.1|DKIK, LOC108078767|XP_017028297.1|DKIK, LOC108079746|XP_017029649.1|DKIK
OG0000011	LOC119548095|XP_037711111.1|DSUP, LOC119548094|XP_037711110.1|DSUP, LOC119548461|XP_037711657.1|DSUP, LOC119548363|XP_037711507.1|DSUP, LOC119548364|XP_037711508.1|DSUP, LOC119546642|XP_037709016.1|DSUP	LOC108077100|XP_017025772.1|DKIK
OG0000011	LOC119546643|XP_037709017.1|DSUP, LOC119548873|XP_037712431.1|DSUP, LOC119546938|XP_037709503.1|DSUP	LOC108077099|XP_017025771.1|DKIK, LOC108077098|XP_017025769.1|DKIK
OG0000011	LOC119555043|XP_037722157.1|DSUP, LOC119555066|XP_037722201.1|DSUP, LOC119557843|XP_037726753.1|DSUP, LOC119560943|XP_037730609.1|DSUP, LOC119554642|XP_037721569.1|DSUP, LOC119560221|XP_037729507.1|DSUP, LOC119560941|XP_037730605.1|DSUP, LOC119553270|XP_037719489.1|DSUP, LOC119554912|XP_037721943.1|DSUP, LOC119555170|XP_037722349.1|DSUP, LOC119555608|XP_037723034.1|DSUP, LOC119546892|XP_037709441.1|DSUP	LOC108086138|XP_017038482.1|DKIK, LOC108086130|XP_017038471.1|DKIK, LOC108086060|XP_017038366.1|DKIK, LOC108081434|XP_017032105.1|DKIK, LOC108086061|XP_017038367.1|DKIK, LOC108079969|XP_017030022.1|DKIK, LOC108078656|XP_017028076.1|DKIK, LOC108072836|XP_017019617.1|DKIK
OG0000011	LOC119546050|XP_037708041.1|DSUP, LOC119548232|XP_037711301.1|DSUP, LOC119547347|XP_037710088.1|DSUP, LOC119556682|XP_037724981.1|DSUP, LOC119556749|XP_037725099.1|DSUP	LOC108074515|XP_017022082.1|DKIK
OG0000011	LOC119555960|XP_037723606.1|DSUP, LOC119554626|XP_037721550.1|DSUP	LOC108075323|XP_017023218.1|DKIK
OG0000011	LOC119554762|XP_037721730.1|DSUP	LOC108073175|XP_017020170.1|DKIK
OG0000011	LOC119560188|XP_037729480.1|DSUP	LOC108074026|XP_017021384.1|DKIK
OG0000012	LOC119550822|XP_037715693.1|DSUP	LOC108076784|XP_017025279.1|DKIK
OG0000012	LOC119550821|XP_037715691.1|DSUP	LOC108076783|XP_017025278.1|DKIK
OG0000012	LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP	LOC108076799|XP_017025312.1|DKIK
OG0000012	LOC119551494|XP_037716788.1|DSUP	LOC108076590|XP_017024991.1|DKIK
OG0000012	LOC119551074|XP_037716130.1|DSUP	LOC108076575|XP_017024974.1|DKIK
OG0000012	LOC119551639|XP_037716997.1|DSUP	LOC108076815|XP_017025335.1|DKIK, LOC108076574|XP_017024973.1|DKIK
OG0000012	LOC119550378|XP_037714954.1|DSUP	LOC108076609|XP_017025012.1|DKIK
OG0000012	LOC119549965|XP_037714285.1|DSUP	LOC108082430|XP_017033289.1|DKIK
OG0000012	LOC119551851|XP_037717353.1|DSUP	LOC108082433|XP_017033293.1|DKIK
OG0000012	LOC119551850|XP_037717352.1|DSUP	LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK
OG0000012	LOC119550449|XP_037715053.1|DSUP	LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK
OG0000012	LOC119551476|XP_037716767.1|DSUP	LOC108082347|XP_017033172.1|DKIK
OG0000012	LOC119551477|XP_037716768.1|DSUP	LOC108082319|XP_017033138.1|DKIK
OG0000013	LOC119549437|XP_037713458.1|DSUP	LOC108074734|XP_017022389.1|DKIK
OG0000013	LOC119558255|XP_037727511.1|DSUP	LOC108079326|XP_017029113.1|DKIK
OG0000013	LOC119563541|XP_037732953.1|DSUP	LOC108084190|XP_017035777.1|DKIK
OG0000013	LOC119555401|XP_037722683.1|DSUP	LOC108075225|XP_017023059.1|DKIK
OG0000013	LOC119556345|XP_037724379.1|DSUP	LOC108080801|XP_017031181.1|DKIK
OG0000013	LOC119545787|XP_037707587.1|DSUP	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK
OG0000013	LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP	LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK
OG0000015	LOC119550562|XP_037715279.1|DSUP, LOC119549732|XP_037713902.1|DSUP	LOC108082548|XP_017033482.1|DKIK, LOC108082527|XP_017033449.1|DKIK
OG0000015	LOC119547561|XP_037710390.1|DSUP, LOC119547265|XP_037709974.1|DSUP, LOC119547551|XP_037710378.1|DSUP	LOC108086091|XP_017038403.1|DKIK
OG0000015	LOC119555864|XP_037723443.1|DSUP	LOC108074481|XP_017022042.1|DKIK
OG0000015	LOC119547086|XP_037709714.1|DSUP, LOC119546156|XP_037708194.1|DSUP	LOC108085342|XP_017037387.1|DKIK
OG0000015	LOC119547559|XP_037710387.1|DSUP	LOC108071985|XP_017018448.1|DKIK
OG0000015	LOC119550622|XP_037715380.1|DSUP	LOC108073116|XP_017020100.1|DKIK
OG0000015	LOC119546949|XP_037709517.1|DSUP	LOC108073474|XP_017020616.1|DKIK, LOC108073502|XP_017020662.1|DKIK, LOC108073482|XP_017020629.1|DKIK, LOC108074488|XP_017022050.1|DKIK
OG0000016	LOC119560964|XP_037730645.1|DSUP	LOC108074071|XP_017021434.1|DKIK
OG0000016	LOC119551792|XP_037717267.1|DSUP	LOC108078132|XP_017027246.1|DKIK
OG0000016	LOC119560636|XP_037730116.1|DSUP	LOC108085727|XP_017037944.1|DKIK
OG0000016	LOC119557630|XP_037726388.1|DSUP	LOC108084467|XP_017036167.1|DKIK
OG0000016	LOC119559471|XP_037728511.1|DSUP	LOC108071378|XP_017017603.1|DKIK
OG0000016	LOC119561925|XP_037731293.1|DSUP	LOC108081075|XP_017031544.1|DKIK
OG0000016	LOC119555565|XP_037722943.1|DSUP	LOC108075195|XP_017023019.1|DKIK
OG0000017	LOC119555819|XP_037723364.1|DSUP	LOC108083777|XP_017035189.1|DKIK
OG0000017	LOC119549290|XP_037713167.1|DSUP	LOC108076702|XP_017025149.1|DKIK
OG0000017	LOC119562617|XP_037731769.1|DSUP, LOC119562618|XP_037731771.1|DSUP	LOC108074963|XP_017022684.1|DKIK
OG0000017	LOC119560371|XP_037729705.1|DSUP	LOC108085024|XP_017036959.1|DKIK
OG0000017	LOC119552736|XP_037718429.1|DSUP	LOC108083626|XP_017034986.1|DKIK
OG0000017	LOC119550337|XP_037714884.1|DSUP, LOC119558631|XP_037727964.1|DSUP	LOC108076532|XP_017024932.1|DKIK
OG0000017	LOC119562595|XP_037731744.1|DSUP	LOC108070625|XP_017016677.1|DKIK
OG0000017	LOC119558630|XP_037727962.1|DSUP, LOC119550336|XP_037714883.1|DSUP	LOC108076530|XP_017024931.1|DKIK
OG0000017	LOC119546290|XP_037708399.1|DSUP	LOC108074314|XP_017021803.1|DKIK, LOC108074298|XP_017021778.1|DKIK, LOC108074287|XP_017021766.1|DKIK
OG0000018	LOC119554781|XP_037721753.1|DSUP	LOC108071595|XP_017017864.1|DKIK
OG0000018	LOC119554782|XP_037721754.1|DSUP	LOC108071573|XP_017017843.1|DKIK
OG0000018	LOC119553876|XP_037720463.1|DSUP, LOC119553875|XP_037720461.1|DSUP, LOC119553877|XP_037720464.1|DSUP, LOC119553878|XP_037720465.1|DSUP	LOC108071585|XP_017017855.1|DKIK
OG0000018	LOC119552517|XP_037718063.1|DSUP, LOC119552516|XP_037718062.1|DSUP	LOC108071604|XP_017017875.1|DKIK
OG0000019	LOC119545699|XP_037707379.1|DSUP	LOC108084990|XP_017036905.1|DKIK
OG0000019	LOC119545701|XP_037707381.1|DSUP, LOC119545702|XP_037707383.1|DSUP	LOC108084992|XP_017036907.1|DKIK, LOC108084993|XP_017036908.1|DKIK
OG0000019	LOC119553849|XP_037720426.1|DSUP	LOC108084902|XP_017036785.1|DKIK
OG0000019	LOC119545700|XP_037707380.1|DSUP	LOC108084991|XP_017036906.1|DKIK
OG0000019	LOC119545696|XP_037707377.1|DSUP, LOC119545697|XP_037707378.1|DSUP	LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK
OG0000020	LOC119551011|XP_037715994.1|DSUP	LOC108075744|XP_017023787.1|DKIK
OG0000020	LOC119549986|XP_037714317.1|DSUP	LOC108082576|XP_017033522.1|DKIK
OG0000020	LOC119546657|XP_037709040.1|DSUP, LOC119546786|XP_037709271.1|DSUP, LOC119550100|XP_037714508.1|DSUP	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK
OG0000020	LOC119546737|XP_037709159.1|DSUP	LOC108074835|XP_017022525.1|DKIK
OG0000020	LOC119561092|XP_037730913.1|DSUP	LOC108077930|XP_017026994.1|DKIK
OG0000020	LOC119556769|XP_037725126.1|DSUP	LOC108072156|XP_017018689.1|DKIK
OG0000020	LOC119547825|XP_037710775.1|DSUP	LOC108074862|XP_017022564.1|DKIK
OG0000020	LOC119546570|XP_037708891.1|DSUP	LOC108074823|XP_017022510.1|DKIK
OG0000021	LOC119549002|XP_037712540.1|DSUP	LOC108072344|XP_017018923.1|DKIK
OG0000021	LOC119550684|XP_037715475.1|DSUP	LOC108085116|XP_017037095.1|DKIK
OG0000021	LOC119550497|XP_037715116.1|DSUP	LOC108072889|XP_017019701.1|DKIK
OG0000021	LOC119556017|XP_037723717.1|DSUP	LOC108083858|XP_017035332.1|DKIK
OG0000021	LOC119552371|XP_037718001.1|DSUP	LOC108073195|XP_017020199.1|DKIK
OG0000021	LOC119560336|XP_037729656.1|DSUP	LOC108077813|XP_017026825.1|DKIK
OG0000021	LOC119555956|XP_037723602.1|DSUP	LOC108080856|XP_017031249.1|DKIK
OG0000022	LOC119550370|XP_037714944.1|DSUP	LOC108082382|XP_017033212.1|DKIK
OG0000022	LOC119553490|XP_037719826.1|DSUP	LOC108071489|XP_017017741.1|DKIK
OG0000022	LOC119555581|XP_037722982.1|DSUP, LOC119555583|XP_037722985.1|DSUP	LOC108071509|XP_017017764.1|DKIK
OG0000023	LOC119559786|XP_037728794.1|DSUP	LOC108084054|XP_017035562.1|DKIK
OG0000023	LOC119559783|XP_037728790.1|DSUP	LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK
OG0000023	LOC119550999|XP_037715976.1|DSUP	LOC108078099|XP_017027186.1|DKIK
OG0000023	LOC119559779|XP_037728786.1|DSUP	LOC108084052|XP_017035560.1|DKIK
OG0000023	LOC119559782|XP_037728789.1|DSUP	LOC108084215|XP_017035827.1|DKIK
OG0000023	LOC119559778|XP_037728785.1|DSUP	LOC108084051|XP_017035559.1|DKIK
OG0000023	LOC119559785|XP_037728793.1|DSUP	LOC108084214|XP_017035825.1|DKIK
OG0000024	LOC119551714|XP_037717116.1|DSUP	LOC108078191|XP_017027348.1|DKIK
OG0000024	LOC119551121|XP_037716233.1|DSUP	LOC108078192|XP_017027349.1|DKIK
OG0000024	LOC119548131|XP_037711156.1|DSUP, LOC119548130|XP_037711155.1|DSUP, LOC119546161|XP_037708208.1|DSUP, LOC119548129|XP_037711154.1|DSUP	LOC108072495|XP_017019150.1|DKIK
OG0000024	LOC119551919|XP_037717477.1|DSUP	LOC108070821|XP_017016922.1|DKIK
OG0000025	LOC119556135|XP_037723954.1|DSUP	LOC108083463|XP_017034734.1|DKIK, LOC108086239|XP_017038600.1|DKIK
OG0000025	LOC119559590|XP_037728532.1|DSUP, LOC119559601|XP_037728544.1|DSUP, LOC119561449|XP_037731029.1|DSUP, LOC119561527|XP_037731107.1|DSUP, LOC119559244|XP_037728243.1|DSUP	LOC108081074|XP_017031548.1|DKIK
OG0000026	LOC119557908|XP_037726842.1|DSUP	LOC108074121|XP_017021510.1|DKIK
OG0000026	LOC119547110|XP_037709748.1|DSUP	LOC108072841|XP_017019625.1|DKIK
OG0000026	LOC119557301|XP_037725939.1|DSUP	LOC108079334|XP_017029126.1|DKIK
OG0000026	LOC119561040|XP_037730797.1|DSUP	LOC108070686|XP_017016752.1|DKIK
OG0000026	LOC119560123|XP_037729401.1|DSUP	LOC108075406|XP_017023320.1|DKIK
OG0000027	LOC119548404|XP_037711568.1|DSUP	LOC108079592|XP_017029427.1|DKIK
OG0000027	LOC119548409|XP_037711576.1|DSUP	LOC108079587|XP_017029421.1|DKIK
OG0000027	LOC119548453|XP_037711645.1|DSUP	LOC108079588|XP_017029422.1|DKIK
OG0000029	LOC119562890|XP_037731935.1|DSUP, LOC119561586|XP_037731129.1|DSUP	LOC108082661|XP_017033647.1|DKIK
OG0000029	LOC119550971|XP_037715934.1|DSUP	LOC108077932|XP_017026959.1|DKIK, LOC108076869|XP_017025387.1|DKIK
OG0000029	LOC119549481|XP_037713512.1|DSUP, LOC119546385|XP_037708552.1|DSUP	LOC108085551|XP_017037679.1|DKIK
OG0000029	LOC119548587|XP_037711848.1|DSUP	LOC108076852|XP_017025371.1|DKIK, LOC108076861|XP_017025380.1|DKIK
OG0000029	LOC119560689|XP_037730195.1|DSUP	LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK
OG0000029	LOC119554065|XP_037720734.1|DSUP	LOC108080624|XP_017030937.1|DKIK
OG0000030	LOC119547225|XP_037709914.1|DSUP	LOC108075768|XP_017023819.1|DKIK
OG0000030	LOC119546122|XP_037708143.1|DSUP	LOC108075896|XP_017024005.1|DKIK
OG0000030	LOC119547226|XP_037709915.1|DSUP	LOC108075779|XP_017023830.1|DKIK
OG0000030	LOC119546258|XP_037708345.1|DSUP, LOC119546257|XP_037708344.1|DSUP	LOC108077325|XP_017026102.1|DKIK
OG0000030	LOC119558624|XP_037727958.1|DSUP, LOC119549822|XP_037714028.1|DSUP	LOC108076161|XP_017024376.1|DKIK
OG0000030	LOC119550805|XP_037715669.1|DSUP, LOC119558621|XP_037727957.1|DSUP	LOC108076242|XP_017024479.1|DKIK
OG0000030	LOC119557894|XP_037726826.1|DSUP	LOC108083344|XP_017034576.1|DKIK
OG0000030	LOC119556830|XP_037725216.1|DSUP	LOC108079999|XP_017030054.1|DKIK
OG0000031	LOC119546941|XP_037709506.1|DSUP, LOC119546197|XP_037708251.1|DSUP, LOC119548227|XP_037711293.1|DSUP	LOC108082121|XP_017032911.1|DKIK
OG0000031	LOC119547137|XP_037709777.1|DSUP	LOC108075780|XP_017023827.1|DKIK
OG0000031	LOC119546475|XP_037708689.1|DSUP, LOC119546474|XP_037708687.1|DSUP	LOC108077225|XP_017025972.1|DKIK
OG0000032	LOC119559763|XP_037728765.1|DSUP	LOC108077824|XP_017026839.1|DKIK
OG0000032	LOC119559968|XP_037729132.1|DSUP	LOC108077711|XP_017026651.1|DKIK
OG0000032	LOC119559771|XP_037728776.1|DSUP	LOC108077714|XP_017026653.1|DKIK
OG0000032	LOC119560574|XP_037730023.1|DSUP	LOC108077846|XP_017026865.1|DKIK
OG0000032	LOC119559967|XP_037729131.1|DSUP	LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK
OG0000033	LOC119552590|XP_037718157.1|DSUP, LOC119552614|XP_037718209.1|DSUP, LOC119563311|XP_037732572.1|DSUP	LOC108080886|XP_017031277.1|DKIK, LOC108080887|XP_017031279.1|DKIK, LOC108081203|XP_017031760.1|DKIK
OG0000033	LOC119551206|XP_037716367.1|DSUP	LOC108080716|XP_017031056.1|DKIK
OG0000033	LOC119551207|XP_037716368.1|DSUP	LOC108080717|XP_017031057.1|DKIK
OG0000033	LOC119551205|XP_037716366.1|DSUP	LOC108080718|XP_017031058.1|DKIK
