Orthogroup	DSUP.longest_only	CCAP.longest_only
OG0000007	LOC119554492|XP_037721353.1|DSUP	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP
OG0000007	LOC119546692|XP_037709098.1|DSUP, LOC119550735|XP_037715578.1|DSUP, LOC119546637|XP_037709013.1|DSUP, LOC119546891|XP_037709439.1|DSUP, LOC119553820|XP_037720375.1|DSUP, LOC119553445|XP_037719763.1|DSUP, LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP, LOC119554496|XP_037721356.1|DSUP	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP
OG0000008	LOC119559922|XP_037729053.1|DSUP	CCAP1982_LOCUS4930|CAD6996247.1|CCAP
OG0000008	LOC119554295|XP_037721083.1|DSUP	CCAP1982_LOCUS12720|CAD7004300.1|CCAP
OG0000008	LOC119554293|XP_037721080.1|DSUP	CCAP1982_LOCUS12715|CAD7004295.1|CCAP
OG0000008	LOC119554296|XP_037721084.1|DSUP	CCAP1982_LOCUS12718|CAD7004298.1|CCAP
OG0000008	LOC119560392|XP_037729748.1|DSUP, LOC119560143|XP_037729425.1|DSUP	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP
OG0000008	LOC119560393|XP_037729749.1|DSUP	CCAP1982_LOCUS3596|CAD6994861.1|CCAP
OG0000008	LOC119560395|XP_037729751.1|DSUP	CCAP1982_LOCUS3598|CAD6994863.1|CCAP
OG0000008	LOC119560394|XP_037729750.1|DSUP	CCAP1982_LOCUS3597|CAD6994862.1|CCAP
OG0000008	LOC119560107|XP_037729380.1|DSUP	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP
OG0000009	LOC119560146|XP_037729428.1|DSUP	CCAP1982_LOCUS973|CAD6992095.1|CCAP
OG0000009	LOC119550480|XP_037715097.1|DSUP, LOC119560195|XP_037729489.1|DSUP, LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP, LOC119547540|XP_037710365.1|DSUP, LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP
OG0000010	LOC119547946|XP_037710924.1|DSUP, LOC119559220|XP_037728219.1|DSUP	CCAP1982_LOCUS6246|CAD6997610.1|CCAP
OG0000010	LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP	CCAP1982_LOCUS6235|CAD6997599.1|CCAP
OG0000010	LOC119548250|XP_037711321.1|DSUP	CCAP1982_LOCUS2041|CAD6993222.1|CCAP
OG0000012	LOC119550822|XP_037715693.1|DSUP	CCAP1982_LOCUS22583|CAD7014589.1|CCAP
OG0000012	LOC119550821|XP_037715691.1|DSUP	CCAP1982_LOCUS22582|CAD7014587.1|CCAP
OG0000012	LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP	CCAP1982_LOCUS22581|CAD7014586.1|CCAP
OG0000012	LOC119551494|XP_037716788.1|DSUP	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP
OG0000012	LOC119550209|XP_037714688.1|DSUP, LOC119551068|XP_037716119.1|DSUP, LOC119551074|XP_037716130.1|DSUP, LOC119551639|XP_037716997.1|DSUP, LOC119550378|XP_037714954.1|DSUP, LOC119549965|XP_037714285.1|DSUP, LOC119551851|XP_037717353.1|DSUP, LOC119551850|XP_037717352.1|DSUP, LOC119550449|XP_037715053.1|DSUP, LOC119551476|XP_037716767.1|DSUP, LOC119551477|XP_037716768.1|DSUP	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP
OG0000013	LOC119549437|XP_037713458.1|DSUP	CCAP1982_LOCUS7142|CAD6998559.1|CCAP
OG0000013	LOC119563541|XP_037732953.1|DSUP	CCAP1982_LOCUS4900|CAD6996212.1|CCAP
OG0000013	LOC119555401|XP_037722683.1|DSUP	CCAP1982_LOCUS14162|CAD7005816.1|CCAP
OG0000013	LOC119556345|XP_037724379.1|DSUP	CCAP1982_LOCUS3120|CAD6994367.1|CCAP
OG0000013	LOC119545787|XP_037707587.1|DSUP	CCAP1982_LOCUS2756|CAD6993971.1|CCAP
OG0000013	LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP
OG0000014	LOC119561864|XP_037731272.1|DSUP, LOC119561546|XP_037731125.1|DSUP, LOC119561979|XP_037731297.1|DSUP	CCAP1982_LOCUS11944|CAD7003494.1|CCAP
OG0000014	LOC119559720|XP_037728710.1|DSUP	CCAP1982_LOCUS10103|CAD7001609.1|CCAP, CCAP1982_LOCUS9877|CAD7001380.1|CCAP, CCAP1982_LOCUS9942|CAD7001445.1|CCAP, CCAP1982_LOCUS4171|CAD6995456.1|CCAP, CCAP1982_LOCUS10567|CAD7002079.1|CCAP, CCAP1982_LOCUS10503|CAD7002015.1|CCAP, CCAP1982_LOCUS6284|CAD6997653.1|CCAP, CCAP1982_LOCUS10032|CAD7001536.1|CCAP, CCAP1982_LOCUS8024|CAD6999500.1|CCAP, CCAP1982_LOCUS9769|CAD7001271.1|CCAP, CCAP1982_LOCUS9400|CAD7000925.1|CCAP, CCAP1982_LOCUS10108|CAD7001614.1|CCAP
OG0000016	LOC119560964|XP_037730645.1|DSUP, LOC119551792|XP_037717267.1|DSUP	CCAP1982_LOCUS2337|CAD6993525.1|CCAP
OG0000016	LOC119560636|XP_037730116.1|DSUP	CCAP1982_LOCUS4238|CAD6995526.1|CCAP
OG0000016	LOC119549928|XP_037714197.1|DSUP, LOC119549685|XP_037713828.1|DSUP	CCAP1982_LOCUS8417|CAD6999907.1|CCAP
OG0000016	LOC119561925|XP_037731293.1|DSUP	CCAP1982_LOCUS4923|CAD6996239.1|CCAP
OG0000016	LOC119555565|XP_037722943.1|DSUP	CCAP1982_LOCUS22100|CAD7014094.1|CCAP
OG0000017	LOC119549290|XP_037713167.1|DSUP, LOC119562617|XP_037731769.1|DSUP, LOC119562618|XP_037731771.1|DSUP	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP
OG0000018	LOC119554781|XP_037721753.1|DSUP	CCAP1982_LOCUS12552|CAD7004131.1|CCAP
OG0000018	LOC119554782|XP_037721754.1|DSUP	CCAP1982_LOCUS12546|CAD7004125.1|CCAP
OG0000018	LOC119554784|XP_037721757.1|DSUP	CCAP1982_LOCUS12550|CAD7004129.1|CCAP
OG0000019	LOC119545699|XP_037707379.1|DSUP, LOC119545701|XP_037707381.1|DSUP, LOC119545702|XP_037707383.1|DSUP, LOC119553849|XP_037720426.1|DSUP, LOC119545700|XP_037707380.1|DSUP, LOC119545696|XP_037707377.1|DSUP, LOC119545697|XP_037707378.1|DSUP	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP
OG0000020	LOC119551011|XP_037715994.1|DSUP	CCAP1982_LOCUS1146|CAD6992278.1|CCAP
OG0000020	LOC119546352|XP_037708508.1|DSUP, LOC119548418|XP_037711587.1|DSUP, LOC119560332|XP_037729650.1|DSUP, LOC119546657|XP_037709040.1|DSUP, LOC119546786|XP_037709271.1|DSUP, LOC119550100|XP_037714508.1|DSUP, LOC119546737|XP_037709159.1|DSUP	CCAP1982_LOCUS1002|CAD6992120.1|CCAP
OG0000020	LOC119561092|XP_037730913.1|DSUP	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP
OG0000020	LOC119547825|XP_037710775.1|DSUP, LOC119546570|XP_037708891.1|DSUP	CCAP1982_LOCUS999|CAD6992115.1|CCAP
OG0000021	LOC119560336|XP_037729656.1|DSUP	CCAP1982_LOCUS162|CAD6991224.1|CCAP
OG0000022	LOC119550370|XP_037714944.1|DSUP	CCAP1982_LOCUS19689|CAD7011600.1|CCAP
OG0000022	LOC119555582|XP_037722984.1|DSUP, LOC119555585|XP_037722986.1|DSUP, LOC119555586|XP_037722987.1|DSUP	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP
OG0000023	LOC119559783|XP_037728790.1|DSUP, LOC119550999|XP_037715976.1|DSUP, LOC119559784|XP_037728792.1|DSUP	CCAP1982_LOCUS4737|CAD6996031.1|CCAP
OG0000023	LOC119559779|XP_037728786.1|DSUP	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP
OG0000023	LOC119559782|XP_037728789.1|DSUP	CCAP1982_LOCUS4752|CAD6996046.1|CCAP
OG0000023	LOC119559778|XP_037728785.1|DSUP	CCAP1982_LOCUS4751|CAD6996045.1|CCAP
OG0000023	LOC119559785|XP_037728793.1|DSUP	CCAP1982_LOCUS4754|CAD6996047.1|CCAP
OG0000024	LOC119548131|XP_037711156.1|DSUP, LOC119548130|XP_037711155.1|DSUP, LOC119546161|XP_037708208.1|DSUP, LOC119548129|XP_037711154.1|DSUP	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP
OG0000025	LOC119561532|XP_037731111.1|DSUP, LOC119559590|XP_037728532.1|DSUP, LOC119559601|XP_037728544.1|DSUP, LOC119561449|XP_037731029.1|DSUP, LOC119561527|XP_037731107.1|DSUP, LOC119559244|XP_037728243.1|DSUP, LOC119561444|XP_037731025.1|DSUP, LOC119559182|XP_037728170.1|DSUP	CCAP1982_LOCUS6236|CAD6997600.1|CCAP
OG0000026	LOC119557301|XP_037725939.1|DSUP, LOC119561040|XP_037730797.1|DSUP, LOC119560123|XP_037729401.1|DSUP	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP
OG0000027	LOC119548404|XP_037711568.1|DSUP	CCAP1982_LOCUS8299|CAD6999776.1|CCAP
OG0000027	LOC119548409|XP_037711576.1|DSUP	CCAP1982_LOCUS8293|CAD6999770.1|CCAP
OG0000027	LOC119548453|XP_037711645.1|DSUP	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP
OG0000028	LOC119555148|XP_037722304.1|DSUP	CCAP1982_LOCUS11976|CAD7003526.1|CCAP
OG0000028	LOC119555138|XP_037722293.1|DSUP	CCAP1982_LOCUS11984|CAD7003534.1|CCAP
OG0000028	LOC119554646|XP_037721574.1|DSUP	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP
OG0000029	LOC119562890|XP_037731935.1|DSUP, LOC119561586|XP_037731129.1|DSUP, LOC119550971|XP_037715934.1|DSUP, LOC119549481|XP_037713512.1|DSUP, LOC119546385|XP_037708552.1|DSUP, LOC119548587|XP_037711848.1|DSUP, LOC119560689|XP_037730195.1|DSUP, LOC119554065|XP_037720734.1|DSUP	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP
OG0000030	LOC119547225|XP_037709914.1|DSUP, LOC119546122|XP_037708143.1|DSUP, LOC119547226|XP_037709915.1|DSUP	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP
OG0000030	LOC119546258|XP_037708345.1|DSUP, LOC119546257|XP_037708344.1|DSUP, LOC119558624|XP_037727958.1|DSUP, LOC119549822|XP_037714028.1|DSUP, LOC119550805|XP_037715669.1|DSUP, LOC119558621|XP_037727957.1|DSUP	CCAP1982_LOCUS21173|CAD7013099.1|CCAP
OG0000031	LOC119548568|XP_037711813.1|DSUP, LOC119546475|XP_037708689.1|DSUP, LOC119546474|XP_037708687.1|DSUP	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP
OG0000032	LOC119559763|XP_037728765.1|DSUP	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP
OG0000032	LOC119560574|XP_037730023.1|DSUP, LOC119559967|XP_037729131.1|DSUP	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP
OG0000034	LOC119548454|XP_037711646.1|DSUP, LOC119547534|XP_037710356.1|DSUP, LOC119546306|XP_037708427.1|DSUP, LOC119563012|XP_037732131.1|DSUP, LOC119552157|XP_037717904.1|DSUP, LOC119563011|XP_037732130.1|DSUP, LOC119546951|XP_037709518.1|DSUP	CCAP1982_LOCUS7893|CAD6999366.1|CCAP
OG0000035	LOC119562531|XP_037731651.1|DSUP	CCAP1982_LOCUS19543|CAD7011443.1|CCAP, CCAP1982_LOCUS19546|CAD7011446.1|CCAP, CCAP1982_LOCUS19545|CAD7011445.1|CCAP
OG0000036	LOC119560416|XP_037729780.1|DSUP	CCAP1982_LOCUS4712|CAD6996006.1|CCAP
OG0000036	LOC119555899|XP_037723507.1|DSUP	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP
OG0000036	LOC119560377|XP_037729713.1|DSUP	CCAP1982_LOCUS1595|CAD6992752.1|CCAP
OG0000036	LOC119545810|XP_037707622.1|DSUP	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP
OG0000037	LOC119549907|XP_037714155.1|DSUP	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP
OG0000037	LOC119560063|XP_037729297.1|DSUP, LOC119560052|XP_037729285.1|DSUP, LOC119559867|XP_037728904.1|DSUP	CCAP1982_LOCUS2613|CAD6993815.1|CCAP
OG0000038	LOC119555136|XP_037722291.1|DSUP	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP
OG0000041	LOC119554437|XP_037721279.1|DSUP, LOC119554447|XP_037721290.1|DSUP, LOC119562401|XP_037731528.1|DSUP, LOC119550675|XP_037715466.1|DSUP, LOC119550683|XP_037715478.1|DSUP	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP
OG0000043	LOC119563116|XP_037732288.1|DSUP, LOC119562926|XP_037732005.1|DSUP, LOC119563115|XP_037732286.1|DSUP	CCAP1982_LOCUS4613|CAD6995911.1|CCAP
OG0000043	LOC119556175|XP_037724028.1|DSUP, LOC119563048|XP_037732184.1|DSUP, LOC119556257|XP_037724233.1|DSUP, LOC119556250|XP_037724220.1|DSUP, LOC119554418|XP_037721239.1|DSUP, LOC119556264|XP_037724244.1|DSUP	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP
OG0000044	LOC119558156|XP_037727329.1|DSUP	CCAP1982_LOCUS840|CAD6991952.1|CCAP
OG0000044	LOC119555966|XP_037723621.1|DSUP, LOC119555955|XP_037723600.1|DSUP, LOC119563136|XP_037732321.1|DSUP, LOC119555649|XP_037723141.1|DSUP, LOC119563137|XP_037732322.1|DSUP	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP
OG0000044	LOC119548482|XP_037711687.1|DSUP	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP
OG0000045	LOC119553763|XP_037720298.1|DSUP	CCAP1982_LOCUS11539|CAD7003076.1|CCAP
OG0000045	LOC119552534|XP_037718081.1|DSUP, LOC119554143|XP_037720848.1|DSUP	CCAP1982_LOCUS11540|CAD7003077.1|CCAP
OG0000045	LOC119554102|XP_037720779.1|DSUP	CCAP1982_LOCUS11541|CAD7003078.1|CCAP
OG0000045	LOC119553760|XP_037720293.1|DSUP	CCAP1982_LOCUS11542|CAD7003079.1|CCAP
OG0000047	LOC119559372|XP_037728340.1|DSUP	CCAP1982_LOCUS9943|CAD7001446.1|CCAP
