Orthogroup	DSUP.longest_only	DMAU.longest_only
OG0000000	LOC119563146|XP_037732330.1|DSUP	LOC117146038|XP_033167862.1|DMAU
OG0000000	LOC119560562|XP_037730007.1|DSUP	LOC117145160|XP_033166598.1|DMAU
OG0000000	LOC119552808|XP_037718574.1|DSUP	LOC117140539|XP_033159419.1|DMAU
OG0000000	LOC119555360|XP_037722626.1|DSUP	LOC117140538|XP_033159418.1|DMAU
OG0000002	LOC119550810|XP_037715678.1|DSUP	LOC117138082|XP_033155798.1|DMAU
OG0000002	LOC119551092|XP_037716195.1|DSUP	LOC117135907|XP_033152364.1|DMAU
OG0000002	LOC119551091|XP_037716194.1|DSUP	LOC117135906|XP_033152363.1|DMAU
OG0000002	LOC119555504|XP_037722850.1|DSUP, LOC119554594|XP_037721506.1|DSUP, LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP, LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP	LOC117140283|XP_033159002.1|DMAU
OG0000003	LOC119549193|XP_037712950.1|DSUP	LOC117136850|XP_033153839.1|DMAU
OG0000003	LOC119549691|XP_037713842.1|DSUP	LOC117137895|XP_033155524.1|DMAU
OG0000003	LOC119553060|XP_037719113.1|DSUP	LOC117145313|XP_033166799.1|DMAU
OG0000003	LOC119549692|XP_037713843.1|DSUP	LOC117137897|XP_033155527.1|DMAU
OG0000003	LOC119548975|XP_037712493.1|DSUP	LOC117136364|XP_033153130.1|DMAU
OG0000003	LOC119549585|XP_037713671.1|DSUP	LOC117136849|XP_033153838.1|DMAU
OG0000003	LOC119550953|XP_037715907.1|DSUP	LOC117137674|XP_033155124.1|DMAU
OG0000003	LOC119549586|XP_037713672.1|DSUP	LOC117136851|XP_033153841.1|DMAU
OG0000003	LOC119551761|XP_037717216.1|DSUP	LOC117137104|XP_033154281.1|DMAU
OG0000003	LOC119551759|XP_037717214.1|DSUP	LOC117137102|XP_033154279.1|DMAU
OG0000003	LOC119551760|XP_037717215.1|DSUP	LOC117137103|XP_033154280.1|DMAU
OG0000003	LOC119546510|XP_037708761.1|DSUP	LOC117138777|XP_033156858.1|DMAU
OG0000007	LOC119555653|XP_037723160.1|DSUP	LOC117141087|XP_033160294.1|DMAU
OG0000007	LOC119554489|XP_037721348.1|DSUP	LOC117142070|XP_033161841.1|DMAU
OG0000007	LOC119554491|XP_037721352.1|DSUP, LOC119552519|XP_037718065.1|DSUP	LOC117140666|XP_033159604.1|DMAU
OG0000007	LOC119554490|XP_037721351.1|DSUP	LOC117139205|XP_033157267.1|DMAU
OG0000007	LOC119554494|XP_037721354.1|DSUP	LOC117140665|XP_033159603.1|DMAU
OG0000007	LOC119546692|XP_037709098.1|DSUP	LOC117150742|XP_033173667.1|DMAU
OG0000007	LOC119550735|XP_037715578.1|DSUP	LOC117136894|XP_033153899.1|DMAU
OG0000007	LOC119546891|XP_037709439.1|DSUP	LOC117139714|XP_033158125.1|DMAU
OG0000007	LOC119553445|XP_037719763.1|DSUP	LOC117139147|XP_033157196.1|DMAU
OG0000007	LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP	LOC117139091|XP_033157106.1|DMAU
OG0000007	LOC119554496|XP_037721356.1|DSUP	LOC117142072|XP_033161843.1|DMAU
OG0000008	LOC119559922|XP_037729053.1|DSUP	LOC117142833|XP_033162955.1|DMAU
OG0000008	LOC119554295|XP_037721083.1|DSUP	LOC117140615|XP_033159521.1|DMAU
OG0000008	LOC119554293|XP_037721080.1|DSUP	LOC117140614|XP_033159520.1|DMAU
OG0000008	LOC119546547|XP_037708827.1|DSUP	LOC117150767|XP_033173694.1|DMAU
OG0000008	LOC119554296|XP_037721084.1|DSUP	LOC117140617|XP_033159524.1|DMAU
OG0000008	LOC119556861|XP_037725260.1|DSUP	LOC117147420|XP_033170189.1|DMAU
OG0000008	LOC119560392|XP_037729748.1|DSUP	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU
OG0000008	LOC119560393|XP_037729749.1|DSUP	LOC117144387|XP_033165412.1|DMAU
OG0000008	LOC119560395|XP_037729751.1|DSUP	LOC117143719|XP_033164408.1|DMAU
OG0000008	LOC119560394|XP_037729750.1|DSUP	LOC117144386|XP_033165411.1|DMAU
OG0000008	LOC119560107|XP_037729380.1|DSUP	LOC117143928|XP_033164736.1|DMAU
OG0000009	LOC119560146|XP_037729428.1|DSUP	LOC117145423|XP_033166959.1|DMAU
OG0000009	LOC119560480|XP_037729870.1|DSUP	LOC117143759|XP_033164466.1|DMAU
OG0000009	LOC119560408|XP_037729769.1|DSUP	LOC117145633|XP_033167244.1|DMAU
OG0000009	LOC119560481|XP_037729871.1|DSUP	LOC117145422|XP_033166958.1|DMAU
OG0000009	LOC119550480|XP_037715097.1|DSUP	LOC117136735|XP_033153656.1|DMAU
OG0000009	LOC119560195|XP_037729489.1|DSUP	LOC117143616|XP_033164265.1|DMAU
OG0000009	LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP	LOC117135792|XP_033152175.1|DMAU
OG0000009	LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP	LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU
OG0000010	LOC119548006|XP_037711002.1|DSUP, LOC119559210|XP_037728209.1|DSUP, LOC119548249|XP_037711319.1|DSUP, LOC119559206|XP_037728205.1|DSUP, LOC119559227|XP_037728225.1|DSUP, LOC119559209|XP_037728208.1|DSUP, LOC119547995|XP_037710980.1|DSUP, LOC119547946|XP_037710924.1|DSUP, LOC119559220|XP_037728219.1|DSUP, LOC119559208|XP_037728207.1|DSUP, LOC119559214|XP_037728212.1|DSUP, LOC119559211|XP_037728210.1|DSUP, LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP, LOC119559234|XP_037728233.1|DSUP, LOC119559207|XP_037728206.1|DSUP, LOC119547994|XP_037710979.1|DSUP, LOC119559212|XP_037728211.1|DSUP, LOC119559205|XP_037728203.1|DSUP	LOC117142722|XP_033162774.1|DMAU
OG0000011	LOC119548095|XP_037711111.1|DSUP, LOC119548094|XP_037711110.1|DSUP, LOC119548461|XP_037711657.1|DSUP, LOC119548363|XP_037711507.1|DSUP	LOC117148149|XP_033171274.1|DMAU
OG0000011	LOC119548364|XP_037711508.1|DSUP	LOC117148158|XP_033171286.1|DMAU
OG0000011	LOC119548873|XP_037712431.1|DSUP, LOC119546938|XP_037709503.1|DSUP	LOC117138313|XP_033156221.1|DMAU
OG0000011	LOC119555066|XP_037722201.1|DSUP	LOC117140362|XP_033159107.1|DMAU
OG0000011	LOC119546050|XP_037708041.1|DSUP	LOC117150358|XP_033173108.1|DMAU
OG0000011	LOC119547347|XP_037710088.1|DSUP	LOC117135201|XP_033151176.1|DMAU
OG0000011	LOC119556682|XP_037724981.1|DSUP	LOC117148130|XP_033171246.1|DMAU, LOC117148131|XP_033171247.1|DMAU
OG0000011	LOC119554627|XP_037721551.1|DSUP	LOC117141063|XP_033160242.1|DMAU
OG0000011	LOC119554626|XP_037721550.1|DSUP	LOC117141062|XP_033160241.1|DMAU
OG0000011	LOC119554762|XP_037721730.1|DSUP	LOC117143493|XP_033164098.1|DMAU
OG0000012	LOC119550822|XP_037715693.1|DSUP	LOC117136761|XP_033153688.1|DMAU
OG0000012	LOC119550821|XP_037715691.1|DSUP	LOC117136760|XP_033153687.1|DMAU
OG0000012	LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP	LOC117136898|XP_033153902.1|DMAU
OG0000012	LOC119551494|XP_037716788.1|DSUP	LOC117137864|XP_033155471.1|DMAU
OG0000012	LOC119551074|XP_037716130.1|DSUP	LOC117137455|XP_033154790.1|DMAU
OG0000012	LOC119550378|XP_037714954.1|DSUP	LOC117136643|XP_033153526.1|DMAU
OG0000012	LOC119549965|XP_037714285.1|DSUP	LOC117136387|XP_033153170.1|DMAU
OG0000012	LOC119551851|XP_037717353.1|DSUP	LOC117136474|XP_033153296.1|DMAU
OG0000012	LOC119551850|XP_037717352.1|DSUP	LOC117136403|XP_033153190.1|DMAU
OG0000012	LOC119550449|XP_037715053.1|DSUP	LOC117138497|XP_033156518.1|DMAU
OG0000012	LOC119551476|XP_037716767.1|DSUP	LOC117137795|XP_033155358.1|DMAU
OG0000012	LOC119551477|XP_037716768.1|DSUP	LOC117137796|XP_033155359.1|DMAU
OG0000013	LOC119549437|XP_037713458.1|DSUP	LOC117136473|XP_033153295.1|DMAU
OG0000013	LOC119558255|XP_037727511.1|DSUP	LOC117148236|XP_033171424.1|DMAU
OG0000013	LOC119563541|XP_037732953.1|DSUP	LOC117142434|XP_033162286.1|DMAU
OG0000013	LOC119555401|XP_037722683.1|DSUP	LOC117141743|XP_033161255.1|DMAU
OG0000013	LOC119556345|XP_037724379.1|DSUP	LOC117143333|XP_033163884.1|DMAU
OG0000013	LOC119545787|XP_037707587.1|DSUP	LOC117142344|XP_033162152.1|DMAU
OG0000013	LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP	LOC117145307|XP_033166793.1|DMAU, LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU
OG0000015	LOC119548635|XP_037711952.1|DSUP	LOC117135278|XP_033151337.1|DMAU
OG0000015	LOC119547561|XP_037710390.1|DSUP	LOC117150991|XP_033174086.1|DMAU
OG0000015	LOC119546298|XP_037708414.1|DSUP, LOC119546326|XP_037708454.1|DSUP	LOC117150915|XP_033173958.1|DMAU
OG0000015	LOC119547138|XP_037709780.1|DSUP	LOC117143744|XP_033164450.1|DMAU
OG0000015	LOC119547086|XP_037709714.1|DSUP	LOC117140156|XP_033158823.1|DMAU
OG0000015	LOC119550622|XP_037715380.1|DSUP	LOC117137056|XP_033154159.1|DMAU
OG0000016	LOC119560964|XP_037730645.1|DSUP	LOC117143253|XP_033163704.1|DMAU
OG0000016	LOC119551792|XP_037717267.1|DSUP	LOC117136077|XP_033152622.1|DMAU
OG0000016	LOC119560636|XP_037730116.1|DSUP	LOC117144517|XP_033165627.1|DMAU
OG0000016	LOC119549928|XP_037714197.1|DSUP, LOC119549685|XP_037713828.1|DSUP	LOC117137377|XP_033154680.1|DMAU
OG0000016	LOC119557630|XP_037726388.1|DSUP	LOC117148789|XP_033172290.1|DMAU
OG0000016	LOC119559471|XP_037728511.1|DSUP	LOC117135957|XP_033152442.1|DMAU
OG0000016	LOC119561925|XP_037731293.1|DSUP	LOC117145868|XP_033167581.1|DMAU
OG0000016	LOC119555565|XP_037722943.1|DSUP	LOC117140134|XP_033158791.1|DMAU
OG0000017	LOC119555819|XP_037723364.1|DSUP	LOC117146549|XP_033168738.1|DMAU
OG0000017	LOC119549290|XP_037713167.1|DSUP	LOC117138274|XP_033156132.1|DMAU
OG0000017	LOC119562617|XP_037731769.1|DSUP, LOC119562618|XP_037731771.1|DSUP	LOC117136736|XP_033153658.1|DMAU
OG0000017	LOC119560371|XP_037729705.1|DSUP	LOC117144510|XP_033165592.1|DMAU
OG0000017	LOC119552736|XP_037718429.1|DSUP	LOC117144632|XP_033165817.1|DMAU
OG0000017	LOC119550337|XP_037714884.1|DSUP, LOC119558631|XP_037727964.1|DSUP	LOC117137416|XP_033154735.1|DMAU
OG0000017	LOC119562595|XP_037731744.1|DSUP	LOC117136539|XP_033153380.1|DMAU
OG0000017	LOC119558630|XP_037727962.1|DSUP, LOC119550336|XP_037714883.1|DSUP	LOC117137415|XP_033154734.1|DMAU
OG0000017	LOC119546290|XP_037708399.1|DSUP	LOC117150949|XP_033174013.1|DMAU, LOC117139948|XP_033158530.1|DMAU
OG0000018	LOC119554782|XP_037721754.1|DSUP	LOC117141482|XP_033160851.1|DMAU
OG0000018	LOC119554784|XP_037721757.1|DSUP	LOC117141483|XP_033160852.1|DMAU
OG0000019	LOC119545699|XP_037707379.1|DSUP	LOC117143233|XP_033163675.1|DMAU
OG0000019	LOC119545701|XP_037707381.1|DSUP	LOC117143237|XP_033163678.1|DMAU
OG0000019	LOC119545702|XP_037707383.1|DSUP	LOC117143236|XP_033163677.1|DMAU
OG0000019	LOC119553849|XP_037720426.1|DSUP	LOC117143229|XP_033163670.1|DMAU
OG0000019	LOC119545700|XP_037707380.1|DSUP	LOC117143234|XP_033163676.1|DMAU
OG0000019	LOC119545696|XP_037707377.1|DSUP	LOC117143231|XP_033163673.1|DMAU
OG0000019	LOC119545697|XP_037707378.1|DSUP	LOC117143232|XP_033163674.1|DMAU
OG0000020	LOC119551011|XP_037715994.1|DSUP	LOC117143636|XP_033164304.1|DMAU
OG0000020	LOC119549986|XP_037714317.1|DSUP	LOC117136475|XP_033153300.1|DMAU
OG0000020	LOC119546352|XP_037708508.1|DSUP, LOC119548418|XP_037711587.1|DSUP, LOC119560332|XP_037729650.1|DSUP	LOC117139859|XP_033158405.1|DMAU
OG0000020	LOC119546657|XP_037709040.1|DSUP, LOC119546786|XP_037709271.1|DSUP, LOC119550100|XP_037714508.1|DSUP	LOC117138462|XP_033156478.1|DMAU
OG0000020	LOC119546737|XP_037709159.1|DSUP	LOC117140141|XP_033158803.1|DMAU
OG0000020	LOC119561092|XP_037730913.1|DSUP	LOC117145918|XP_033167668.1|DMAU
OG0000020	LOC119556769|XP_037725126.1|DSUP	LOC117143368|XP_033163935.1|DMAU
OG0000020	LOC119547825|XP_037710775.1|DSUP	LOC117135687|XP_033151982.1|DMAU
OG0000020	LOC119546570|XP_037708891.1|DSUP	LOC117139836|XP_033158373.1|DMAU
OG0000021	LOC119548675|XP_037712046.1|DSUP	LOC117135318|XP_033151407.1|DMAU
OG0000021	LOC119549002|XP_037712540.1|DSUP	LOC117136145|XP_033152741.1|DMAU
OG0000021	LOC119550684|XP_037715475.1|DSUP	LOC117136571|XP_033153419.1|DMAU
OG0000021	LOC119550497|XP_037715116.1|DSUP	LOC117136553|XP_033153398.1|DMAU
OG0000021	LOC119556017|XP_037723717.1|DSUP	LOC117146855|XP_033169316.1|DMAU
OG0000021	LOC119552371|XP_037718001.1|DSUP	LOC117142241|XP_033161985.1|DMAU
OG0000021	LOC119560336|XP_037729656.1|DSUP	LOC117143646|XP_033164316.1|DMAU
OG0000021	LOC119555956|XP_037723602.1|DSUP	LOC117148061|XP_033171143.1|DMAU
OG0000022	LOC119550370|XP_037714944.1|DSUP	LOC117138252|XP_033156103.1|DMAU
OG0000022	LOC119553490|XP_037719826.1|DSUP	LOC117139751|XP_033158206.1|DMAU
OG0000022	LOC119555582|XP_037722984.1|DSUP, LOC119555585|XP_037722986.1|DSUP, LOC119555586|XP_037722987.1|DSUP	LOC117139201|XP_033157264.1|DMAU, LOC117139199|XP_033157263.1|DMAU, LOC117139197|XP_033157261.1|DMAU
OG0000022	LOC119555581|XP_037722982.1|DSUP, LOC119555583|XP_037722985.1|DSUP	LOC117139203|XP_033157266.1|DMAU
OG0000022	LOC119555580|XP_037722981.1|DSUP	LOC117139198|XP_033157262.1|DMAU
OG0000023	LOC119559780|XP_037728787.1|DSUP	LOC117144283|XP_033165277.1|DMAU
OG0000023	LOC119559792|XP_037728800.1|DSUP, LOC119559788|XP_037728797.1|DSUP	LOC117144284|XP_033165278.1|DMAU
OG0000023	LOC119559783|XP_037728790.1|DSUP	LOC117144282|XP_033165275.1|DMAU
OG0000023	LOC119550999|XP_037715976.1|DSUP	LOC117135977|XP_033152481.1|DMAU
OG0000023	LOC119559784|XP_037728792.1|DSUP	LOC117145126|XP_033166537.1|DMAU
OG0000023	LOC119559779|XP_037728786.1|DSUP	LOC117144278|XP_033165272.1|DMAU
OG0000023	LOC119559782|XP_037728789.1|DSUP	LOC117144775|XP_033166033.1|DMAU
OG0000023	LOC119559778|XP_037728785.1|DSUP	LOC117144277|XP_033165271.1|DMAU
OG0000023	LOC119559785|XP_037728793.1|DSUP	LOC117144765|XP_033166018.1|DMAU
OG0000024	LOC119551120|XP_037716232.1|DSUP	LOC117137467|XP_033154805.1|DMAU
OG0000024	LOC119549911|XP_037714159.1|DSUP, LOC119552112|XP_037717826.1|DSUP	LOC117137468|XP_033154806.1|DMAU, LOC117137469|XP_033154807.1|DMAU
OG0000024	LOC119551714|XP_037717116.1|DSUP	LOC117137862|XP_033155468.1|DMAU
OG0000024	LOC119551121|XP_037716233.1|DSUP	LOC117136255|XP_033152953.1|DMAU
OG0000024	LOC119548131|XP_037711156.1|DSUP, LOC119548130|XP_037711155.1|DSUP, LOC119546161|XP_037708208.1|DSUP, LOC119548129|XP_037711154.1|DSUP	LOC117150619|XP_033173479.1|DMAU
OG0000024	LOC119551919|XP_037717477.1|DSUP	LOC117135440|XP_033151508.1|DMAU
OG0000025	LOC119556135|XP_037723954.1|DSUP	LOC117143378|XP_033163951.1|DMAU
OG0000026	LOC119557908|XP_037726842.1|DSUP	LOC117148470|XP_033171735.1|DMAU
OG0000026	LOC119547110|XP_037709748.1|DSUP	LOC117135160|XP_033151111.1|DMAU
OG0000026	LOC119557301|XP_037725939.1|DSUP	LOC117146899|XP_033169397.1|DMAU
OG0000026	LOC119561040|XP_037730797.1|DSUP	LOC117142902|XP_033163074.1|DMAU
OG0000026	LOC119560123|XP_037729401.1|DSUP	LOC117145491|XP_033167059.1|DMAU
OG0000027	LOC119548404|XP_037711568.1|DSUP	LOC117142835|XP_033162961.1|DMAU
OG0000027	LOC119548409|XP_037711576.1|DSUP	LOC117140739|XP_033159710.1|DMAU
OG0000027	LOC119548453|XP_037711645.1|DSUP	LOC117150817|XP_033173768.1|DMAU
OG0000028	LOC119555138|XP_037722293.1|DSUP	LOC117139373|XP_033157513.1|DMAU
OG0000028	LOC119554646|XP_037721574.1|DSUP	LOC117141110|XP_033160324.1|DMAU
OG0000029	LOC119562890|XP_037731935.1|DSUP	LOC117145028|XP_033166421.1|DMAU
OG0000029	LOC119550971|XP_037715934.1|DSUP	LOC117136167|XP_033152799.1|DMAU
OG0000029	LOC119549481|XP_037713512.1|DSUP	LOC117136614|XP_033153490.1|DMAU
OG0000029	LOC119546385|XP_037708552.1|DSUP	LOC117135122|XP_033151033.1|DMAU
OG0000029	LOC119560689|XP_037730195.1|DSUP	LOC117144854|XP_033166148.1|DMAU
OG0000029	LOC119554065|XP_037720734.1|DSUP	LOC117140740|XP_033159707.1|DMAU
OG0000030	LOC119547225|XP_037709914.1|DSUP	LOC117150768|XP_033173696.1|DMAU
OG0000030	LOC119546122|XP_037708143.1|DSUP	LOC117137293|XP_033154560.1|DMAU
OG0000030	LOC119547226|XP_037709915.1|DSUP	LOC117150769|XP_033173697.1|DMAU
OG0000030	LOC119546258|XP_037708345.1|DSUP, LOC119546257|XP_037708344.1|DSUP	LOC117143350|XP_033163916.1|DMAU
OG0000030	LOC119550805|XP_037715669.1|DSUP, LOC119558621|XP_037727957.1|DSUP	LOC117137054|XP_033154154.1|DMAU
OG0000030	LOC119557894|XP_037726826.1|DSUP	LOC117148684|XP_033172115.1|DMAU
OG0000030	LOC119556830|XP_037725216.1|DSUP	LOC117148518|XP_033171816.1|DMAU, LOC117148443|XP_033171707.1|DMAU, LOC117148004|XP_033171054.1|DMAU
OG0000031	LOC119546941|XP_037709506.1|DSUP, LOC119546197|XP_037708251.1|DSUP	LOC117144354|XP_033165364.1|DMAU, LOC117137476|XP_033154845.1|DMAU
OG0000031	LOC119548227|XP_037711293.1|DSUP	LOC117145782|XP_033167456.1|DMAU
OG0000031	LOC119547774|XP_037710713.1|DSUP	LOC117135426|XP_033151476.1|DMAU
OG0000031	LOC119552950|XP_037718858.1|DSUP	LOC117138977|XP_033156935.1|DMAU
OG0000031	LOC119547137|XP_037709777.1|DSUP	LOC117135570|XP_033151785.1|DMAU
OG0000031	LOC119546475|XP_037708689.1|DSUP, LOC119546474|XP_037708687.1|DSUP	LOC117150913|XP_033173999.1|DMAU
OG0000032	LOC119559763|XP_037728765.1|DSUP	LOC117145857|XP_033167568.1|DMAU
OG0000032	LOC119559968|XP_037729132.1|DSUP	LOC117145861|XP_033167572.1|DMAU
OG0000033	LOC119563311|XP_037732572.1|DSUP	LOC117144719|XP_033165948.1|DMAU
OG0000033	LOC119546299|XP_037708415.1|DSUP, LOC119546423|XP_037708616.1|DSUP	LOC117150287|XP_033172997.1|DMAU
OG0000033	LOC119551206|XP_037716367.1|DSUP	LOC117138299|XP_033156190.1|DMAU
OG0000033	LOC119551207|XP_037716368.1|DSUP	LOC117138297|XP_033156188.1|DMAU
OG0000033	LOC119551205|XP_037716366.1|DSUP	LOC117138298|XP_033156189.1|DMAU
OG0000033	LOC119552692|XP_037718345.1|DSUP	LOC117140273|XP_033158989.1|DMAU
OG0000033	LOC119560194|XP_037729486.1|DSUP	LOC117144413|XP_033165445.1|DMAU, LOC117144938|XP_033166283.1|DMAU
OG0000033	LOC119549869|XP_037714095.1|DSUP, LOC119549868|XP_037714094.1|DSUP	LOC117137789|XP_033155336.1|DMAU
OG0000033	LOC119549866|XP_037714089.1|DSUP	LOC117137724|XP_033155189.1|DMAU
OG0000034	LOC119548454|XP_037711646.1|DSUP	LOC117141167|XP_033160397.1|DMAU
OG0000034	LOC119547534|XP_037710356.1|DSUP	LOC117150483|XP_033173273.1|DMAU
OG0000034	LOC119546306|XP_037708427.1|DSUP	LOC117149319|XP_033172656.1|DMAU
OG0000034	LOC119563012|XP_037732131.1|DSUP	LOC117143947|XP_033164772.1|DMAU
OG0000034	LOC119563011|XP_037732130.1|DSUP	LOC117145446|XP_033166996.1|DMAU
OG0000034	LOC119546951|XP_037709518.1|DSUP	LOC117143867|XP_033164627.1|DMAU
OG0000035	LOC119561804|XP_037731211.1|DSUP	LOC117149959|XP_033172748.1|DMAU, LOC117139681|XP_033158055.1|DMAU, LOC117138223|XP_033156059.1|DMAU, LOC117138222|XP_033156058.1|DMAU, LOC117143714|XP_033164404.1|DMAU
OG0000035	LOC119551694|XP_037717091.1|DSUP, LOC119553283|XP_037719521.1|DSUP	LOC117150075|XP_033172814.1|DMAU, LOC117150140|XP_033172837.1|DMAU, LOC117141067|XP_033160256.1|DMAU, LOC117150145|XP_033172839.1|DMAU, LOC117149971|XP_033172758.1|DMAU, LOC117150146|XP_033172840.1|DMAU, LOC117150018|XP_033172786.1|DMAU, LOC117150076|XP_033172815.1|DMAU, LOC117149623|XP_033172695.1|DMAU, LOC117149638|XP_033172698.1|DMAU, LOC117142656|XP_033162678.1|DMAU, LOC117149972|XP_033172759.1|DMAU, LOC117149044|XP_033172603.1|DMAU, LOC117149965|XP_033172753.1|DMAU, LOC117149095|XP_033172630.1|DMAU
OG0000036	LOC119560416|XP_037729780.1|DSUP	LOC117145150|XP_033166581.1|DMAU
OG0000036	LOC119555899|XP_037723507.1|DSUP	LOC117145004|XP_033166383.1|DMAU
OG0000036	LOC119560377|XP_037729713.1|DSUP	LOC117145915|XP_033167661.1|DMAU
OG0000036	LOC119545810|XP_037707622.1|DSUP	LOC117145828|XP_033167521.1|DMAU, LOC117145827|XP_033167520.1|DMAU
OG0000037	LOC119549907|XP_037714155.1|DSUP	LOC117137024|XP_033154116.1|DMAU
OG0000037	LOC119560063|XP_037729297.1|DSUP	LOC117145239|XP_033166706.1|DMAU
OG0000037	LOC119560052|XP_037729285.1|DSUP, LOC119559867|XP_037728904.1|DSUP	LOC117143582|XP_033164221.1|DMAU
OG0000038	LOC119555136|XP_037722291.1|DSUP	LOC117139364|XP_033157507.1|DMAU
OG0000038	LOC119555124|XP_037722276.1|DSUP	LOC117141232|XP_033160483.1|DMAU
OG0000039	LOC119560141|XP_037729421.1|DSUP	LOC117144249|XP_033165219.1|DMAU
OG0000039	LOC119556467|XP_037724643.1|DSUP	LOC117148457|XP_033171719.1|DMAU
OG0000039	LOC119556870|XP_037725271.1|DSUP	LOC117147454|XP_033170230.1|DMAU
OG0000039	LOC119555839|XP_037723395.1|DSUP	LOC117146886|XP_033169374.1|DMAU
OG0000040	LOC119556456|XP_037724634.1|DSUP	LOC117145128|XP_033166540.1|DMAU
OG0000040	LOC119563112|XP_037732283.1|DSUP	LOC117143448|XP_033164046.1|DMAU
OG0000040	LOC119563113|XP_037732284.1|DSUP	LOC117143449|XP_033164048.1|DMAU
OG0000040	LOC119556472|XP_037724654.1|DSUP	LOC117144294|XP_033165289.1|DMAU
OG0000040	LOC119556482|XP_037724666.1|DSUP, LOC119555315|XP_037722571.1|DSUP	LOC117144293|XP_033165288.1|DMAU
OG0000040	LOC119552243|XP_037717993.1|DSUP	LOC117143965|XP_033164790.1|DMAU
OG0000040	LOC119546490|XP_037708720.1|DSUP	LOC117143756|XP_033164463.1|DMAU
OG0000041	LOC119554437|XP_037721279.1|DSUP	LOC117143749|XP_033164453.1|DMAU
OG0000041	LOC119562401|XP_037731528.1|DSUP	LOC117144930|XP_033166274.1|DMAU
OG0000041	LOC119550675|XP_037715466.1|DSUP	LOC117145103|XP_033166514.1|DMAU
OG0000041	LOC119550683|XP_037715478.1|DSUP	LOC117144174|XP_033165110.1|DMAU, LOC117145105|XP_033166515.1|DMAU
OG0000042	LOC119548723|XP_037712139.1|DSUP	LOC117146870|XP_033169351.1|DMAU
OG0000042	LOC119551176|XP_037716303.1|DSUP	LOC117138472|XP_033156493.1|DMAU
