Orthogroup	DSUP.longest_only	DNOV.longest_only
OG0000019	LOC119545696|XP_037707377.1|DSUP, LOC119545697|XP_037707378.1|DSUP	LOC115771914|XP_030573663.1|DNOV
OG0000020	LOC119551011|XP_037715994.1|DSUP	LOC115764021|XP_030562712.1|DNOV
OG0000020	LOC119549986|XP_037714317.1|DSUP	LOC115762420|XP_030560475.1|DNOV
OG0000020	LOC119546352|XP_037708508.1|DSUP, LOC119548418|XP_037711587.1|DSUP, LOC119560332|XP_037729650.1|DSUP, LOC119546657|XP_037709040.1|DSUP, LOC119546786|XP_037709271.1|DSUP, LOC119550100|XP_037714508.1|DSUP, LOC119546737|XP_037709159.1|DSUP	LOC115758764|XP_030555385.1|DNOV
OG0000020	LOC119561092|XP_037730913.1|DSUP	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV
OG0000020	LOC119556769|XP_037725126.1|DSUP	LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV
OG0000020	LOC119547825|XP_037710775.1|DSUP, LOC119546570|XP_037708891.1|DSUP	LOC115758337|XP_030554771.1|DNOV
OG0000021	LOC119548675|XP_037712046.1|DSUP	LOC115762362|XP_030560400.1|DNOV
OG0000021	LOC119549002|XP_037712540.1|DSUP	LOC115763104|XP_030561408.1|DNOV
OG0000021	LOC119550684|XP_037715475.1|DSUP	LOC115764505|XP_030563459.1|DNOV
OG0000021	LOC119550497|XP_037715116.1|DSUP	LOC115772083|XP_030573900.1|DNOV
OG0000021	LOC119556017|XP_037723717.1|DSUP	LOC115768613|XP_030569130.1|DNOV
OG0000021	LOC119552371|XP_037718001.1|DSUP	LOC115770843|XP_030572140.1|DNOV
OG0000021	LOC119560336|XP_037729656.1|DSUP	LOC115771758|XP_030573467.1|DNOV
OG0000021	LOC119555956|XP_037723602.1|DSUP	LOC115766401|XP_030566179.1|DNOV
OG0000022	LOC119550370|XP_037714944.1|DSUP	LOC115757997|XP_030554350.1|DNOV
OG0000022	LOC119555582|XP_037722984.1|DSUP, LOC119555585|XP_037722986.1|DSUP, LOC119555586|XP_037722987.1|DSUP	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV
OG0000022	LOC119555581|XP_037722982.1|DSUP, LOC119555583|XP_037722985.1|DSUP, LOC119555580|XP_037722981.1|DSUP	LOC115762575|XP_030560720.1|DNOV
OG0000023	LOC119559780|XP_037728787.1|DSUP	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV
OG0000023	LOC119559792|XP_037728800.1|DSUP, LOC119559788|XP_037728797.1|DSUP	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV
OG0000023	LOC119559786|XP_037728794.1|DSUP	LOC115761267|XP_030558841.1|DNOV
OG0000023	LOC119559783|XP_037728790.1|DSUP	LOC115761263|XP_030558837.1|DNOV
OG0000023	LOC119550999|XP_037715976.1|DSUP	LOC115761778|XP_030559575.1|DNOV
OG0000023	LOC119559784|XP_037728792.1|DSUP	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV
OG0000023	LOC119559779|XP_037728786.1|DSUP	LOC115761262|XP_030558836.1|DNOV
OG0000023	LOC119559782|XP_037728789.1|DSUP	LOC115761326|XP_030558919.1|DNOV
OG0000023	LOC119559778|XP_037728785.1|DSUP	LOC115761659|XP_030559359.1|DNOV
OG0000023	LOC119559785|XP_037728793.1|DSUP	LOC115761434|XP_030559060.1|DNOV
OG0000024	LOC119551120|XP_037716232.1|DSUP, LOC119549911|XP_037714159.1|DSUP, LOC119552112|XP_037717826.1|DSUP, LOC119551714|XP_037717116.1|DSUP	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV
OG0000024	LOC119548131|XP_037711156.1|DSUP, LOC119548130|XP_037711155.1|DSUP, LOC119546161|XP_037708208.1|DSUP, LOC119548129|XP_037711154.1|DSUP	LOC115763072|XP_030561360.1|DNOV
OG0000024	LOC119551919|XP_037717477.1|DSUP	LOC115764549|XP_030563528.1|DNOV
OG0000025	LOC119556135|XP_037723954.1|DSUP	LOC115758436|XP_030554952.1|DNOV
OG0000025	LOC119561447|XP_037731028.1|DSUP, LOC119559181|XP_037728169.1|DSUP, LOC119561443|XP_037731024.1|DSUP, LOC119561532|XP_037731111.1|DSUP, LOC119559590|XP_037728532.1|DSUP, LOC119559601|XP_037728544.1|DSUP, LOC119561449|XP_037731029.1|DSUP, LOC119561527|XP_037731107.1|DSUP, LOC119559244|XP_037728243.1|DSUP, LOC119561444|XP_037731025.1|DSUP, LOC119559182|XP_037728170.1|DSUP	LOC115770696|XP_030571951.1|DNOV
OG0000025	LOC119559246|XP_037728246.1|DSUP	LOC115762028|XP_030559953.1|DNOV
OG0000025	LOC119561445|XP_037731026.1|DSUP, LOC119561446|XP_037731027.1|DSUP, LOC119546077|XP_037708082.1|DSUP	LOC115761982|XP_030559889.1|DNOV
OG0000026	LOC119557908|XP_037726842.1|DSUP	LOC115771353|XP_030572886.1|DNOV
OG0000026	LOC119547110|XP_037709748.1|DSUP	LOC115758902|XP_030555559.1|DNOV
OG0000026	LOC119560123|XP_037729401.1|DSUP	LOC115764140|XP_030562874.1|DNOV
OG0000027	LOC119548404|XP_037711568.1|DSUP	LOC115765969|XP_030565582.1|DNOV
OG0000027	LOC119548453|XP_037711645.1|DSUP	LOC115765940|XP_030565545.1|DNOV
OG0000028	LOC119555148|XP_037722304.1|DSUP	LOC115769431|XP_030570099.1|DNOV, LOC115769429|XP_030570097.1|DNOV, LOC115769430|XP_030570098.1|DNOV
OG0000028	LOC119555138|XP_037722293.1|DSUP	LOC115769342|XP_030569963.1|DNOV
OG0000029	LOC119548587|XP_037711848.1|DSUP, LOC119560689|XP_037730195.1|DSUP	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV
OG0000029	LOC119554065|XP_037720734.1|DSUP	LOC115767739|XP_030567914.1|DNOV
OG0000030	LOC119547225|XP_037709914.1|DSUP	LOC115760078|XP_030557121.1|DNOV
OG0000030	LOC119546258|XP_037708345.1|DSUP, LOC119546257|XP_037708344.1|DSUP	LOC115759228|XP_030555983.1|DNOV
OG0000030	LOC119558624|XP_037727958.1|DSUP, LOC119549822|XP_037714028.1|DSUP, LOC119550805|XP_037715669.1|DSUP, LOC119558621|XP_037727957.1|DSUP	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV
OG0000030	LOC119557894|XP_037726826.1|DSUP	LOC115767988|XP_030568248.1|DNOV
OG0000030	LOC119556830|XP_037725216.1|DSUP	LOC115766352|XP_030566111.1|DNOV
OG0000031	LOC119548568|XP_037711813.1|DSUP, LOC119546475|XP_037708689.1|DSUP, LOC119546474|XP_037708687.1|DSUP	LOC115760051|XP_030557082.1|DNOV
OG0000032	LOC119559763|XP_037728765.1|DSUP	LOC115771909|XP_030573659.1|DNOV
OG0000032	LOC119559968|XP_037729132.1|DSUP, LOC119559770|XP_037728775.1|DSUP, LOC119559771|XP_037728776.1|DSUP	LOC115771910|XP_030573660.1|DNOV
OG0000032	LOC119560219|XP_037729506.1|DSUP	LOC115771703|XP_030573383.1|DNOV
OG0000032	LOC119560574|XP_037730023.1|DSUP, LOC119559967|XP_037729131.1|DSUP	LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV
OG0000033	LOC119554734|XP_037721683.1|DSUP, LOC119551151|XP_037716271.1|DSUP, LOC119546299|XP_037708415.1|DSUP, LOC119546423|XP_037708616.1|DSUP, LOC119547670|XP_037710556.1|DSUP, LOC119546302|XP_037708421.1|DSUP, LOC119551206|XP_037716367.1|DSUP, LOC119551207|XP_037716368.1|DSUP	LOC115762530|XP_030560671.1|DNOV
OG0000033	LOC119551205|XP_037716366.1|DSUP	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV
OG0000034	LOC119548454|XP_037711646.1|DSUP	LOC115758611|XP_030555202.1|DNOV
OG0000034	LOC119547534|XP_037710356.1|DSUP	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV
OG0000034	LOC119546951|XP_037709518.1|DSUP	LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV
OG0000036	LOC119560416|XP_037729780.1|DSUP	LOC115761531|XP_030559163.1|DNOV
OG0000036	LOC119555899|XP_037723507.1|DSUP	LOC115759641|XP_030556490.1|DNOV
OG0000036	LOC119560377|XP_037729713.1|DSUP	LOC115764000|XP_030562680.1|DNOV
OG0000036	LOC119545810|XP_037707622.1|DSUP	LOC115772100|XP_030573922.1|DNOV
OG0000037	LOC119549907|XP_037714155.1|DSUP	LOC115761663|XP_030559406.1|DNOV
OG0000037	LOC119560063|XP_037729297.1|DSUP, LOC119560052|XP_037729285.1|DSUP, LOC119559867|XP_037728904.1|DSUP	LOC115761932|XP_030559822.1|DNOV
OG0000038	LOC119555136|XP_037722291.1|DSUP	LOC115769340|XP_030569961.1|DNOV
OG0000038	LOC119555124|XP_037722276.1|DSUP	LOC115769427|XP_030570094.1|DNOV
OG0000039	LOC119560141|XP_037729421.1|DSUP	LOC115764701|XP_030563759.1|DNOV
OG0000039	LOC119556467|XP_037724643.1|DSUP	LOC115766337|XP_030566090.1|DNOV
OG0000039	LOC119556870|XP_037725271.1|DSUP	LOC115767237|XP_030567298.1|DNOV
OG0000039	LOC119555839|XP_037723395.1|DSUP	LOC115766288|XP_030566016.1|DNOV
OG0000040	LOC119556456|XP_037724634.1|DSUP, LOC119563112|XP_037732283.1|DSUP	LOC115764750|XP_030563834.1|DNOV
OG0000040	LOC119563113|XP_037732284.1|DSUP	LOC115764751|XP_030563835.1|DNOV
OG0000040	LOC119556472|XP_037724654.1|DSUP, LOC119556489|XP_037724679.1|DSUP, LOC119556482|XP_037724666.1|DSUP, LOC119555315|XP_037722571.1|DSUP	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV
OG0000040	LOC119552243|XP_037717993.1|DSUP	LOC115764684|XP_030563733.1|DNOV
OG0000040	LOC119546490|XP_037708720.1|DSUP	LOC115771625|XP_030573267.1|DNOV
OG0000041	LOC119554437|XP_037721279.1|DSUP, LOC119554447|XP_037721290.1|DSUP, LOC119562401|XP_037731528.1|DSUP, LOC119550675|XP_037715466.1|DSUP, LOC119550683|XP_037715478.1|DSUP	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV
OG0000042	LOC119551176|XP_037716303.1|DSUP, LOC119551178|XP_037716307.1|DSUP, LOC119551177|XP_037716304.1|DSUP, LOC119549542|XP_037713620.1|DSUP, LOC119549541|XP_037713619.1|DSUP, LOC119549540|XP_037713618.1|DSUP, LOC119549537|XP_037713608.1|DSUP	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV
OG0000043	LOC119562926|XP_037732005.1|DSUP	LOC115770548|XP_030571710.1|DNOV
OG0000043	LOC119556175|XP_037724028.1|DSUP, LOC119563048|XP_037732184.1|DSUP	LOC115770561|XP_030571734.1|DNOV
OG0000043	LOC119556257|XP_037724233.1|DSUP, LOC119556250|XP_037724220.1|DSUP, LOC119554418|XP_037721239.1|DSUP, LOC119556264|XP_037724244.1|DSUP	LOC115770570|XP_030571745.1|DNOV
OG0000044	LOC119558156|XP_037727329.1|DSUP	LOC115770712|XP_030571969.1|DNOV
OG0000044	LOC119555966|XP_037723621.1|DSUP, LOC119555955|XP_037723600.1|DSUP	LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV
OG0000044	LOC119548482|XP_037711687.1|DSUP	LOC115766148|XP_030565844.1|DNOV
OG0000045	LOC119553763|XP_037720298.1|DSUP	LOC115771022|XP_030572403.1|DNOV
OG0000045	LOC119552534|XP_037718081.1|DSUP, LOC119554143|XP_037720848.1|DSUP	LOC115771240|XP_030572702.1|DNOV
OG0000045	LOC119554102|XP_037720779.1|DSUP	LOC115771239|XP_030572701.1|DNOV
OG0000045	LOC119553760|XP_037720293.1|DSUP	LOC115771237|XP_030572698.1|DNOV
OG0000046	LOC119555986|XP_037723641.1|DSUP, LOC119555989|XP_037723648.1|DSUP	LOC115768148|XP_030568502.1|DNOV
OG0000046	LOC119556096|XP_037723888.1|DSUP, LOC119556859|XP_037725261.1|DSUP, LOC119553613|XP_037720003.1|DSUP, LOC119549774|XP_037713961.1|DSUP, LOC119558359|XP_037727794.1|DSUP, LOC119556004|XP_037723685.1|DSUP	LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV
OG0000047	LOC119550295|XP_037714817.1|DSUP	LOC115760745|XP_030558082.1|DNOV
OG0000047	LOC119559372|XP_037728340.1|DSUP	LOC115757956|XP_030554291.1|DNOV
OG0000047	LOC119559393|XP_037728384.1|DSUP	LOC115757840|XP_030554132.1|DNOV
OG0000048	LOC119553985|XP_037720620.1|DSUP, LOC119553987|XP_037720622.1|DSUP	LOC115762856|XP_030561091.1|DNOV
OG0000048	LOC119553986|XP_037720621.1|DSUP	LOC115762848|XP_030561084.1|DNOV
OG0000048	LOC119553984|XP_037720618.1|DSUP	LOC115762847|XP_030561083.1|DNOV
OG0000048	LOC119555323|XP_037722579.1|DSUP	LOC115762857|XP_030561093.1|DNOV
OG0000049	LOC119563293|XP_037732549.1|DSUP	LOC115761547|XP_030559189.1|DNOV
OG0000049	LOC119563399|XP_037732686.1|DSUP	LOC115761542|XP_030559185.1|DNOV
OG0000049	LOC119553498|XP_037719841.1|DSUP	LOC115761399|XP_030559017.1|DNOV
OG0000049	LOC119555370|XP_037722644.1|DSUP	LOC115761457|XP_030559084.1|DNOV
OG0000049	LOC119558111|XP_037727267.1|DSUP	LOC115761552|XP_030559195.1|DNOV
OG0000050	LOC119549468|XP_037713498.1|DSUP	LOC115758280|XP_030554702.1|DNOV
