Orthogroup	DSUP.longest_only	DHYD.longest_only
OG0000012	LOC119550209|XP_037714688.1|DSUP, LOC119551068|XP_037716119.1|DSUP, LOC119551074|XP_037716130.1|DSUP, LOC119551639|XP_037716997.1|DSUP, LOC119550378|XP_037714954.1|DSUP	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD
OG0000012	LOC119549965|XP_037714285.1|DSUP, LOC119551851|XP_037717353.1|DSUP, LOC119551850|XP_037717352.1|DSUP, LOC119550449|XP_037715053.1|DSUP	LOC111597898|XP_023168600.2|DHYD
OG0000012	LOC119551476|XP_037716767.1|DSUP, LOC119551477|XP_037716768.1|DSUP	LOC111597903|XP_023168607.2|DHYD
OG0000013	LOC119549437|XP_037713458.1|DSUP	LOC111593737|XP_023162498.2|DHYD
OG0000013	LOC119558255|XP_037727511.1|DSUP	LOC111605302|XP_030080103.1|DHYD
OG0000013	LOC119563541|XP_037732953.1|DSUP	LOC111603010|XP_023176183.1|DHYD
OG0000013	LOC119555401|XP_037722683.1|DSUP	LOC111604413|XP_023178237.2|DHYD
OG0000013	LOC119556345|XP_037724379.1|DSUP	LOC111594553|XP_023163674.1|DHYD
OG0000013	LOC119545787|XP_037707587.1|DSUP	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD
OG0000013	LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD
OG0000015	LOC119548635|XP_037711952.1|DSUP	LOC111592667|XP_023160798.2|DHYD
OG0000016	LOC119560964|XP_037730645.1|DSUP	LOC111605496|XP_023179814.1|DHYD
OG0000016	LOC119551792|XP_037717267.1|DSUP	LOC111602093|XP_023174795.1|DHYD
OG0000016	LOC119560636|XP_037730116.1|DSUP	LOC111598341|XP_023169316.1|DHYD
OG0000016	LOC119549928|XP_037714197.1|DSUP, LOC119549685|XP_037713828.1|DSUP	LOC111592540|XP_023160594.1|DHYD
OG0000016	LOC119557630|XP_037726388.1|DSUP	LOC111597353|XP_023167768.1|DHYD
OG0000016	LOC119559471|XP_037728511.1|DSUP	LOC111603208|XP_023176475.1|DHYD
OG0000016	LOC119561925|XP_037731293.1|DSUP	LOC111595218|XP_023164600.1|DHYD
OG0000016	LOC119555565|XP_037722943.1|DSUP	LOC111599234|XP_023170599.1|DHYD
OG0000017	LOC119562617|XP_037731769.1|DSUP, LOC119562618|XP_037731771.1|DSUP	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD
OG0000017	LOC119552736|XP_037718429.1|DSUP	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD
OG0000017	LOC119550337|XP_037714884.1|DSUP, LOC119558631|XP_037727964.1|DSUP	LOC111603822|XP_023177351.2|DHYD
OG0000017	LOC119562595|XP_037731744.1|DSUP	LOC111600903|XP_030081002.1|DHYD
OG0000017	LOC119546290|XP_037708399.1|DSUP	LOC111595834|XP_023165510.2|DHYD
OG0000018	LOC119554781|XP_037721753.1|DSUP	LOC111600492|XP_023172388.2|DHYD
OG0000018	LOC119554782|XP_037721754.1|DSUP	LOC111600507|XP_023172403.1|DHYD
OG0000018	LOC119554784|XP_037721757.1|DSUP	LOC111600497|XP_023172393.2|DHYD
OG0000019	LOC119545699|XP_037707379.1|DSUP	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD
OG0000019	LOC119553849|XP_037720426.1|DSUP	LOC111598920|XP_023170158.2|DHYD
OG0000019	LOC119545700|XP_037707380.1|DSUP	LOC111603248|XP_023176523.1|DHYD
OG0000019	LOC119545696|XP_037707377.1|DSUP, LOC119545697|XP_037707378.1|DSUP	LOC111598923|XP_023170162.2|DHYD
OG0000020	LOC119551011|XP_037715994.1|DSUP	LOC111594494|XP_030080618.1|DHYD
OG0000020	LOC119549986|XP_037714317.1|DSUP	LOC111593180|XP_023161558.2|DHYD
OG0000020	LOC119546352|XP_037708508.1|DSUP, LOC119548418|XP_037711587.1|DSUP, LOC119560332|XP_037729650.1|DSUP, LOC119546657|XP_037709040.1|DSUP, LOC119546786|XP_037709271.1|DSUP, LOC119550100|XP_037714508.1|DSUP, LOC119546737|XP_037709159.1|DSUP	LOC111598962|XP_023170216.2|DHYD
OG0000020	LOC119561092|XP_037730913.1|DSUP	LOC111596686|XP_023166760.2|DHYD
OG0000020	LOC119556769|XP_037725126.1|DSUP	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD
OG0000020	LOC119547825|XP_037710775.1|DSUP, LOC119546570|XP_037708891.1|DSUP	LOC111598978|XP_030080535.1|DHYD
OG0000021	LOC119548675|XP_037712046.1|DSUP	LOC111601219|XP_023173482.1|DHYD
OG0000021	LOC119549002|XP_037712540.1|DSUP	LOC111601270|XP_023173549.2|DHYD
OG0000021	LOC119550684|XP_037715475.1|DSUP	LOC111596996|XP_023167262.1|DHYD
OG0000021	LOC119550497|XP_037715116.1|DSUP	LOC111600652|XP_023172641.1|DHYD
OG0000021	LOC119556017|XP_037723717.1|DSUP	LOC111602062|XP_023174743.2|DHYD
OG0000021	LOC119552371|XP_037718001.1|DSUP	LOC111593360|XP_023161841.1|DHYD
OG0000021	LOC119560336|XP_037729656.1|DSUP	LOC111601414|XP_023173744.1|DHYD
OG0000021	LOC119555956|XP_037723602.1|DSUP	LOC111604024|XP_023177648.1|DHYD
OG0000022	LOC119550370|XP_037714944.1|DSUP	LOC111595585|XP_023165164.2|DHYD
OG0000022	LOC119555582|XP_037722984.1|DSUP, LOC119555585|XP_037722986.1|DSUP, LOC119555586|XP_037722987.1|DSUP	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD
OG0000023	LOC119559792|XP_037728800.1|DSUP, LOC119559788|XP_037728797.1|DSUP	LOC111602788|XP_023175829.2|DHYD
OG0000023	LOC119559786|XP_037728794.1|DSUP	LOC111602703|XP_023175706.2|DHYD
OG0000023	LOC119559783|XP_037728790.1|DSUP	LOC111602748|XP_023175768.2|DHYD
OG0000023	LOC119550999|XP_037715976.1|DSUP	LOC111600543|XP_023172455.2|DHYD
OG0000023	LOC119559784|XP_037728792.1|DSUP	LOC111602765|XP_023175792.2|DHYD
OG0000023	LOC119559779|XP_037728786.1|DSUP	LOC111602764|XP_023175791.1|DHYD
OG0000023	LOC119559782|XP_037728789.1|DSUP	LOC111602801|XP_023175861.1|DHYD
OG0000023	LOC119559778|XP_037728785.1|DSUP	LOC111602761|XP_023175787.2|DHYD
OG0000023	LOC119559785|XP_037728793.1|DSUP	LOC111602800|XP_023175857.2|DHYD
OG0000024	LOC119551120|XP_037716232.1|DSUP, LOC119549911|XP_037714159.1|DSUP, LOC119552112|XP_037717826.1|DSUP, LOC119551714|XP_037717116.1|DSUP	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD
OG0000024	LOC119551121|XP_037716233.1|DSUP	LOC111592141|XP_023159955.2|DHYD
OG0000024	LOC119548131|XP_037711156.1|DSUP, LOC119548130|XP_037711155.1|DSUP, LOC119546161|XP_037708208.1|DSUP, LOC119548129|XP_037711154.1|DSUP	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD
OG0000024	LOC119551919|XP_037717477.1|DSUP	LOC111598026|XP_023168817.2|DHYD
OG0000025	LOC119556135|XP_037723954.1|DSUP	LOC111599384|XP_023170789.1|DHYD
OG0000025	LOC119559590|XP_037728532.1|DSUP, LOC119559601|XP_037728544.1|DSUP, LOC119561449|XP_037731029.1|DSUP, LOC119561527|XP_037731107.1|DSUP, LOC119559244|XP_037728243.1|DSUP	LOC115483232|XP_030080436.1|DHYD
OG0000025	LOC119561445|XP_037731026.1|DSUP, LOC119561446|XP_037731027.1|DSUP, LOC119546077|XP_037708082.1|DSUP	LOC115482900|XP_030079008.1|DHYD
OG0000026	LOC119557908|XP_037726842.1|DSUP	LOC111600180|XP_023171950.2|DHYD
OG0000026	LOC119547110|XP_037709748.1|DSUP	LOC111596354|XP_023166318.1|DHYD
OG0000026	LOC119560123|XP_037729401.1|DSUP	LOC111602647|XP_023175583.2|DHYD
OG0000027	LOC119548404|XP_037711568.1|DSUP	LOC111599153|XP_023170492.2|DHYD
OG0000027	LOC119548409|XP_037711576.1|DSUP	LOC111595849|XP_023165527.1|DHYD
OG0000027	LOC119548453|XP_037711645.1|DSUP	LOC111599119|XP_023170448.2|DHYD
OG0000028	LOC119555148|XP_037722304.1|DSUP	LOC111605074|XP_023179176.1|DHYD, LOC111605073|XP_030081295.1|DHYD
OG0000028	LOC119555138|XP_037722293.1|DSUP	LOC111605107|XP_023179216.2|DHYD
OG0000029	LOC119548587|XP_037711848.1|DSUP, LOC119560689|XP_037730195.1|DSUP	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD
OG0000029	LOC119554065|XP_037720734.1|DSUP	LOC111599253|XP_023170620.2|DHYD
OG0000030	LOC119547225|XP_037709914.1|DSUP	LOC111603775|XP_023177278.2|DHYD
OG0000030	LOC119546258|XP_037708345.1|DSUP, LOC119546257|XP_037708344.1|DSUP	LOC111596081|XP_023165908.2|DHYD
OG0000030	LOC119558624|XP_037727958.1|DSUP, LOC119549822|XP_037714028.1|DSUP, LOC119550805|XP_037715669.1|DSUP, LOC119558621|XP_037727957.1|DSUP	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD
OG0000030	LOC119557894|XP_037726826.1|DSUP	LOC111596747|XP_030080079.1|DHYD
OG0000030	LOC119556830|XP_037725216.1|DSUP	LOC111598248|XP_023169180.2|DHYD
OG0000031	LOC119546941|XP_037709506.1|DSUP, LOC119546197|XP_037708251.1|DSUP, LOC119548227|XP_037711293.1|DSUP	LOC111596192|XP_023166065.2|DHYD
OG0000031	LOC119547774|XP_037710713.1|DSUP, LOC119546228|XP_037708296.1|DSUP, LOC119552950|XP_037718858.1|DSUP, LOC119547137|XP_037709777.1|DSUP, LOC119548228|XP_037711295.1|DSUP	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD
OG0000031	LOC119548568|XP_037711813.1|DSUP, LOC119546475|XP_037708689.1|DSUP, LOC119546474|XP_037708687.1|DSUP	LOC111594664|XP_023163834.1|DHYD
OG0000032	LOC119559763|XP_037728765.1|DSUP	LOC111599037|XP_023170323.1|DHYD
OG0000032	LOC119559968|XP_037729132.1|DSUP, LOC119559770|XP_037728775.1|DSUP, LOC119559771|XP_037728776.1|DSUP, LOC119560219|XP_037729506.1|DSUP	LOC111599021|XP_023170312.2|DHYD
OG0000032	LOC119560574|XP_037730023.1|DSUP, LOC119559967|XP_037729131.1|DSUP	LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD
OG0000033	LOC119554734|XP_037721683.1|DSUP, LOC119551151|XP_037716271.1|DSUP, LOC119546299|XP_037708415.1|DSUP, LOC119546423|XP_037708616.1|DSUP, LOC119547670|XP_037710556.1|DSUP, LOC119546302|XP_037708421.1|DSUP, LOC119551206|XP_037716367.1|DSUP, LOC119551207|XP_037716368.1|DSUP	LOC111599962|XP_023171625.2|DHYD
OG0000033	LOC119551205|XP_037716366.1|DSUP	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD
OG0000034	LOC119548454|XP_037711646.1|DSUP	LOC111602472|XP_023175302.2|DHYD
OG0000034	LOC119547534|XP_037710356.1|DSUP	LOC111602462|XP_023175290.2|DHYD
OG0000034	LOC119546951|XP_037709518.1|DSUP	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD
OG0000036	LOC119560416|XP_037729780.1|DSUP	LOC111602683|XP_023175671.1|DHYD
OG0000036	LOC119555899|XP_037723507.1|DSUP	LOC111602776|XP_023175811.1|DHYD
OG0000036	LOC119560377|XP_037729713.1|DSUP	LOC111602665|XP_023175617.1|DHYD
OG0000036	LOC119545810|XP_037707622.1|DSUP	LOC111601529|XP_023173926.1|DHYD
OG0000037	LOC119549907|XP_037714155.1|DSUP	LOC111604322|XP_030081296.1|DHYD
OG0000037	LOC119560063|XP_037729297.1|DSUP, LOC119560052|XP_037729285.1|DSUP, LOC119559867|XP_037728904.1|DSUP	LOC111601750|XP_023174255.2|DHYD
OG0000038	LOC119555136|XP_037722291.1|DSUP	LOC111605099|XP_023179209.2|DHYD
OG0000038	LOC119555124|XP_037722276.1|DSUP	LOC111605094|XP_023179201.2|DHYD
OG0000039	LOC119560141|XP_037729421.1|DSUP	LOC111599549|XP_023170981.2|DHYD
OG0000039	LOC119556467|XP_037724643.1|DSUP	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD
OG0000039	LOC119556870|XP_037725271.1|DSUP	LOC111602852|XP_023175933.1|DHYD
OG0000039	LOC119555839|XP_037723395.1|DSUP	LOC111592722|XP_023160878.1|DHYD
OG0000040	LOC119556456|XP_037724634.1|DSUP, LOC119563112|XP_037732283.1|DSUP	LOC111604247|XP_023178000.2|DHYD
OG0000040	LOC119563113|XP_037732284.1|DSUP	LOC111604248|XP_023178001.2|DHYD
OG0000040	LOC119556472|XP_037724654.1|DSUP, LOC119556489|XP_037724679.1|DSUP, LOC119556482|XP_037724666.1|DSUP, LOC119555315|XP_037722571.1|DSUP	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD
OG0000040	LOC119552243|XP_037717993.1|DSUP	LOC111604211|XP_023177942.2|DHYD
OG0000040	LOC119546490|XP_037708720.1|DSUP	LOC111594486|XP_023163562.2|DHYD
OG0000041	LOC119554437|XP_037721279.1|DSUP, LOC119554447|XP_037721290.1|DSUP, LOC119562401|XP_037731528.1|DSUP, LOC119550675|XP_037715466.1|DSUP, LOC119550683|XP_037715478.1|DSUP	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD
OG0000042	LOC119551176|XP_037716303.1|DSUP, LOC119551178|XP_037716307.1|DSUP, LOC119551177|XP_037716304.1|DSUP, LOC119549542|XP_037713620.1|DSUP, LOC119549541|XP_037713619.1|DSUP, LOC119549540|XP_037713618.1|DSUP, LOC119549537|XP_037713608.1|DSUP	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD
OG0000042	LOC119551182|XP_037716311.1|DSUP	LOC111598606|XP_023169706.2|DHYD
OG0000043	LOC119562926|XP_037732005.1|DSUP	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD
OG0000043	LOC119563115|XP_037732286.1|DSUP	LOC111600264|XP_023172080.2|DHYD
OG0000043	LOC119556175|XP_037724028.1|DSUP, LOC119563048|XP_037732184.1|DSUP	LOC111600256|XP_023172069.2|DHYD
OG0000043	LOC119556257|XP_037724233.1|DSUP, LOC119556250|XP_037724220.1|DSUP, LOC119554418|XP_037721239.1|DSUP, LOC119556264|XP_037724244.1|DSUP	LOC111600253|XP_023172066.2|DHYD
OG0000044	LOC119558156|XP_037727329.1|DSUP	LOC111604839|XP_023178838.2|DHYD
OG0000044	LOC119555966|XP_037723621.1|DSUP, LOC119555955|XP_037723600.1|DSUP	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD
OG0000044	LOC119563136|XP_037732321.1|DSUP	LOC111604847|XP_023178847.2|DHYD
OG0000044	LOC119548482|XP_037711687.1|DSUP	LOC111592024|XP_023159785.2|DHYD
OG0000045	LOC119553763|XP_037720298.1|DSUP	LOC111597387|XP_023167819.1|DHYD
OG0000045	LOC119552534|XP_037718081.1|DSUP, LOC119554143|XP_037720848.1|DSUP	LOC111597391|XP_023167823.1|DHYD
OG0000045	LOC119554102|XP_037720779.1|DSUP	LOC111597386|XP_023167816.1|DHYD
OG0000045	LOC119553760|XP_037720293.1|DSUP	LOC111597377|XP_023167802.1|DHYD
OG0000046	LOC119555986|XP_037723641.1|DSUP, LOC119555989|XP_037723648.1|DSUP	LOC111591975|XP_023159692.2|DHYD
OG0000046	LOC119556096|XP_037723888.1|DSUP, LOC119556859|XP_037725261.1|DSUP, LOC119553613|XP_037720003.1|DSUP, LOC119549774|XP_037713961.1|DSUP, LOC119558359|XP_037727794.1|DSUP, LOC119556004|XP_037723685.1|DSUP	LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD
OG0000047	LOC119550226|XP_037714721.1|DSUP	LOC111596622|XP_023166677.1|DHYD
OG0000047	LOC119550295|XP_037714817.1|DSUP	LOC111594123|XP_023163050.2|DHYD
OG0000047	LOC119559372|XP_037728340.1|DSUP	LOC111595469|XP_023165002.1|DHYD
OG0000047	LOC119559393|XP_037728384.1|DSUP	LOC111595525|XP_023165074.2|DHYD
OG0000048	LOC119553985|XP_037720620.1|DSUP, LOC119553987|XP_037720622.1|DSUP	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD
OG0000048	LOC119553986|XP_037720621.1|DSUP	LOC111604700|XP_023178641.1|DHYD
OG0000048	LOC119553984|XP_037720618.1|DSUP	LOC111604676|XP_023178606.1|DHYD
OG0000048	LOC119555323|XP_037722579.1|DSUP	LOC111604701|XP_023178642.1|DHYD
OG0000049	LOC119563293|XP_037732549.1|DSUP	LOC111594543|XP_023163663.2|DHYD
OG0000049	LOC119563399|XP_037732686.1|DSUP	LOC111594529|XP_023163631.2|DHYD
OG0000049	LOC119553498|XP_037719841.1|DSUP	LOC111594475|XP_023163544.1|DHYD
OG0000049	LOC119555370|XP_037722644.1|DSUP	LOC111594476|XP_023163545.2|DHYD
OG0000049	LOC119558111|XP_037727267.1|DSUP	LOC111594581|XP_023163706.2|DHYD
OG0000050	LOC119549468|XP_037713498.1|DSUP	LOC111592220|XP_023160064.2|DHYD
OG0000050	LOC119554992|XP_037722058.1|DSUP	LOC111597562|XP_023168129.2|DHYD
OG0000050	LOC119555302|XP_037722547.1|DSUP	LOC111597563|XP_023168130.1|DHYD
