Orthogroup	DSUP.longest_only	DPER.longest_only
OG0000006	LOC119548246|XP_037711314.1|DSUP	LOC113567419|XP_026850958.1|DPER
OG0000006	LOC119546623|XP_037708988.1|DSUP	LOC113565363|XP_026842914.1|DPER
OG0000006	LOC119559257|XP_037728256.1|DSUP	LOC113565364|XP_026842915.1|DPER, LOC113567237|XP_026850207.1|DPER, LOC113567385|XP_026850890.1|DPER, LOC113567411|XP_026850946.1|DPER
OG0000006	LOC119559184|XP_037728173.1|DSUP	LOC113567028|XP_026850039.1|DPER
OG0000006	LOC119559187|XP_037728176.1|DSUP	LOC6604120|XP_002029058.1|DPER
OG0000006	LOC119559259|XP_037728258.1|DSUP, LOC119547943|XP_037710919.1|DSUP	LOC113567402|XP_026850930.1|DPER
OG0000007	LOC119555653|XP_037723160.1|DSUP	LOC6595910|XP_002021056.1|DPER
OG0000007	LOC119554492|XP_037721353.1|DSUP	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER
OG0000007	LOC119554489|XP_037721348.1|DSUP	LOC6601482|XP_002026422.2|DPER
OG0000007	LOC119546692|XP_037709098.1|DSUP	LOC6596309|XP_002021479.1|DPER
OG0000007	LOC119550735|XP_037715578.1|DSUP	LOC6592462|XP_002017797.1|DPER
OG0000007	LOC119546891|XP_037709439.1|DSUP	LOC6596310|XP_002021480.2|DPER
OG0000007	LOC119553445|XP_037719763.1|DSUP	LOC6601214|XP_002026310.2|DPER
OG0000007	LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP	LOC6589529|XP_002015017.1|DPER
OG0000007	LOC119554496|XP_037721356.1|DSUP	LOC6601458|XP_026847765.1|DPER
OG0000008	LOC119559922|XP_037729053.1|DSUP	LOC6594328|XP_026850351.1|DPER
OG0000008	LOC119554295|XP_037721083.1|DSUP	LOC6601897|XP_026849381.1|DPER
OG0000008	LOC119554293|XP_037721080.1|DSUP	LOC6601898|XP_002026947.1|DPER
OG0000008	LOC119546547|XP_037708827.1|DSUP	LOC6595506|XP_002020611.1|DPER
OG0000008	LOC119554296|XP_037721084.1|DSUP	LOC113566715|XP_026849382.1|DPER
OG0000008	LOC119560392|XP_037729748.1|DSUP, LOC119560143|XP_037729425.1|DSUP	LOC6591821|XP_002016971.2|DPER, LOC6591446|XP_026851133.1|DPER
OG0000008	LOC119560395|XP_037729751.1|DSUP	LOC6591826|XP_002016976.2|DPER
OG0000008	LOC119560394|XP_037729750.1|DSUP	LOC6591825|XP_026846385.1|DPER
OG0000008	LOC119560107|XP_037729380.1|DSUP	LOC6591827|XP_002016977.1|DPER
OG0000009	LOC119560146|XP_037729428.1|DSUP	LOC6594636|XP_026850331.1|DPER
OG0000009	LOC119560480|XP_037729870.1|DSUP	LOC6594634|XP_002019930.1|DPER
OG0000009	LOC119560408|XP_037729769.1|DSUP, LOC119560481|XP_037729871.1|DSUP	LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER
OG0000009	LOC119550480|XP_037715097.1|DSUP	LOC6601280|XP_026841960.1|DPER
OG0000009	LOC119560195|XP_037729489.1|DSUP	LOC6591389|XP_002017359.1|DPER
OG0000009	LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP	LOC6590982|XP_002016547.1|DPER
OG0000009	LOC119547540|XP_037710365.1|DSUP, LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP	LOC6590981|XP_002016546.2|DPER
OG0000010	LOC119559209|XP_037728208.1|DSUP, LOC119547995|XP_037710980.1|DSUP, LOC119547946|XP_037710924.1|DSUP, LOC119559220|XP_037728219.1|DSUP, LOC119559208|XP_037728207.1|DSUP	LOC113567423|XP_026850962.1|DPER
OG0000010	LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP	LOC113567415|XP_026850950.1|DPER
OG0000010	LOC119548250|XP_037711321.1|DSUP	LOC113567250|XP_026850220.1|DPER
OG0000011	LOC119548026|XP_037711028.1|DSUP, LOC119547062|XP_037709672.1|DSUP, LOC119558003|XP_037727039.1|DSUP, LOC119548095|XP_037711111.1|DSUP, LOC119548094|XP_037711110.1|DSUP, LOC119548461|XP_037711657.1|DSUP, LOC119548363|XP_037711507.1|DSUP, LOC119548364|XP_037711508.1|DSUP, LOC119546642|XP_037709016.1|DSUP, LOC119546643|XP_037709017.1|DSUP, LOC119548873|XP_037712431.1|DSUP, LOC119546938|XP_037709503.1|DSUP, LOC119555043|XP_037722157.1|DSUP, LOC119555066|XP_037722201.1|DSUP, LOC119557843|XP_037726753.1|DSUP, LOC119560943|XP_037730609.1|DSUP, LOC119554642|XP_037721569.1|DSUP, LOC119560221|XP_037729507.1|DSUP, LOC119560941|XP_037730605.1|DSUP, LOC119553270|XP_037719489.1|DSUP, LOC119554912|XP_037721943.1|DSUP, LOC119555170|XP_037722349.1|DSUP, LOC119555608|XP_037723034.1|DSUP, LOC119546892|XP_037709441.1|DSUP, LOC119547187|XP_037709849.1|DSUP, LOC119548093|XP_037711109.1|DSUP, LOC119547435|XP_037710223.1|DSUP, LOC119546050|XP_037708041.1|DSUP, LOC119548232|XP_037711301.1|DSUP, LOC119547347|XP_037710088.1|DSUP, LOC119556682|XP_037724981.1|DSUP, LOC119556749|XP_037725099.1|DSUP	LOC113565949|XP_026845159.1|DPER, LOC113565829|XP_026844915.1|DPER, LOC113565667|XP_026844172.1|DPER, LOC6593932|XP_026844170.1|DPER, LOC113565666|XP_026844171.1|DPER, LOC6599995|XP_026849180.1|DPER, LOC6595356|XP_026844919.1|DPER, LOC113565950|XP_026845160.1|DPER, LOC113565828|XP_026844914.1|DPER, LOC6595358|XP_026845178.1|DPER, LOC113565831|XP_026844923.1|DPER, LOC113565733|XP_026844523.1|DPER, LOC6595426|XP_002020848.1|DPER, LOC6595439|XP_002020860.2|DPER, LOC113565830|XP_026844917.1|DPER, LOC6595395|XP_026844752.1|DPER, LOC6595396|XP_026844748.1|DPER, LOC6595365|XP_002020801.1|DPER, LOC6595397|XP_026844754.1|DPER, LOC6595392|XP_026844750.1|DPER, LOC6595366|XP_002020802.2|DPER, LOC6595391|XP_026844351.1|DPER
OG0000011	LOC119554627|XP_037721551.1|DSUP	LOC6591700|XP_002017271.1|DPER, LOC6599732|XP_002024837.1|DPER
OG0000011	LOC119555960|XP_037723606.1|DSUP, LOC119554626|XP_037721550.1|DSUP	LOC6599733|XP_002024838.2|DPER
OG0000011	LOC119554762|XP_037721730.1|DSUP	LOC6591544|XP_002017188.1|DPER
OG0000012	LOC119550822|XP_037715693.1|DSUP	LOC6589910|XP_026840670.1|DPER
OG0000012	LOC119550821|XP_037715691.1|DSUP	LOC6589909|XP_002016518.1|DPER
OG0000012	LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP	LOC6589908|XP_026841658.1|DPER
OG0000012	LOC119551494|XP_037716788.1|DSUP	LOC6589911|XP_026840671.1|DPER
OG0000012	LOC119550209|XP_037714688.1|DSUP, LOC119551068|XP_037716119.1|DSUP, LOC119551074|XP_037716130.1|DSUP	LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER
OG0000012	LOC119551639|XP_037716997.1|DSUP, LOC119550378|XP_037714954.1|DSUP	LOC6589912|XP_002016521.1|DPER
OG0000012	LOC119549965|XP_037714285.1|DSUP	LOC6590586|XP_002016525.1|DPER
OG0000012	LOC119551851|XP_037717353.1|DSUP	LOC6590587|XP_002016526.1|DPER
OG0000012	LOC119551850|XP_037717352.1|DSUP, LOC119550449|XP_037715053.1|DSUP	LOC6590588|XP_002016527.1|DPER
OG0000012	LOC119551476|XP_037716767.1|DSUP	LOC6590215|XP_002016528.1|DPER
OG0000012	LOC119551477|XP_037716768.1|DSUP	LOC6590216|XP_002016529.1|DPER
OG0000013	LOC119549437|XP_037713458.1|DSUP	LOC6600889|XP_026840828.1|DPER
OG0000013	LOC119558255|XP_037727511.1|DSUP	LOC6598353|XP_002023428.2|DPER
OG0000013	LOC119563541|XP_037732953.1|DSUP	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER
OG0000013	LOC119555401|XP_037722683.1|DSUP	LOC6602278|XP_002027327.1|DPER
OG0000013	LOC119556345|XP_037724379.1|DSUP	LOC113564954|XP_026840479.1|DPER
OG0000013	LOC119545787|XP_037707587.1|DSUP	LOC6587278|XP_002013456.1|DPER, LOC6588391|XP_002013455.2|DPER
OG0000013	LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP	LOC6598714|XP_002023893.1|DPER, LOC6598715|XP_026850871.1|DPER
OG0000015	LOC119550622|XP_037715380.1|DSUP	LOC113565410|XP_026843113.1|DPER, LOC6593385|XP_002019084.1|DPER
OG0000016	LOC119560964|XP_037730645.1|DSUP	LOC6587871|XP_002013173.2|DPER
OG0000016	LOC119551792|XP_037717267.1|DSUP	LOC6593077|XP_002017890.1|DPER
OG0000016	LOC119560636|XP_037730116.1|DSUP	LOC6587678|XP_002013954.1|DPER
OG0000016	LOC119549928|XP_037714197.1|DSUP, LOC119549685|XP_037713828.1|DSUP	LOC6601585|XP_002026606.2|DPER
OG0000016	LOC119557630|XP_037726388.1|DSUP	LOC6599243|XP_002024300.1|DPER
OG0000016	LOC119559471|XP_037728511.1|DSUP	LOC6592910|XP_002018578.1|DPER
OG0000016	LOC119561925|XP_037731293.1|DSUP	LOC6587745|XP_026840230.1|DPER
OG0000016	LOC119555565|XP_037722943.1|DSUP	LOC6602189|XP_026848039.1|DPER
OG0000017	LOC119555819|XP_037723364.1|DSUP	LOC6598163|XP_026846248.1|DPER
OG0000017	LOC119549290|XP_037713167.1|DSUP	LOC6590466|XP_002016652.1|DPER
OG0000017	LOC119562617|XP_037731769.1|DSUP, LOC119562618|XP_037731771.1|DSUP	LOC6602148|XP_002027095.1|DPER, LOC6602132|XP_002027094.1|DPER
OG0000017	LOC119552736|XP_037718429.1|DSUP	LOC6591189|XP_002015913.2|DPER, LOC6594928|XP_002020025.1|DPER
OG0000017	LOC119550337|XP_037714884.1|DSUP, LOC119558631|XP_037727964.1|DSUP	LOC6592612|XP_002018160.1|DPER
OG0000017	LOC119562595|XP_037731744.1|DSUP	LOC6602127|XP_002027093.1|DPER
OG0000017	LOC119558630|XP_037727962.1|DSUP, LOC119550336|XP_037714883.1|DSUP	LOC6592611|XP_002018159.1|DPER
OG0000017	LOC119546290|XP_037708399.1|DSUP	LOC6595669|XP_002020729.1|DPER, LOC6595691|XP_002020717.1|DPER
OG0000018	LOC119554781|XP_037721753.1|DSUP	LOC6601448|XP_002026450.1|DPER
OG0000018	LOC119554782|XP_037721754.1|DSUP	LOC6601451|XP_002026453.1|DPER
OG0000018	LOC119554784|XP_037721757.1|DSUP	LOC6601450|XP_002026452.1|DPER
OG0000018	LOC119553876|XP_037720463.1|DSUP, LOC119553875|XP_037720461.1|DSUP, LOC119553877|XP_037720464.1|DSUP, LOC119553878|XP_037720465.1|DSUP, LOC119552517|XP_037718063.1|DSUP, LOC119552516|XP_037718062.1|DSUP	LOC6601447|XP_002026449.1|DPER, LOC6601443|XP_002026445.1|DPER, LOC6601446|XP_002026448.1|DPER, LOC6601444|XP_002026446.1|DPER
OG0000019	LOC119545699|XP_037707379.1|DSUP	LOC6587177|XP_002013000.1|DPER, LOC6587211|XP_002013001.2|DPER, LOC113564910|XP_026840077.1|DPER
OG0000019	LOC119553849|XP_037720426.1|DSUP	LOC6588514|XP_002012998.2|DPER
OG0000019	LOC119545700|XP_037707380.1|DSUP	LOC6587186|XP_002012999.1|DPER
OG0000019	LOC119545696|XP_037707377.1|DSUP, LOC119545697|XP_037707378.1|DSUP	LOC6587637|XP_002013003.2|DPER, LOC6587295|XP_002013004.1|DPER, LOC6587205|XP_002013002.1|DPER
OG0000020	LOC119551011|XP_037715994.1|DSUP	LOC6594838|XP_002020242.2|DPER
OG0000020	LOC119549986|XP_037714317.1|DSUP	LOC6590666|XP_002015941.1|DPER
OG0000020	LOC119546352|XP_037708508.1|DSUP, LOC119548418|XP_037711587.1|DSUP, LOC119560332|XP_037729650.1|DSUP, LOC119546657|XP_037709040.1|DSUP, LOC119546786|XP_037709271.1|DSUP, LOC119550100|XP_037714508.1|DSUP, LOC119546737|XP_037709159.1|DSUP	LOC6589657|XP_002014518.1|DPER
OG0000020	LOC119561092|XP_037730913.1|DSUP	LOC6594627|XP_026850533.1|DPER
OG0000020	LOC119556769|XP_037725126.1|DSUP	LOC6594128|XP_002019432.1|DPER
OG0000020	LOC119547825|XP_037710775.1|DSUP	LOC6593366|XP_002018585.1|DPER
OG0000020	LOC119546570|XP_037708891.1|DSUP	LOC6589656|XP_026844645.1|DPER
OG0000021	LOC119548675|XP_037712046.1|DSUP	LOC6592713|XP_002018080.1|DPER
OG0000021	LOC119549002|XP_037712540.1|DSUP	LOC6592588|XP_002018070.2|DPER
OG0000021	LOC119550684|XP_037715475.1|DSUP	LOC6592233|XP_002018052.1|DPER
OG0000021	LOC119550497|XP_037715116.1|DSUP	LOC6597480|XP_002022716.1|DPER, LOC6597528|XP_002022710.1|DPER
OG0000021	LOC119556017|XP_037723717.1|DSUP	LOC6599244|XP_026848260.1|DPER
OG0000021	LOC119552371|XP_037718001.1|DSUP	LOC113565817|XP_026844838.1|DPER
OG0000021	LOC119560336|XP_037729656.1|DSUP	LOC6598730|XP_026840231.1|DPER
OG0000021	LOC119555956|XP_037723602.1|DSUP	LOC6597578|XP_026848930.1|DPER
OG0000022	LOC119550370|XP_037714944.1|DSUP	LOC6593244|XP_026840814.1|DPER
OG0000022	LOC119553490|XP_037719826.1|DSUP, LOC119555408|XP_037722693.1|DSUP	LOC6601032|XP_002026120.1|DPER
OG0000022	LOC119555582|XP_037722984.1|DSUP, LOC119555585|XP_037722986.1|DSUP, LOC119555586|XP_037722987.1|DSUP	LOC6601031|XP_002026119.1|DPER, LOC6601062|XP_002026117.2|DPER, LOC6601060|XP_002026115.1|DPER
OG0000022	LOC119555581|XP_037722982.1|DSUP, LOC119555583|XP_037722985.1|DSUP	LOC113566793|XP_026849743.1|DPER
OG0000022	LOC119555580|XP_037722981.1|DSUP	LOC113566797|XP_026849748.1|DPER
OG0000023	LOC119559780|XP_037728787.1|DSUP	LOC6594351|XP_026840807.1|DPER
OG0000023	LOC119559792|XP_037728800.1|DSUP, LOC119559788|XP_037728797.1|DSUP	LOC6594350|XP_002019529.2|DPER
OG0000023	LOC119559786|XP_037728794.1|DSUP	LOC6594355|XP_002019534.1|DPER
OG0000023	LOC119559783|XP_037728790.1|DSUP	LOC6594114|XP_002019536.2|DPER
OG0000023	LOC119550999|XP_037715976.1|DSUP	LOC6590773|XP_002016461.1|DPER
OG0000023	LOC119559784|XP_037728792.1|DSUP	LOC6594113|XP_002019535.2|DPER
OG0000023	LOC119559782|XP_037728789.1|DSUP	LOC6594346|XP_002019525.2|DPER
OG0000023	LOC119559778|XP_037728785.1|DSUP	LOC6594348|XP_002019527.1|DPER
OG0000023	LOC119559785|XP_037728793.1|DSUP	LOC6594344|XP_002019523.1|DPER
OG0000024	LOC119551714|XP_037717116.1|DSUP	LOC6592579|XP_002017744.1|DPER
OG0000024	LOC119551121|XP_037716233.1|DSUP	LOC6592578|XP_002017743.2|DPER
OG0000024	LOC119548131|XP_037711156.1|DSUP, LOC119548130|XP_037711155.1|DSUP, LOC119546161|XP_037708208.1|DSUP, LOC119548129|XP_037711154.1|DSUP	LOC6593580|XP_002018871.1|DPER
OG0000024	LOC119551919|XP_037717477.1|DSUP	LOC6591036|XP_002016629.1|DPER
OG0000025	LOC119556135|XP_037723954.1|DSUP	LOC6596516|XP_002021511.1|DPER, LOC6599955|XP_002025032.1|DPER
OG0000025	LOC119561532|XP_037731111.1|DSUP, LOC119559590|XP_037728532.1|DSUP, LOC119559601|XP_037728544.1|DSUP, LOC119561449|XP_037731029.1|DSUP, LOC119561527|XP_037731107.1|DSUP, LOC119559244|XP_037728243.1|DSUP	LOC6604122|XP_002029055.1|DPER
OG0000025	LOC119546077|XP_037708082.1|DSUP	LOC113567384|XP_026850889.1|DPER, LOC113567392|XP_026850909.1|DPER
OG0000026	LOC119557908|XP_037726842.1|DSUP	LOC6598208|XP_002023333.1|DPER
OG0000026	LOC119547110|XP_037709748.1|DSUP	LOC6589226|XP_002014215.1|DPER
OG0000026	LOC119557301|XP_037725939.1|DSUP	LOC6600343|XP_026848406.1|DPER
OG0000026	LOC119561040|XP_037730797.1|DSUP	LOC6587226|XP_002013258.1|DPER, LOC6587539|XP_002013259.1|DPER, LOC6587439|XP_026847477.1|DPER
OG0000026	LOC119560123|XP_037729401.1|DSUP	LOC6598768|XP_002023910.1|DPER
OG0000027	LOC119548404|XP_037711568.1|DSUP	LOC6589175|XP_002014624.1|DPER
OG0000027	LOC119548409|XP_037711576.1|DSUP	LOC6589890|XP_026844932.1|DPER
OG0000027	LOC119548453|XP_037711645.1|DSUP	LOC6589176|XP_002014625.1|DPER
OG0000028	LOC119555148|XP_037722304.1|DSUP	LOC6602403|XP_002027408.2|DPER, LOC113566574|XP_026848581.1|DPER, LOC113566575|XP_026848582.1|DPER
OG0000028	LOC119555138|XP_037722293.1|DSUP	LOC6602374|XP_026848578.1|DPER
OG0000028	LOC119554646|XP_037721574.1|DSUP	LOC6599696|XP_002024949.1|DPER
OG0000029	LOC119550971|XP_037715934.1|DSUP, LOC119549481|XP_037713512.1|DSUP, LOC119546385|XP_037708552.1|DSUP	LOC6592269|XP_002017847.2|DPER
OG0000029	LOC119548587|XP_037711848.1|DSUP, LOC119560689|XP_037730195.1|DSUP	LOC6587627|XP_026841612.1|DPER
OG0000029	LOC119554065|XP_037720734.1|DSUP	LOC6599019|XP_002024136.1|DPER
OG0000030	LOC119547225|XP_037709914.1|DSUP	LOC6595505|XP_002020610.1|DPER
OG0000030	LOC119546122|XP_037708143.1|DSUP	LOC6595503|XP_002020608.1|DPER
OG0000030	LOC119547226|XP_037709915.1|DSUP	LOC6595502|XP_002020607.1|DPER, LOC6595504|XP_002020609.1|DPER
OG0000030	LOC119546258|XP_037708345.1|DSUP, LOC119546257|XP_037708344.1|DSUP	LOC6596396|XP_002021549.2|DPER
OG0000030	LOC119558624|XP_037727958.1|DSUP, LOC119549822|XP_037714028.1|DSUP, LOC119550805|XP_037715669.1|DSUP, LOC119558621|XP_037727957.1|DSUP	LOC6592616|XP_002018164.1|DPER
OG0000030	LOC119557894|XP_037726826.1|DSUP	LOC6600142|XP_002025259.1|DPER
OG0000030	LOC119556830|XP_037725216.1|DSUP	LOC6597331|XP_002022519.1|DPER
OG0000031	LOC119546941|XP_037709506.1|DSUP, LOC119546197|XP_037708251.1|DSUP, LOC119548227|XP_037711293.1|DSUP	LOC6603379|XP_002028365.1|DPER
OG0000031	LOC119552950|XP_037718858.1|DSUP, LOC119547137|XP_037709777.1|DSUP	LOC6596433|XP_002021831.1|DPER, LOC6596572|XP_002021833.1|DPER, LOC6596432|XP_002021830.2|DPER
OG0000031	LOC119548568|XP_037711813.1|DSUP, LOC119546475|XP_037708689.1|DSUP, LOC119546474|XP_037708687.1|DSUP	LOC6589468|XP_002014413.1|DPER
OG0000032	LOC119559763|XP_037728765.1|DSUP	LOC6598612|XP_002023857.1|DPER
OG0000032	LOC119559968|XP_037729132.1|DSUP	LOC6598613|XP_002023858.2|DPER
OG0000032	LOC119560574|XP_037730023.1|DSUP	LOC6598616|XP_002023861.1|DPER
OG0000032	LOC119559967|XP_037729131.1|DSUP	LOC6598615|XP_002023860.1|DPER
OG0000033	LOC119552590|XP_037718157.1|DSUP, LOC119552614|XP_037718209.1|DSUP, LOC119563311|XP_037732572.1|DSUP	LOC6594755|XP_002020092.1|DPER
OG0000033	LOC119551206|XP_037716367.1|DSUP	LOC6590958|XP_002015543.1|DPER
OG0000033	LOC119551205|XP_037716366.1|DSUP	LOC6590962|XP_002015544.1|DPER
OG0000033	LOC119552692|XP_037718345.1|DSUP, LOC119560194|XP_037729486.1|DSUP, LOC119549869|XP_037714095.1|DSUP, LOC119549868|XP_037714094.1|DSUP, LOC119549866|XP_037714089.1|DSUP	LOC6598819|XP_002023931.1|DPER
OG0000034	LOC119548454|XP_037711646.1|DSUP	LOC6589244|XP_002014736.2|DPER
OG0000034	LOC119547534|XP_037710356.1|DSUP	LOC6589242|XP_002014734.1|DPER
OG0000034	LOC119546306|XP_037708427.1|DSUP, LOC119563012|XP_037732131.1|DSUP, LOC119552157|XP_037717904.1|DSUP, LOC119563011|XP_037732130.1|DSUP	LOC6593810|XP_002019277.1|DPER, LOC6593809|XP_002019276.1|DPER
OG0000034	LOC119546951|XP_037709518.1|DSUP	LOC6593808|XP_026844827.1|DPER
OG0000035	LOC119562531|XP_037731651.1|DSUP	LOC113566113|XP_026846027.1|DPER
OG0000036	LOC119560416|XP_037729780.1|DSUP	LOC6594433|XP_002019545.1|DPER
OG0000036	LOC119555899|XP_037723507.1|DSUP	LOC6587691|XP_002013731.1|DPER
OG0000036	LOC119560377|XP_037729713.1|DSUP	LOC6594383|XP_002019297.1|DPER
OG0000036	LOC119545810|XP_037707622.1|DSUP	LOC6594996|XP_002020162.1|DPER
OG0000037	LOC119549907|XP_037714155.1|DSUP	LOC6590968|XP_002015904.2|DPER
OG0000037	LOC119560063|XP_037729297.1|DSUP, LOC119560052|XP_037729285.1|DSUP, LOC119559867|XP_037728904.1|DSUP	LOC6588198|XP_002012851.2|DPER, LOC6588191|XP_002012852.1|DPER, LOC6588222|XP_002012850.1|DPER, LOC6587269|XP_002012849.2|DPER
OG0000038	LOC119555136|XP_037722291.1|DSUP	LOC6602410|XP_002027415.1|DPER
OG0000038	LOC119555124|XP_037722276.1|DSUP	LOC6602412|XP_026848529.1|DPER
OG0000039	LOC119560141|XP_037729421.1|DSUP	LOC6591968|XP_026846968.1|DPER
OG0000039	LOC119556467|XP_037724643.1|DSUP	LOC6598396|XP_002023519.1|DPER
OG0000039	LOC119556870|XP_037725271.1|DSUP	LOC6598397|XP_002023520.1|DPER
OG0000039	LOC119555839|XP_037723395.1|DSUP	LOC6599449|XP_026847206.1|DPER
OG0000040	LOC119556456|XP_037724634.1|DSUP	LOC113566301|XP_026847173.1|DPER
OG0000040	LOC119563112|XP_037732283.1|DSUP	LOC6594423|XP_002019755.2|DPER, LOC6594424|XP_002019756.1|DPER, LOC6594425|XP_026850325.1|DPER, LOC113567269|XP_026850340.1|DPER
OG0000040	LOC119563113|XP_037732284.1|DSUP	LOC6594422|XP_002019754.1|DPER
OG0000040	LOC119556472|XP_037724654.1|DSUP, LOC119556489|XP_037724679.1|DSUP	LOC113566662|XP_026849040.1|DPER, LOC6591887|XP_026849046.1|DPER, LOC113566659|XP_026849033.1|DPER, LOC6591886|XP_026849059.1|DPER
OG0000040	LOC119556482|XP_037724666.1|DSUP, LOC119555315|XP_037722571.1|DSUP	LOC6594617|XP_002019840.1|DPER
