Orthogroup	DSUP.longest_only	CQUI.longest_only
OG0000008	LOC119554293|XP_037721080.1|DSUP	LOC6035807|XP_001845929.1|CQUI
OG0000008	LOC119546547|XP_037708827.1|DSUP	LOC6041962|XP_038113753.1|CQUI
OG0000008	LOC119554296|XP_037721084.1|DSUP	LOC6035809|XP_001845931.2|CQUI
OG0000009	LOC119560146|XP_037729428.1|DSUP, LOC119560480|XP_037729870.1|DSUP, LOC119545681|XP_037707348.1|DSUP, LOC119560408|XP_037729769.1|DSUP, LOC119560481|XP_037729871.1|DSUP, LOC119550480|XP_037715097.1|DSUP, LOC119560195|XP_037729489.1|DSUP, LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP, LOC119547540|XP_037710365.1|DSUP, LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI
OG0000010	LOC119548006|XP_037711002.1|DSUP, LOC119559210|XP_037728209.1|DSUP, LOC119548249|XP_037711319.1|DSUP, LOC119559206|XP_037728205.1|DSUP, LOC119559227|XP_037728225.1|DSUP, LOC119559209|XP_037728208.1|DSUP, LOC119547995|XP_037710980.1|DSUP, LOC119547946|XP_037710924.1|DSUP, LOC119559220|XP_037728219.1|DSUP, LOC119559208|XP_037728207.1|DSUP, LOC119559214|XP_037728212.1|DSUP, LOC119559211|XP_037728210.1|DSUP, LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP, LOC119559234|XP_037728233.1|DSUP, LOC119559207|XP_037728206.1|DSUP, LOC119547994|XP_037710979.1|DSUP, LOC119559212|XP_037728211.1|DSUP, LOC119559205|XP_037728203.1|DSUP	LOC6054618|XP_038112552.1|CQUI
OG0000010	LOC119548250|XP_037711321.1|DSUP	LOC6048215|XP_038112551.1|CQUI
OG0000010	LOC119547947|XP_037710925.1|DSUP	LOC6048602|XP_038111058.1|CQUI
OG0000010	LOC119559216|XP_037728214.1|DSUP	LOC119765466|XP_038105274.1|CQUI
OG0000012	LOC119550822|XP_037715693.1|DSUP, LOC119550821|XP_037715691.1|DSUP, LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP, LOC119551494|XP_037716788.1|DSUP, LOC119550209|XP_037714688.1|DSUP, LOC119551068|XP_037716119.1|DSUP, LOC119551074|XP_037716130.1|DSUP, LOC119551639|XP_037716997.1|DSUP, LOC119550378|XP_037714954.1|DSUP, LOC119549965|XP_037714285.1|DSUP, LOC119551851|XP_037717353.1|DSUP, LOC119551850|XP_037717352.1|DSUP, LOC119550449|XP_037715053.1|DSUP, LOC119551476|XP_037716767.1|DSUP, LOC119551477|XP_037716768.1|DSUP	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI
OG0000013	LOC119549437|XP_037713458.1|DSUP	LOC6035930|XP_001846040.1|CQUI
OG0000013	LOC119558255|XP_037727511.1|DSUP	LOC6034961|XP_038118728.1|CQUI
OG0000013	LOC119563541|XP_037732953.1|DSUP	LOC6041235|XP_001850527.1|CQUI
OG0000013	LOC119555401|XP_037722683.1|DSUP	LOC6038413|XP_001848218.2|CQUI
OG0000013	LOC119556345|XP_037724379.1|DSUP	LOC6047700|XP_038117441.1|CQUI
OG0000013	LOC119545787|XP_037707587.1|DSUP, LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP	LOC6047923|XP_001864910.2|CQUI
OG0000014	LOC119559720|XP_037728710.1|DSUP	LOC119766221|XP_038106588.1|CQUI
OG0000016	LOC119560964|XP_037730645.1|DSUP, LOC119551792|XP_037717267.1|DSUP	LOC6037346|XP_001847269.1|CQUI
OG0000016	LOC119560636|XP_037730116.1|DSUP	LOC6032259|XP_001842896.1|CQUI
OG0000016	LOC119557630|XP_037726388.1|DSUP	LOC6042744|XP_038105438.1|CQUI
OG0000016	LOC119555565|XP_037722943.1|DSUP	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI
OG0000018	LOC119554781|XP_037721753.1|DSUP	LOC6049793|XP_038119134.1|CQUI
OG0000019	LOC119545699|XP_037707379.1|DSUP, LOC119545701|XP_037707381.1|DSUP, LOC119545702|XP_037707383.1|DSUP, LOC119553849|XP_037720426.1|DSUP, LOC119545700|XP_037707380.1|DSUP, LOC119545696|XP_037707377.1|DSUP, LOC119545697|XP_037707378.1|DSUP	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI
OG0000020	LOC119551011|XP_037715994.1|DSUP, LOC119549986|XP_037714317.1|DSUP	LOC6039899|XP_001849397.1|CQUI
OG0000020	LOC119546352|XP_037708508.1|DSUP, LOC119548418|XP_037711587.1|DSUP, LOC119560332|XP_037729650.1|DSUP, LOC119546657|XP_037709040.1|DSUP, LOC119546786|XP_037709271.1|DSUP, LOC119550100|XP_037714508.1|DSUP, LOC119546737|XP_037709159.1|DSUP, LOC119561092|XP_037730913.1|DSUP, LOC119556769|XP_037725126.1|DSUP, LOC119547825|XP_037710775.1|DSUP, LOC119546570|XP_037708891.1|DSUP	LOC6036302|XP_038116279.1|CQUI
OG0000021	LOC119556017|XP_037723717.1|DSUP	LOC6033026|XP_038122145.1|CQUI
OG0000021	LOC119552371|XP_037718001.1|DSUP, LOC119560336|XP_037729656.1|DSUP, LOC119555956|XP_037723602.1|DSUP	LOC6039972|XP_001849462.1|CQUI
OG0000022	LOC119550370|XP_037714944.1|DSUP, LOC119553490|XP_037719826.1|DSUP, LOC119555408|XP_037722693.1|DSUP, LOC119555582|XP_037722984.1|DSUP, LOC119555585|XP_037722986.1|DSUP, LOC119555586|XP_037722987.1|DSUP, LOC119555581|XP_037722982.1|DSUP, LOC119555583|XP_037722985.1|DSUP, LOC119555580|XP_037722981.1|DSUP	LOC6037178|XP_001847112.1|CQUI
OG0000023	LOC119559780|XP_037728787.1|DSUP, LOC119559792|XP_037728800.1|DSUP, LOC119559788|XP_037728797.1|DSUP, LOC119559786|XP_037728794.1|DSUP, LOC119559783|XP_037728790.1|DSUP, LOC119550999|XP_037715976.1|DSUP, LOC119559784|XP_037728792.1|DSUP, LOC119559779|XP_037728786.1|DSUP, LOC119559782|XP_037728789.1|DSUP, LOC119559778|XP_037728785.1|DSUP, LOC119559785|XP_037728793.1|DSUP	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI
OG0000024	LOC119551120|XP_037716232.1|DSUP, LOC119549911|XP_037714159.1|DSUP, LOC119552112|XP_037717826.1|DSUP, LOC119551714|XP_037717116.1|DSUP, LOC119551121|XP_037716233.1|DSUP, LOC119548131|XP_037711156.1|DSUP, LOC119548130|XP_037711155.1|DSUP, LOC119546161|XP_037708208.1|DSUP, LOC119548129|XP_037711154.1|DSUP, LOC119551919|XP_037717477.1|DSUP	LOC6034201|XP_001844555.2|CQUI
OG0000025	LOC119547413|XP_037710190.1|DSUP	LOC6041036|XP_001850347.1|CQUI
OG0000025	LOC119556135|XP_037723954.1|DSUP	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI
OG0000025	LOC119546077|XP_037708082.1|DSUP	LOC6037566|XP_001847464.2|CQUI
OG0000026	LOC119557301|XP_037725939.1|DSUP, LOC119561040|XP_037730797.1|DSUP, LOC119560123|XP_037729401.1|DSUP	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI, LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI
OG0000027	LOC119548404|XP_037711568.1|DSUP, LOC119548409|XP_037711576.1|DSUP, LOC119548453|XP_037711645.1|DSUP	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI
OG0000028	LOC119555139|XP_037722294.1|DSUP, LOC119555149|XP_037722305.1|DSUP, LOC119555148|XP_037722304.1|DSUP, LOC119555138|XP_037722293.1|DSUP, LOC119554395|XP_037721204.1|DSUP, LOC119555144|XP_037722299.1|DSUP, LOC119555146|XP_037722302.1|DSUP, LOC119555150|XP_037722306.1|DSUP, LOC119555145|XP_037722300.1|DSUP, LOC119555143|XP_037722297.1|DSUP, LOC119555141|XP_037722296.1|DSUP, LOC119555140|XP_037722295.1|DSUP, LOC119555147|XP_037722303.1|DSUP, LOC119553994|XP_037720628.1|DSUP, LOC119554450|XP_037721289.1|DSUP, LOC119554646|XP_037721574.1|DSUP	LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI
OG0000029	LOC119562890|XP_037731935.1|DSUP, LOC119561586|XP_037731129.1|DSUP, LOC119550971|XP_037715934.1|DSUP, LOC119549481|XP_037713512.1|DSUP, LOC119546385|XP_037708552.1|DSUP, LOC119548587|XP_037711848.1|DSUP, LOC119560689|XP_037730195.1|DSUP, LOC119554065|XP_037720734.1|DSUP	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI, LOC6054282|XP_038117233.1|CQUI
OG0000031	LOC119546941|XP_037709506.1|DSUP, LOC119546197|XP_037708251.1|DSUP, LOC119548227|XP_037711293.1|DSUP, LOC119547774|XP_037710713.1|DSUP, LOC119546228|XP_037708296.1|DSUP, LOC119552950|XP_037718858.1|DSUP, LOC119547137|XP_037709777.1|DSUP, LOC119548228|XP_037711295.1|DSUP	LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI
OG0000032	LOC119559763|XP_037728765.1|DSUP, LOC119559968|XP_037729132.1|DSUP, LOC119559770|XP_037728775.1|DSUP, LOC119559771|XP_037728776.1|DSUP, LOC119560219|XP_037729506.1|DSUP, LOC119560574|XP_037730023.1|DSUP, LOC119559967|XP_037729131.1|DSUP	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI
OG0000034	LOC119548454|XP_037711646.1|DSUP, LOC119547534|XP_037710356.1|DSUP, LOC119546306|XP_037708427.1|DSUP, LOC119563012|XP_037732131.1|DSUP, LOC119552157|XP_037717904.1|DSUP, LOC119563011|XP_037732130.1|DSUP, LOC119546951|XP_037709518.1|DSUP	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI, LOC6045701|XP_001863009.1|CQUI
OG0000036	LOC119560416|XP_037729780.1|DSUP	LOC6035433|XP_001845622.2|CQUI
OG0000037	LOC119549907|XP_037714155.1|DSUP, LOC119560063|XP_037729297.1|DSUP, LOC119560052|XP_037729285.1|DSUP, LOC119559867|XP_037728904.1|DSUP	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI
OG0000038	LOC119555136|XP_037722291.1|DSUP	LOC6034620|XP_001844912.2|CQUI
OG0000038	LOC119555124|XP_037722276.1|DSUP	LOC6047259|XP_001864341.2|CQUI
OG0000039	LOC119560141|XP_037729421.1|DSUP	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI, LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI
OG0000041	LOC119554437|XP_037721279.1|DSUP, LOC119554447|XP_037721290.1|DSUP, LOC119562401|XP_037731528.1|DSUP, LOC119550675|XP_037715466.1|DSUP, LOC119550683|XP_037715478.1|DSUP	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI
OG0000043	LOC119563116|XP_037732288.1|DSUP, LOC119562926|XP_037732005.1|DSUP, LOC119563115|XP_037732286.1|DSUP, LOC119556175|XP_037724028.1|DSUP, LOC119563048|XP_037732184.1|DSUP, LOC119556257|XP_037724233.1|DSUP, LOC119556250|XP_037724220.1|DSUP, LOC119554418|XP_037721239.1|DSUP, LOC119556264|XP_037724244.1|DSUP	LOC119770262|XP_038120732.1|CQUI, LOC6035302|XP_038116309.1|CQUI, LOC6035304|XP_001845522.2|CQUI, LOC6035303|XP_038116308.1|CQUI
OG0000044	LOC119558156|XP_037727329.1|DSUP, LOC119555966|XP_037723621.1|DSUP, LOC119555955|XP_037723600.1|DSUP, LOC119563136|XP_037732321.1|DSUP, LOC119555649|XP_037723141.1|DSUP, LOC119563137|XP_037732322.1|DSUP, LOC119548482|XP_037711687.1|DSUP	LOC6043407|XP_038120989.1|CQUI
OG0000047	LOC119550226|XP_037714721.1|DSUP, LOC119550295|XP_037714817.1|DSUP, LOC119559372|XP_037728340.1|DSUP, LOC119553262|XP_037719480.1|DSUP, LOC119559393|XP_037728384.1|DSUP, LOC119553673|XP_037720144.1|DSUP	LOC6034913|XP_001845179.1|CQUI
OG0000048	LOC119553986|XP_037720621.1|DSUP, LOC119553984|XP_037720618.1|DSUP, LOC119555323|XP_037722579.1|DSUP	LOC6042064|XP_001851216.1|CQUI, LOC6042091|XP_038120615.1|CQUI
OG0000049	LOC119563293|XP_037732549.1|DSUP, LOC119563399|XP_037732686.1|DSUP, LOC119553498|XP_037719841.1|DSUP, LOC119555362|XP_037722631.1|DSUP, LOC119555370|XP_037722644.1|DSUP, LOC119558111|XP_037727267.1|DSUP	LOC119770327|XP_038120923.1|CQUI, LOC6040028|XP_001849502.2|CQUI, LOC6038239|XP_001848065.2|CQUI
OG0000051	LOC119560029|XP_037729252.1|DSUP, LOC119551943|XP_037717559.1|DSUP, LOC119546183|XP_037708239.1|DSUP, LOC119556804|XP_037725175.1|DSUP, LOC119556794|XP_037725162.1|DSUP	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI, LOC6049616|XP_001866343.2|CQUI, LOC6043147|XP_038117609.1|CQUI
OG0000053	LOC119549495|XP_037713527.1|DSUP, LOC119551763|XP_037717217.1|DSUP	LOC6042358|XP_001851486.2|CQUI, LOC6053872|XP_001869889.2|CQUI, LOC6037642|XP_001847529.2|CQUI
OG0000054	LOC119556528|XP_037724737.1|DSUP, LOC119563344|XP_037732619.1|DSUP, LOC119563343|XP_037732618.1|DSUP, LOC119552964|XP_037718891.1|DSUP, LOC119555707|XP_037723302.1|DSUP	LOC6047251|XP_038118267.1|CQUI, LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI, LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI, LOC6050365|XP_038117140.1|CQUI, LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI
OG0000055	LOC119545654|XP_037707308.1|DSUP, LOC119545656|XP_037707310.1|DSUP, LOC119545655|XP_037707309.1|DSUP, LOC119545657|XP_037707311.1|DSUP, LOC119545658|XP_037707312.1|DSUP	LOC6036945|XP_001846918.2|CQUI, LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI
OG0000056	LOC119563020|XP_037732144.1|DSUP, LOC119563019|XP_037732142.1|DSUP, LOC119563022|XP_037732148.1|DSUP, LOC119563021|XP_037732147.1|DSUP, LOC119556291|XP_037724281.1|DSUP, LOC119553956|XP_037720582.1|DSUP	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI
OG0000058	LOC119551503|XP_037716797.1|DSUP, LOC119546999|XP_037709593.1|DSUP, LOC119546998|XP_037709592.1|DSUP, LOC119548424|XP_037711591.1|DSUP, LOC119551928|XP_037717493.1|DSUP, LOC119546720|XP_037709134.1|DSUP, LOC119556721|XP_037725047.1|DSUP	LOC6045941|XP_001863218.2|CQUI, LOC6049584|XP_001866314.2|CQUI, LOC119770688|XP_038121949.1|CQUI, LOC6049585|XP_001866315.2|CQUI, LOC6045940|XP_001863217.1|CQUI, LOC6045939|XP_001863216.2|CQUI
OG0000060	LOC119556360|XP_037724450.1|DSUP	LOC6052719|XP_038111213.1|CQUI
OG0000060	LOC119550934|XP_037715889.1|DSUP	LOC6034874|XP_038108204.1|CQUI
OG0000061	LOC119547297|XP_037710014.1|DSUP, LOC119547411|XP_037710188.1|DSUP, LOC119547153|XP_037709799.1|DSUP, LOC119547482|XP_037710295.1|DSUP	LOC6034209|XP_001844562.2|CQUI
OG0000067	LOC119560888|XP_037730510.1|DSUP, LOC119553386|XP_037719671.1|DSUP	LOC6051936|XP_038110342.1|CQUI, LOC6032295|XP_038111782.1|CQUI, LOC6032296|XP_001842932.2|CQUI
OG0000067	LOC119553512|XP_037719863.1|DSUP	LOC6032826|XP_038121454.1|CQUI
OG0000068	LOC119552687|XP_037718340.1|DSUP, LOC119559817|XP_037728832.1|DSUP, LOC119555070|XP_037722207.1|DSUP, LOC119550979|XP_037715942.1|DSUP, LOC119549875|XP_037714104.1|DSUP, LOC119549881|XP_037714113.1|DSUP, LOC119555964|XP_037723613.1|DSUP	LOC6036588|XP_038118645.1|CQUI, LOC6036586|XP_001846619.2|CQUI, LOC6042516|XP_001851810.2|CQUI, LOC6042515|XP_038108176.1|CQUI, LOC6042514|XP_001851807.2|CQUI, LOC6036917|XP_001846892.2|CQUI
OG0000070	LOC119547175|XP_037709836.1|DSUP, LOC119546702|XP_037709110.1|DSUP, LOC119553795|XP_037720335.1|DSUP, LOC119546705|XP_037709112.1|DSUP, LOC119556647|XP_037724907.1|DSUP	LOC6037947|XP_001847798.2|CQUI, LOC6037948|XP_001847799.2|CQUI
OG0000071	LOC119555204|XP_037722387.1|DSUP	LOC119766520|XP_038107045.1|CQUI
OG0000071	LOC119552553|XP_037718101.1|DSUP, LOC119552552|XP_037718100.1|DSUP, LOC119554936|XP_037721974.1|DSUP	LOC6035460|XP_038107044.1|CQUI, LOC6035462|XP_001845648.2|CQUI, LOC6044126|XP_001861681.2|CQUI, LOC6035447|XP_001845634.1|CQUI
OG0000072	LOC119551080|XP_037716171.1|DSUP, LOC119550992|XP_037715966.1|DSUP, LOC119551079|XP_037716170.1|DSUP	LOC6046366|XP_038106922.1|CQUI, LOC6037132|XP_001847069.2|CQUI, LOC6046369|XP_001863585.1|CQUI, LOC6046367|XP_001863584.2|CQUI, LOC6046372|XP_001863588.1|CQUI, LOC6046370|XP_001863586.2|CQUI
OG0000073	LOC119549420|XP_037713422.1|DSUP	LOC6036627|XP_001846655.1|CQUI
OG0000073	LOC119557222|XP_037725820.1|DSUP	LOC6034716|XP_038105946.1|CQUI, LOC6034713|XP_038105974.1|CQUI
OG0000074	LOC119555627|XP_037723076.1|DSUP, LOC119553528|XP_037719882.1|DSUP	LOC6032868|XP_001843393.1|CQUI, LOC6032869|XP_001843394.2|CQUI, LOC6032872|XP_038117359.1|CQUI, LOC119768790|XP_038115896.1|CQUI, LOC119768789|XP_038115895.1|CQUI, LOC6049339|XP_001866118.2|CQUI, LOC119769377|XP_038117358.1|CQUI, LOC6049343|XP_038117357.1|CQUI, LOC6049341|XP_001866122.2|CQUI, LOC6032899|XP_001843424.2|CQUI, LOC6032870|XP_001843395.2|CQUI, LOC6043916|XP_001861478.2|CQUI, LOC6032877|XP_001843402.2|CQUI, LOC6032878|XP_038115901.1|CQUI, LOC119768791|XP_038115897.1|CQUI, LOC6032830|XP_001843365.2|CQUI
OG0000076	LOC119555219|XP_037722410.1|DSUP	LOC6052885|XP_038117932.1|CQUI
OG0000076	LOC119556781|XP_037725143.1|DSUP	LOC119770103|XP_038120268.1|CQUI
OG0000077	LOC119549138|XP_037712837.1|DSUP	LOC6034293|XP_038107616.1|CQUI
OG0000077	LOC119560232|XP_037729526.1|DSUP	LOC119766730|XP_038108150.1|CQUI
