Orthogroup	DSUP.longest_only	SLEB.longest_only
OG0000008	LOC119560392|XP_037729748.1|DSUP, LOC119560143|XP_037729425.1|DSUP	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB
OG0000008	LOC119560393|XP_037729749.1|DSUP	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB
OG0000008	LOC119560395|XP_037729751.1|DSUP	LOC115623587|XP_030373847.1|SLEB
OG0000008	LOC119560394|XP_037729750.1|DSUP	LOC115624344|XP_030374855.1|SLEB
OG0000008	LOC119560107|XP_037729380.1|DSUP	LOC115623612|XP_030373889.1|SLEB
OG0000009	LOC119560146|XP_037729428.1|DSUP	LOC115624173|XP_030374629.1|SLEB
OG0000009	LOC119560480|XP_037729870.1|DSUP	LOC115624028|XP_030374465.1|SLEB
OG0000009	LOC119560408|XP_037729769.1|DSUP, LOC119560481|XP_037729871.1|DSUP	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB
OG0000009	LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB
OG0000010	LOC119559209|XP_037728208.1|DSUP, LOC119547995|XP_037710980.1|DSUP, LOC119547946|XP_037710924.1|DSUP, LOC119559220|XP_037728219.1|DSUP	LOC115633544|XP_030386861.1|SLEB
OG0000010	LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP, LOC119559234|XP_037728233.1|DSUP	LOC115630140|XP_030382609.1|SLEB
OG0000010	LOC119559207|XP_037728206.1|DSUP	LOC115630331|XP_030382729.1|SLEB
OG0000010	LOC119548250|XP_037711321.1|DSUP	LOC115625114|XP_030375880.1|SLEB
OG0000012	LOC119550822|XP_037715693.1|DSUP	LOC115626791|XP_030378121.1|SLEB
OG0000012	LOC119550821|XP_037715691.1|DSUP	LOC115634820|XP_030388598.1|SLEB
OG0000012	LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP	LOC115624523|XP_030375106.1|SLEB
OG0000012	LOC119551494|XP_037716788.1|DSUP	LOC115632632|XP_030385725.1|SLEB
OG0000012	LOC119549965|XP_037714285.1|DSUP, LOC119551851|XP_037717353.1|DSUP, LOC119551850|XP_037717352.1|DSUP, LOC119550449|XP_037715053.1|DSUP	LOC115630730|XP_030383248.1|SLEB
OG0000012	LOC119551476|XP_037716767.1|DSUP, LOC119551477|XP_037716768.1|DSUP	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC119549437|XP_037713458.1|DSUP	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC119558255|XP_037727511.1|DSUP	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC119563541|XP_037732953.1|DSUP	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC119555401|XP_037722683.1|DSUP	LOC115623047|XP_030373085.1|SLEB
OG0000013	LOC119556345|XP_037724379.1|DSUP	LOC115621092|XP_030370486.1|SLEB
OG0000013	LOC119545787|XP_037707587.1|DSUP	LOC115624312|XP_030374797.1|SLEB
OG0000013	LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000014	LOC119559720|XP_037728710.1|DSUP	LOC115629406|XP_030381727.1|SLEB, LOC115624589|XP_030375187.1|SLEB
OG0000015	LOC119548635|XP_037711952.1|DSUP	LOC115626216|XP_030377371.1|SLEB
OG0000015	LOC119550622|XP_037715380.1|DSUP, LOC119546949|XP_037709517.1|DSUP	LOC115628471|XP_030380453.1|SLEB
OG0000016	LOC119560964|XP_037730645.1|DSUP	LOC115621740|XP_030371332.1|SLEB
OG0000016	LOC119551792|XP_037717267.1|DSUP	LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC119560636|XP_037730116.1|DSUP	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC119549928|XP_037714197.1|DSUP, LOC119549685|XP_037713828.1|DSUP	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB
OG0000016	LOC119557630|XP_037726388.1|DSUP	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC119559471|XP_037728511.1|DSUP	LOC115634608|XP_030388318.1|SLEB
OG0000016	LOC119561925|XP_037731293.1|DSUP	LOC115621272|XP_030370732.1|SLEB
OG0000016	LOC119555565|XP_037722943.1|DSUP	LOC115634447|XP_030388017.1|SLEB
OG0000017	LOC119555819|XP_037723364.1|DSUP	LOC115627671|XP_030379272.1|SLEB
OG0000017	LOC119549290|XP_037713167.1|DSUP	LOC115619974|XP_030368869.1|SLEB
OG0000017	LOC119562617|XP_037731769.1|DSUP, LOC119562618|XP_037731771.1|DSUP	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB
OG0000017	LOC119550337|XP_037714884.1|DSUP, LOC119558631|XP_037727964.1|DSUP	LOC115630526|XP_030382993.1|SLEB
OG0000017	LOC119562595|XP_037731744.1|DSUP	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB
OG0000017	LOC119546290|XP_037708399.1|DSUP	LOC115620280|XP_030369314.1|SLEB
OG0000018	LOC119554781|XP_037721753.1|DSUP	LOC115633159|XP_030386430.1|SLEB
OG0000018	LOC119553692|XP_037720175.1|DSUP	LOC115632704|XP_030385802.1|SLEB
OG0000018	LOC119554782|XP_037721754.1|DSUP	LOC115633160|XP_030386431.1|SLEB
OG0000018	LOC119554784|XP_037721757.1|DSUP	LOC115633162|XP_030386433.1|SLEB
OG0000019	LOC119545699|XP_037707379.1|DSUP	LOC115621701|XP_030371268.1|SLEB
OG0000019	LOC119553849|XP_037720426.1|DSUP	LOC115621698|XP_030371264.1|SLEB
OG0000019	LOC119545700|XP_037707380.1|DSUP	LOC115621699|XP_030371266.1|SLEB
OG0000019	LOC119545696|XP_037707377.1|DSUP, LOC119545697|XP_037707378.1|DSUP	LOC115621700|XP_030371267.1|SLEB
OG0000020	LOC119551011|XP_037715994.1|DSUP	LOC115620461|XP_030369552.1|SLEB
OG0000020	LOC119549986|XP_037714317.1|DSUP	LOC115634835|XP_030388616.1|SLEB
OG0000020	LOC119546352|XP_037708508.1|DSUP, LOC119548418|XP_037711587.1|DSUP, LOC119560332|XP_037729650.1|DSUP, LOC119546657|XP_037709040.1|DSUP, LOC119546786|XP_037709271.1|DSUP, LOC119550100|XP_037714508.1|DSUP, LOC119546737|XP_037709159.1|DSUP	LOC115625139|XP_030375917.1|SLEB
OG0000020	LOC119561092|XP_037730913.1|DSUP	LOC115623558|XP_030373816.1|SLEB
OG0000020	LOC119556769|XP_037725126.1|DSUP	LOC115623561|XP_030373817.1|SLEB
OG0000020	LOC119547825|XP_037710775.1|DSUP, LOC119546570|XP_037708891.1|DSUP	LOC115625796|XP_030376833.1|SLEB
OG0000021	LOC119548675|XP_037712046.1|DSUP	LOC115632536|XP_030385602.1|SLEB
OG0000021	LOC119549002|XP_037712540.1|DSUP	LOC115624982|XP_030375700.1|SLEB
OG0000021	LOC119550497|XP_037715116.1|DSUP	LOC115619935|XP_030372749.1|SLEB
OG0000021	LOC119556017|XP_037723717.1|DSUP	LOC115629488|XP_030381818.1|SLEB
OG0000021	LOC119552371|XP_037718001.1|DSUP	LOC115625208|XP_030376037.1|SLEB
OG0000021	LOC119560336|XP_037729656.1|DSUP	LOC115620616|XP_030369796.1|SLEB
OG0000021	LOC119555956|XP_037723602.1|DSUP	LOC115629963|XP_030382440.1|SLEB
OG0000022	LOC119550370|XP_037714944.1|DSUP	LOC115634544|XP_030388214.1|SLEB
OG0000022	LOC119555582|XP_037722984.1|DSUP, LOC119555585|XP_037722986.1|DSUP, LOC119555586|XP_037722987.1|DSUP	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB
OG0000022	LOC119555581|XP_037722982.1|DSUP, LOC119555583|XP_037722985.1|DSUP, LOC119555580|XP_037722981.1|DSUP	LOC115624802|XP_030375508.1|SLEB
OG0000023	LOC119559780|XP_037728787.1|DSUP	LOC115623320|XP_030373442.1|SLEB
OG0000023	LOC119559792|XP_037728800.1|DSUP, LOC119559788|XP_037728797.1|DSUP	LOC115623826|XP_030374229.1|SLEB
OG0000023	LOC119559783|XP_037728790.1|DSUP	LOC115623325|XP_030373446.1|SLEB
OG0000023	LOC119559784|XP_037728792.1|DSUP	LOC115623824|XP_030374228.1|SLEB
OG0000023	LOC119559779|XP_037728786.1|DSUP	LOC115623322|XP_030373444.1|SLEB
OG0000023	LOC119559782|XP_037728789.1|DSUP	LOC115623324|XP_030373445.1|SLEB
OG0000023	LOC119559778|XP_037728785.1|DSUP	LOC115623321|XP_030373443.1|SLEB
OG0000023	LOC119559785|XP_037728793.1|DSUP	LOC115623326|XP_030373447.1|SLEB
OG0000024	LOC119551120|XP_037716232.1|DSUP, LOC119549911|XP_037714159.1|DSUP, LOC119552112|XP_037717826.1|DSUP, LOC119551714|XP_037717116.1|DSUP	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB
OG0000024	LOC119548131|XP_037711156.1|DSUP, LOC119548130|XP_037711155.1|DSUP, LOC119546161|XP_037708208.1|DSUP, LOC119548129|XP_037711154.1|DSUP	LOC115626230|XP_030377390.1|SLEB
OG0000024	LOC119551919|XP_037717477.1|DSUP	LOC115633141|XP_030386412.1|SLEB
OG0000025	LOC119547413|XP_037710190.1|DSUP	LOC115633541|XP_030386858.1|SLEB, LOC115633463|XP_030386778.1|SLEB
OG0000025	LOC119556135|XP_037723954.1|DSUP	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB
OG0000025	LOC119559590|XP_037728532.1|DSUP, LOC119559601|XP_037728544.1|DSUP, LOC119561449|XP_037731029.1|DSUP, LOC119561527|XP_037731107.1|DSUP, LOC119559244|XP_037728243.1|DSUP	LOC115633508|XP_030386830.1|SLEB
OG0000025	LOC119561444|XP_037731025.1|DSUP	LOC115630352|XP_030382745.1|SLEB
OG0000025	LOC119559246|XP_037728246.1|DSUP	LOC115630125|XP_030382596.1|SLEB
OG0000025	LOC119546077|XP_037708082.1|DSUP	LOC115630311|XP_030382709.1|SLEB, LOC115630293|XP_030382689.1|SLEB, LOC115630303|XP_030382701.1|SLEB
OG0000026	LOC119557908|XP_037726842.1|DSUP	LOC115627188|XP_030378651.1|SLEB
OG0000026	LOC119547110|XP_037709748.1|DSUP	LOC115626629|XP_030377893.1|SLEB
OG0000026	LOC119557301|XP_037725939.1|DSUP, LOC119561040|XP_037730797.1|DSUP	LOC115627162|XP_030378606.1|SLEB
OG0000027	LOC119548404|XP_037711568.1|DSUP	LOC115632057|XP_030384894.1|SLEB
OG0000027	LOC119548409|XP_037711576.1|DSUP	LOC115632056|XP_030384892.1|SLEB
OG0000027	LOC119548453|XP_037711645.1|DSUP	LOC115631416|XP_030384002.1|SLEB
OG0000028	LOC119555148|XP_037722304.1|DSUP	LOC115634465|XP_030388053.1|SLEB
OG0000028	LOC119555140|XP_037722295.1|DSUP, LOC119555147|XP_037722303.1|DSUP, LOC119553994|XP_037720628.1|DSUP	LOC115634409|XP_030387965.1|SLEB
OG0000029	LOC119554065|XP_037720734.1|DSUP	LOC115634071|XP_030387478.1|SLEB
OG0000030	LOC119547225|XP_037709914.1|DSUP	LOC115631185|XP_030383736.1|SLEB
OG0000030	LOC119546122|XP_037708143.1|DSUP, LOC119547226|XP_037709915.1|DSUP	LOC115631186|XP_030383737.1|SLEB
OG0000030	LOC119546258|XP_037708345.1|DSUP, LOC119546257|XP_037708344.1|DSUP	LOC115630766|XP_030383282.1|SLEB
OG0000030	LOC119558624|XP_037727958.1|DSUP, LOC119549822|XP_037714028.1|DSUP, LOC119550805|XP_037715669.1|DSUP, LOC119558621|XP_037727957.1|DSUP	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB
OG0000030	LOC119557894|XP_037726826.1|DSUP	LOC115627904|XP_030379659.1|SLEB
OG0000030	LOC119556830|XP_037725216.1|DSUP	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB
OG0000031	LOC119546941|XP_037709506.1|DSUP, LOC119546197|XP_037708251.1|DSUP, LOC119548227|XP_037711293.1|DSUP	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB
OG0000031	LOC119548568|XP_037711813.1|DSUP, LOC119546475|XP_037708689.1|DSUP, LOC119546474|XP_037708687.1|DSUP	LOC115631052|XP_030383546.1|SLEB
OG0000032	LOC119559763|XP_037728765.1|DSUP	LOC115621800|XP_030371439.1|SLEB
OG0000032	LOC119560574|XP_037730023.1|DSUP, LOC119559967|XP_037729131.1|DSUP	LOC115621799|XP_030371437.1|SLEB
OG0000033	LOC119554734|XP_037721683.1|DSUP, LOC119551151|XP_037716271.1|DSUP, LOC119546299|XP_037708415.1|DSUP, LOC119546423|XP_037708616.1|DSUP, LOC119547670|XP_037710556.1|DSUP, LOC119546302|XP_037708421.1|DSUP, LOC119551206|XP_037716367.1|DSUP, LOC119551207|XP_037716368.1|DSUP	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB
OG0000033	LOC119551205|XP_037716366.1|DSUP	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB
OG0000034	LOC119548454|XP_037711646.1|DSUP	LOC115631238|XP_030383807.1|SLEB
OG0000034	LOC119547534|XP_037710356.1|DSUP	LOC115631016|XP_030383488.1|SLEB
OG0000034	LOC119546306|XP_037708427.1|DSUP, LOC119563012|XP_037732131.1|DSUP, LOC119552157|XP_037717904.1|DSUP, LOC119563011|XP_037732130.1|DSUP, LOC119546951|XP_037709518.1|DSUP	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB
OG0000035	LOC119562531|XP_037731651.1|DSUP	LOC115630074|XP_030382558.1|SLEB, LOC115628142|XP_030379974.1|SLEB, LOC115628135|XP_030379972.1|SLEB, LOC115628137|XP_030379973.1|SLEB, LOC115628134|XP_030379971.1|SLEB, LOC115628143|XP_030379975.1|SLEB, LOC115628789|XP_030380864.1|SLEB, LOC115628787|XP_030380863.1|SLEB
OG0000035	LOC119558615|XP_037727955.1|DSUP, LOC119559671|XP_037728655.1|DSUP, LOC119558644|XP_037727969.1|DSUP, LOC119559600|XP_037728543.1|DSUP, LOC119547998|XP_037710985.1|DSUP, LOC119559682|XP_037728666.1|DSUP, LOC119562535|XP_037731659.1|DSUP, LOC119562491|XP_037731623.1|DSUP, LOC119562542|XP_037731666.1|DSUP	LOC115628216|XP_030380068.1|SLEB, LOC115628783|XP_030380857.1|SLEB, LOC115629977|XP_030382461.1|SLEB
OG0000035	LOC119561804|XP_037731211.1|DSUP	LOC115624912|XP_030375621.1|SLEB, LOC115624520|XP_030375099.1|SLEB, LOC115630026|XP_030382522.1|SLEB, LOC115630549|XP_030383019.1|SLEB, LOC115634591|XP_030388280.1|SLEB, LOC115624963|XP_030375678.1|SLEB
OG0000036	LOC119560416|XP_037729780.1|DSUP	LOC115623477|XP_030373705.1|SLEB
OG0000036	LOC119555899|XP_037723507.1|DSUP	LOC115621020|XP_030370399.1|SLEB
OG0000036	LOC119560377|XP_037729713.1|DSUP	LOC115620249|XP_030369258.1|SLEB
OG0000036	LOC119545810|XP_037707622.1|DSUP	LOC115621341|XP_030370821.1|SLEB
OG0000037	LOC119549907|XP_037714155.1|DSUP	LOC115626848|XP_030378208.1|SLEB
OG0000037	LOC119560063|XP_037729297.1|DSUP, LOC119560052|XP_037729285.1|DSUP, LOC119559867|XP_037728904.1|DSUP	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB
OG0000038	LOC119555136|XP_037722291.1|DSUP	LOC115633983|XP_030387367.1|SLEB
OG0000038	LOC119555124|XP_037722276.1|DSUP	LOC115633961|XP_030387345.1|SLEB
OG0000039	LOC119560141|XP_037729421.1|DSUP	LOC115633921|XP_030387291.1|SLEB
OG0000039	LOC119556467|XP_037724643.1|DSUP	LOC115633267|XP_030386532.1|SLEB
OG0000039	LOC119556870|XP_037725271.1|DSUP	LOC115628050|XP_030379855.1|SLEB
OG0000039	LOC119555839|XP_037723395.1|DSUP	LOC115633390|XP_030386693.1|SLEB
OG0000040	LOC119556456|XP_037724634.1|DSUP, LOC119563112|XP_037732283.1|DSUP	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB
OG0000040	LOC119563113|XP_037732284.1|DSUP	LOC115624210|XP_030374678.1|SLEB
OG0000040	LOC119556472|XP_037724654.1|DSUP, LOC119556489|XP_037724679.1|DSUP, LOC119556482|XP_037724666.1|DSUP, LOC119555315|XP_037722571.1|DSUP	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB
OG0000040	LOC119546490|XP_037708720.1|DSUP	LOC115621426|XP_030370938.1|SLEB
OG0000042	LOC119548723|XP_037712139.1|DSUP	LOC115630085|XP_030382572.1|SLEB
OG0000042	LOC119551176|XP_037716303.1|DSUP, LOC119551178|XP_037716307.1|DSUP, LOC119551177|XP_037716304.1|DSUP, LOC119549542|XP_037713620.1|DSUP, LOC119549541|XP_037713619.1|DSUP, LOC119549540|XP_037713618.1|DSUP, LOC119549537|XP_037713608.1|DSUP	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB
OG0000043	LOC119563116|XP_037732288.1|DSUP	LOC115623987|XP_030374418.1|SLEB
OG0000043	LOC119562926|XP_037732005.1|DSUP	LOC115623491|XP_030373724.1|SLEB
OG0000043	LOC119563115|XP_037732286.1|DSUP	LOC115623337|XP_030373467.1|SLEB
OG0000043	LOC119556175|XP_037724028.1|DSUP, LOC119563048|XP_037732184.1|DSUP	LOC115623816|XP_030374219.1|SLEB
OG0000043	LOC119556257|XP_037724233.1|DSUP, LOC119556250|XP_037724220.1|DSUP, LOC119554418|XP_037721239.1|DSUP, LOC119556264|XP_037724244.1|DSUP	LOC115623986|XP_030374417.1|SLEB
OG0000044	LOC119558156|XP_037727329.1|DSUP	LOC115624024|XP_030374460.1|SLEB
OG0000044	LOC119555966|XP_037723621.1|DSUP, LOC119555955|XP_037723600.1|DSUP	LOC115623538|XP_030373780.1|SLEB
OG0000044	LOC119563136|XP_037732321.1|DSUP, LOC119555649|XP_037723141.1|DSUP, LOC119563137|XP_037732322.1|DSUP	LOC115631500|XP_030384120.1|SLEB
OG0000044	LOC119548482|XP_037711687.1|DSUP	LOC115624165|XP_030374623.1|SLEB
OG0000045	LOC119553763|XP_037720298.1|DSUP	LOC115632695|XP_030385792.1|SLEB
OG0000045	LOC119552534|XP_037718081.1|DSUP, LOC119554143|XP_037720848.1|DSUP	LOC115632698|XP_030385795.1|SLEB
OG0000045	LOC119554102|XP_037720779.1|DSUP	LOC115632700|XP_030385796.1|SLEB
