Orthogroup	DSUP.longest_only	AALB.longest_only
OG0000009	LOC119560146|XP_037729428.1|DSUP, LOC119560480|XP_037729870.1|DSUP, LOC119545681|XP_037707348.1|DSUP, LOC119560408|XP_037729769.1|DSUP, LOC119560481|XP_037729871.1|DSUP, LOC119550480|XP_037715097.1|DSUP, LOC119560195|XP_037729489.1|DSUP, LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP, LOC119547540|XP_037710365.1|DSUP, LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	LOC119559220|XP_037728219.1|DSUP	LOC118464061|XP_035787001.1|AALB
OG0000010	LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP	LOC118465135|XP_035788966.1|AALB
OG0000010	LOC119548250|XP_037711321.1|DSUP	LOC118464060|XP_035787000.1|AALB, LOC118464059|XP_035786999.1|AALB
OG0000010	LOC119547947|XP_037710925.1|DSUP	LOC118465133|XP_035788965.1|AALB, LOC118465137|XP_035788967.1|AALB
OG0000012	LOC119550822|XP_037715693.1|DSUP, LOC119550821|XP_037715691.1|DSUP, LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP, LOC119551494|XP_037716788.1|DSUP, LOC119550209|XP_037714688.1|DSUP, LOC119551068|XP_037716119.1|DSUP, LOC119551074|XP_037716130.1|DSUP, LOC119551639|XP_037716997.1|DSUP, LOC119550378|XP_037714954.1|DSUP, LOC119549965|XP_037714285.1|DSUP, LOC119551851|XP_037717353.1|DSUP, LOC119551850|XP_037717352.1|DSUP, LOC119550449|XP_037715053.1|DSUP, LOC119551476|XP_037716767.1|DSUP, LOC119551477|XP_037716768.1|DSUP	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB
OG0000013	LOC119549437|XP_037713458.1|DSUP	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC119558255|XP_037727511.1|DSUP	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC119563541|XP_037732953.1|DSUP	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC119555401|XP_037722683.1|DSUP	LOC118467364|XP_035793659.1|AALB
OG0000013	LOC119545787|XP_037707587.1|DSUP, LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000014	LOC119561864|XP_037731272.1|DSUP, LOC119561546|XP_037731125.1|DSUP, LOC119561979|XP_037731297.1|DSUP	LOC118464509|XP_035787838.1|AALB, LOC118462783|XP_035784663.1|AALB, LOC118464534|XP_035787864.1|AALB, LOC118456893|XP_035773911.1|AALB
OG0000014	LOC119559720|XP_037728710.1|DSUP	LOC118462714|XP_035784546.1|AALB
OG0000016	LOC119560964|XP_037730645.1|DSUP, LOC119551792|XP_037717267.1|DSUP	LOC118468980|XP_035796264.1|AALB
OG0000016	LOC119560636|XP_037730116.1|DSUP	LOC118460590|XP_035780903.1|AALB
OG0000016	LOC119557630|XP_037726388.1|DSUP	LOC118460360|XP_035780540.1|AALB
OG0000016	LOC119555565|XP_037722943.1|DSUP	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB
OG0000018	LOC119554781|XP_037721753.1|DSUP	LOC118463128|XP_035785378.1|AALB
OG0000019	LOC119545699|XP_037707379.1|DSUP, LOC119545701|XP_037707381.1|DSUP, LOC119545702|XP_037707383.1|DSUP, LOC119553849|XP_037720426.1|DSUP, LOC119545700|XP_037707380.1|DSUP, LOC119545696|XP_037707377.1|DSUP, LOC119545697|XP_037707378.1|DSUP	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB
OG0000020	LOC119551011|XP_037715994.1|DSUP, LOC119549986|XP_037714317.1|DSUP	LOC118461362|XP_035782490.1|AALB
OG0000020	LOC119546352|XP_037708508.1|DSUP, LOC119548418|XP_037711587.1|DSUP, LOC119560332|XP_037729650.1|DSUP, LOC119546657|XP_037709040.1|DSUP, LOC119546786|XP_037709271.1|DSUP, LOC119550100|XP_037714508.1|DSUP, LOC119546737|XP_037709159.1|DSUP, LOC119561092|XP_037730913.1|DSUP, LOC119556769|XP_037725126.1|DSUP, LOC119547825|XP_037710775.1|DSUP, LOC119546570|XP_037708891.1|DSUP	LOC118467629|XP_035794243.1|AALB
OG0000021	LOC119556017|XP_037723717.1|DSUP	LOC118468558|XP_035795352.1|AALB
OG0000021	LOC119552371|XP_037718001.1|DSUP, LOC119560336|XP_037729656.1|DSUP, LOC119555956|XP_037723602.1|DSUP	LOC118467519|XP_035793970.1|AALB
OG0000022	LOC119550370|XP_037714944.1|DSUP, LOC119553490|XP_037719826.1|DSUP, LOC119555408|XP_037722693.1|DSUP, LOC119555582|XP_037722984.1|DSUP, LOC119555585|XP_037722986.1|DSUP, LOC119555586|XP_037722987.1|DSUP, LOC119555581|XP_037722982.1|DSUP, LOC119555583|XP_037722985.1|DSUP, LOC119555580|XP_037722981.1|DSUP	LOC118466446|XP_035791660.1|AALB
OG0000023	LOC119559780|XP_037728787.1|DSUP, LOC119559792|XP_037728800.1|DSUP, LOC119559788|XP_037728797.1|DSUP, LOC119559786|XP_037728794.1|DSUP, LOC119559783|XP_037728790.1|DSUP, LOC119550999|XP_037715976.1|DSUP, LOC119559784|XP_037728792.1|DSUP, LOC119559779|XP_037728786.1|DSUP, LOC119559782|XP_037728789.1|DSUP, LOC119559778|XP_037728785.1|DSUP, LOC119559785|XP_037728793.1|DSUP	LOC118465606|XP_035789874.1|AALB, LOC118465607|XP_035789875.1|AALB
OG0000024	LOC119551120|XP_037716232.1|DSUP, LOC119549911|XP_037714159.1|DSUP, LOC119552112|XP_037717826.1|DSUP, LOC119551714|XP_037717116.1|DSUP, LOC119551121|XP_037716233.1|DSUP, LOC119548131|XP_037711156.1|DSUP, LOC119548130|XP_037711155.1|DSUP, LOC119546161|XP_037708208.1|DSUP, LOC119548129|XP_037711154.1|DSUP, LOC119551919|XP_037717477.1|DSUP	LOC118462632|XP_035784369.1|AALB
OG0000025	LOC119556135|XP_037723954.1|DSUP	LOC118461108|XP_035781919.1|AALB
OG0000025	LOC119559590|XP_037728532.1|DSUP, LOC119559601|XP_037728544.1|DSUP, LOC119561449|XP_037731029.1|DSUP, LOC119561527|XP_037731107.1|DSUP, LOC119559244|XP_037728243.1|DSUP	LOC118463807|XP_035786575.1|AALB, LOC118463808|XP_035786577.1|AALB
OG0000025	LOC119546077|XP_037708082.1|DSUP	LOC118467560|XP_035794083.1|AALB
OG0000026	LOC119557301|XP_037725939.1|DSUP, LOC119561040|XP_037730797.1|DSUP, LOC119560123|XP_037729401.1|DSUP	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB, LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB
OG0000027	LOC119548404|XP_037711568.1|DSUP, LOC119548409|XP_037711576.1|DSUP, LOC119548453|XP_037711645.1|DSUP	LOC118458650|XP_035777233.1|AALB, LOC118456231|XP_035772706.1|AALB, LOC118469008|XP_035796336.1|AALB, LOC118456249|XP_035772738.1|AALB
OG0000028	LOC119555139|XP_037722294.1|DSUP, LOC119555149|XP_037722305.1|DSUP, LOC119555148|XP_037722304.1|DSUP, LOC119555138|XP_037722293.1|DSUP, LOC119554395|XP_037721204.1|DSUP, LOC119555144|XP_037722299.1|DSUP, LOC119555146|XP_037722302.1|DSUP, LOC119555150|XP_037722306.1|DSUP, LOC119555145|XP_037722300.1|DSUP, LOC119555143|XP_037722297.1|DSUP, LOC119555141|XP_037722296.1|DSUP, LOC119555140|XP_037722295.1|DSUP, LOC119555147|XP_037722303.1|DSUP, LOC119553994|XP_037720628.1|DSUP, LOC119554450|XP_037721289.1|DSUP, LOC119554646|XP_037721574.1|DSUP	LOC118464553|XP_035787885.1|AALB, LOC118456178|XP_035772621.1|AALB
OG0000029	LOC119562890|XP_037731935.1|DSUP, LOC119561586|XP_037731129.1|DSUP, LOC119550971|XP_037715934.1|DSUP, LOC119549481|XP_037713512.1|DSUP, LOC119546385|XP_037708552.1|DSUP, LOC119548587|XP_037711848.1|DSUP, LOC119560689|XP_037730195.1|DSUP, LOC119554065|XP_037720734.1|DSUP	LOC118458435|XP_035776786.1|AALB, LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB, LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB
OG0000031	LOC119546941|XP_037709506.1|DSUP, LOC119546197|XP_037708251.1|DSUP, LOC119548227|XP_037711293.1|DSUP, LOC119547774|XP_037710713.1|DSUP, LOC119546228|XP_037708296.1|DSUP, LOC119552950|XP_037718858.1|DSUP, LOC119547137|XP_037709777.1|DSUP, LOC119548228|XP_037711295.1|DSUP	LOC118467279|XP_035793475.1|AALB
OG0000032	LOC119559763|XP_037728765.1|DSUP, LOC119559968|XP_037729132.1|DSUP, LOC119559770|XP_037728775.1|DSUP, LOC119559771|XP_037728776.1|DSUP, LOC119560219|XP_037729506.1|DSUP, LOC119560574|XP_037730023.1|DSUP, LOC119559967|XP_037729131.1|DSUP	LOC118456851|XP_035773843.1|AALB, LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB, LOC118457170|XP_035774394.1|AALB, LOC118459702|XP_035779237.1|AALB, LOC118457171|XP_035774395.1|AALB
OG0000034	LOC119548454|XP_037711646.1|DSUP, LOC119547534|XP_037710356.1|DSUP, LOC119546306|XP_037708427.1|DSUP, LOC119563012|XP_037732131.1|DSUP, LOC119552157|XP_037717904.1|DSUP, LOC119563011|XP_037732130.1|DSUP, LOC119546951|XP_037709518.1|DSUP	LOC118466655|XP_035792144.1|AALB, LOC118463234|XP_035785585.1|AALB
OG0000036	LOC119560416|XP_037729780.1|DSUP	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB
OG0000036	LOC119555899|XP_037723507.1|DSUP	LOC118457097|XP_035774277.1|AALB
OG0000037	LOC119549907|XP_037714155.1|DSUP, LOC119560063|XP_037729297.1|DSUP, LOC119560052|XP_037729285.1|DSUP, LOC119559867|XP_037728904.1|DSUP	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB
OG0000038	LOC119555136|XP_037722291.1|DSUP	LOC118464582|XP_035787918.1|AALB
OG0000038	LOC119555124|XP_037722276.1|DSUP	LOC118467862|XP_035794660.1|AALB
OG0000039	LOC119560141|XP_037729421.1|DSUP	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB, LOC118458769|XP_035777454.1|AALB
OG0000041	LOC119554437|XP_037721279.1|DSUP, LOC119554447|XP_037721290.1|DSUP, LOC119562401|XP_037731528.1|DSUP, LOC119550675|XP_037715466.1|DSUP, LOC119550683|XP_037715478.1|DSUP	LOC118457785|XP_035775523.1|AALB
OG0000043	LOC119563116|XP_037732288.1|DSUP, LOC119562926|XP_037732005.1|DSUP, LOC119563115|XP_037732286.1|DSUP, LOC119556175|XP_037724028.1|DSUP, LOC119563048|XP_037732184.1|DSUP, LOC119556257|XP_037724233.1|DSUP, LOC119556250|XP_037724220.1|DSUP, LOC119554418|XP_037721239.1|DSUP, LOC119556264|XP_037724244.1|DSUP	LOC118465605|XP_035789873.1|AALB, LOC118466656|XP_035792145.1|AALB
OG0000047	LOC119550226|XP_037714721.1|DSUP, LOC119550295|XP_037714817.1|DSUP, LOC119559372|XP_037728340.1|DSUP, LOC119553262|XP_037719480.1|DSUP, LOC119559393|XP_037728384.1|DSUP, LOC119553673|XP_037720144.1|DSUP	LOC118458488|XP_035776933.1|AALB
OG0000048	LOC119553986|XP_037720621.1|DSUP, LOC119553984|XP_037720618.1|DSUP, LOC119555323|XP_037722579.1|DSUP	LOC118465522|XP_035789739.1|AALB, LOC118465712|XP_035790036.1|AALB, LOC118463108|XP_035785323.1|AALB
OG0000049	LOC119563293|XP_037732549.1|DSUP, LOC119563399|XP_037732686.1|DSUP, LOC119553498|XP_037719841.1|DSUP, LOC119555362|XP_037722631.1|DSUP, LOC119555370|XP_037722644.1|DSUP, LOC119558111|XP_037727267.1|DSUP	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB, LOC118463311|XP_035785688.1|AALB
OG0000050	LOC119549468|XP_037713498.1|DSUP, LOC119555005|XP_037722074.1|DSUP, LOC119554439|XP_037721277.1|DSUP, LOC119554992|XP_037722058.1|DSUP, LOC119555302|XP_037722547.1|DSUP, LOC119554440|XP_037721278.1|DSUP, LOC119554997|XP_037722064.1|DSUP	LOC118466326|XP_035791335.1|AALB
OG0000051	LOC119560029|XP_037729252.1|DSUP, LOC119551943|XP_037717559.1|DSUP, LOC119546183|XP_037708239.1|DSUP, LOC119556804|XP_037725175.1|DSUP, LOC119556794|XP_037725162.1|DSUP	LOC118456657|XP_035773500.1|AALB, LOC118456656|XP_035773499.1|AALB
OG0000053	LOC119549495|XP_037713527.1|DSUP, LOC119551763|XP_037717217.1|DSUP	LOC118467904|XP_035794724.1|AALB, LOC118465671|XP_035789993.1|AALB, LOC118465672|XP_035789994.1|AALB
OG0000054	LOC119556528|XP_037724737.1|DSUP, LOC119563344|XP_037732619.1|DSUP, LOC119563343|XP_037732618.1|DSUP, LOC119552964|XP_037718891.1|DSUP, LOC119555707|XP_037723302.1|DSUP	LOC118465600|XP_035789868.1|AALB, LOC118464275|XP_035787431.1|AALB, LOC118464535|XP_035787865.1|AALB, LOC118463932|XP_035786785.1|AALB, LOC118465599|XP_035789867.1|AALB, LOC118465601|XP_035789869.1|AALB
OG0000055	LOC119545654|XP_037707308.1|DSUP, LOC119545656|XP_037707310.1|DSUP, LOC119545655|XP_037707309.1|DSUP, LOC119545657|XP_037707311.1|DSUP, LOC119545658|XP_037707312.1|DSUP	LOC118467238|XP_035793395.1|AALB, LOC118456564|XP_035773329.1|AALB, LOC118467239|XP_035793397.1|AALB
OG0000056	LOC119563020|XP_037732144.1|DSUP, LOC119563019|XP_037732142.1|DSUP, LOC119563022|XP_037732148.1|DSUP, LOC119563021|XP_037732147.1|DSUP, LOC119556291|XP_037724281.1|DSUP, LOC119553956|XP_037720582.1|DSUP	LOC118463646|XP_035786286.1|AALB
OG0000058	LOC119551503|XP_037716797.1|DSUP, LOC119546999|XP_037709593.1|DSUP, LOC119546998|XP_037709592.1|DSUP, LOC119548424|XP_037711591.1|DSUP, LOC119551928|XP_037717493.1|DSUP, LOC119546720|XP_037709134.1|DSUP, LOC119556721|XP_037725047.1|DSUP	LOC118465012|XP_035788756.1|AALB, LOC118466840|XP_035792555.1|AALB
OG0000060	LOC119556360|XP_037724450.1|DSUP	LOC118462342|XP_035784016.1|AALB
OG0000060	LOC119550934|XP_037715889.1|DSUP	LOC118457079|XP_035774255.1|AALB
OG0000067	LOC119560888|XP_037730510.1|DSUP, LOC119553386|XP_037719671.1|DSUP	LOC118462964|XP_035785018.1|AALB
OG0000067	LOC119553512|XP_037719863.1|DSUP	LOC118463317|XP_035785696.1|AALB
OG0000068	LOC119552687|XP_037718340.1|DSUP, LOC119559817|XP_037728832.1|DSUP, LOC119555070|XP_037722207.1|DSUP, LOC119550979|XP_037715942.1|DSUP, LOC119549875|XP_037714104.1|DSUP, LOC119549881|XP_037714113.1|DSUP, LOC119555964|XP_037723613.1|DSUP	LOC118465636|XP_035789936.1|AALB, LOC118465635|XP_035789931.1|AALB, LOC118466683|XP_035792202.1|AALB, LOC118467770|XP_035794492.1|AALB, LOC118466177|XP_035791057.1|AALB
OG0000070	LOC119547175|XP_037709836.1|DSUP, LOC119546702|XP_037709110.1|DSUP, LOC119553795|XP_037720335.1|DSUP, LOC119546705|XP_037709112.1|DSUP, LOC119556647|XP_037724907.1|DSUP	LOC118466080|XP_035790865.1|AALB, LOC118461049|XP_035781833.1|AALB
OG0000071	LOC119555204|XP_037722387.1|DSUP	LOC118464383|XP_035787619.1|AALB
OG0000071	LOC119552553|XP_037718101.1|DSUP, LOC119552552|XP_037718100.1|DSUP, LOC119554936|XP_037721974.1|DSUP	LOC118465593|XP_035789852.1|AALB, LOC118464385|XP_035787624.1|AALB, LOC118467940|XP_035794802.1|AALB, LOC118465893|XP_035790437.1|AALB
OG0000072	LOC119551080|XP_037716171.1|DSUP, LOC119550992|XP_037715966.1|DSUP, LOC119551079|XP_037716170.1|DSUP	LOC118465748|XP_035790112.1|AALB, LOC118461286|XP_035782331.1|AALB, LOC118458429|XP_035776779.1|AALB
OG0000073	LOC119549420|XP_037713422.1|DSUP	LOC118466982|XP_035792790.1|AALB
OG0000073	LOC119557222|XP_037725820.1|DSUP	LOC118461208|XP_035782153.1|AALB, LOC118461209|XP_035782163.1|AALB
OG0000073	LOC119559869|XP_037728906.1|DSUP	LOC118458541|XP_035777018.1|AALB
OG0000074	LOC119555627|XP_037723076.1|DSUP, LOC119553528|XP_037719882.1|DSUP	LOC118467317|XP_035793548.1|AALB, LOC118464632|XP_035787971.1|AALB, LOC118462489|XP_035784094.1|AALB, LOC118462490|XP_035784095.1|AALB, LOC118462491|XP_035784096.1|AALB, LOC118462492|XP_035784098.1|AALB, LOC118465572|XP_035789827.1|AALB, LOC118465573|XP_035789828.1|AALB, LOC118462925|XP_035784926.1|AALB, LOC118467316|XP_035793547.1|AALB, LOC118463374|XP_035785792.1|AALB, LOC118465722|XP_035790060.1|AALB, LOC118463415|XP_035785860.1|AALB, LOC118463299|XP_035785677.1|AALB, LOC118464633|XP_035787972.1|AALB, LOC118465280|XP_035789213.1|AALB, LOC118463180|XP_035785487.1|AALB
OG0000076	LOC119555219|XP_037722410.1|DSUP	LOC118462886|XP_035784863.1|AALB
OG0000076	LOC119556781|XP_037725143.1|DSUP	LOC118456474|XP_035773167.1|AALB
OG0000077	LOC119549138|XP_037712837.1|DSUP	LOC118467920|XP_035794755.1|AALB
OG0000077	LOC119560232|XP_037729526.1|DSUP	LOC118460116|XP_035780047.1|AALB
OG0000077	LOC119549259|XP_037713095.1|DSUP	LOC118463835|XP_035786622.1|AALB
OG0000077	LOC119548360|XP_037711506.1|DSUP	LOC118466147|XP_035791003.1|AALB
OG0000078	LOC119550532|XP_037715180.1|DSUP, LOC119553881|XP_037720469.1|DSUP, LOC119560420|XP_037729785.1|DSUP, LOC119556490|XP_037724675.1|DSUP, LOC119557021|XP_037725486.1|DSUP	LOC118456476|XP_035773179.1|AALB
OG0000080	LOC119551310|XP_037716532.1|DSUP, LOC119550287|XP_037714805.1|DSUP, LOC119549434|XP_037713451.1|DSUP	LOC118460320|XP_035780425.1|AALB, LOC118460319|XP_035780424.1|AALB
OG0000082	LOC119551581|XP_037716911.1|DSUP, LOC119556198|XP_037724083.1|DSUP, LOC119560897|XP_037730522.1|DSUP, LOC119560898|XP_037730523.1|DSUP	LOC118461897|XP_035783644.1|AALB, LOC118461898|XP_035783645.1|AALB
OG0000083	LOC119548097|XP_037711114.1|DSUP, LOC119546591|XP_037708932.1|DSUP, LOC119546708|XP_037709117.1|DSUP, LOC119547690|XP_037710586.1|DSUP, LOC119547461|XP_037710270.1|DSUP	LOC118457381|XP_035774809.1|AALB, LOC118457852|XP_035775635.1|AALB, LOC118457853|XP_035775636.1|AALB
OG0000084	LOC119550924|XP_037715869.1|DSUP	LOC118460417|XP_035780598.1|AALB, LOC118464572|XP_035787906.1|AALB, LOC118464665|XP_035788069.1|AALB
OG0000084	LOC119551740|XP_037717169.1|DSUP	LOC118463937|XP_035786798.1|AALB
OG0000085	LOC119549284|XP_037713160.1|DSUP	LOC118467757|XP_035794478.1|AALB
OG0000086	LOC119549877|XP_037714110.1|DSUP	LOC118467052|XP_035792946.1|AALB
OG0000087	LOC119546360|XP_037708515.1|DSUP	LOC118461776|XP_035783398.1|AALB, LOC118461322|XP_035782419.1|AALB, LOC118461763|XP_035783391.1|AALB
OG0000088	LOC119549208|XP_037712982.1|DSUP	LOC118462894|XP_035784880.1|AALB
OG0000089	LOC119559948|XP_037729105.1|DSUP, LOC119559790|XP_037728799.1|DSUP	LOC118464755|XP_035788267.1|AALB, LOC118458513|XP_035776977.1|AALB
OG0000089	LOC119560639|XP_037730119.1|DSUP	LOC118465461|XP_035789653.1|AALB
OG0000089	LOC119554444|XP_037721284.1|DSUP	LOC118462651|XP_035784397.1|AALB, LOC118467873|XP_035794676.1|AALB
OG0000090	LOC119551577|XP_037716907.1|DSUP, LOC119551295|XP_037716502.1|DSUP, LOC119552801|XP_037718566.1|DSUP, LOC119555352|XP_037722617.1|DSUP	LOC118465859|XP_035790384.1|AALB, LOC118464436|XP_035787701.1|AALB, LOC118464435|XP_035787700.1|AALB
OG0000091	LOC119550132|XP_037714564.1|DSUP	LOC118468298|XP_035794920.1|AALB
OG0000091	LOC119548319|XP_037711427.1|DSUP, LOC119545780|XP_037707573.1|DSUP, LOC119563325|XP_037732595.1|DSUP	LOC118461077|XP_035781863.1|AALB
OG0000093	LOC119548851|XP_037712400.1|DSUP	LOC118468732|XP_035795763.1|AALB
OG0000094	LOC119553732|XP_037720249.1|DSUP, LOC119560272|XP_037729566.1|DSUP	LOC118466575|XP_035792014.1|AALB, LOC118460828|XP_035781369.1|AALB
OG0000096	LOC119548522|XP_037711741.1|DSUP, LOC119547864|XP_037710825.1|DSUP, LOC119548857|XP_037712415.1|DSUP, LOC119548361|XP_037711504.1|DSUP	LOC118467953|XP_035794822.1|AALB
OG0000098	LOC119561054|XP_037730815.1|DSUP, LOC119561045|XP_037730804.1|DSUP	LOC118458982|XP_035777873.1|AALB
OG0000099	LOC119558261|XP_037727536.1|DSUP	LOC118460309|XP_035780405.1|AALB, LOC118460316|XP_035780419.1|AALB
OG0000101	LOC119552818|XP_037718594.1|DSUP, LOC119552822|XP_037718602.1|DSUP, LOC119554657|XP_037721586.1|DSUP	LOC118462817|XP_035784730.1|AALB
OG0000102	LOC119549166|XP_037712887.1|DSUP	LOC118464146|XP_035787145.1|AALB, LOC118465171|XP_035789026.1|AALB, LOC118463048|XP_035785187.1|AALB
OG0000102	LOC119552089|XP_037717794.1|DSUP, LOC119549711|XP_037713871.1|DSUP	LOC118457482|XP_035775000.1|AALB
OG0000103	LOC119553070|XP_037719123.1|DSUP, LOC119552691|XP_037718344.1|DSUP, LOC119552690|XP_037718343.1|DSUP, LOC119549539|XP_037713615.1|DSUP	LOC118467670|XP_035794319.1|AALB
OG0000104	LOC119547526|XP_037710347.1|DSUP, LOC119552753|XP_037718469.1|DSUP	LOC118464278|XP_035787434.1|AALB
OG0000105	LOC119552073|XP_037717779.1|DSUP, LOC119551771|XP_037717229.1|DSUP, LOC119546005|XP_037707934.1|DSUP, LOC119559423|XP_037728445.1|DSUP, LOC119561103|XP_037730925.1|DSUP, LOC119559579|XP_037728528.1|DSUP, LOC119559963|XP_037729124.1|DSUP, LOC119559962|XP_037729123.1|DSUP, LOC119559578|XP_037728527.1|DSUP	LOC118457265|XP_035774549.1|AALB
OG0000109	LOC119548022|XP_037711021.1|DSUP, LOC119548023|XP_037711024.1|DSUP	LOC118467353|XP_035793644.1|AALB, LOC118460030|XP_035779864.1|AALB
OG0000109	LOC119548267|XP_037711341.1|DSUP	LOC118459572|XP_035778973.1|AALB
OG0000110	LOC119553324|XP_037719581.1|DSUP, LOC119553439|XP_037719757.1|DSUP, LOC119554910|XP_037721940.1|DSUP	LOC118463974|XP_035786869.1|AALB, LOC118463973|XP_035786868.1|AALB
OG0000111	LOC119551522|XP_037716837.1|DSUP, LOC119549723|XP_037713889.1|DSUP, LOC119551617|XP_037716958.1|DSUP	LOC118469050|XP_035796408.1|AALB, LOC118463092|XP_035785265.1|AALB, LOC118463385|XP_035785816.1|AALB, LOC118467776|XP_035794507.1|AALB, LOC118463948|XP_035786818.1|AALB
