Orthogroup	DSUP.longest_only	DFIC.longest_only
OG0000004	LOC119559172|XP_037728161.1|DSUP, LOC119561436|XP_037731018.1|DSUP, LOC119561507|XP_037731086.1|DSUP, LOC119547987|XP_037710970.1|DSUP, LOC119547988|XP_037710972.1|DSUP, LOC119546069|XP_037708068.1|DSUP, LOC119561521|XP_037731100.1|DSUP, LOC119561518|XP_037731097.1|DSUP, LOC119546076|XP_037708081.1|DSUP, LOC119561441|XP_037731022.1|DSUP, LOC119559251|XP_037728250.1|DSUP, LOC119561442|XP_037731023.1|DSUP, LOC119561429|XP_037731011.1|DSUP, LOC119559242|XP_037728241.1|DSUP, LOC119559173|XP_037728162.1|DSUP, LOC119559174|XP_037728163.1|DSUP, LOC119561440|XP_037731020.1|DSUP, LOC119559179|XP_037728167.1|DSUP, LOC119546618|XP_037708984.1|DSUP, LOC119561433|XP_037731015.1|DSUP, LOC119559178|XP_037728166.1|DSUP, LOC119547940|XP_037710915.1|DSUP, LOC119561511|XP_037731090.1|DSUP, LOC119548245|XP_037711313.1|DSUP, LOC119559232|XP_037728231.1|DSUP, LOC119561428|XP_037731010.1|DSUP, LOC119561434|XP_037731016.1|DSUP, LOC119559226|XP_037728224.1|DSUP, LOC119561431|XP_037731013.1|DSUP, LOC119561435|XP_037731017.1|DSUP, LOC119559225|XP_037728223.1|DSUP, LOC119559219|XP_037728218.1|DSUP, LOC119561432|XP_037731014.1|DSUP, LOC119559218|XP_037728217.1|DSUP, LOC119547941|XP_037710916.1|DSUP, LOC119561427|XP_037731009.1|DSUP, LOC119559175|XP_037728164.1|DSUP, LOC119559177|XP_037728165.1|DSUP, LOC119561512|XP_037731091.1|DSUP, LOC119559231|XP_037728230.1|DSUP, LOC119546960|XP_037709531.1|DSUP, LOC119559171|XP_037728160.1|DSUP, LOC119561438|XP_037731019.1|DSUP, LOC119561510|XP_037731089.1|DSUP	LOC108094043|XP_017049969.1|DFIC
OG0000004	LOC119561504|XP_037731082.1|DSUP, LOC119546078|XP_037708083.1|DSUP	LOC108098156|XP_017056380.1|DFIC
OG0000005	LOC119559204|XP_037728202.1|DSUP, LOC119559203|XP_037728200.1|DSUP, LOC119547991|XP_037710975.1|DSUP, LOC119559202|XP_037728198.1|DSUP, LOC119547992|XP_037710977.1|DSUP, LOC119559198|XP_037728191.1|DSUP, LOC119561464|XP_037731045.1|DSUP, LOC119546625|XP_037708992.1|DSUP, LOC119561418|XP_037731001.1|DSUP, LOC119548248|XP_037711317.1|DSUP, LOC119559195|XP_037728185.1|DSUP, LOC119559194|XP_037728183.1|DSUP, LOC119547945|XP_037710922.1|DSUP, LOC119559201|XP_037728196.1|DSUP, LOC119559197|XP_037728189.1|DSUP, LOC119547944|XP_037710920.1|DSUP, LOC119559200|XP_037728193.1|DSUP, LOC119546493|XP_037708718.1|DSUP, LOC119561417|XP_037730999.1|DSUP, LOC119561470|XP_037731051.1|DSUP, LOC119561465|XP_037731047.1|DSUP, LOC119559196|XP_037728187.1|DSUP, LOC119561467|XP_037731049.1|DSUP, LOC119546624|XP_037708989.1|DSUP, LOC119561415|XP_037730997.1|DSUP, LOC119559588|XP_037728530.1|DSUP	LOC108094052|XP_017049981.1|DFIC
OG0000005	LOC119559217|XP_037728216.1|DSUP, LOC119559243|XP_037728242.1|DSUP, LOC119559230|XP_037728229.1|DSUP, LOC119559236|XP_037728234.1|DSUP, LOC119559223|XP_037728222.1|DSUP, LOC119559229|XP_037728228.1|DSUP, LOC119559222|XP_037728221.1|DSUP	LOC108102298|XP_017038659.1|DFIC
OG0000006	LOC119546622|XP_037708987.1|DSUP	LOC108098248|XP_017056531.1|DFIC
OG0000006	LOC119547943|XP_037710919.1|DSUP	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC
OG0000007	LOC119555653|XP_037723160.1|DSUP	LOC108099856|XP_017058991.1|DFIC
OG0000007	LOC119554492|XP_037721353.1|DSUP	LOC108093252|XP_017048717.1|DFIC
OG0000007	LOC119554489|XP_037721348.1|DSUP	LOC108093253|XP_017048718.1|DFIC
OG0000007	LOC119554495|XP_037721355.1|DSUP	LOC108093241|XP_017048705.1|DFIC
OG0000007	LOC119554491|XP_037721352.1|DSUP, LOC119552519|XP_037718065.1|DSUP	LOC108093034|XP_017048427.1|DFIC, LOC108093033|XP_017048426.1|DFIC
OG0000007	LOC119554494|XP_037721354.1|DSUP	LOC108093261|XP_017048727.1|DFIC
OG0000007	LOC119546692|XP_037709098.1|DSUP	LOC108089978|XP_017043968.1|DFIC
OG0000007	LOC119550735|XP_037715578.1|DSUP	LOC108090582|XP_017044820.1|DFIC
OG0000007	LOC119546891|XP_037709439.1|DSUP	LOC108089778|XP_017043661.1|DFIC
OG0000007	LOC119553820|XP_037720375.1|DSUP	LOC108088955|XP_017042464.1|DFIC
OG0000007	LOC119553445|XP_037719763.1|DSUP	LOC108088950|XP_017042460.1|DFIC
OG0000007	LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP	LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC
OG0000007	LOC119554496|XP_037721356.1|DSUP	LOC108093153|XP_017048589.1|DFIC
OG0000008	LOC119559922|XP_037729053.1|DSUP	LOC108101034|XP_017060691.1|DFIC
OG0000008	LOC119554293|XP_037721080.1|DSUP	LOC108100331|XP_017059630.1|DFIC
OG0000008	LOC119546547|XP_037708827.1|DSUP	LOC108093477|XP_017049051.1|DFIC
OG0000008	LOC119554296|XP_037721084.1|DSUP	LOC108100333|XP_017059632.1|DFIC
OG0000008	LOC119560392|XP_037729748.1|DSUP, LOC119560143|XP_037729425.1|DSUP	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC
OG0000008	LOC119560393|XP_037729749.1|DSUP	LOC108091746|XP_017046577.1|DFIC
OG0000008	LOC119560395|XP_037729751.1|DSUP	LOC108091769|XP_017046605.1|DFIC
OG0000008	LOC119560394|XP_037729750.1|DSUP	LOC108091754|XP_017046587.1|DFIC
OG0000008	LOC119560107|XP_037729380.1|DSUP	LOC108091767|XP_017046601.1|DFIC
OG0000009	LOC119560146|XP_037729428.1|DSUP	LOC108101115|XP_017060823.1|DFIC
OG0000009	LOC119560480|XP_037729870.1|DSUP	LOC108101125|XP_017060838.1|DFIC
OG0000009	LOC119545681|XP_037707348.1|DSUP	LOC108093288|XP_017048753.1|DFIC
OG0000009	LOC119560408|XP_037729769.1|DSUP	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC
OG0000009	LOC119560481|XP_037729871.1|DSUP	LOC108101116|XP_017060824.1|DFIC
OG0000009	LOC119550480|XP_037715097.1|DSUP	LOC108101809|XP_017061774.1|DFIC
OG0000009	LOC119560195|XP_037729489.1|DSUP	LOC108088079|XP_017041220.1|DFIC
OG0000009	LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP	LOC108086769|XP_017039304.1|DFIC
OG0000009	LOC119547540|XP_037710365.1|DSUP	LOC108094178|XP_017050126.1|DFIC
OG0000009	LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP	LOC108086655|XP_017039128.1|DFIC
OG0000010	LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP, LOC119559234|XP_037728233.1|DSUP, LOC119559207|XP_037728206.1|DSUP, LOC119547994|XP_037710979.1|DSUP	LOC108098255|XP_017056544.1|DFIC
OG0000010	LOC119547947|XP_037710925.1|DSUP	LOC108101428|XP_017061247.1|DFIC
OG0000011	LOC119548026|XP_037711028.1|DSUP	LOC108101273|XP_017061049.1|DFIC
OG0000011	LOC119547062|XP_037709672.1|DSUP	LOC108100009|XP_017059202.1|DFIC
OG0000011	LOC119548873|XP_037712431.1|DSUP, LOC119546938|XP_037709503.1|DSUP	LOC108101289|XP_017061078.1|DFIC
OG0000011	LOC119555043|XP_037722157.1|DSUP, LOC119555066|XP_037722201.1|DSUP, LOC119557843|XP_037726753.1|DSUP, LOC119560943|XP_037730609.1|DSUP, LOC119554642|XP_037721569.1|DSUP, LOC119560221|XP_037729507.1|DSUP, LOC119560941|XP_037730605.1|DSUP, LOC119553270|XP_037719489.1|DSUP, LOC119554912|XP_037721943.1|DSUP, LOC119555170|XP_037722349.1|DSUP, LOC119555608|XP_037723034.1|DSUP, LOC119546892|XP_037709441.1|DSUP	LOC108100104|XP_017059339.1|DFIC
OG0000011	LOC119547347|XP_037710088.1|DSUP	LOC108098171|XP_017056393.1|DFIC
OG0000011	LOC119556682|XP_037724981.1|DSUP, LOC119556749|XP_037725099.1|DSUP	LOC108095556|XP_017052180.1|DFIC
OG0000011	LOC119554627|XP_037721551.1|DSUP	LOC108086883|XP_017039433.1|DFIC
OG0000011	LOC119554626|XP_037721550.1|DSUP	LOC108086913|XP_017039476.1|DFIC
OG0000011	LOC119554762|XP_037721730.1|DSUP	LOC108098799|XP_017057429.1|DFIC
OG0000012	LOC119550822|XP_037715693.1|DSUP	LOC108096904|XP_017054341.1|DFIC
OG0000012	LOC119550821|XP_037715691.1|DSUP	LOC108096903|XP_017054340.1|DFIC
OG0000012	LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP	LOC108096929|XP_017054370.1|DFIC
OG0000012	LOC119551494|XP_037716788.1|DSUP	LOC108096943|XP_017054393.1|DFIC
OG0000012	LOC119551074|XP_037716130.1|DSUP	LOC108096563|XP_017053746.1|DFIC
OG0000012	LOC119550378|XP_037714954.1|DSUP	LOC108096571|XP_017053756.1|DFIC
OG0000012	LOC119549965|XP_037714285.1|DSUP	LOC108086628|XP_017039092.1|DFIC
OG0000012	LOC119551851|XP_037717353.1|DSUP	LOC108086618|XP_017039083.1|DFIC
OG0000012	LOC119551850|XP_037717352.1|DSUP	LOC108086755|XP_017039283.1|DFIC
OG0000012	LOC119550449|XP_037715053.1|DSUP	LOC108086630|XP_017039094.1|DFIC
OG0000012	LOC119551476|XP_037716767.1|DSUP	LOC108086627|XP_017039091.1|DFIC
OG0000012	LOC119551477|XP_037716768.1|DSUP	LOC108086756|XP_017039284.1|DFIC
OG0000013	LOC119549437|XP_037713458.1|DSUP	LOC108101557|XP_017061445.1|DFIC
OG0000013	LOC119558255|XP_037727511.1|DSUP	LOC108101682|XP_017061593.1|DFIC
OG0000013	LOC119563541|XP_037732953.1|DSUP	LOC108098830|XP_017057474.1|DFIC
OG0000013	LOC119555401|XP_037722683.1|DSUP	LOC108086910|XP_017039470.1|DFIC
OG0000013	LOC119556345|XP_037724379.1|DSUP	LOC108087118|XP_017039788.1|DFIC
OG0000013	LOC119545787|XP_037707587.1|DSUP	LOC108091996|XP_017046910.1|DFIC
OG0000013	LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC
OG0000015	LOC119547179|XP_037709842.1|DSUP	LOC108098169|XP_017056391.1|DFIC, LOC108098170|XP_017056392.1|DFIC
OG0000015	LOC119547561|XP_037710390.1|DSUP	LOC108092527|XP_017047639.1|DFIC
OG0000015	LOC119555864|XP_037723443.1|DSUP	LOC108094767|XP_017051032.1|DFIC, LOC108094097|XP_017050010.1|DFIC, LOC108101938|XP_017062014.1|DFIC, LOC108101948|XP_017062025.1|DFIC, LOC108091404|XP_017046083.1|DFIC, LOC108091405|XP_017046084.1|DFIC
OG0000015	LOC119546298|XP_037708414.1|DSUP, LOC119546326|XP_037708454.1|DSUP	LOC108094095|XP_017050008.1|DFIC
OG0000015	LOC119547138|XP_037709780.1|DSUP	LOC108094122|XP_017050032.1|DFIC
OG0000015	LOC119553466|XP_037719796.1|DSUP	LOC108099798|XP_017058915.1|DFIC, LOC108099788|XP_017058906.1|DFIC, LOC108099784|XP_017058902.1|DFIC, LOC108099708|XP_017058819.1|DFIC, LOC108099813|XP_017058931.1|DFIC, LOC108099796|XP_017058913.1|DFIC, LOC108099792|XP_017058910.1|DFIC, LOC108099709|XP_017058820.1|DFIC, LOC108099710|XP_017058821.1|DFIC, LOC108099711|XP_017058822.1|DFIC
OG0000015	LOC119547086|XP_037709714.1|DSUP, LOC119546156|XP_037708194.1|DSUP	LOC108100911|XP_017060514.1|DFIC, LOC108100840|XP_017060402.1|DFIC
OG0000015	LOC119550622|XP_037715380.1|DSUP	LOC108086461|XP_017038876.1|DFIC
OG0000015	LOC119546949|XP_037709517.1|DSUP	LOC108094483|XP_017050559.1|DFIC
OG0000016	LOC119560964|XP_037730645.1|DSUP	LOC108091644|XP_017046435.1|DFIC
OG0000016	LOC119551792|XP_037717267.1|DSUP	LOC108095161|XP_017051608.1|DFIC
OG0000016	LOC119560636|XP_037730116.1|DSUP	LOC108088049|XP_017041175.1|DFIC
OG0000016	LOC119549928|XP_037714197.1|DSUP, LOC119549685|XP_037713828.1|DSUP	LOC108090474|XP_017044659.1|DFIC
OG0000016	LOC119557630|XP_037726388.1|DSUP	LOC108092889|XP_017048224.1|DFIC
OG0000016	LOC119559471|XP_037728511.1|DSUP	LOC108091135|XP_017045658.1|DFIC
OG0000016	LOC119561925|XP_037731293.1|DSUP	LOC108096392|XP_017053452.1|DFIC
OG0000016	LOC119555565|XP_037722943.1|DSUP	LOC108093583|XP_017049197.1|DFIC
OG0000017	LOC119555819|XP_037723364.1|DSUP	LOC108098017|XP_017056155.1|DFIC
OG0000017	LOC119549290|XP_037713167.1|DSUP	LOC108101533|XP_017061396.1|DFIC
OG0000017	LOC119562617|XP_037731769.1|DSUP, LOC119562618|XP_037731771.1|DSUP	LOC108099991|XP_017059177.1|DFIC
OG0000017	LOC119560371|XP_037729705.1|DSUP	LOC108097740|XP_017055736.1|DFIC
OG0000017	LOC119550337|XP_037714884.1|DSUP, LOC119558631|XP_037727964.1|DSUP	LOC108087716|XP_017040726.1|DFIC
OG0000017	LOC119562595|XP_037731744.1|DSUP	LOC108099990|XP_017059176.1|DFIC
OG0000017	LOC119558630|XP_037727962.1|DSUP, LOC119550336|XP_037714883.1|DSUP	LOC108087715|XP_017040725.1|DFIC
OG0000017	LOC119546290|XP_037708399.1|DSUP	LOC108094147|XP_017050074.1|DFIC, LOC108094148|XP_017050075.1|DFIC
OG0000018	LOC119554781|XP_037721753.1|DSUP	LOC108093126|XP_017048560.1|DFIC
OG0000018	LOC119554782|XP_037721754.1|DSUP	LOC108093128|XP_017048562.1|DFIC
OG0000018	LOC119554784|XP_037721757.1|DSUP	LOC108093130|XP_017048564.1|DFIC
OG0000018	LOC119552517|XP_037718063.1|DSUP	LOC108093138|XP_017048572.1|DFIC
OG0000018	LOC119552516|XP_037718062.1|DSUP	LOC108093140|XP_017048574.1|DFIC
OG0000019	LOC119545699|XP_037707379.1|DSUP	LOC108086541|XP_017038967.1|DFIC
OG0000019	LOC119545701|XP_037707381.1|DSUP	LOC108086542|XP_017038968.1|DFIC
OG0000019	LOC119545702|XP_037707383.1|DSUP	LOC108086544|XP_017038971.1|DFIC
OG0000019	LOC119553849|XP_037720426.1|DSUP	LOC108086535|XP_017038961.1|DFIC
OG0000019	LOC119545700|XP_037707380.1|DSUP	LOC108086543|XP_017038970.1|DFIC
OG0000019	LOC119545696|XP_037707377.1|DSUP	LOC108086538|XP_017038965.1|DFIC
OG0000019	LOC119545697|XP_037707378.1|DSUP	LOC108086540|XP_017038966.1|DFIC
OG0000020	LOC119551011|XP_037715994.1|DSUP	LOC108086571|XP_017039016.1|DFIC
OG0000020	LOC119549986|XP_037714317.1|DSUP	LOC108087826|XP_017040886.1|DFIC
OG0000020	LOC119546737|XP_037709159.1|DSUP	LOC108100979|XP_017060622.1|DFIC
OG0000020	LOC119561092|XP_037730913.1|DSUP	LOC108101093|XP_017060792.1|DFIC
OG0000020	LOC119556769|XP_037725126.1|DSUP	LOC108102060|XP_017062180.1|DFIC
OG0000020	LOC119547825|XP_037710775.1|DSUP	LOC108089992|XP_017043983.1|DFIC
OG0000020	LOC119546570|XP_037708891.1|DSUP	LOC108101220|XP_017060958.1|DFIC
OG0000021	LOC119549002|XP_037712540.1|DSUP	LOC108090792|XP_017045128.1|DFIC
OG0000021	LOC119550684|XP_037715475.1|DSUP	LOC108090653|XP_017044920.1|DFIC
OG0000021	LOC119550497|XP_037715116.1|DSUP	LOC108093638|XP_017049284.1|DFIC
OG0000021	LOC119556017|XP_037723717.1|DSUP	LOC108095541|XP_017052159.1|DFIC
OG0000021	LOC119552371|XP_037718001.1|DSUP	LOC108091979|XP_017046877.1|DFIC
OG0000021	LOC119560336|XP_037729656.1|DSUP	LOC108088013|XP_017041113.1|DFIC
OG0000021	LOC119555956|XP_037723602.1|DSUP	LOC108094694|XP_017050914.1|DFIC
OG0000022	LOC119550370|XP_037714944.1|DSUP	LOC108093677|XP_017049345.1|DFIC
OG0000022	LOC119553490|XP_037719826.1|DSUP, LOC119555408|XP_037722693.1|DSUP	LOC108100202|XP_017059465.1|DFIC
OG0000022	LOC119555582|XP_037722984.1|DSUP, LOC119555585|XP_037722986.1|DSUP, LOC119555586|XP_037722987.1|DSUP	LOC108100308|XP_017059596.1|DFIC
OG0000022	LOC119555581|XP_037722982.1|DSUP, LOC119555583|XP_037722985.1|DSUP	LOC108100304|XP_017059591.1|DFIC
OG0000022	LOC119555580|XP_037722981.1|DSUP	LOC108100302|XP_017059589.1|DFIC
OG0000023	LOC119559780|XP_037728787.1|DSUP	LOC108096120|XP_017052985.1|DFIC
OG0000023	LOC119559792|XP_037728800.1|DSUP, LOC119559788|XP_037728797.1|DSUP	LOC108096122|XP_017052987.1|DFIC
OG0000023	LOC119559783|XP_037728790.1|DSUP	LOC108096128|XP_017052994.1|DFIC
OG0000023	LOC119550999|XP_037715976.1|DSUP	LOC108096606|XP_017053802.1|DFIC
OG0000023	LOC119559784|XP_037728792.1|DSUP	LOC108096129|XP_017052995.1|DFIC
OG0000023	LOC119559779|XP_037728786.1|DSUP	LOC108096118|XP_017052982.1|DFIC
OG0000023	LOC119559782|XP_037728789.1|DSUP	LOC108096119|XP_017052984.1|DFIC
OG0000023	LOC119559778|XP_037728785.1|DSUP	LOC108096117|XP_017052981.1|DFIC
OG0000023	LOC119559785|XP_037728793.1|DSUP	LOC108096114|XP_017052979.1|DFIC
OG0000024	LOC119551120|XP_037716232.1|DSUP	LOC108086469|XP_017038885.1|DFIC
OG0000024	LOC119549911|XP_037714159.1|DSUP, LOC119552112|XP_037717826.1|DSUP	LOC108086411|XP_017038802.1|DFIC, LOC108086410|XP_017038801.1|DFIC
OG0000024	LOC119551714|XP_037717116.1|DSUP	LOC108086467|XP_017038883.1|DFIC
OG0000024	LOC119551121|XP_037716233.1|DSUP	LOC108086472|XP_017038887.1|DFIC
OG0000024	LOC119548131|XP_037711156.1|DSUP, LOC119548130|XP_037711155.1|DSUP, LOC119546161|XP_037708208.1|DSUP, LOC119548129|XP_037711154.1|DSUP	LOC108098296|XP_017056595.1|DFIC
OG0000024	LOC119551919|XP_037717477.1|DSUP	LOC108094860|XP_017051169.1|DFIC
OG0000025	LOC119545990|XP_037707907.1|DSUP, LOC119556135|XP_037723954.1|DSUP	LOC108088651|XP_017042067.1|DFIC
OG0000026	LOC119557908|XP_037726842.1|DSUP	LOC108091247|XP_017045848.1|DFIC
OG0000026	LOC119547110|XP_037709748.1|DSUP	LOC108093407|XP_017048931.1|DFIC
OG0000026	LOC119557301|XP_037725939.1|DSUP	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC
OG0000026	LOC119561040|XP_037730797.1|DSUP	LOC108091826|XP_017046693.1|DFIC
OG0000026	LOC119560123|XP_037729401.1|DSUP	LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC
OG0000027	LOC119548404|XP_037711568.1|DSUP	LOC108100821|XP_017060378.1|DFIC
OG0000027	LOC119548409|XP_037711576.1|DSUP	LOC108100819|XP_017060376.1|DFIC
OG0000027	LOC119548453|XP_037711645.1|DSUP	LOC108100820|XP_017060377.1|DFIC
OG0000028	LOC119555138|XP_037722293.1|DSUP	LOC108095285|XP_017051819.1|DFIC
OG0000028	LOC119554646|XP_037721574.1|DSUP	LOC108089312|XP_017042978.1|DFIC
OG0000029	LOC119550971|XP_037715934.1|DSUP	LOC108090681|XP_017044956.1|DFIC
OG0000029	LOC119549481|XP_037713512.1|DSUP, LOC119546385|XP_037708552.1|DSUP	LOC108100972|XP_017060614.1|DFIC
OG0000029	LOC119554065|XP_037720734.1|DSUP	LOC108099785|XP_017058903.1|DFIC
OG0000030	LOC119547225|XP_037709914.1|DSUP	LOC108093480|XP_017049055.1|DFIC, LOC108100317|XP_017059651.1|DFIC
OG0000030	LOC119546122|XP_037708143.1|DSUP	LOC108093469|XP_017049043.1|DFIC
OG0000030	LOC119547226|XP_037709915.1|DSUP	LOC108093479|XP_017049053.1|DFIC
OG0000030	LOC119546258|XP_037708345.1|DSUP, LOC119546257|XP_037708344.1|DSUP	LOC108092343|XP_017047369.1|DFIC, LOC108092288|XP_017047312.1|DFIC
OG0000030	LOC119550805|XP_037715669.1|DSUP, LOC119558621|XP_037727957.1|DSUP	LOC108087621|XP_017040552.1|DFIC
OG0000030	LOC119557894|XP_037726826.1|DSUP	LOC108091341|XP_017045978.1|DFIC
OG0000030	LOC119556830|XP_037725216.1|DSUP	LOC108088560|XP_017041895.1|DFIC
OG0000031	LOC119546941|XP_037709506.1|DSUP, LOC119546197|XP_037708251.1|DSUP, LOC119548227|XP_037711293.1|DSUP	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC
OG0000031	LOC119547774|XP_037710713.1|DSUP	LOC108090611|XP_017044870.1|DFIC, LOC108090591|XP_017044831.1|DFIC
OG0000031	LOC119547137|XP_037709777.1|DSUP	LOC108092296|XP_017047319.1|DFIC
OG0000031	LOC119546475|XP_037708689.1|DSUP, LOC119546474|XP_037708687.1|DSUP	LOC108089228|XP_017042875.1|DFIC
OG0000032	LOC119559968|XP_037729132.1|DSUP	LOC108088062|XP_017041192.1|DFIC
OG0000032	LOC119559770|XP_037728775.1|DSUP	LOC108088048|XP_017041174.1|DFIC
OG0000032	LOC119559771|XP_037728776.1|DSUP	LOC108088066|XP_017041199.1|DFIC
OG0000032	LOC119560219|XP_037729506.1|DSUP	LOC108087890|XP_017040957.1|DFIC
OG0000032	LOC119560574|XP_037730023.1|DSUP	LOC108087896|XP_017040963.1|DFIC
