Orthogroup	DSUP.longest_only	DALB.longest_only
OG0000002	LOC119550810|XP_037715678.1|DSUP	LOC117570812|XP_034108562.1|DALB, LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB
OG0000002	LOC119551092|XP_037716195.1|DSUP	LOC117571538|XP_034109620.1|DALB
OG0000002	LOC119551091|XP_037716194.1|DSUP	LOC117571537|XP_034109617.1|DALB
OG0000002	LOC119555504|XP_037722850.1|DSUP, LOC119554594|XP_037721506.1|DSUP, LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP, LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP	LOC117565641|XP_034100743.1|DALB
OG0000002	LOC119546867|XP_037709399.1|DSUP, LOC119547584|XP_037710417.1|DSUP, LOC119548714|XP_037712115.1|DSUP, LOC119548338|XP_037711471.1|DSUP, LOC119547562|XP_037710391.1|DSUP	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB
OG0000003	LOC119549193|XP_037712950.1|DSUP, LOC119549691|XP_037713842.1|DSUP	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB
OG0000003	LOC119548975|XP_037712493.1|DSUP	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB
OG0000003	LOC119549751|XP_037713922.1|DSUP, LOC119549192|XP_037712949.1|DSUP, LOC119549585|XP_037713671.1|DSUP	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB
OG0000003	LOC119549586|XP_037713672.1|DSUP	LOC117566351|XP_034101728.1|DALB
OG0000003	LOC119551761|XP_037717216.1|DSUP	LOC117570242|XP_034107635.1|DALB
OG0000003	LOC119551759|XP_037717214.1|DSUP, LOC119551760|XP_037717215.1|DSUP	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB
OG0000003	LOC119546510|XP_037708761.1|DSUP	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB
OG0000004	LOC119561504|XP_037731082.1|DSUP, LOC119546078|XP_037708083.1|DSUP	LOC117566082|XP_034101454.1|DALB, LOC117566081|XP_034101452.1|DALB, LOC117565593|XP_034100683.1|DALB, LOC117566015|XP_034101336.1|DALB, LOC117564273|XP_034098866.1|DALB, LOC117566148|XP_034101526.1|DALB, LOC117564274|XP_034098867.1|DALB
OG0000005	LOC119559204|XP_037728202.1|DSUP, LOC119559203|XP_037728200.1|DSUP, LOC119547991|XP_037710975.1|DSUP, LOC119559202|XP_037728198.1|DSUP, LOC119547992|XP_037710977.1|DSUP, LOC119559198|XP_037728191.1|DSUP, LOC119561464|XP_037731045.1|DSUP, LOC119546625|XP_037708992.1|DSUP, LOC119561418|XP_037731001.1|DSUP, LOC119548248|XP_037711317.1|DSUP, LOC119559195|XP_037728185.1|DSUP, LOC119559194|XP_037728183.1|DSUP, LOC119547945|XP_037710922.1|DSUP, LOC119559201|XP_037728196.1|DSUP, LOC119559197|XP_037728189.1|DSUP, LOC119547944|XP_037710920.1|DSUP, LOC119559200|XP_037728193.1|DSUP, LOC119546493|XP_037708718.1|DSUP, LOC119561417|XP_037730999.1|DSUP, LOC119561470|XP_037731051.1|DSUP, LOC119561465|XP_037731047.1|DSUP, LOC119559196|XP_037728187.1|DSUP, LOC119561467|XP_037731049.1|DSUP, LOC119546624|XP_037708989.1|DSUP, LOC119561415|XP_037730997.1|DSUP, LOC119559588|XP_037728530.1|DSUP	LOC117564270|XP_034098864.1|DALB
OG0000006	LOC119559257|XP_037728256.1|DSUP	LOC117564284|XP_034098874.1|DALB, LOC117563579|XP_034097856.1|DALB
OG0000006	LOC119547943|XP_037710919.1|DSUP	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB
OG0000007	LOC119555653|XP_037723160.1|DSUP	LOC117572105|XP_034110613.1|DALB
OG0000007	LOC119554492|XP_037721353.1|DSUP	LOC117571630|XP_034109745.1|DALB
OG0000007	LOC119554489|XP_037721348.1|DSUP	LOC117571629|XP_034109744.1|DALB
OG0000007	LOC119554495|XP_037721355.1|DSUP, LOC119554491|XP_037721352.1|DSUP, LOC119552519|XP_037718065.1|DSUP, LOC119554490|XP_037721351.1|DSUP, LOC119554494|XP_037721354.1|DSUP	LOC117571628|XP_034109743.1|DALB
OG0000007	LOC119550735|XP_037715578.1|DSUP	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB
OG0000007	LOC119546891|XP_037709439.1|DSUP	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB
OG0000007	LOC119553820|XP_037720375.1|DSUP, LOC119553445|XP_037719763.1|DSUP, LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	LOC119559922|XP_037729053.1|DSUP	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC119554295|XP_037721083.1|DSUP	LOC117570995|XP_034108835.1|DALB
OG0000008	LOC119546547|XP_037708827.1|DSUP	LOC117565304|XP_034100233.1|DALB
OG0000008	LOC119554296|XP_037721084.1|DSUP	LOC117571003|XP_034108844.1|DALB
OG0000008	LOC119560392|XP_037729748.1|DSUP, LOC119560143|XP_037729425.1|DSUP	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB
OG0000008	LOC119560393|XP_037729749.1|DSUP	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB
OG0000008	LOC119560395|XP_037729751.1|DSUP	LOC117574119|XP_034113664.1|DALB
OG0000008	LOC119560394|XP_037729750.1|DSUP	LOC117574115|XP_034113660.1|DALB
OG0000008	LOC119560107|XP_037729380.1|DSUP	LOC117574118|XP_034113663.1|DALB
OG0000009	LOC119560146|XP_037729428.1|DSUP	LOC117574725|XP_034114546.1|DALB
OG0000009	LOC119560480|XP_037729870.1|DSUP	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB
OG0000009	LOC119560408|XP_037729769.1|DSUP, LOC119560481|XP_037729871.1|DSUP	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB
OG0000009	LOC119550480|XP_037715097.1|DSUP	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB
OG0000009	LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB
OG0000009	LOC119547540|XP_037710365.1|DSUP, LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP	LOC117565994|XP_034101304.1|DALB
OG0000010	LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP	LOC117564301|XP_034098889.1|DALB
OG0000010	LOC119547994|XP_037710979.1|DSUP	LOC117564305|XP_034098892.1|DALB
OG0000010	LOC119548250|XP_037711321.1|DSUP	LOC117564298|XP_034098887.1|DALB, LOC117564299|XP_034098888.1|DALB
OG0000012	LOC119550822|XP_037715693.1|DSUP	LOC117568055|XP_034104297.1|DALB
OG0000012	LOC119550821|XP_037715691.1|DSUP	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB
OG0000012	LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP	LOC117569585|XP_034106704.1|DALB
OG0000012	LOC119551494|XP_037716788.1|DSUP	LOC117568054|XP_034104292.1|DALB
OG0000012	LOC119550209|XP_037714688.1|DSUP, LOC119551068|XP_037716119.1|DSUP, LOC119551074|XP_037716130.1|DSUP, LOC119551639|XP_037716997.1|DSUP, LOC119550378|XP_037714954.1|DSUP	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB
OG0000012	LOC119549965|XP_037714285.1|DSUP, LOC119551851|XP_037717353.1|DSUP, LOC119551850|XP_037717352.1|DSUP, LOC119550449|XP_037715053.1|DSUP	LOC117571184|XP_034109105.1|DALB
OG0000012	LOC119551476|XP_037716767.1|DSUP, LOC119551477|XP_037716768.1|DSUP	LOC117568519|XP_034105112.1|DALB
OG0000013	LOC119549437|XP_037713458.1|DSUP	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC119558255|XP_037727511.1|DSUP	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC119563541|XP_037732953.1|DSUP	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC119555401|XP_037722683.1|DSUP	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC119556345|XP_037724379.1|DSUP	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC119545787|XP_037707587.1|DSUP	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000015	LOC119548635|XP_037711952.1|DSUP	LOC117565931|XP_034101209.1|DALB
OG0000015	LOC119555864|XP_037723443.1|DSUP	LOC117564021|XP_034098512.1|DALB
OG0000015	LOC119550622|XP_037715380.1|DSUP, LOC119546949|XP_037709517.1|DSUP	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB
OG0000016	LOC119560964|XP_037730645.1|DSUP	LOC117573987|XP_034113425.1|DALB
OG0000016	LOC119551792|XP_037717267.1|DSUP	LOC117567642|XP_034103639.1|DALB
OG0000016	LOC119560636|XP_037730116.1|DSUP	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC119549928|XP_037714197.1|DSUP, LOC119549685|XP_037713828.1|DSUP	LOC117567926|XP_034104102.1|DALB
OG0000016	LOC119557630|XP_037726388.1|DSUP	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC119559471|XP_037728511.1|DSUP	LOC117567888|XP_034104050.1|DALB
OG0000016	LOC119561925|XP_037731293.1|DSUP	LOC117573754|XP_034113029.1|DALB
OG0000016	LOC119555565|XP_037722943.1|DSUP	LOC117568261|XP_034104638.1|DALB
OG0000017	LOC119562617|XP_037731769.1|DSUP, LOC119562618|XP_037731771.1|DSUP	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB
OG0000017	LOC119552736|XP_037718429.1|DSUP	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB
OG0000017	LOC119550337|XP_037714884.1|DSUP, LOC119558631|XP_037727964.1|DSUP	LOC117568041|XP_034104279.1|DALB
OG0000017	LOC119562595|XP_037731744.1|DSUP	LOC117571751|XP_034109992.1|DALB
OG0000017	LOC119546290|XP_037708399.1|DSUP	LOC117564917|XP_034099761.1|DALB
OG0000018	LOC119553692|XP_037720175.1|DSUP	LOC117571926|XP_034110299.1|DALB, LOC117569761|XP_034106945.1|DALB
OG0000018	LOC119554782|XP_037721754.1|DSUP	LOC117569762|XP_034106946.1|DALB
OG0000018	LOC119554784|XP_037721757.1|DSUP	LOC117569760|XP_034106944.1|DALB
OG0000018	LOC119553876|XP_037720463.1|DSUP, LOC119553875|XP_037720461.1|DSUP, LOC119553877|XP_037720464.1|DSUP, LOC119553878|XP_037720465.1|DSUP	LOC117569766|XP_034106951.1|DALB
OG0000020	LOC119551011|XP_037715994.1|DSUP	LOC117576477|XP_034117138.1|DALB
OG0000020	LOC119549986|XP_037714317.1|DSUP	LOC117568572|XP_034105192.1|DALB
OG0000020	LOC119546352|XP_037708508.1|DSUP, LOC119548418|XP_037711587.1|DSUP, LOC119560332|XP_037729650.1|DSUP, LOC119546657|XP_037709040.1|DSUP, LOC119546786|XP_037709271.1|DSUP, LOC119550100|XP_037714508.1|DSUP, LOC119546737|XP_037709159.1|DSUP	LOC117565600|XP_034100691.1|DALB
OG0000020	LOC119561092|XP_037730913.1|DSUP	LOC117576162|XP_034116628.1|DALB
OG0000020	LOC119556769|XP_037725126.1|DSUP	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB
OG0000020	LOC119547825|XP_037710775.1|DSUP, LOC119546570|XP_037708891.1|DSUP	LOC117565601|XP_034100693.1|DALB
OG0000021	LOC119548675|XP_037712046.1|DSUP	LOC117570905|XP_034108701.1|DALB
OG0000021	LOC119549002|XP_037712540.1|DSUP	LOC117566492|XP_034101922.1|DALB
OG0000021	LOC119550684|XP_037715475.1|DSUP	LOC117570266|XP_034107672.1|DALB
OG0000021	LOC119556017|XP_037723717.1|DSUP	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC119552371|XP_037718001.1|DSUP	LOC117574572|XP_034114338.1|DALB
OG0000021	LOC119560336|XP_037729656.1|DSUP	LOC117576017|XP_034116416.1|DALB
OG0000021	LOC119555956|XP_037723602.1|DSUP	LOC117575314|XP_034115363.1|DALB
OG0000022	LOC119550370|XP_037714944.1|DSUP	LOC117569951|XP_034107204.1|DALB
OG0000022	LOC119555582|XP_037722984.1|DSUP, LOC119555585|XP_037722986.1|DSUP, LOC119555586|XP_037722987.1|DSUP	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB
OG0000022	LOC119555581|XP_037722982.1|DSUP, LOC119555583|XP_037722985.1|DSUP, LOC119555580|XP_037722981.1|DSUP	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB
OG0000023	LOC119559780|XP_037728787.1|DSUP	LOC117576456|XP_034117119.1|DALB
OG0000023	LOC119559792|XP_037728800.1|DSUP, LOC119559788|XP_037728797.1|DSUP	LOC117565137|XP_034099998.1|DALB
OG0000023	LOC119550999|XP_037715976.1|DSUP	LOC117568013|XP_034104228.1|DALB
OG0000023	LOC119559779|XP_037728786.1|DSUP	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB
OG0000023	LOC119559782|XP_037728789.1|DSUP	LOC117576455|XP_034117118.1|DALB
OG0000023	LOC119559778|XP_037728785.1|DSUP	LOC117576451|XP_034117113.1|DALB
OG0000023	LOC119559785|XP_037728793.1|DSUP	LOC117576915|XP_034117947.1|DALB
OG0000024	LOC119551120|XP_037716232.1|DSUP, LOC119549911|XP_037714159.1|DSUP, LOC119552112|XP_037717826.1|DSUP, LOC119551714|XP_037717116.1|DSUP	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB
OG0000024	LOC119551121|XP_037716233.1|DSUP	LOC117569374|XP_034106395.1|DALB
OG0000024	LOC119548131|XP_037711156.1|DSUP, LOC119548130|XP_037711155.1|DSUP, LOC119546161|XP_037708208.1|DSUP, LOC119548129|XP_037711154.1|DSUP	LOC117575969|XP_034116339.1|DALB
OG0000024	LOC119551919|XP_037717477.1|DSUP	LOC117571483|XP_034109539.1|DALB
OG0000025	LOC119556135|XP_037723954.1|DSUP	LOC117563274|XP_034097393.1|DALB, LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB
OG0000025	LOC119559590|XP_037728532.1|DSUP, LOC119559601|XP_037728544.1|DSUP, LOC119561449|XP_037731029.1|DSUP, LOC119561527|XP_037731107.1|DSUP, LOC119559244|XP_037728243.1|DSUP	LOC117566085|XP_034101455.1|DALB
OG0000025	LOC119559246|XP_037728246.1|DSUP	LOC117563559|XP_034097830.1|DALB
OG0000026	LOC119557908|XP_037726842.1|DSUP	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB
OG0000026	LOC119547110|XP_037709748.1|DSUP	LOC117564398|XP_034099013.1|DALB
OG0000026	LOC119560123|XP_037729401.1|DSUP	LOC117573365|XP_034112385.1|DALB
OG0000027	LOC119548404|XP_037711568.1|DSUP	LOC117564244|XP_034098829.1|DALB
OG0000027	LOC119548453|XP_037711645.1|DSUP	LOC117565445|XP_034100427.1|DALB
OG0000028	LOC119555148|XP_037722304.1|DSUP	LOC117568836|XP_034105602.1|DALB, LOC117568837|XP_034105603.1|DALB, LOC117568843|XP_034105610.1|DALB, LOC117566512|XP_034101943.1|DALB, LOC117568838|XP_034105604.1|DALB, LOC117568840|XP_034105607.1|DALB, LOC117568839|XP_034105606.1|DALB, LOC117568844|XP_034105611.1|DALB, LOC117568834|XP_034105601.1|DALB, LOC117568841|XP_034105608.1|DALB, LOC117568833|XP_034105600.1|DALB, LOC117568842|XP_034105609.1|DALB, LOC117568831|XP_034105597.1|DALB
OG0000028	LOC119555138|XP_037722293.1|DSUP	LOC117566511|XP_034101942.1|DALB
OG0000029	LOC119548587|XP_037711848.1|DSUP, LOC119560689|XP_037730195.1|DSUP	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB
OG0000029	LOC119554065|XP_037720734.1|DSUP	LOC117569056|XP_034105958.1|DALB
OG0000030	LOC119547225|XP_037709914.1|DSUP	LOC117563844|XP_034098265.1|DALB
OG0000030	LOC119546258|XP_037708345.1|DSUP, LOC119546257|XP_037708344.1|DSUP	LOC117564908|XP_034099753.1|DALB
OG0000030	LOC119558624|XP_037727958.1|DSUP, LOC119549822|XP_037714028.1|DSUP, LOC119550805|XP_037715669.1|DSUP, LOC119558621|XP_037727957.1|DSUP	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB
OG0000030	LOC119557894|XP_037726826.1|DSUP	LOC117568192|XP_034104545.1|DALB
OG0000030	LOC119556830|XP_037725216.1|DSUP	LOC117566924|XP_034102438.1|DALB
OG0000031	LOC119547774|XP_037710713.1|DSUP, LOC119546228|XP_037708296.1|DSUP, LOC119552950|XP_037718858.1|DSUP, LOC119547137|XP_037709777.1|DSUP, LOC119548228|XP_037711295.1|DSUP	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB
OG0000031	LOC119548568|XP_037711813.1|DSUP, LOC119546475|XP_037708689.1|DSUP, LOC119546474|XP_037708687.1|DSUP	LOC117565207|XP_034100106.1|DALB
OG0000032	LOC119559763|XP_037728765.1|DSUP	LOC117574198|XP_034113792.1|DALB
OG0000032	LOC119560219|XP_037729506.1|DSUP	LOC117574485|XP_034114214.1|DALB
OG0000032	LOC119560574|XP_037730023.1|DSUP, LOC119559967|XP_037729131.1|DSUP	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000033	LOC119554734|XP_037721683.1|DSUP, LOC119551151|XP_037716271.1|DSUP, LOC119546299|XP_037708415.1|DSUP, LOC119546423|XP_037708616.1|DSUP, LOC119547670|XP_037710556.1|DSUP, LOC119546302|XP_037708421.1|DSUP, LOC119551206|XP_037716367.1|DSUP, LOC119551207|XP_037716368.1|DSUP	LOC117571679|XP_034109811.1|DALB
OG0000033	LOC119551205|XP_037716366.1|DSUP	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB
OG0000034	LOC119548454|XP_037711646.1|DSUP	LOC117565378|XP_034100343.1|DALB
OG0000034	LOC119547534|XP_037710356.1|DSUP	LOC117563632|XP_034097930.1|DALB
OG0000034	LOC119546951|XP_037709518.1|DSUP	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000035	LOC119562531|XP_037731651.1|DSUP	LOC117577292|XP_034118160.1|DALB
OG0000036	LOC119560416|XP_037729780.1|DSUP	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC119555899|XP_037723507.1|DSUP	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC119560377|XP_037729713.1|DSUP	LOC117574592|XP_034114366.1|DALB
OG0000036	LOC119545810|XP_037707622.1|DSUP	LOC117576608|XP_034117400.1|DALB
OG0000037	LOC119549907|XP_037714155.1|DSUP	LOC117568663|XP_034105356.1|DALB
OG0000037	LOC119560063|XP_037729297.1|DSUP, LOC119560052|XP_037729285.1|DSUP, LOC119559867|XP_037728904.1|DSUP	LOC117575741|XP_034115985.1|DALB
OG0000038	LOC119555136|XP_037722291.1|DSUP	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC119555124|XP_037722276.1|DSUP	LOC117570080|XP_034107411.1|DALB
OG0000039	LOC119560141|XP_037729421.1|DSUP	LOC117575707|XP_034115928.1|DALB
OG0000039	LOC119556467|XP_037724643.1|DSUP	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB
OG0000039	LOC119556870|XP_037725271.1|DSUP	LOC117577745|XP_034118547.1|DALB
OG0000039	LOC119555839|XP_037723395.1|DSUP	LOC117565813|XP_034101004.1|DALB
OG0000040	LOC119556456|XP_037724634.1|DSUP, LOC119563112|XP_037732283.1|DSUP	LOC117573615|XP_034112803.1|DALB
OG0000040	LOC119563113|XP_037732284.1|DSUP	LOC117573619|XP_034112810.1|DALB
OG0000040	LOC119552243|XP_037717993.1|DSUP	LOC117573618|XP_034112808.1|DALB
OG0000041	LOC119554437|XP_037721279.1|DSUP, LOC119554447|XP_037721290.1|DSUP, LOC119562401|XP_037731528.1|DSUP, LOC119550675|XP_037715466.1|DSUP, LOC119550683|XP_037715478.1|DSUP	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000042	LOC119551176|XP_037716303.1|DSUP, LOC119551178|XP_037716307.1|DSUP, LOC119551177|XP_037716304.1|DSUP, LOC119549542|XP_037713620.1|DSUP, LOC119549541|XP_037713619.1|DSUP, LOC119549540|XP_037713618.1|DSUP, LOC119549537|XP_037713608.1|DSUP	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB
